"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"1",93.639999,94.120003,92.720001,94.120003,429200,85.047363
"2",94.050003,95.330002,92.489998,95.089996,459100,85.923851
"3",95.349998,95.949997,94.510002,95.129997,412400,85.960014
"4",95.279999,96.330002,95.059998,95.980003,359400,86.728065
"5",95.059998,95.5,94.059998,94.110001,500200,85.038322
"6",94.239998,95.209999,93.93,94.199997,370800,85.119637
"7",94.150002,94.809998,93.949997,94.800003,338100,85.661819
"8",94.739998,95.300003,93.940002,94.830002,382800,85.688927
"9",94.959999,96.029999,94.599998,94.830002,254900,85.688927
"10",94.309998,95.309998,93.739998,94.709999,399500,85.58049
"11",95.040001,95.540001,94.239998,95.120003,397800,85.950981
"12",95.370003,95.949997,95.07,95.650002,347000,86.429878
"13",95.809998,96.660004,95.489998,96.150002,349600,86.881691
"14",96.099998,96.339996,95.68,95.970001,263100,86.719032
"15",95.93,97.050003,95.93,96.739998,221700,87.414803
"16",97.370003,98.199997,97.370003,98.029999,376700,88.580467
"17",97.959999,98.919998,97.940002,98.879997,288900,89.348503
"18",98.889999,98.980003,97.839996,97.879997,305100,88.444901
"19",97.699997,97.699997,96.43,96.959999,378300,87.613602
"20",97.059998,97.300003,96.629997,97.129997,384000,87.76722
"21",97.120003,97.93,97.050003,97.360001,337300,87.975037
"22",97.370003,97.75,96.989998,97.339996,282500,87.956978
"23",97.860001,98.360001,97.449997,98.010002,301900,88.562386
"24",97.519997,97.93,97.080002,97.389999,242700,88.002151
"25",97.589996,97.940002,96.910004,97,457200,87.649742
"26",94.980003,94.980003,89.550003,90.449997,990700,81.731117
"27",90.449997,91.879997,90.07,91.360001,797700,82.553413
"28",91.360001,93.010002,91.190002,92.93,469200,83.972084
"29",93.050003,94.919998,93.040001,94.32,401100,85.228081
"30",93.510002,95.449997,92.940002,95.25,319200,86.068428
"31",94.860001,96.25,94.860001,96.25,369700,86.972046
"32",96.309998,97.089996,96.07,96.519997,454200,87.216019
"33",96.389999,96.75,95.519997,96.75,356700,87.423859
"34",96.370003,98.269997,96.360001,98.040001,435800,88.589478
"35",97.550003,98.489998,97.550003,98.389999,386900,88.905754
"36",98,99.050003,98,98.839996,448800,89.796097
"37",98.150002,98.790001,97.760002,98.760002,267000,89.723396
"38",98.68,98.970001,97.75,98.120003,285300,89.141983
"39",98.120003,99.080002,97.900002,99,412800,89.941437
"40",100,101.32,100,100.849998,418800,91.622177
"41",100.860001,100.860001,99.68,99.75,411300,90.622818
"42",99.900002,100.470001,99.410004,99.870003,332100,90.731834
"43",99.019997,99.830002,98.769997,99.580002,294900,90.468376
"44",99.620003,99.809998,99.010002,99.599998,269100,90.486534
"45",100.239998,100.629997,99.410004,99.480003,269300,90.377541
