"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"1",90.239998,91.540001,90.096664,91.513336,2670600,87.678185
"2",91.693336,92.510002,91.576668,92.133331,1897800,88.272179
"3",91.209999,92.43,90.660004,92.059998,2495700,88.201927
"4",91.993332,93.446671,91.886665,92.996666,2331000,89.09935
"5",92.993332,93.160004,92.410004,92.919998,2013000,89.025879
"6",92.486664,93.073334,92.046669,92.959999,2632500,89.064201
"7",92.536667,94.773331,92.536667,94.58667,2523300,90.622719
"8",93.980003,94.743332,93.386665,94.513336,1948800,90.552467
"9",94.58667,95.106667,93.599998,95.033333,1740300,91.050674
"10",94.856667,95.239998,94.153336,94.786667,2218800,90.814323
"11",94.90667,95.786667,94.389999,95.653336,2363100,91.644669
"12",95.620003,95.996666,93.816666,94.363335,3458400,90.40873
"13",94.763336,94.973335,93.93,94.540001,2747700,90.577988
"14",94.543335,95.043335,94.326668,94.666664,3195600,90.699364
"15",94.803329,95.300003,93.513336,93.589996,4618500,89.667831
"16",94.153336,94.473335,93.379997,94.473335,7054800,90.514122
"17",100.519997,102.976669,99.5,101.666664,9041100,97.406006
"18",101.606667,103.333336,101.199997,101.73333,4503900,97.469849
"19",101.550003,102.25,100.769997,101.610001,3495600,97.35173
"20",100.919998,101.629997,100.059998,101.269997,2738100,97.025955
"21",100.73333,102.193336,100.563332,102.059998,2311500,97.782852
"22",102.246666,102.453331,101.190002,101.286667,2213700,97.041939
"23",102.246666,102.246666,101,101.333336,1762800,97.086624
"24",101.16333,101.553329,100.583336,100.65667,1756800,96.438324
"25",100.940002,101.326668,100.503334,100.683334,1430700,96.463875
"26",100.739998,101.82,100.669998,101.786667,1294800,97.520981
"27",101.919998,102.323334,101.699997,102.16333,1574700,97.881851
"28",102.213333,102.57,101.753334,102.15667,1219500,97.875473
"29",102.333336,103.226669,102,103.206665,2231700,98.881454
"30",102.809998,103.333336,102.273331,103.300003,2446800,98.970886
"31",103.073334,103.366669,102.440002,103.303329,1710900,98.974068
"32",103.306664,104.146667,102.776665,103.723335,1766400,99.376472
"33",103.75,104.056664,103.523331,103.783333,1423200,99.43396
"34",103.779999,104.580002,103.506668,104.173332,1749600,99.807594
"35",103.949997,104.443336,103.629997,104.153336,1226100,99.78846
"36",103.889999,104.113335,103.296669,103.400002,1093200,99.336929
"37",102.923332,104.216667,102.923332,104.216667,1464300,100.121498
"38",104.330002,104.453331,103.209999,103.400002,1048200,99.336929
"39",103.089996,103.426666,102.5,102.846664,1836600,98.805328
"40",103.993332,105.553329,103.643333,105.120003,2513100,100.989349
"41",104.846664,104.900002,104.106667,104.323334,1306500,100.223991
"42",104.273331,104.533333,103.506668,103.976669,1160400,99.89093
"43",103.730003,104.263336,103.459999,103.769997,1224300,99.692383
"44",103.510002,103.976669,103.459999,103.526665,1258800,99.458603
"45",103.333336,105.16333,103.143333,103.666664,2045100,99.593117
"46",103.543335,103.919998,103.290001,103.403336,1645200,99.340134
"47",103.833336,104.433334,103.553329,103.966667,1196700,99.881332
"48",103.830002,104.143333,103.389999,103.963333,961500,99.878143
"49",103.423332,103.753334,102.753334,103.379997,1288200,99.317696
"50",103.503334,104.379997,103.206665,104.199997,1745400,100.105476
"51",104.253334,104.576668,103.456665,103.776665,1344900,99.698784
"52",104.223335,104.633331,103.933334,104.459999,2218200,100.355286
"53",104.5,104.5,103.533333,104.043335,1149000,99.954979
"54",103.876663,104.43,102.536667,102.650002,2726100,98.616379
"55",102.790001,103.996666,101.900002,103.886665,1772700,99.804466
"56",103.646667,104.416664,103.07,103.583336,1412400,99.513069
"57",103.650002,104.053329,102.779999,103.150002,1028100,99.096748
"58",102.293335,103.356667,102.053329,103.15667,1895400,99.103172
"59",103.07,103.989998,103.010002,103.646667,981300,99.573906
"60",103.57,104.056664,102.876663,103.379997,1762800,99.317696
"61",103.363335,103.893333,103.099998,103.403336,1152000,99.340134
"62",103.309998,103.760002,103.143333,103.396667,840300,99.333725
"63",103.300003,103.923332,102.01667,102.870003,1557600,98.827744
"64",103.019997,103.366669,102.129997,102.793335,1551600,98.754105
"65",102.793335,104.076668,102.423332,103.09333,1555500,99.042328
"66",103.126663,103.893333,102.919998,103.489998,1214700,99.423386
"67",103.620003,104.459999,103.496666,104.356667,1367400,100.256027
"68",104.313332,104.583336,103.723335,103.949997,759000,99.865326
"69",103.526665,104.186668,103.166664,104.133331,1033800,100.041428
"70",104.116669,104.566666,103.84333,104.32,1494600,100.220787
"71",103.989998,104.316666,102.76667,102.783333,1307100,98.744476
"72",103.209999,103.790001,103.010002,103.616669,1026900,99.545067
"73",103.26667,103.849998,103.216667,103.690002,1295100,99.615532
"74",104.01667,104.143333,103.389999,103.846664,1936500,99.766045
"75",107.040001,108.503334,105.730003,108.006668,4863000,103.762573
"76",107.813332,108.389999,107.363335,108.199997,2306700,103.948303
"77",109.643333,109.879997,108.459999,109.243332,2008200,104.950645
"78",110,110.476669,109.339996,110.393333,1603500,106.055473
"79",110.276665,110.65667,109.333336,110.313332,1839000,105.9786
"80",110.41333,112.126663,110,111.856667,1769700,107.461288
"81",112.489998,112.666664,111.013336,111.559998,2145900,107.176292
"82",111.09333,112.019997,110.849998,110.849998,1334400,106.494179
"83",111.033333,111.786667,110.839996,111.566666,1320900,107.182701
"84",112.013336,112.443336,110.723335,111.393333,1116300,107.016182
"85",111.629997,112.963333,111.296669,112.870003,2321700,108.434807
"86",113.160004,113.186668,112.07,112.746666,1387200,108.31633
"87",112.833336,113.120003,112.366669,112.583336,1068000,108.159409
"88",112.346664,113.206665,112.206665,112.793335,1083000,108.361153
"89",112.803329,112.993332,112.209999,112.566666,940500,108.143394
"90",112.09333,112.263336,110.73333,111.546669,1186500,107.163467
"91",111.529999,111.926666,111.190002,111.349998,771000,106.974525
"92",111.253334,111.833336,111.133331,111.309998,1220400,106.936111
"93",111.34333,112.309998,111.203331,112.293335,1746900,107.880798
"94",112.010002,112.010002,109.470001,109.489998,2122500,105.45369
"95",109.333336,110.900002,108.966667,110.40667,2106300,106.336578
"96",110.603333,111.239998,110.09333,110.790001,1551900,106.705772
"97",111.306664,111.306664,109.876663,110.48333,1419000,106.4104
"98",110.59333,111.190002,110.339996,110.636665,1362900,106.558083
"99",110.636665,111.496666,110.209999,110.926666,1086300,106.837418
"100",111.273331,111.51667,110.57,111.363335,1581900,107.257965
"101",111.173332,111.806664,111.01667,111.650002,1214400,107.534073
"102",111.650002,111.986664,111.376663,111.786667,1363500,107.66571
"103",111.879997,112,110.313332,110.589996,3105600,106.513138
"104",110.83667,113.083336,110.576668,112.980003,2511300,108.815041
"105",113.276665,115.620003,112.883331,115.133331,2207100,110.889
"106",115.09333,115.120003,113.643333,114.08667,1261500,109.880898
"107",114.029999,114.416664,113.333336,113.440002,1837800,109.25808
"108",113.723335,113.886665,112.706665,113.419998,942300,109.238808
"109",113.419998,115.986664,113.419998,115.323334,2656800,111.071991
"110",115.433334,118.209999,115.433334,117.636665,3853800,113.300041
"111",117.503334,118.010002,115.419998,115.980003,3493200,111.70446
"112",116.389999,118.053329,116.203331,117.75,1824300,113.409187
"113",118.193336,118.213333,115.910004,117.563332,2029200,113.229393
"114",116.400002,117.230003,116.166664,117.166664,1342200,112.847359
"115",117.239998,117.296669,116.183334,116.849998,2610300,112.542358
"116",117.536667,119,117.443336,119,2385000,114.613113
"117",119,120.193336,119,119.32,2122200,114.921326
"118",119.106667,119.889999,118.293335,118.466667,1590900,114.099442
"119",118.293335,118.563332,117.693336,118.25,1056300,113.890755
"120",118.25,119.076668,118.026665,119.033333,1793100,114.645233
