"","FLT.Open","FLT.High","FLT.Low","FLT.Close","FLT.Volume","FLT.Adjusted"
"1",143.649994,146.660004,142.619995,144.649994,721900,144.649994
"2",145.690002,147.320007,144.550003,147.050003,1038800,147.050003
"3",147.360001,148.919998,145.929993,147.470001,786500,147.470001
"4",147.100006,150.259995,146.960007,148.399994,686700,148.399994
"5",148.339996,149.300003,147.690002,147.860001,926600,147.860001
"6",147.649994,149.529999,146.710007,147.970001,757300,147.970001
"7",147.960007,149.070007,147.380005,148.5,664300,148.5
"8",147.630005,149.369995,146.279999,148.990005,626300,148.990005
"9",149.529999,151.979996,149.529999,150.690002,672700,150.690002
"10",149.990005,150.850006,149.300003,149.770004,490900,149.770004
"11",150.009995,152.399994,149.449997,152.380005,1037500,152.380005
"12",152.839996,152.839996,149.369995,150.259995,878700,150.259995
"13",150.279999,151.559998,149.979996,150.25,502300,150.25
"14",150.110001,150.110001,148.860001,149.809998,359300,149.809998
"15",150.910004,151.160004,149.770004,150.720001,624600,150.720001
"16",151.580002,152.229996,149.669998,150.740005,534200,150.740005
"17",151,151.669998,147.720001,148.050003,942500,148.050003
"18",147.820007,149.259995,146.759995,148.179993,645200,148.179993
"19",146.940002,148.240005,145.429993,147.960007,640100,147.960007
"20",148.320007,148.440002,146.259995,147.490005,679400,147.490005
"21",148.149994,148.190002,145.380005,146.339996,1120300,146.339996
"22",146.360001,148.679993,145.929993,148.050003,1822200,148.050003
"23",148.990005,151.119995,148.990005,150.720001,759700,150.720001
"24",149.809998,150.779999,147.529999,147.699997,1205500,147.699997
"25",147.990005,148.979996,146.119995,148.75,1894300,148.75
"26",148.619995,152.020004,147.949997,151.25,1672200,151.25
"27",151.25,169.190002,151.25,167.860001,3698200,167.860001
"28",169.139999,169.820007,167.580002,168.910004,1523700,168.910004
"29",169.470001,169.949997,167.399994,168.25,1101800,168.25
"30",167.240005,168.020004,166.550003,167.360001,595400,167.360001
"31",167.149994,168.850006,166.429993,167.669998,599200,167.669998
"32",167.130005,168,166.149994,166.539993,447600,166.539993
"33",166.149994,167.270004,164.910004,166.470001,517700,166.470001
"34",166.440002,168.119995,166.119995,166.570007,690900,166.570007
"35",166,167.179993,165,167.089996,570300,167.089996
"36",167.149994,168.410004,165.479996,168.369995,701800,168.369995
"37",166.720001,168.75,166.149994,168.699997,1043100,168.699997
"38",167.710007,170.199997,167.350006,169.880005,1298900,169.880005
"39",169.940002,170.720001,169.360001,170,1096500,170
"40",170.990005,171.779999,163.960007,164.75,2401500,164.75
"41",164.5,164.75,162.279999,162.619995,1063600,162.619995
"42",162.360001,164.690002,162.360001,164.580002,725200,164.580002
"43",163.75,164.970001,162.029999,163.669998,683800,163.669998
"44",163.360001,165.369995,162.929993,163.199997,673700,163.199997
"45",162.5,164.020004,161.110001,161.190002,874100,161.190002
"46",160.839996,161.669998,159.029999,161.190002,669700,161.190002
"47",161,161.710007,159.330002,160.199997,847700,160.199997
"48",160.25,160.899994,158.979996,159.850006,942200,159.850006
"49",159.179993,159.809998,156.970001,159.190002,567700,159.190002
"50",159.130005,162.130005,159.130005,161.820007,763400,161.820007
"51",161.949997,164.479996,161.210007,163.990005,1074200,163.990005
"52",163.990005,164.649994,161.789993,162.229996,978500,162.229996
"53",162.139999,162.710007,159.699997,159.970001,588400,159.970001
"54",160.080002,161.059998,156.279999,156.470001,776200,156.470001
"55",156.240005,158.789993,156.160004,158.600006,821100,158.600006
"56",158.660004,159.970001,157.779999,158.360001,507300,158.360001
"57",159.070007,159.639999,156.190002,156.899994,1057200,156.899994
"58",155,157.399994,152.75,156.339996,901700,156.339996
"59",155.729996,158,155.729996,157.5,1050500,157.5
"60",157.240005,157.240005,149.539993,152.5,3880800,152.5
"61",153.119995,153.160004,147.580002,148.100006,3556500,148.100006
"62",147.160004,152.690002,146.759995,151.429993,2163100,151.429993
"63",151.559998,152.130005,148.990005,150.149994,1767000,150.149994
"64",150.820007,151.759995,140.929993,141.600006,8892000,141.600006
"65",142.179993,145.199997,141.199997,142.050003,3996700,142.050003
"66",143.600006,146.240005,143.089996,145.470001,2779200,145.470001
"67",144.630005,146.910004,144.5,146.270004,1581800,146.270004
"68",145.75,147.990005,145.119995,146.320007,1716700,146.320007
"69",146.460007,146.940002,144.720001,145.559998,734300,145.559998
"70",145.25,145.720001,144,144.220001,1002600,144.220001
"71",143.679993,145.5,142.300003,142.360001,861800,142.360001
"72",142.550003,144.539993,142,144.339996,881600,144.339996
"73",143.869995,144.389999,142.850006,143.649994,680800,143.649994
"74",144.589996,146.360001,142.910004,143.179993,971400,143.179993
"75",144,150,143.940002,149.729996,1444100,149.729996
"76",148.740005,150.770004,147,147.660004,1054800,147.660004
"77",149.639999,150.289993,147.360001,150.229996,1024600,150.229996
"78",151.279999,151.279999,148.679993,148.860001,898400,148.860001
"79",149.419998,151.960007,148.509995,151.380005,1105700,151.380005
"80",151.779999,151.779999,144.050003,145.649994,2918400,145.649994
"81",144.570007,144.850006,140,141.139999,4173400,141.139999
"82",142.899994,150.75,142.460007,148.179993,2761100,148.179993
"83",156,157.360001,137.660004,138,6315500,138
"84",137.720001,138.440002,121.519997,131.259995,13812600,131.259995
"85",132.690002,133.75,130,132.110001,2463700,132.110001
"86",131.119995,136.190002,131.119995,133.399994,2152100,133.399994
"87",133.5,135.190002,132.039993,134.610001,1729500,134.610001
"88",135.25,136.050003,132.610001,134.889999,1525800,134.889999
"89",134.139999,138.240005,133.399994,138.229996,1658300,138.229996
"90",138.720001,139.460007,135.740005,136.460007,1485600,136.460007
"91",137.770004,140.580002,137.070007,138.429993,1284400,138.429993
"92",138.470001,140.229996,138.210007,140.119995,1101200,140.119995
"93",139.690002,140.050003,137.770004,139.570007,944400,139.570007
"94",137.320007,137.860001,135.059998,135.779999,916200,135.779999
"95",135.339996,136.25,133.080002,133.410004,1129700,133.410004
"96",134.570007,136.830002,133.869995,135.779999,730400,135.779999
"97",135.699997,137.470001,135.410004,137.070007,545000,137.070007
"98",137.149994,137.570007,135.770004,135.970001,466000,135.970001
"99",135.820007,139.630005,135.279999,139.419998,793200,139.419998
"100",139.970001,141.520004,139.119995,141.059998,1206700,141.059998
"101",141.330002,147.169998,140.410004,146.369995,2236700,146.369995
"102",145.550003,147.130005,144.839996,145.440002,1513900,145.440002
"103",145.75,147.25,142.279999,144.289993,2230200,144.289993
"104",144.679993,147.759995,143.270004,147.600006,1361000,147.600006
"105",148.220001,149.820007,146.919998,148.350006,1095800,148.350006
"106",148.179993,151.729996,147.910004,150.160004,1426500,150.160004
"107",149.630005,150.229996,146.520004,146.850006,1359000,146.850006
"108",146.470001,148,144.460007,145.580002,1555600,145.580002
"109",146.119995,146.410004,143.699997,145.479996,881700,145.479996
"110",146.259995,146.630005,142.809998,143.940002,867400,143.940002
"111",142.860001,143.889999,140.460007,142.789993,1420000,142.789993
"112",143.970001,147.850006,142.990005,147.240005,1069900,147.240005
"113",147.360001,147.360001,144.929993,146.559998,587800,146.559998
"114",144.800003,145.699997,143.009995,144.509995,752300,144.509995
"115",144.529999,145.009995,142.509995,144.410004,1057300,144.410004
"116",145.220001,145.800003,143.199997,143.539993,647000,143.539993
"117",143.550003,143.550003,140.600006,140.830002,588100,140.830002
"118",141.910004,142.059998,139.539993,139.979996,728400,139.979996
"119",140,141.539993,139.639999,141.009995,805200,141.009995
"120",141.5,144.509995,140.190002,144.080002,919400,144.080002
"121",144.600006,145.75,142.910004,143.479996,729100,143.479996
"122",143.339996,144.440002,143.029999,143.130005,820000,143.130005
"123",144.339996,147.940002,143.279999,147.279999,1068600,147.279999
"124",147.110001,147.979996,145.270004,146,658400,146
"125",146.710007,147.360001,144.119995,144.210007,852300,144.210007
"126",144.880005,145.639999,143.289993,145.369995,568400,145.369995
"127",145.220001,146.289993,144.889999,145.380005,590300,145.380005
"128",143.919998,145.440002,143.770004,144.160004,729400,144.160004
"129",144.940002,146.669998,144.309998,145.100006,567900,145.100006
"130",144.910004,145.149994,143.570007,144.779999,652500,144.779999
"131",144.889999,148,144.889999,146.039993,754000,146.039993
"132",147.039993,148.440002,146.070007,146.460007,759500,146.460007
"133",147.600006,150.75,146.800003,149.5,1193100,149.5
"134",149.899994,150.080002,148.630005,149.029999,595200,149.029999
"135",149.660004,149.660004,145.660004,147.679993,1130500,147.679993
"136",147.699997,150.190002,147.529999,149.139999,549000,149.139999
"137",149.429993,149.919998,148.360001,149.580002,542400,149.580002
"138",149.899994,150,148.529999,149,873300,149
"139",148.919998,149.639999,147.149994,148.25,568200,148.25
"140",148.199997,148.570007,147.210007,148.360001,380400,148.360001
"141",149,151.339996,146.979996,150.5,876500,150.5
"142",150.600006,154.369995,150.179993,153.75,1046500,153.75
"143",154.130005,154.259995,149.509995,151.789993,1224600,151.789993
"144",150.960007,153.419998,150.960007,152.050003,415800,152.050003
"145",152.570007,153.309998,150.929993,152.059998,610900,152.059998
"146",152.789993,154.619995,152.710007,154.199997,539600,154.199997
"147",154.470001,155.289993,152.979996,154.179993,818300,154.179993
