"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"1",113.120003,113.199997,110.559998,111.849998,1029800,99.2229
"2",112.660004,115.790001,111.980003,115.199997,1523800,102.194717
"3",114.260002,115.489998,112.540001,113.739998,1491900,100.899529
"4",114.629997,116.309998,114.029999,115.660004,1463800,102.602791
"5",116.129997,116.889999,115.139999,115.199997,993900,102.194717
"6",115.360001,116.160004,114.419998,114.730003,891200,101.777779
"7",114.459999,115.089996,113.220001,115.059998,1055300,102.070534
"8",114.410004,115.440002,112.900002,115.089996,936300,102.097137
"9",115.75,117.160004,114.989998,115.269997,495100,102.25679
"10",113.980003,114.309998,111.309998,111.550003,757900,98.956787
"11",112.279999,113.519997,110.75,113.410004,1078300,100.606781
"12",113.510002,114.110001,111.849998,112.980003,893000,100.225342
"13",113.660004,113.949997,112.349998,113.050003,1180000,100.287468
"14",112.629997,113.959999,112.080002,112.860001,678100,100.118896
"15",113.360001,115.330002,112.43,114.309998,690000,101.405197
"16",115.889999,117.220001,114.779999,116.949997,1136800,103.747162
"17",117.480003,117.57,114.519997,114.879997,1314800,101.910835
"18",115.5,115.629997,113.18,113.400002,1009700,100.597931
"19",112.629997,113.199997,111.260002,113.059998,810400,100.296295
"20",112.019997,113.18,110.970001,112.269997,1159500,99.595497
"21",113.620003,115.220001,112.400002,113.080002,1035100,100.314056
"22",116.18,123.290001,116.18,117.900002,3524700,104.589905
"23",120.93,121.860001,120.220001,121.260002,1942400,107.570595
"24",121,123.720001,120.949997,123.370003,2088600,109.442375
"25",123.82,124,122.720001,123.18,1274600,109.273811
"26",122.089996,122.089996,120.870003,121.580002,1120100,107.854469
"27",121.349998,124.019997,120.839996,123.730003,1176400,110.443031
"28",124.050003,124.849998,122.709999,124.309998,1120800,110.960754
"29",125,126.879997,124.959999,126.150002,1044200,112.603157
"30",125.580002,128.380005,125.57,127.809998,1319300,114.084877
"31",128.050003,129.190002,127.419998,128.869995,815600,115.031044
"32",128.589996,129.270004,127.900002,129.160004,1026600,115.289932
"33",127.870003,129.059998,127.339996,128.990005,1046700,115.138161
"34",129.600006,131.220001,129.220001,130.770004,1256000,116.727036
"35",129.520004,131.320007,129.460007,130.679993,1002700,116.646675
"36",131.110001,131.369995,129.210007,130.479996,684700,116.468193
"37",128.789993,130.100006,128.039993,129.830002,976600,115.887985
"38",129.75,131.360001,129.639999,131.110001,641300,117.030533
"39",130.179993,131.550003,129.979996,131.5,1455700,117.378639
"40",134.559998,135.199997,133.899994,134.279999,1611000,119.8601
"41",135,135.119995,131.509995,131.600006,1421400,117.467896
"42",131.720001,133.479996,131.149994,133.059998,1129800,118.771111
"43",132.440002,133.059998,131.479996,132.429993,924700,118.208763
