"","SPGI.Open","SPGI.High","SPGI.Low","SPGI.Close","SPGI.Volume","SPGI.Adjusted"
"1",108.410004,109.010002,107.870003,108.389999,1569000,103.510201
"2",108.699997,112.199997,108.489998,111.739998,1470300,106.709404
"3",111.239998,113.669998,111.029999,112.589996,1816700,107.521118
"4",112.660004,115.959999,112.660004,114.599998,2203800,109.440636
"5",114.300003,114.410004,112.809998,113.279999,1491700,108.180061
"6",112.980003,112.980003,110.830002,111.349998,1572800,106.336945
"7",111.470001,112.089996,110.540001,111.970001,1296600,106.929031
"8",111.889999,113.059998,110.910004,112.589996,1155300,107.521118
"9",112.919998,113.610001,111.959999,112.419998,838200,107.358788
"10",111.940002,114.400002,111.940002,113.940002,1648600,108.810326
"11",114.419998,114.620003,112.940002,114.400002,1706800,109.249657
"12",114.239998,115.269997,114.230003,114.400002,1027600,109.249657
"13",114.849998,116.160004,114.410004,116,1450500,110.777603
"14",115.900002,116.349998,114.900002,116.110001,903000,110.882645
"15",116.379997,117.220001,115.559998,116.919998,1101000,111.656189
"16",117.419998,120.540001,117,120.43,1502700,115.008163
"17",120.639999,122.209999,120.639999,121.120003,1495900,115.667114
"18",121.040001,121.110001,120.419998,120.690002,718600,115.256454
"19",120.970001,120.970001,119.050003,120.620003,754200,115.189606
"20",120.370003,121.279999,119.660004,120.18,1283200,114.769424
"21",120.669998,120.809998,119.07,119.57,764500,114.18689
"22",119.160004,120.550003,118.800003,120.419998,782600,114.998611
"23",121.589996,122.970001,121.110001,122.599998,1118100,117.080467
"24",122.120003,123.169998,121.889999,122.879997,1164600,117.347862
"25",125.25,128.490005,125,125.839996,2341700,120.174591
"26",126,126.75,124.639999,125.080002,917900,119.448837
"27",125.080002,126.459999,125.019997,126.209999,850300,120.527954
"28",126.209999,126.559998,125.459999,126.290001,1056200,120.604362
"29",126.940002,127.370003,126.07,126.529999,1016600,120.833534
"30",126.360001,127.43,126.209999,126.919998,1254900,121.205994
"31",126.519997,128.679993,126.300003,128.330002,907900,122.552498
"32",128.240005,128.960007,127.449997,128.610001,831900,122.819885
"33",128.380005,130.419998,128.059998,130.389999,1338900,124.519775
"34",130.320007,131.25,129.929993,130.759995,1273500,124.873116
"35",129.990005,130.839996,129.929993,130.779999,905700,125.285011
"36",130.380005,131.259995,129.389999,130.779999,713100,125.285011
"37",130.020004,130.960007,129.5,130.820007,971000,125.323364
"38",130.429993,130.740005,129.75,129.990005,946700,124.528252
"39",130,130.160004,129.220001,129.470001,1432700,124.030075
"40",131.100006,131.199997,129.820007,130,2467700,124.537819
"41",130.149994,130.690002,129.699997,130,2024600,124.537819
"42",130.110001,130.539993,129.460007,129.639999,1239200,124.192932
"43",129.119995,130.830002,129.119995,130.429993,796200,124.949738
"44",130.259995,131.199997,130.259995,130.690002,773600,125.198799
"45",131.059998,131.289993,130.339996,130.580002,655600,125.093422
"46",130.740005,131.520004,130.5,131.059998,705300,125.553299
"47",131.5,132.080002,130.649994,131.690002,1166300,126.156792
"48",132,132.949997,131.949997,132.589996,871900,127.018982
"49",132.339996,133.080002,131.570007,132.169998,619300,126.616623
"50",131.75,132.25,128.919998,130.350006,2640600,124.873131
"51",130.529999,131.850006,130.529999,131.740005,1035700,126.204689
"52",131.300003,131.630005,129.869995,129.990005,2153100,124.528252
"53",129.919998,130.229996,129.210007,129.690002,1261400,124.240837
"54",130.509995,130.990005,127.769997,128.199997,1063600,122.813438
"55",128.25,128.690002,127.279999,128.490005,2042700,123.091248
"56",128.539993,130.039993,127.879997,129.149994,858500,123.723526
"57",129.479996,130.800003,128.889999,129.690002,982400,124.240837
"58",128.539993,129.080002,127.970001,128.449997,1147800,123.052925
"59",128.309998,129.220001,127.839996,128.720001,775000,123.311607
"60",128.610001,128.690002,127.75,128.309998,773600,122.918831
"61",128.320007,129.5,128.050003,129.399994,641800,123.963005
"62",129.160004,131.520004,128.880005,130.740005,1407600,125.246696
"63",130.479996,131.720001,128.660004,129.350006,1628100,123.915138
"64",128.869995,128.979996,127.599998,128.820007,1365300,123.407387
"65",129.460007,131.639999,128.5,130.169998,1494300,124.700676
"66",130.050003,130.660004,129.169998,129.960007,895800,124.499489
"67",129.720001,130.580002,129.380005,130.050003,976900,124.585701
"68",130.050003,130.339996,128.850006,129.589996,821500,124.145035
"69",129.460007,129.610001,128.509995,129.199997,806600,123.771408
"70",129.910004,129.910004,128.419998,128.929993,650100,123.512756
"71",128.529999,129.259995,128.259995,128.279999,610400,122.89006
"72",129.419998,130.860001,129.190002,130.759995,820700,125.265862
"73",130.130005,131.100006,129.779999,130.520004,796700,125.035973
"74",131.080002,131.179993,130.309998,130.570007,1001700,125.083885
"75",130.839996,132.190002,130.839996,131.869995,985300,126.329193
"76",131.899994,132.830002,131.389999,131.520004,1274200,125.99395
