"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"1",42.972,44.066002,42.192001,43.397999,29616500,43.397999
"2",42.950001,45.599998,42.862,45.397999,56067500,45.397999
"3",45.284,45.495998,44.389999,45.349998,29558500,45.349998
"4",45.386002,46.062,45.09,45.801998,27639500,45.801998
"5",45.793999,46.383999,45.599998,46.256001,19897500,46.256001
"6",46.400002,46.400002,45.377998,45.973999,18300000,45.973999
"7",45.813999,45.995998,45.335999,45.945999,18254000,45.945999
"8",45.812,46.139999,45.116001,45.917999,18951000,45.917999
"9",46,47.57,45.917999,47.549999,30465000,47.549999
"10",47.34,47.992001,46.874001,47.116001,23087500,47.116001
"11",47.330002,47.942001,47.116001,47.672001,18845000,47.672001
"12",49.450001,49.736,48.150002,48.751999,38661500,48.751999
"13",49.091999,49.200001,48.602001,48.945999,21021500,48.945999
"14",49.169998,50.178001,49.099998,49.784,31314500,49.784
"15",50,50.959999,49.93,50.922001,24827500,50.922001
"16",51.462002,51.692001,50.360001,50.894001,25713000,50.894001
"17",50.858002,51.147999,50.150002,50.501999,15760500,50.501999
"18",50.276001,50.599998,49.703999,50.59,15831500,50.59
"19",50.506001,51.057999,49.419998,50.125999,19005500,50.125999
"20",49.848,51.178001,49.540001,50.386002,20580500,50.386002
"21",50.610001,50.639999,49.810001,49.848,19794000,49.848
"22",49.667999,50.484001,49.542,50.310001,12499000,50.310001
"23",50.382,50.436001,49.936001,50.265999,10933500,50.265999
"24",50.200001,51.563999,50.125999,51.554001,17812500,51.554001
"25",51.638,52,51.284,51.495998,21224000,51.495998
"26",51.470001,52.672001,51.240002,52.416,19665000,52.416
"27",53.25,54.236,53.23,53.84,39101000,53.84
"28",53.958,54.189999,53.222,53.846001,18098500,53.846001
"29",54.147999,56.158001,54.102001,56.119999,35148000,56.119999
"30",55.806,57.478001,55.722,56.195999,36726000,56.195999
"31",56,56.448002,55.287998,55.952,24739500,55.952
"32",55.52,56,53.700001,53.790001,35386500,53.790001
"33",53.16,54.577999,52.830002,54.445999,31285500,54.445999
"34",55.09,56.279999,54.801998,55.478001,28383500,55.478001
"35",56.062,56.689999,54.52,54.702,43775000,54.702
"36",52.799999,52.931999,51.112,51.198002,74576000,51.198002
"37",50.532001,51.650002,50.040001,51.400002,40858000,51.400002
"38",49.633999,49.672001,48.402,49.245998,57304000,49.245998
"39",48.838001,50.200001,48.779999,49.998001,30390500,49.998001
"40",50.835999,50.970001,49.821999,50.004002,24047500,50.004002
"41",49.942001,50.655998,49.653999,50.096001,16759000,50.096001
"42",50.147999,50.380001,49.799999,50.313999,14597000,50.313999
"43",49.582001,50.34,49.501999,50.242001,16777500,50.242001
"44",50.383999,50.778,49.664001,49.717999,17297500,49.717999
"45",49.400002,50.014,49.063999,49.374001,18626000,49.374001
