"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"149",67.309998,67.75,67.029999,67.32,1057300,58.320789
"150",67.209999,67.599998,66.940002,67.239998,1108200,58.251488
"151",67.110001,67.330002,66.779999,67.150002,2096600,58.173512
"152",67.330002,67.440002,67.029999,67.349998,1865400,58.346779
"153",67.169998,67.379997,66.959999,67.080002,1642100,58.112873
"154",66.870003,67.389999,66.709999,66.980003,1260500,58.026237
"155",67.230003,68.029999,67.139999,67.980003,1597900,58.892578
"156",67.82,68.339996,67.529999,68.309998,1491600,59.17844
"157",68.440002,68.709999,67.709999,67.910004,1275400,58.831924
"158",67.800003,68.080002,67.529999,67.650002,1441900,58.606686
"159",67.529999,67.529999,66.919998,67.169998,2942300,58.190838
"160",67.290001,68.050003,67.019997,67.769997,975800,58.71064
"161",67.769997,68.059998,67.449997,67.739998,1021500,58.684635
"162",67.75,68.099998,67.709999,67.980003,1251400,58.892578
"163",68.129997,68.470001,67.879997,67.970001,1484300,58.883904
"164",68.07,68.25,67.889999,67.940002,1191200,58.857918
"165",67.989998,68.089996,66.93,67.370003,915500,58.364109
"166",67.410004,67.730003,67.010002,67.150002,1039400,58.173512
"167",67.07,67.309998,66.529999,67.309998,1323700,58.31213
"168",67.330002,67.43,66.82,67.150002,2363000,58.173512
"169",67.150002,67.559998,66.900002,66.989998,1399500,58.034893
"170",67.099998,67.209999,66.449997,67.139999,1641600,58.164848
"171",67.400002,67.529999,66.949997,67.220001,1904600,58.234161
"172",67.379997,67.849998,67.25,67.720001,3078200,58.667316
"173",67.580002,68.589996,67.580002,68.089996,1463800,58.987862
"174",68.199997,68.769997,68.059998,68.610001,1257700,59.438343
"175",68.379997,68.529999,66.970001,67.610001,1257200,58.572025
"176",67.550003,67.589996,67.139999,67.309998,1050000,58.31213
"177",67.379997,67.599998,66.980003,67.389999,1631100,58.381432
"178",67.239998,67.879997,67.080002,67.879997,3190200,58.80592
"179",67.82,68.160004,67.160004,67.339996,1518600,58.338108
"180",67.639999,67.639999,66.709999,66.830002,1854000,57.896286
"181",66.879997,67.190002,66.410004,66.720001,1278400,57.800991
"182",66.730003,66.910004,66.410004,66.470001,1611900,57.584419
"183",66.099998,66.269997,65.459999,65.879997,1822600,57.509342
"184",66,66.419998,65.889999,66.080002,1637700,57.683937
"185",66.150002,66.309998,65.989998,66.029999,1520700,57.640282
"186",65.839996,65.849998,65.440002,65.620003,1284100,57.282372
"187",65.669998,65.919998,65.470001,65.839996,1281400,57.474422
"188",65.75,66.099998,65.489998,65.93,1729200,57.552994
"189",66.089996,66.25,65.57,65.599998,1410200,57.264919
"190",65.650002,65.839996,65.169998,65.550003,1595900,57.221272
"191",65.639999,66.550003,65.459999,66.519997,1254100,58.068016
"192",66.699997,67.199997,66.360001,66.57,1377100,58.111664
"193",66.470001,66.470001,65.650002,66.419998,1327100,57.980736
"194",66.440002,66.57,66.110001,66.440002,1251100,57.998192
"195",66.540001,66.940002,66.279999,66.400002,1356200,57.963264
"196",66.400002,66.830002,66.360001,66.470001,1017200,58.024376
"197",66.480003,67.269997,66.339996,67.230003,1343600,58.687813
"198",67.610001,67.720001,67.239998,67.489998,1250600,58.914772
