"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"1",74.019997,74.019997,72.150002,72.709999,2517600,72.709999
"2",72.449997,73.790001,72.449997,73.019997,2199300,73.019997
"3",71.989998,73,70.309998,70.93,3579000,70.93
"4",70.980003,71.889999,69.75,71.370003,3648100,71.370003
"5",71.059998,72,70.879997,71.279999,1937700,71.279999
"6",71.470001,74.339996,71.440002,73.660004,3545200,73.660004
"7",75.510002,76.75,74.940002,75.040001,5185900,75.040001
"8",74.639999,75.639999,72.900002,74,4144400,74
"9",74.029999,74.75,73.889999,74.32,2949500,74.32
"10",73.940002,75.089996,73.550003,73.739998,4151500,73.739998
"11",73,74.93,72.410004,74,4568900,74
"12",74.059998,74.839996,73.260002,74.019997,2768100,74.019997
"13",74.300003,75.480003,74.089996,75.239998,2966200,75.239998
"14",74.660004,75.089996,72.639999,72.75,4420200,72.75
"15",73.080002,73.580002,72.660004,73.18,2665300,73.18
"16",73.580002,74.599998,73.040001,73.589996,2786800,73.589996
"17",74.470001,76,74.120003,75.379997,5429700,75.379997
"18",75.75,75.980003,74.040001,74.419998,4382500,74.419998
"19",72.989998,72.989998,70,71.720001,3905700,71.720001
"20",71.779999,71.779999,69.339996,70.470001,5455300,70.470001
"21",70.949997,71.860001,70.690002,71.480003,3414200,71.480003
"22",70.730003,72.339996,70.550003,72.139999,3104900,72.139999
"23",72.529999,73.25,72.050003,73.059998,2517900,73.059998
"24",73.400002,74.779999,72.779999,73.5,3934400,73.5
"25",73.959999,74,71.25,71.290001,4972000,71.290001
"26",71.5,71.769997,70.730003,71.699997,2970600,71.699997
"27",71.379997,73.300003,71.230003,72.980003,3759700,72.980003
"28",73.370003,73.370003,72.199997,72.599998,1942400,72.599998
"29",72.849998,74.160004,72.839996,73.839996,3283800,73.839996
"30",73.440002,73.879997,72,73.739998,2538100,73.739998
"31",75.290001,76.230003,74.82,75.75,5001600,75.75
"32",75.93,76.300003,75.099998,75.669998,2199200,75.669998
"33",75.489998,75.970001,74.599998,75.959999,1890800,75.959999
"34",75.900002,76.230003,74.419998,75.410004,2663500,75.410004
"35",75.209999,75.57,74.349998,75.43,1703600,75.43
"36",75.870003,76.459999,73.879997,74.559998,4967300,74.559998
"37",73.959999,75.110001,73.540001,75.080002,2056300,75.080002
"38",74.910004,75.519997,74.349998,75.279999,1897400,75.279999
"39",75.370003,75.370003,73.610001,74.089996,3003600,74.089996
"40",74.639999,76.650002,74.629997,75.389999,3726500,75.389999
"41",74.349998,74.739998,73.209999,73.279999,2862100,73.279999
"42",73.699997,75.989998,73.440002,75.589996,4247200,75.589996
"43",74.849998,74.849998,71.900002,73.139999,5898800,73.139999
"44",72.690002,73.230003,72.150002,72.639999,3764000,72.639999
"45",72.970001,73.650002,72.309998,73.440002,3508400,73.440002
"46",73.209999,74.599998,72.43,72.540001,3732200,72.540001
"47",72.330002,73.199997,71.639999,72.339996,4552700,72.339996
"48",72.190002,72.699997,69.660004,69.849998,6741900,69.849998
"49",69.379997,69.419998,66.339996,66.550003,8262400,66.550003
"50",65,68.370003,64.32,68.169998,11321600,68.169998
"51",67.900002,67.970001,66.440002,67.559998,8794400,67.559998
"52",67.82,67.910004,66.650002,66.790001,5837500,66.790001
"53",67.150002,68.050003,66.599998,67.489998,4326000,67.489998
"54",67.760002,67.870003,65.150002,65.279999,4923300,65.279999
"55",64.919998,66.959999,64.160004,66.949997,4928800,66.949997
"56",67.019997,68.559998,66.900002,67.5,4444400,67.5
"57",67.550003,68.510002,67.529999,67.93,2626900,67.93
"58",66.720001,68.739998,66.260002,68.370003,2943100,68.370003
"59",68.410004,71.089996,68.18,70.739998,4972900,70.739998
"60",70.449997,71,69.529999,69.849998,3409900,69.849998
"61",69.660004,70.959999,69.660004,70.779999,2462400,70.779999
"62",70.68,71.190002,70.449997,70.639999,2406800,70.639999
"63",70.690002,71.419998,69.419998,71.349998,2947500,71.349998
"64",70.760002,71.080002,69.580002,69.760002,2658300,69.760002
"65",70.230003,71.349998,69.809998,70.059998,2640300,70.059998
"66",70.160004,70.93,69.559998,70.220001,1874200,70.220001
"67",69.970001,71.019997,69.720001,70.879997,2471100,70.879997
"68",70.550003,72.099998,70.25,71.519997,3460400,71.519997
"69",70.150002,70.720001,68.360001,70.709999,17696500,70.709999
"70",71.650002,71.730003,69.690002,69.93,7622900,69.93
"71",69.900002,70.139999,69.07,69.07,5185200,69.07
"72",69.510002,70.809998,69.010002,70.769997,4761900,70.769997
"73",70.970001,70.980003,67.550003,67.75,11002900,67.75
"74",68.470001,69.790001,67.769997,69.290001,6768400,69.290001
"75",69.809998,70.089996,69.510002,69.800003,4103700,69.800003
"76",69.699997,69.889999,68.879997,69.559998,3274100,69.559998
"77",70.5,71.029999,70.150002,71,4638900,71
"78",71.400002,72.07,70.760002,70.970001,3519800,70.970001
"79",71.089996,71.919998,70.660004,71.330002,4739700,71.330002
"80",69.769997,70.760002,68.620003,70.699997,5512200,70.699997
"81",70.870003,71.260002,70,70.209999,2909300,70.209999
"82",70.559998,71.480003,70.239998,70.269997,3317400,70.269997
"83",70.43,73.989998,70.400002,73.940002,5434700,73.940002
"84",73.300003,74.449997,73.099998,74.209999,2690300,74.209999
"85",74.559998,75.169998,73.919998,74.910004,2886300,74.910004
"86",74.970001,75.360001,74.650002,75.300003,2166200,75.300003
"87",75.339996,75.849998,74.769997,74.980003,3082000,74.980003
"88",75.639999,79.150002,75.639999,78.550003,5841200,78.550003
"89",78.480003,78.959999,78.019997,78.550003,3308400,78.550003
"90",78.18,78.190002,76.529999,77.360001,2780900,77.360001
"91",76.75,77.449997,76.209999,76.410004,2051300,76.410004
"92",76.199997,78.339996,76.190002,77.790001,3461700,77.790001
"93",78.220001,79.099998,77.440002,79.059998,3320400,79.059998
"94",79.059998,79.059998,75.940002,76.18,5673000,76.18
"95",76.32,77.18,75.620003,75.980003,3559600,75.980003
"96",76.419998,78.339996,76.18,77.980003,4143600,77.980003
"97",78.440002,79.199997,78.370003,78.919998,2469100,78.919998
"98",79.110001,79.260002,78.419998,79.029999,1821900,79.029999
"99",79.139999,79.730003,78.580002,78.940002,1942000,78.940002
"100",79.18,81.540001,79.029999,81.410004,3647700,81.410004
"101",81.169998,81.959999,80.739998,81.25,2537300,81.25
"102",80.900002,80.949997,79.010002,79.25,3428700,79.25
"103",79.730003,79.959999,78.559998,79.669998,2523200,79.669998
"104",79.989998,80.989998,79.459999,80.980003,2458600,80.980003
"105",81.489998,83.040001,81.459999,82.029999,3206500,82.029999
"106",82.040001,82.339996,81.209999,81.669998,1840500,81.669998
"107",81.07,81.809998,80.650002,81.239998,2171000,81.239998
"108",79.669998,81.860001,78.349998,81.660004,6263100,81.660004
"109",81.660004,81.870003,80.199997,80.519997,4005600,80.519997
"110",80.959999,81.5,78.150002,78.830002,5285700,78.830002
"111",79.019997,79.080002,76.230003,77.730003,5146500,77.730003
"112",77.830002,78.599998,76.330002,77.480003,4073100,77.480003
"113",77.870003,77.919998,76.349998,77.559998,2479600,77.559998
"114",77.169998,77.379997,76.110001,77.339996,3560800,77.339996
"115",77.510002,77.720001,76.489998,76.779999,3165000,76.779999
"116",77.129997,78.760002,76.790001,78.629997,3336800,78.629997
"117",79.040001,79.339996,77.25,77.279999,2389100,77.279999
"118",77.620003,78.080002,76.970001,77.589996,2134400,77.589996
"119",78.370003,78.910004,77.080002,77.449997,3160100,77.449997
"120",77.480003,77.529999,76.550003,76.790001,4623400,76.790001
"121",76.870003,78.400002,76.550003,77.029999,2545100,77.029999
"122",77.080002,77.449997,75.940002,76,2767500,76
"123",76.510002,77.370003,76.300003,76.699997,2628800,76.699997
"124",76.82,77.480003,74.970001,75.440002,3524900,75.440002
"125",76.190002,76.190002,75.220001,75.25,3456500,75.25
"126",75.849998,76.650002,75.059998,75.080002,2390800,75.080002
"127",75.349998,76.860001,74.43,76.540001,4519500,76.540001
"128",76,78.529999,75.699997,77.709999,4312700,77.709999
"129",77.980003,79.290001,77.529999,78.940002,4200500,78.940002
"130",78.489998,79.120003,77.769997,78.260002,4082400,78.260002
"131",78.089996,78.190002,76.910004,76.919998,3516300,76.919998
"132",78.699997,80.809998,78.610001,80.529999,5053900,80.529999
"133",80.5,81.389999,79.669998,80.169998,3477700,80.169998
"134",80,80.169998,79.050003,79.849998,2127900,79.849998
"135",79.660004,80.120003,79.18,79.779999,2355400,79.779999
"136",79.300003,79.68,78.290001,78.900002,4118000,78.900002
"137",76.230003,76.699997,73.699997,74.239998,15491000,74.239998
"138",74.099998,74.25,72.029999,72.080002,8095700,72.080002
"139",72.190002,72.43,71.339996,71.57,5996000,71.57
"140",71.230003,71.879997,70.339996,70.43,4314400,70.43
"141",71.139999,71.279999,69.349998,69.480003,4696300,69.480003
"142",69.5,70.360001,69,70.239998,4442000,70.239998
"143",69.019997,69.019997,66.449997,68.089996,7925700,68.089996
"144",67.879997,68.269997,67.129997,67.879997,4989600,67.879997
"145",68.480003,68.650002,67.57,67.68,2509000,67.68
"146",68.150002,68.550003,67.550003,67.860001,2767800,67.860001
"147",68.010002,68.269997,66.93,67.440002,3191600,67.440002
"148",67.440002,68.489998,67.309998,68.190002,3752000,68.190002
"149",68.370003,69.309998,68.18,68.910004,3278000,68.910004
"150",69.089996,69.290001,68.360001,68.389999,3095700,68.389999
"151",68.150002,68.720001,67.529999,67.790001,2640700,67.790001
"152",67.379997,67.970001,66.800003,67.059998,3533500,67.059998
"153",66.82,66.959999,65.110001,65.239998,4966400,65.239998
"154",65.57,66.230003,65.029999,65.870003,3512600,65.870003
"155",66.5,67.279999,66.410004,66.709999,3366100,66.709999
"156",67.019997,67.300003,66.480003,66.959999,2162800,66.959999
"157",66.769997,67.440002,66.769997,66.919998,1972400,66.919998
"158",66.699997,66.839996,64.589996,64.699997,3905600,64.699997
"159",64.769997,65.489998,64.269997,64.75,3197000,64.75
"160",64.730003,65.330002,64.5,64.849998,2899400,64.849998
"161",64.919998,65.32,64.18,64.699997,3703200,64.699997
"162",64.360001,64.529999,62.619999,62.830002,4920200,62.830002
"163",63.290001,63.290001,61.310001,61.48,4637400,61.48
"164",61.700001,63.529999,61.57,63.360001,4620500,63.360001
"165",63.209999,63.240002,62.369999,63.150002,4138000,63.150002
"166",62.110001,63.360001,62.049999,62.889999,5212800,62.889999
"167",62.73,62.759998,61.939999,62.02,4694700,62.02
"168",62.490002,63.040001,61.889999,61.959999,3909300,61.959999
"169",62.540001,62.73,61.66,62.43,3868400,62.43
"170",62,63.080002,61.099998,61.099998,5522500,61.099998
"171",58.93,60.380001,57.740002,60.330002,10848800,60.330002
"172",60.380001,60.880001,58.450001,58.580002,6936500,58.580002
"173",58.48,59.09,58.330002,58.380001,4086000,58.380001
"174",59.060001,60.68,58.830002,60.459999,6732700,60.459999
"175",60.619999,61.400002,60.029999,61.240002,5374400,61.240002
"176",61.240002,61.98,60.599998,61.66,4823100,61.66
"177",61.669998,61.669998,60.900002,61.25,4067000,61.25
"178",59.799999,60.240002,59.130001,59.799999,10105100,59.799999
"179",59.849998,59.98,58.049999,58.110001,6514100,58.110001
"180",58.09,58.740002,57.5,57.540001,5330100,57.540001
"181",57.580002,58.830002,57.34,58.060001,5521700,58.060001
"182",58.18,58.950001,57.700001,58.529999,4222900,58.529999
"183",58.560001,59.310001,58.299999,58.799999,4279700,58.799999
"184",58.689999,59.48,58.52,59.439999,4728100,59.439999
"185",59.560001,60.09,59.299999,59.68,3977200,59.68
"186",59.990002,61,59.689999,60.919998,4891300,60.919998
"187",60.82,61.889999,60.790001,61.16,4063000,61.16
"188",61.220001,61.490002,60.759998,60.880001,3995500,60.880001
"189",60.900002,61.099998,59.990002,60.43,4460300,60.43
"190",60.380001,64.230003,60.200001,64.139999,6821700,64.139999
"191",64.639999,65.779999,64.339996,64.470001,5469400,64.470001
"192",64.360001,64.580002,63.720001,64.32,4059900,64.32
"193",64.330002,65.980003,64.139999,65.25,3979600,65.25
"194",65.260002,65.470001,64.389999,64.699997,2728800,64.699997
"195",67.82,69.620003,67.410004,67.720001,10299500,67.720001
"196",67.800003,68.760002,67.139999,67.400002,6701100,67.400002
"197",67.169998,67.550003,66.589996,66.639999,3431900,66.639999
"198",66.589996,67.610001,66.589996,67.57,4082100,67.57
"199",67.639999,67.709999,66.730003,66.949997,3901700,66.949997
"200",67.120003,67.940002,66.800003,67.510002,4806900,67.510002
"201",67.550003,68.480003,67.440002,67.989998,5309300,67.989998
"202",66.389999,66.720001,59.560001,59.779999,29908900,59.779999
"203",60,61.150002,59.34,59.900002,10397400,59.900002
"204",60.040001,60.07,58.869999,59.099998,6910600,59.099998
"205",58.900002,60.07,58.040001,59.91,8758200,59.91
"206",60.41,60.580002,59.419998,59.919998,6596500,59.919998
"207",60.259998,61.330002,59.470001,59.950001,9846800,59.950001
"208",60.150002,60.790001,59.619999,60.25,4894500,60.25
"209",59.779999,59.990002,58.650002,59.040001,5278900,59.040001
"210",59.029999,59.200001,58.459999,58.48,5161700,58.48
"211",58.200001,58.939999,58.110001,58.639999,4799000,58.639999
"212",58.439999,58.869999,58.130001,58.27,3872100,58.27
"213",58.41,59.82,58.150002,59.650002,4924800,59.650002
"214",59.439999,60.790001,59.259998,59.919998,3948900,59.919998
"215",60.009998,60.189999,58.639999,58.709999,3681300,58.709999
"216",58.549999,59.299999,58.389999,58.919998,2651400,58.919998
"217",58.419998,58.98,57.93,58.389999,3571100,58.389999
"218",58.34,59.18,58.290001,58.52,3180000,58.52
"219",58.220001,58.549999,57.720001,57.810001,4480000,57.810001
"220",57.700001,57.990002,56.599998,57.200001,5187700,57.200001
"221",56.990002,57.689999,56.509998,57.490002,4940200,57.490002
"222",58.07,58.759998,57.59,58.68,3133300,58.68
"223",58.41,58.59,57.799999,58.200001,4260100,58.200001
"224",58.259998,58.830002,57.82,58.759998,3108400,58.759998
"225",58.860001,59.77,58.779999,59.709999,2871200,59.709999
"226",59.389999,60,59.27,59.689999,1804600,59.689999
"227",59.619999,59.75,59.25,59.43,1196700,59.43
"228",59.439999,59.540001,58.93,59.09,2896300,59.09
"229",59.16,60.380001,59,60.189999,4149400,60.189999
"230",60.599998,62.290001,60.389999,62.09,6093300,62.09
"231",62.25,63.84,62.080002,63.32,4993000,63.32
"232",63.200001,63.490002,61.84,62.57,4461900,62.57
"233",63.689999,64.330002,62.549999,62.59,5054300,62.59
"234",62.59,62.720001,61.84,62.200001,2635100,62.200001
"235",62.16,62.599998,61.779999,62.189999,3078600,62.189999
"236",62.279999,63.779999,61.84,63.529999,3790500,63.529999
"237",65.230003,65.290001,63.380001,63.549999,5162000,63.549999
"238",63.689999,64.690002,63.48,64.239998,4067600,64.239998
"239",64.449997,64.519997,63.360001,63.360001,2827900,63.360001
"240",63.52,63.740002,62.450001,63.029999,3727300,63.029999
"241",63.5,64.040001,62.709999,63.130001,5827700,63.130001
"242",63.619999,64.470001,63.259998,63.759998,6744300,63.759998
"243",64.120003,64.760002,63.709999,64.559998,3710100,64.559998
"244",64.830002,64.989998,64.330002,64.43,3339400,64.43
"245",65.330002,66.269997,65.040001,65.900002,4566600,65.900002
"246",66.169998,67.629997,66.150002,67.279999,4555000,67.279999
"247",67.440002,67.480003,67.110001,67.25,2154600,67.25
"248",66.940002,67.720001,66.480003,67.349998,2347300,67.349998
"249",67.620003,67.620003,66.610001,67.120003,2939900,67.120003
"250",67.120003,67.57,66.879997,67.540001,2454400,67.540001
"251",67.68,67.989998,67.370003,67.400002,3079500,67.400002
"252",67.900002,69.010002,67.379997,68.940002,3390600,68.940002
"253",68.940002,69.370003,67.82,68.489998,4590900,68.489998
"254",68.690002,69.370003,67.639999,69.260002,3922900,69.260002
"255",69.400002,69.400002,68.769997,69.360001,2675900,69.360001
"256",69.370003,69.370003,68.010002,68.510002,4277900,68.510002
"257",68.5,69.760002,68.389999,68.480003,3057000,68.480003
"258",70.980003,73.150002,70.449997,73.080002,9380400,73.080002
"259",73.610001,77.089996,73.25,76.449997,6913400,76.449997
"260",76.739998,78.839996,76.480003,78.400002,4479300,78.400002
"261",78.349998,79,76.800003,77.489998,3912400,77.489998
"262",77.529999,77.610001,76.480003,76.580002,2950400,76.580002
"263",76.599998,77.099998,75.989998,76.300003,3442200,76.300003
"264",76.82,76.839996,75.800003,76.5,3994600,76.5
"265",76.599998,76.879997,75.5,76.870003,3010700,76.870003
"266",77.099998,78.209999,76.400002,77.970001,5115800,77.970001
"267",71.43,72,68.07,69.050003,27117200,69.050003
"268",69.360001,69.400002,65.800003,66.080002,16960300,66.080002
"269",66.330002,66.769997,65.440002,66.559998,6503500,66.559998
"270",66.220001,66.75,65.459999,65.779999,5414800,65.779999
"271",66.260002,67.519997,65.779999,67.010002,7802300,67.010002
"272",67.739998,69.089996,67.32,67.82,6234800,67.82
"273",67.220001,67.949997,66.230003,67.150002,5603300,67.150002
"274",66.629997,66.889999,65.480003,65.68,4189800,65.68
"275",65,65.440002,63.279999,63.400002,5433800,63.400002
