"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"756",205.630005,207.839996,203.190002,206.820007,895400,200.475739
"757",204.75,206.979996,203.720001,206.910004,734100,200.563004
"758",206.899994,207.440002,205,206.490005,699500,200.155869
"759",207.130005,207.539993,205.699997,206.630005,711500,200.291595
"760",207.080002,208.130005,205.5,207.130005,587500,200.77623
"761",207,208.130005,204.720001,205.309998,802100,199.01207
"762",205.529999,208.470001,204.5,208.080002,749100,201.697113
"763",207.660004,209.050003,206.220001,206.759995,719100,200.417587
"764",205.940002,207.990005,204.020004,205.339996,983800,199.041138
"765",206.350006,208.130005,205.970001,207.75,515800,201.377228
"766",207.570007,209.75,206.949997,207,859200,200.650238
"767",205.899994,206.429993,201.229996,202.050003,1016700,195.852051
"768",202.479996,203.279999,198.440002,198.740005,1005500,192.6436
"769",197.669998,202.279999,195.619995,201.809998,1221900,195.619415
"770",202.029999,202.029999,196.589996,198.279999,659700,192.197708
"771",194.089996,195.720001,192.5,194.020004,815300,188.06839
"772",195.570007,198.380005,194.199997,196.800003,1020500,190.763138
"773",198,201.190002,197.940002,199.020004,1389900,192.915009
"774",205.119995,209.289993,199.929993,205.149994,2165600,198.856979
"775",202.529999,202.529999,194.070007,195.690002,1947600,189.687149
"776",196.639999,203.380005,195.949997,198.130005,1185300,192.052322
"777",202.240005,207.490005,202.240005,206.119995,1161800,199.797211
"778",209.479996,210.770004,207.199997,210.440002,947500,203.984695
"779",210.130005,210.179993,206.789993,209.850006,967000,204.266998
"780",207.929993,209.210007,206.699997,207.820007,947300,202.290985
"781",206.539993,209.610001,206.25,209.449997,501800,203.877609
"782",211.320007,213.679993,210.539993,212.25,586800,206.603134
"783",214.490005,215.399994,213.309998,213.910004,679600,208.218979
"784",212.259995,214.330002,211.5,213.029999,575600,207.362381
"785",213.130005,213.339996,210.600006,211.839996,535200,206.204041
"786",210.669998,211.350006,208.259995,210.580002,800200,204.97757
"787",211.160004,212.759995,210.610001,211.779999,904900,206.145645
"788",211.229996,215.940002,210.869995,215.279999,946100,209.552536
"789",213.800003,215.270004,211.740005,215.199997,702100,209.474655
"790",207.199997,208.039993,201.5,203.110001,1294800,197.706314
"791",204.029999,204.820007,193.919998,194.479996,1308100,189.305908
"792",196.429993,197.610001,189.369995,189.669998,2268100,184.623871
"793",184.919998,193.100006,181.729996,185.910004,1722200,180.963913
"794",179.119995,184.770004,176.300003,184.770004,2e+06,179.854248
"795",186.199997,193.029999,182.75,192.589996,1122000,187.466187
"796",192.009995,198.809998,185.820007,186.509995,1184000,181.547943
"797",189.589996,194.979996,187.25,194.570007,1584900,189.393524
"798",186.919998,188.410004,177.460007,178.440002,1920400,173.692657
"799",173.199997,174.410004,163.479996,164.990005,3336000,160.600479
"800",150,152.369995,138.410004,146.479996,3002000,142.582932
"801",152.759995,160.070007,146.110001,160.070007,2398200,155.811371
"802",154.279999,155.179993,144.389999,147.660004,1911800,143.731552
"803",136.179993,137.860001,126.190002,130.399994,2611700,126.930725
"804",139.289993,142.5,128.639999,140.320007,2826600,136.586807
"805",127,128.320007,117.169998,117.760002,2362900,114.627022
"806",119.690002,124.150002,110.029999,123.019997,2153400,119.747078
"807",113.57,117.360001,93,102.489998,2315700,99.763283
"808",101.010002,106.5,94.18,104.230003,1874600,101.456985
"809",107.779999,117.830002,101.699997,102.43,2388900,99.704865
"810",100.75,102.610001,93.510002,97.559998,1676300,94.964439
"811",105.449997,116.279999,104.43,115.529999,1928300,112.456352
"812",118.650002,134.990005,113.25,126.529999,2843000,123.163704
"813",128.910004,132.759995,123.050003,130.550003,2232600,127.076752
"814",125.379997,126.150002,118.110001,121.279999,2398500,118.053383
"815",123.239998,131.460007,119.75,130.350006,1767700,126.882072
"816",129.139999,135.210007,127.150002,129.729996,2520500,126.278564
"817",120.82,122.489998,113.800003,116.089996,2335200,113.00145
"818",115.790001,125.389999,115.110001,118.839996,1460400,115.678291
"819",118.410004,120.150002,114.019997,115.809998,1212600,112.728897
"820",126.529999,131.610001,123.419998,130.770004,1373500,127.290886
"821",138.320007,143.490005,132.279999,132.360001,1790300,128.838577
"822",134.100006,142.600006,133.830002,141.389999,1218300,137.628342
"823",145.270004,148.830002,141.440002,145.169998,1448100,141.3078
"824",142.440002,143.929993,136.009995,138.910004,1094100,135.21434
"825",142.740005,144.729996,139.610001,142.110001,922200,138.329208
"826",133.270004,136.029999,130.25,131,2332800,127.514778
"827",131.479996,132.190002,123.32,126,3105100,122.647804
"828",131.949997,139.649994,131.289993,138.600006,1716700,134.912613
"829",134.070007,137.320007,131.289993,134.369995,1544500,130.795105
"830",129.860001,132.289993,128.869995,130.419998,1142800,126.950195
"831",135.059998,135.369995,131.419998,132.600006,997600,129.07222
"832",134.600006,137.419998,131.940002,132.449997,970400,128.926208
"833",134.130005,136.039993,130.679993,134.949997,1052400,131.35968
"834",136.220001,142.889999,135.309998,141.699997,1092800,137.930084
"835",146.759995,149.350006,144.800003,146.449997,1688500,142.553757
"836",156.889999,160.770004,154.009995,156.860001,2449100,152.686783
"837",158.009995,160.009995,153.039993,158.119995,2425400,153.913239
"838",157.410004,160,148.720001,153.080002,1692500,149.007339
"839",149.589996,157.690002,148.020004,156.630005,1820500,152.462921
"840",158.619995,160.25,152.839996,153.550003,1405200,149.464828
