"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"1",50.499058,51.06403,49.981167,50.282486,4067672,44.594666
"2",50.59322,50.913372,50.22599,50.583805,4249593,44.8619
"3",50.112995,50.150658,49.293785,50.131828,3393302,44.46106
"4",50,50.216572,49.642185,50.075329,2974981,44.410942
"5",50.094162,50.216572,49.717514,49.839924,2293177,44.202168
"6",50,50.706215,49.952919,50.131828,2943864,44.46106
"7",50.131828,50.131828,49.011299,49.453861,3897752,43.859776
"8",48.559322,49.048965,48.342751,48.804142,4443302,43.28355
"9",48.964218,49.227871,48.097927,48.333332,3151060,42.865993
"10",48.568737,49.661018,48.549908,49.096046,4518810,43.542431
"11",49.293785,49.322033,47.542374,47.928436,6067312,42.506901
"12",48.314503,48.945385,48.145008,48.483994,6067312,42.999611
"13",48.606403,49.048965,48.549908,48.822975,3380027,43.300247
"14",48.747646,49.265537,48.333332,49.05838,4333703,43.509026
"15",49.001884,49.849342,48.964218,49.604519,2924323,43.993397
"16",49.87759,50.075329,49.500942,49.538605,3328414,43.934929
"17",49.623352,49.745762,48.794727,48.973637,2872922,43.433868
"18",49.086628,49.105461,47.532955,47.806026,4718572,42.398338
"19",47.777779,48.408665,47.429379,48.352165,3954569,42.882706
"20",47.241055,48.493408,46.751411,48.474575,6752727,42.991257
"21",47.787193,48.408665,47.52354,47.655369,5544065,42.264721
"22",47.241055,48.29567,46.911488,47.740112,5309788,42.339874
"23",47.410545,47.410545,46.167606,46.666668,8054845,41.387859
"24",46.572506,47.062145,46.35593,46.478344,4253735,41.220844
"25",46.53484,46.619587,45.367233,45.499058,7027254,40.352325
"26",45.621468,46.365349,45.24482,46.224106,4646462,40.995365
"27",46.224106,46.949154,46.195858,46.581921,3260871,41.312702
"28",46.845573,47.740112,46.751411,47.382298,4531023,42.022537
"29",47.580036,47.937855,47.325802,47.448212,4960921,42.081001
"30",47.165726,48.013184,47.015064,47.900188,3899983,42.481846
"31",47.627117,47.711864,47.146893,47.570621,6069649,42.189568
"32",47.975517,48.248589,47.222221,47.429379,7449930,42.064301
"33",48.276836,49.783428,47.401131,49.604519,9385319,43.993397
"34",49.75518,50.009415,49.209042,49.359699,5870524,43.776268
"35",49.811676,50.790958,49.811676,50.376648,5819548,44.678177
"36",50.499058,50.800377,49.425613,49.482109,5158240,43.884827
"37",49.75518,50.517891,49.265537,49.962334,4856845,44.310722
"38",49.962334,50.376648,49.87759,49.971752,3466049,44.319088
"39",49.924671,50.047081,49.096046,49.387947,4143181,43.801315
"40",49.604519,49.962334,49.133709,49.745762,4434062,44.118656
"41",50.094162,50.263653,49.642185,50.22599,4151889,44.544563
"42",50.546139,50.640301,49.425613,49.519775,4614709,43.918236
"43",49.548023,50.094162,49.472694,49.915253,3111766,44.268974
"44",49.463276,49.849342,49.246704,49.548023,3169964,43.943287
"45",49.491524,49.905838,49.152542,49.726929,2385677,44.456795
"46",49.661018,49.87759,49.331451,49.585686,2312186,44.330524
"47",49.75518,50.009415,49.689266,49.839924,2550181,44.557812
"48",50,50.24482,49.604519,50,3449270,44.700932
"49",49.962334,50.489643,49.962334,50.150658,3179628,44.835621
"50",49.868172,50.894539,49.868172,50.734463,4271364,45.357548
"51",50.687382,51.18644,50.583805,50.988701,3267668,45.584843
"52",51.148777,51.337101,50.800377,50.800377,8706807,45.416485
"53",50.875706,51.139359,50.404896,50.725048,5334320,45.349144
"54",50.696796,50.743877,49.227871,49.952919,5677027,44.658829
"55",49.670433,50.037666,49.387947,49.990585,3671971,44.692509
"56",50.517891,51.092278,50.357815,50.725048,4808736,45.349144
"57",50.772129,51.073444,50.574387,50.903954,4458807,45.509083
"58",50.508476,51.685497,50.404896,51.497173,4483233,46.039425
"59",51.487759,52.438793,51.35593,52.090397,4884457,46.569782
"60",52.250469,52.984936,52.128059,52.919022,3488458,47.310581
"61",52.532955,52.532955,50.668549,50.969868,6363079,45.568005
"62",51.054615,51.892654,50.979282,51.76083,4737901,46.275146
"63",51.939735,52.269302,51.403011,51.450092,3629173,45.997341
"64",51.271187,51.525425,50.489643,50.790958,3273296,45.408058
"65",50.922787,51.158192,50.59322,50.696796,3773923,45.323887
"66",50.828625,51.82674,50.696796,51.026363,3459465,45.618511
"67",50.969868,51.261768,50.809792,51.035782,3053144,45.62693
"68",51.214687,51.939735,51.195858,51.506592,2687072,46.047855
"69",51.487759,51.873821,51.384182,51.845573,2705976,46.35091
"70",51.657249,52.23164,51.544254,51.82674,5529197,46.334064
"71",51.892654,52.259888,51.581921,51.600754,3310254,46.132023
"72",51.779659,51.967983,51.619587,51.82674,2842124,46.334064
"73",51.619587,52.052731,51.53484,51.939735,2456087,46.435085
"74",52.17514,52.608288,52.00565,52.278721,2469575,46.738148
"75",52.47646,53.286251,52.429379,53.145008,3317582,47.512623
"76",53.107346,53.201508,52.382298,52.589455,3571718,47.015942
"77",53.145008,53.201508,52.608288,52.655369,5670124,47.074871
"78",52.956684,53.022598,52.325802,52.834274,3489201,47.234829
"79",53.041431,53.907722,52.919022,53.521656,3482829,47.849358
"80",53.719398,54.623352,53.521656,54.472694,5112680,48.699593
"81",52.485874,53.11676,51.318268,51.440678,8022348,45.988918
"82",51.421844,51.53484,49.811676,49.830509,6566665,44.549397
"83",49.990585,50.621468,49.849342,50.3484,5811476,45.012402
"84",50.451977,50.536724,49.726929,50.3484,4765300,45.012402
"85",50.508476,51.082863,50.254238,50.866291,3022983,45.47541
"86",51.007534,51.459511,51.007534,51.29002,2472655,45.854225
"87",51.299435,52.033897,51.299435,51.751411,2505046,46.26672
"88",51.845573,52.532955,51.845573,52.335217,3906567,46.788658
"89",52.23164,52.467045,51.723164,52.325802,3123342,46.780243
"90",51.88324,52.024483,50.960453,51.676083,4710501,46.199379
"91",51.440678,51.440678,50.564972,50.847458,3549098,45.458569
"92",50.94162,51.120525,50.555557,50.649719,2216500,45.281792
"93",50.423729,50.423729,49.322033,49.331451,4248319,44.10323
"94",49.331451,49.359699,48.229755,48.606403,4220813,43.455021
"95",48.766479,49.039547,48.380413,48.738232,3046772,43.572884
"96",48.775894,49.463276,48.258003,49.340866,2821415,44.111656
"97",49.463276,50.075329,49.293785,49.764595,2670824,44.490467
"98",49.830509,50.141243,49.698681,49.896423,2680913,44.608322
