"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
"457",163.5,167.020004,158.850006,159.179993,1418200,155.885956
"458",159.410004,164.410004,157.130005,163.169998,1350400,159.793411
"459",161.699997,165.520004,160.210007,164.550003,1668600,161.144836
"460",166.710007,168.520004,162.910004,164.869995,1627400,161.458221
"461",165.160004,165.619995,163.179993,164.970001,1020000,161.556183
"462",166.089996,166.089996,159.669998,159.759995,1749400,156.453949
"463",159.960007,164.350006,158.100006,163.509995,1018400,160.126343
"464",165.020004,165.690002,163.720001,165,1089200,161.585526
"465",165.240005,166.110001,163.289993,165.110001,1250700,161.693237
"466",166.559998,168.789993,165.690002,168.089996,1085900,164.611572
"467",169.210007,170.559998,167.080002,170.509995,888700,166.981506
"468",170.119995,173.690002,169.449997,172.449997,1354200,168.881363
"469",172.660004,174.710007,170.690002,171.179993,1202300,167.637634
"470",170.330002,170.899994,166.190002,167.059998,1522400,163.602875
"471",184.070007,185.5,177.509995,184.720001,3662700,180.89743
"472",185.990005,186.149994,177.610001,177.679993,1806900,174.003143
"473",176.880005,180.440002,174.800003,179.050003,1026600,175.344772
"474",177.550003,179.490005,176,179.210007,876000,175.50145
"475",179.149994,182.490005,176.899994,177.75,856700,174.071671
"476",174.050003,177.669998,171.119995,171.529999,891900,167.980392
"477",171.5,176.089996,171.410004,174.669998,893700,171.055374
"478",173.699997,178.529999,173.660004,177.240005,325700,173.572235
"479",178.910004,180.770004,176.919998,177.720001,658800,174.042313
"480",176.649994,181.419998,176.600006,179.270004,701700,175.560226
"481",178.850006,180.789993,177.949997,178.949997,1086600,175.246857
"482",177.910004,179.179993,177.339996,177.669998,747800,173.993332
"483",177.779999,178.910004,175.009995,177.710007,1399600,174.032532
"484",178.970001,179.789993,174.850006,177.889999,895200,174.208786
"485",180.119995,181.729996,175.619995,178.190002,1549500,174.502594
"486",176.309998,177,170.75,175.759995,1226600,172.122849
"487",174.619995,177.259995,167.380005,167.589996,761800,164.121933
"488",167.809998,167.820007,163.410004,166.169998,1471200,162.731339
"489",167.679993,168.889999,165.009995,165.800003,861200,162.368973
"490",166.949997,168.860001,166.119995,166.979996,1461100,163.524551
"491",166.820007,167.979996,165.130005,166.289993,1008100,162.848831
"492",165.300003,168.380005,163.399994,163.779999,968600,160.390778
"493",162.610001,162.729996,158.130005,158.839996,1223800,155.553009
"494",160,162.889999,157.830002,158.240005,1312500,154.965393
"495",158.710007,160.490005,155.429993,156.119995,1174300,152.889297
"496",155.279999,156.149994,150.649994,152.5,1804900,149.401642
"497",151.570007,155.889999,150.339996,151.410004,1872900,148.333786
"498",151.029999,152,148.369995,148.919998,649100,145.894363
"499",149.720001,155.130005,149.029999,155.029999,962600,151.880219
"500",153.440002,154.770004,149.580002,154.690002,1123400,151.547119
"501",155.339996,157.300003,153.639999,155.460007,1009500,152.301498
"502",156.050003,157.679993,154.990005,157.460007,752500,154.26088
"503",156.160004,159.919998,153.820007,157.919998,1291000,154.711517
"504",158.229996,164.070007,157.740005,162.850006,1514700,159.541321
"505",164.169998,164.5,158.479996,158.809998,1423000,155.58342
"506",161.679993,163.570007,156.830002,161.139999,2088300,157.866089
"507",162.009995,162.949997,157.179993,160.020004,1604700,156.768845
"508",162.679993,165.789993,161.229996,164.429993,1429900,161.089218
"509",163.029999,165.229996,160.759995,165.070007,999100,161.716248
"510",164.509995,166.429993,159.25,159.419998,1299600,156.181
