"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"677",117.559998,117.989998,112.419998,114.32,2555300,112.429741
"678",114.660004,119.68,114.080002,117.080002,2728900,115.144096
"679",118.540001,120.230003,117.190002,117.459999,1700700,115.517815
"680",115.540001,117.300003,115.120003,116.599998,1455000,114.672043
"681",114.959999,115.199997,112.599998,113.93,3429700,112.046188
"682",113.800003,114.629997,111.669998,112.900002,1861900,111.033218
"683",113,113.75,110.620003,111.480003,1980000,109.636703
"684",111.57,112.480003,108.349998,108.75,1917000,106.951836
"685",107.139999,109,106.75,108.110001,1940800,106.322418
"686",111.809998,112.949997,109.169998,109.360001,3313700,107.55175
"687",109.370003,111.540001,108.099998,111,1519200,109.164635
"688",110.5,111.879997,109.559998,110.349998,1760400,108.525375
"689",111.269997,113.480003,107.5,108.25,2470900,106.460106
"690",108.839996,109.629997,108,108.720001,1499900,106.922333
"691",108.910004,112.019997,108.720001,109.919998,1631100,108.102486
"692",109.339996,111.760002,108.160004,111.190002,1951800,109.351486
"693",110.809998,111,107.360001,109.860001,1405700,108.04348
"694",110.029999,110.029999,107.199997,108.910004,1668700,107.1092
"695",107.690002,107.849998,104.370003,107.019997,2432400,105.250435
"696",105.639999,106.07,102.440002,102.57,2382600,100.874023
"697",104.080002,105,103.029999,104.419998,1533300,102.693428
"698",104.419998,108.300003,103.599998,106.059998,1716000,104.306305
"699",107.980003,114.150002,107.760002,112.779999,3198400,110.915199
"700",112.559998,112.879997,110.889999,112.32,1026500,110.462807
"701",112.550003,116.220001,111.660004,114.879997,1695600,112.980476
"702",113.470001,115.75,113.43,113.830002,1474900,111.947845
"703",114.739998,114.830002,113.389999,114.050003,1811500,112.164207
"704",113.809998,115.059998,113.089996,113.519997,1188100,111.64296
"705",114.25,117.029999,114.190002,116.870003,1348800,114.937569
"706",117.559998,117.879997,115.080002,115.699997,987400,113.786919
"707",115.169998,116.949997,114,115.860001,879200,113.944275
"708",116.889999,119.160004,115.75,117.110001,1065600,115.173607
"709",116.550003,121.040001,116.550003,120.849998,1628100,118.851761
"710",121.699997,123.43,121.410004,123,1433400,120.966217
"711",120.139999,121.790001,119.489998,120.220001,1235900,118.232185
"712",120.269997,124.400002,118.75,123.720001,2754600,121.674309
"713",122.870003,123.18,119.349998,121.339996,1543700,119.333656
"714",122.93,123.389999,120.949997,123.190002,1383800,121.153076
"715",125,127.040001,124.809998,126.720001,2228900,124.62471
"716",126.709999,128.220001,125.919998,126.599998,1168000,124.506691
"717",127.099998,127.099998,121.730003,122.559998,2067300,120.533493
"718",125.449997,128.550003,124.660004,125.489998,3107500,123.415039
"719",124.739998,127.209999,123.599998,126.470001,1397000,124.378838
"720",123.919998,124.480003,120.589996,121.620003,1853800,119.609032
"721",122.18,122.760002,120.669998,120.739998,1155700,118.743576
"722",119,119.610001,117.790001,118.839996,1380800,117.851067
"723",118.839996,119.739998,118.300003,118.68,1120000,117.692398
"724",119.050003,119.199997,116.639999,117.699997,1743900,116.720551
"725",116.540001,120.230003,115.120003,120.150002,1592700,119.150169
"726",121.059998,121.099998,118.769997,120.25,1319800,119.249336
"727",119.599998,120.940002,116.169998,117.550003,1818400,116.571808
"728",117.650002,119.300003,117.169998,118.349998,1456900,117.365143
"729",119.93,119.93,118.559998,119.160004,1301600,118.168411
"730",119.769997,124,119.529999,123.970001,1752400,122.938385
"731",123.900002,124.199997,121.300003,121.550003,1322700,120.538521
"732",121.860001,123.419998,121.349998,121.970001,753600,120.955025
"733",120.879997,121.510002,120.18,120.849998,772700,119.844345
"734",120.779999,122.050003,119.190002,119.389999,1672200,118.396492
"735",116.699997,116.870003,114.019997,116.599998,1856900,115.629707
"736",117.68,119.07,117.550003,118.739998,1291800,117.7519
"737",119.290001,119.800003,117.519997,118.269997,819100,117.285812
"738",119.550003,121.900002,119.120003,121.68,1171900,120.667435
"739",121.360001,123.010002,120.379997,120.389999,1830700,119.388168
"740",120.82,121.160004,119.230003,119.410004,906000,118.416328
"741",119.550003,121.150002,119.489998,120.830002,2014200,119.824509
"742",122.400002,132.570007,122.300003,132.270004,4740900,131.169312
"743",131.240005,134.190002,128.820007,129.779999,2820900,128.700027
"744",130.330002,132.460007,130.160004,130.940002,2308800,129.850388
"745",131.940002,133.759995,130.759995,133.5,1988100,132.389084
"746",138,139.979996,135.190002,138.710007,4885200,137.555725
"747",138.610001,140.350006,137.899994,139.839996,2476600,138.676315
"748",140.5,140.5,137.190002,138.050003,5785000,136.901215
"749",139.149994,140.630005,138.520004,140.229996,1604300,139.063065
