"","GRMN.Open","GRMN.High","GRMN.Low","GRMN.Close","GRMN.Volume","GRMN.Adjusted"
"1",48.529999,49.360001,48.529999,49.189999,1145500,42.941994
"2",49.25,50.049999,49.25,49.830002,1524900,43.500698
"3",49.82,49.82,49.049999,49.490002,886900,43.20388
"4",49.389999,49.790001,48.84,49.040001,1013700,42.811054
"5",49.02,49.040001,48.07,48.09,1507100,41.981712
"6",48.060001,48.360001,47.66,47.93,1461500,41.842041
"7",47.740002,48.279999,47.740002,48.259998,916800,42.130123
"8",48.029999,48.630001,47.720001,48.369999,895500,42.226147
"9",48.560001,48.84,48.34,48.52,754500,42.35709
"10",48.450001,48.639999,47.700001,47.939999,743200,41.850761
"11",47.93,48.189999,47.669998,47.759998,754200,41.693619
"12",47.830002,48.169998,47.459999,47.610001,594300,41.562687
"13",47.740002,48.07,47.400002,47.869999,869400,41.78965
"14",47.919998,48.259998,47.720001,48.18,1215200,42.060276
"15",48.650002,49.119999,48.220001,49.080002,1250300,42.845966
"16",49.029999,49.91,49.029999,49.75,1434700,43.430855
"17",49.790001,49.900002,49.040001,49.080002,1070700,42.845966
"18",49.110001,49.259998,48.709999,49,858700,42.776131
"19",48.73,48.73,47.150002,47.349998,1757000,41.335705
"20",47.470001,48.310001,47.029999,48.290001,4925400,42.156307
"21",48.419998,48.720001,47.799999,48.130001,1377100,42.016636
"22",48.200001,49.82,48.110001,49.799999,1886300,43.474514
"23",49.77,50.040001,49.509998,49.84,1306500,43.509434
"24",49.34,50.310001,49.34,50.259998,1325600,43.876083
"25",50.349998,50.5,49.419998,49.529999,1040000,43.238804
"26",49.5,49.5,48.619999,48.849998,1493000,42.645176
"27",48.75,49.259998,48.68,49.130001,738900,42.889618
"28",49.099998,50.060001,49,49.779999,913700,43.457054
"29",50,50.869999,49.779999,50.34,849300,43.945915
"30",50.32,50.450001,50.009998,50.25,772300,43.867363
"31",50.240002,50.84,50.049999,50.82,1008500,44.364952
"32",50.73,50.959999,50.5,50.950001,965800,44.478436
"33",50.689999,51.09,50.450001,50.810001,1309400,44.356224
"34",50.82,51.470001,50.299999,50.450001,3161600,44.04195
"35",54.299999,55.740002,53.110001,54.150002,10284800,47.271984
"36",54.5,54.91,52.209999,52.310001,2547200,45.665707
"37",52.18,53.09,51.650002,53.029999,1299700,46.294247
"38",53.009998,53.009998,51.959999,52.610001,1175500,45.927593
"39",52.490002,52.75,51.169998,51.610001,1545700,45.054607
"40",52.360001,52.560001,51.650002,52.34,1106900,45.691887
"41",52.400002,52.400002,51.709999,51.720001,801500,45.150642
"42",51.66,51.849998,51.279999,51.52,579800,44.976051
"43",51.830002,52.18,51.490002,51.759998,1267100,45.185551
"44",51.779999,51.98,51.299999,51.509998,1034400,44.967308
"45",51.610001,52.07,51.27,51.990002,1044800,45.386345
"46",51.98,52.330002,51.720001,52.110001,923900,45.491108
"47",51.919998,52.650002,51.82,52.509998,1072800,45.84029
"48",52.099998,52.349998,51.639999,51.849998,1007400,45.708073
"49",51.779999,51.919998,51.049999,51.419998,1058600,45.329002
"50",51.459999,52.119999,51.110001,51.900002,938900,45.75214
"51",52,52.41,51.669998,52.360001,863300,46.15765
"52",52.470001,52.73,51.990002,52.360001,3170800,46.15765
"53",52.450001,52.84,52.220001,52.650002,916900,46.413303
"54",52.73,52.860001,51.41,51.52,941500,45.417152
"55",51.689999,51.73,50.91,51.209999,740100,45.143867
"56",51.279999,51.790001,51.23,51.48,837600,45.381889
"57",51.509998,51.75,50.91,51.099998,690800,45.046898
"58",50.610001,51.119999,50.200001,50.77,935500,44.755993
"59",50.84,51.209999,50.279999,51.009998,1035100,44.967567
"60",51.060001,51.290001,50.700001,50.959999,767800,44.923489
"61",50.950001,51.290001,50.630001,51.09,716000,45.038101
"62",50.959999,51.41,50.82,51.110001,735200,45.055717
"63",51.189999,51.41,50,50.240002,789000,44.28878
"64",50.279999,50.34,49.77,49.990002,980100,44.068386
"65",50.009998,50.439999,49.759998,49.82,783800,43.91853
"66",49.889999,50.380001,49.669998,50.080002,587800,44.147732
"67",50.099998,50.619999,50.049999,50.369999,957100,44.403378
"68",50.369999,50.970001,50.330002,50.540001,763900,44.553242
"69",50.580002,50.669998,49.82,49.990002,1199800,44.068386
"70",50.009998,50.080002,49.18,49.290001,788100,43.451313
"71",49.220001,49.610001,48.599998,48.689999,1048600,42.922379
"72",48.810001,48.990002,48.5,48.98,859400,43.178028
"73",49,49.349998,48.869999,49.259998,726100,43.424877
"74",49.48,49.82,49.419998,49.580002,893200,43.706959
"75",49.73,50.09,49.59,49.98,946700,44.059574
"76",50.139999,50.259998,49.82,49.950001,711100,44.033127
"77",50.389999,50.549999,50.02,50.290001,1130800,44.332859
"78",50.389999,50.830002,50.209999,50.740002,1076900,44.729546
"79",50.470001,50.790001,49.630001,50.57,1894200,44.579685
"80",50.759998,51.34,50.459999,51.209999,977000,45.143867
"81",51.23,51.32,50.509998,50.84,1233200,44.817703
"82",51.060001,51.959999,50.900002,51.830002,1746300,45.690434
"83",51.740002,52.380001,51.139999,51.240002,1993300,45.170322
"84",49.880001,50.889999,48.830002,50.68,2166800,44.676655
"85",50.189999,51.48,49.779999,51.419998,1940700,45.329002
"86",51.560001,52.509998,51.110001,52.490002,1574300,46.272255
"87",52.66,52.860001,51.66,51.959999,871600,45.805038
"88",52.009998,52.18,51.419998,52.009998,920000,45.849106
"89",52.049999,52.66,52.049999,52.619999,1148500,46.386852
"90",52.439999,52.540001,51.970001,52.360001,545000,46.15765
"91",52.299999,52.419998,52.009998,52.150002,579400,45.97253
"92",52.220001,52.509998,52,52.389999,808600,46.184093
"93",52.34,52.759998,52.25,52.599998,1006400,46.369221
"94",52.27,52.490002,51,51.099998,1366700,45.046898
"95",51,51.740002,50.540001,51,1016500,44.95874
"96",51.299999,51.759998,51.040001,51.220001,696400,45.152695
"97",51.41,52.220001,51.32,52.029999,624200,45.866734
"98",52.220001,52.220001,51.43,51.68,684700,45.558205
"99",51.75,52.279999,51.439999,51.490002,619600,45.390713
"100",51.720001,52.139999,51.540001,52.080002,481300,45.91082
"101",52.419998,52.700001,52.200001,52.400002,742000,46.192921
"102",52.310001,52.57,51.970001,52.110001,673000,45.93726
"103",52.209999,52.630001,51.540001,52.040001,1313800,45.875561
"104",52.27,52.830002,52.080002,52.740002,668400,46.492645
"105",52.82,53.299999,52.490002,52.950001,607900,46.677761
"106",52.919998,54.029999,52.889999,53.580002,1268600,47.233143
"107",53.610001,53.869999,52.810001,52.84,999800,46.580791
"108",52.91,52.91,51.799999,51.889999,787700,45.743324
"109",52,52,51.5,51.889999,756300,45.743324
"110",51.950001,52.009998,51.57,51.889999,989600,45.743324
"111",51.990002,52.040001,51.52,51.91,756600,45.760952
