"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"1",128.509995,129.919998,128.139999,128.970001,652500,111.488083
"2",130.240005,130.240005,128.330002,128.529999,786900,111.107727
"3",128.529999,129.630005,128.320007,129.179993,661300,111.669617
"4",128.970001,129.529999,128.190002,129.039993,534600,111.548607
"5",129.110001,129.130005,127.529999,128.009995,642200,110.658218
"6",127.519997,128.990005,127,128.740005,1411200,111.289268
"7",128.75,131.470001,128.660004,130.649994,2053000,112.940353
"8",130.429993,131.300003,130.289993,130.559998,1169100,112.862564
"9",130.729996,131.470001,130.330002,131,780700,113.242905
"10",131.009995,132.330002,130.440002,132.259995,887500,114.332108
"11",132.449997,133.210007,132.210007,133,983700,114.971809
"12",132.550003,133.350006,132.279999,132.860001,1122000,114.850784
"13",133.380005,133.899994,132.800003,133.570007,886500,115.464577
"14",133.270004,134.399994,132.75,133.490005,1040500,115.395409
"15",133.380005,134.779999,133,134.509995,1022400,116.277145
"16",134.539993,135.149994,134.389999,135.009995,1001300,116.709351
"17",135.009995,135.880005,134.759995,135.820007,1206300,117.409561
"18",135.809998,136.130005,134.710007,135.589996,964400,117.210747
"19",135.979996,135.979996,133.089996,134.119995,1103700,115.939987
"20",133.770004,135.910004,133.770004,135.850006,1590800,117.435509
"21",134.990005,136.470001,134.699997,135.5,1684200,117.132942
"22",136.089996,138.550003,135.5,137.580002,1787100,118.931
"23",138.449997,139.639999,137.210007,138.779999,1036500,119.968361
"24",139.020004,139.25,137.610001,138,926100,119.294067
"25",137.75,139.949997,137.75,139.660004,940300,120.729057
"26",138.190002,139,137,137.190002,1318800,119.234184
"27",137.190002,138.190002,137.100006,137.699997,682100,119.677429
"28",137.5,138.679993,137.009995,138.020004,494400,119.955528
"29",138.050003,139.080002,137.009995,138.789993,1531600,120.624779
"30",138.059998,138.529999,137.169998,137.929993,1340000,119.877312
"31",137.509995,138.729996,137.259995,138.529999,1161700,120.398788
"32",138.259995,138.759995,137.009995,137.839996,2461300,119.799095
"33",132.419998,137.029999,130.009995,135.949997,3590300,118.156448
"34",135.960007,143.679993,135.229996,141.919998,3228400,123.345116
"35",141.059998,141.889999,140.470001,140.729996,1193600,122.310852
"36",141.369995,141.899994,140.720001,140.830002,1293700,122.397789
"37",141.190002,141.289993,139.919998,141.179993,792700,122.701958
"38",141.179993,141.589996,139.960007,140.960007,1769300,122.510735
"39",141.039993,143.449997,140.600006,141.729996,1286000,123.179947
"40",141.279999,142.039993,140.449997,140.690002,1841200,122.276093
"41",140.759995,141.529999,140.529999,140.949997,798400,122.502045
"42",140.850006,141.220001,140.130005,140.490005,1107200,122.102272
"43",139.800003,140.559998,139.429993,139.990005,865100,121.667702
"44",140,140.350006,139.059998,139.169998,981200,120.95504
"45",138.940002,139.300003,138.440002,138.440002,2051000,120.320557
"46",138.960007,139.960007,138.759995,139.690002,1479700,121.40699
"47",140.429993,140.440002,139.199997,139.490005,1236600,121.23317
"48",139.490005,139.589996,138.619995,139.110001,1152100,120.902908
