"","NDAQ.Open","NDAQ.High","NDAQ.Low","NDAQ.Close","NDAQ.Volume","NDAQ.Adjusted"
"1",67.470001,67.589996,66.260002,66.68,614600,61.305199
"2",66.650002,67.800003,66.639999,67.720001,612500,62.261356
"3",67.489998,68.150002,67.239998,67.639999,626300,62.187813
"4",67.620003,68.809998,67.519997,68.459999,615200,62.941715
"5",68.370003,68.449997,67.330002,67.769997,639900,62.307327
"6",67.620003,67.870003,67.169998,67.199997,833900,61.783283
"7",67.190002,67.800003,66.889999,67.720001,484100,62.261356
"8",67.440002,67.550003,66.099998,67.400002,502600,61.967175
"9",67.330002,67.919998,67.239998,67.709999,461000,62.252178
"10",67.360001,67.68,66.889999,66.989998,908800,61.590202
"11",66.709999,67.290001,66.620003,67.25,777600,61.829247
"12",67.059998,67.339996,66.489998,67.059998,625000,61.654556
"13",67.300003,67.580002,66.839996,67.360001,637800,61.930397
"14",67.059998,67.68,66.669998,67.32,629700,61.893612
"15",67.230003,68.290001,66.849998,67.949997,647000,62.47282
"16",68.089996,68.449997,67.699997,68.339996,613800,62.831383
"17",68.5,68.900002,68.279999,68.830002,623600,63.281902
"18",68.919998,68.93,68.099998,68.360001,727600,62.849777
"19",68.040001,68.260002,67.43,68.18,762800,62.684303
"20",68.360001,70.610001,67.260002,70.540001,1482700,64.85405
"21",70.470001,71.889999,70.290001,70.75,1340600,65.047142
"22",70.669998,71.209999,70.029999,70.669998,829700,64.973564
"23",71,71,70.040001,70.339996,974200,64.670166
"24",70.050003,70.309998,69.599998,69.739998,869800,64.11853
"25",69.980003,70.139999,68.93,69.360001,1371200,63.769173
"26",69.300003,69.379997,68.620003,68.879997,996000,63.327843
"27",69.32,69.470001,68.809998,69.099998,557600,63.530132
"28",69.110001,70,69.080002,69.769997,877600,64.146133
"29",69.790001,70.860001,69.440002,70.699997,840300,65.00116
"30",70.699997,71.040001,70.5,70.779999,682600,65.074715
"31",71.029999,71.629997,70.510002,71.25,877000,65.506828
"32",71.330002,71.589996,70.720001,71.339996,879400,65.589577
"33",71.129997,71.650002,70.800003,71.510002,2710400,65.745865
"34",71.599998,71.860001,71.269997,71.370003,973300,65.617149
"35",71.239998,71.760002,71.059998,71.239998,825800,65.497635
