"","ATVI.Open","ATVI.High","ATVI.Low","ATVI.Close","ATVI.Volume","ATVI.Adjusted"
"1",36.439999,36.790001,36.18,36.639999,8360600,35.534645
"2",36.77,37.529999,36.639999,37.360001,7643000,36.232925
"3",37.5,38.27,37.389999,37.939999,9814400,36.795429
"4",37.950001,38.189999,37.82,37.91,8364900,36.766335
"5",38.09,38.16,37.369999,37.700001,5432400,36.562672
"6",37.669998,38.490002,37.490002,38.380001,7641000,37.222153
"7",38.470001,39.279999,38.299999,39.200001,9481800,38.017418
"8",38.990002,39.400002,38.560001,39.130001,7859500,37.949532
"9",38.68,39.360001,38.59,38.950001,6372900,37.774956
"10",38.950001,39.240002,38.669998,38.950001,5458400,37.774956
"11",39,39.130001,38.709999,39.080002,4404500,37.901035
"12",39.049999,39.150002,38.810001,38.860001,4611300,37.687668
"13",39.009998,39.25,38.650002,38.970001,6106800,37.794353
"14",38.959999,39.110001,38.490002,38.529999,5130900,37.367622
"15",38.560001,39.150002,38.380001,39.099998,8364600,37.920437
"16",39.380001,39.59,39.119999,39.560001,4540400,38.366558
"17",39.68,39.689999,39.32,39.470001,3206200,38.279266
"18",39.68,39.73,39.41,39.610001,5050500,38.415047
"19",39.57,39.759998,39.459999,39.610001,5838200,38.415047
"20",39.599998,40.279999,39.52,40.209999,10040000,38.996944
"21",40.32,40.560001,39.150002,40.470001,10384700,39.249104
"22",40.459999,40.599998,40.029999,40.470001,6111900,39.249104
"23",40.709999,40.73,39.900002,40.009998,9142800,38.802979
"24",40.040001,40.220001,39.650002,40.189999,8967800,38.977551
"25",40.220001,40.650002,39.849998,40.049999,9390800,38.84177
"26",40.099998,40.119999,39.150002,39.189999,12140700,38.007717
"27",39.41,39.779999,38.93,39.73,15752200,38.531429
"28",45,47.639999,44.93,47.23,51703500,45.805172
"29",46.040001,46.700001,45.389999,45.700001,26382700,44.321323
"30",45.25,45.84,44.75,44.98,15305700,43.623043
"31",44.720001,45.630001,44.470001,45.48,11280800,44.10796
"32",45.369999,45.650002,45.07,45.389999,8534800,44.020679
"33",45.400002,45.439999,44.93,45.330002,5442100,43.962486
"34",45.41,45.75,45.310001,45.34,6675000,43.972183
"35",45.049999,45.43,44.68,45.23,6311100,43.865505
"36",45.299999,45.389999,44.599998,45.080002,5617300,43.720028
"37",44.939999,45.630001,44.84,45.549999,5992200,44.175846
"38",45.330002,46.07,45.02,45.689999,5205700,44.311623
"39",45.5,45.950001,44.950001,45.130001,9161100,43.76852
"40",45.470001,47.330002,45.18,47.139999,15286300,45.71788
"41",47.130001,47.27,46.560001,46.68,7556100,45.271759
"42",46.549999,47.16,46.5,47.07,5057700,45.649998
"43",46.75,47.91,46.75,47.810001,8143900,46.367668
"44",47.73,48.360001,47.57,48.060001,8044500,46.61013
"45",48.119999,48.77,48,48.580002,6803400,47.114441
"46",48.669998,49.09,48.529999,49.02,7193000,47.541164
"47",49.330002,49.57,48.799999,49.200001,6811900,47.71574
"48",49.299999,49.700001,49.130001,49.5,7132600,48.006683
"49",49.209999,49.349998,48.959999,49.080002,6286700,47.599354
"50",49.060001,49.439999,48.619999,49.220001,5749200,47.735134
"51",49.299999,49.459999,48.93,49.099998,4771300,47.618752
"52",49.389999,49.389999,48.860001,49.130001,7888700,47.64785
"53",49.16,49.389999,48.580002,48.959999,4627200,47.482975
"54",49.099998,49.450001,48.169998,48.220001,9737800,46.765301
"55",48.07,48.720001,47.799999,48.68,6831900,47.21143
"56",48.639999,48.880001,48.130001,48.779999,5563700,47.308407
"57",48.970001,49.41,48.740002,49.119999,5562800,47.638153
"58",48.740002,49.66,48.740002,49.299999,6153000,47.812721
"59",49.240002,49.98,49.099998,49.759998,11900000,48.554302
"60",49.990002,50.32,49.93,50.139999,6115600,48.925098
"61",50.119999,50.400002,50.029999,50.189999,6779300,48.973888
"62",50.02,50.09,49.610001,49.860001,6801700,48.651886
"63",49.860001,50.07,49.25,49.529999,4992200,48.329876
"64",49.369999,49.5,48.880001,49.040001,5724900,47.851749
"65",49.189999,49.75,48.860001,49.200001,4606900,48.007877
"66",49.189999,49.389999,48.950001,49.360001,3412100,48.163998
"67",49.299999,49.720001,49.220001,49.610001,4050400,48.40794
"68",49.5,49.639999,48.869999,49.040001,4273300,47.851749
"69",48.900002,49.139999,48.619999,49.080002,3558900,47.890781
"70",48.91,49.02,48.439999,48.639999,3634900,47.461445
"71",48.709999,49.189999,48.41,48.419998,3906300,47.246773
"72",48.560001,49.259998,48.5,48.799999,5390600,47.617565
"73",48.619999,49.369999,48.509998,49.169998,3751100,47.9786
"74",49.209999,49.66,49.169998,49.349998,3216800,48.154236
"75",49.639999,50.060001,49.400002,49.950001,3965200,48.739704
"76",49.990002,50.040001,49.59,49.869999,3352000,48.661636
"77",50.5,50.91,50.360001,50.880001,3797400,49.647167
"78",51.02,51.66,51,51.360001,6042200,50.11554
"79",51.360001,51.5,50.91,51.360001,4502500,50.11554
"80",51.529999,52.279999,51.41,51.91,4145200,50.65221
"81",51.900002,52.27,51.509998,52.25,6311800,50.983971
"82",52.630001,53.029999,52.32,52.700001,5212400,51.423069
"83",53.169998,53.389999,52.77,53.029999,4662300,51.745071
"84",53.150002,53.310001,52.549999,52.84,4775900,51.559677
"85",52.970001,53.380001,52.459999,53.099998,7891800,51.813374
"86",54.009998,54.75,53.080002,53.830002,10514100,52.525692
"87",53.810001,54.099998,53.349998,53.990002,5184300,52.681816
"88",53.939999,54.790001,53.759998,54.619999,4718100,53.296547
"89",55.259998,56.23,54.959999,55.990002,8243700,54.63335
"90",55.970001,55.98,55.310001,55.75,4864300,54.399166
"91",55.900002,56.099998,55.509998,56.009998,3793900,54.652866
"92",56.009998,56.599998,55.91,56.41,6882300,55.043175
"93",56.709999,57.299999,56.459999,56.779999,5304600,55.404209
"94",56.099998,56.150002,54.18,54.23,10298400,52.915997
"95",53.900002,55.389999,53.66,55.150002,9242400,53.813709
"96",55.32,55.98,54.939999,55.880001,6032600,54.52602
"97",56.200001,57.23,55.759998,57.119999,6976600,55.73597
"98",59.369999,60.130001,57.139999,57.799999,10327400,56.399494
"99",57.939999,58.529999,56.880001,58.509998,7286700,57.092285
"100",58.970001,59.439999,58.73,59.220001,7899100,57.785088
"101",59.16,59.200001,58.009998,58.279999,7019200,56.867863
"102",58.48,58.669998,57.77,58.580002,5037400,57.160599
"103",58.599998,58.810001,58.119999,58.580002,9548000,57.160599
"104",58.810001,59.57,58.700001,59.560001,10169600,58.116852
"105",59.650002,59.740002,59.02,59.650002,4950700,58.20467
"106",59.759998,60.459999,59.560001,59.799999,3818300,58.351036
"107",59.93,60.240002,59.439999,59.84,3923100,58.390064
"108",60.060001,60.849998,60.02,60.529999,6441400,59.063347
"109",60.650002,60.689999,59.560001,60.549999,6513700,59.082863
"110",60.630001,61.099998,56.950001,58.029999,12888000,56.62392
"111",57.060001,57.169998,55.41,56.759998,16120500,55.384689
"112",57.459999,58.049999,56.689999,57.900002,7157700,56.497078
"113",58.029999,59.029999,57.580002,58.450001,8272500,57.033749
"114",57.400002,59.470001,57.189999,58.91,8690600,57.482601
"115",58.759998,59.389999,58.48,58.799999,9273400,57.375263
"116",59.16,60.419998,59.16,60.32,5140300,58.858437
"117",60.490002,61.099998,60.09,60.150002,5876700,58.692554
"118",60.5,60.939999,60.139999,60.68,5385300,59.209717
"119",60.73,61.580002,60.34,61.16,5402100,59.678082
"120",61.029999,61.09,60.16,60.439999,13794600,58.975529
"121",60.68,61.18,59.580002,60.220001,4319100,58.760853
"122",60.110001,60.110001,58.060001,58.290001,7195100,56.877621
"123",58.549999,58.830002,57.799999,58.810001,7829700,57.385025
"124",58.400002,58.5,56.220001,57.580002,8881400,56.184826
"125",57.93,58.119999,57.169998,57.57,6358700,56.175068
"126",57.77,57.990002,56.150002,56.259998,4136000,54.896809
"127",56.66,57.549999,55.860001,57.16,6107700,55.775002
"128",56.57,57.09,56.310001,56.619999,6628500,55.248085
"129",56.75,58.360001,56.610001,58.09,6223300,56.682468
"130",58.279999,58.919998,57.970001,58.509998,4690400,57.092285
"131",58.43,58.57,57.68,57.98,4498800,56.57513
"132",58.59,61.330002,58.400002,61.02,10107100,59.541477
"133",61.400002,61.400002,60.16,60.5,7216600,59.034073
"134",60.849998,61.290001,60.59,60.75,4551900,59.278015
"135",60.82,60.889999,60.110001,60.5,3287300,59.034073
"136",60.610001,61.360001,60.279999,61.330002,4631300,59.843967
"137",61.57,62.389999,60.869999,61.330002,5464600,59.843967
"138",61.419998,61.759998,60.779999,61.080002,3594700,59.600021
"139",60.740002,61.369999,60.630001,60.93,5803700,59.453655
"140",60.950001,61.580002,60.799999,61.439999,5815400,59.951294
"141",61.610001,61.970001,60.919998,60.950001,4688000,59.473171
"142",61.150002,62.639999,61.139999,62.639999,5162200,61.122223
"143",63.169998,63.189999,59.880001,61.169998,8111200,59.68784
"144",60.759998,61.799999,60.25,61.450001,4285700,59.96106
"145",61.549999,61.98,60.98,61.779999,4999700,60.283054
"146",62.259998,62.48,61.52,62.400002,4484500,60.888039
"147",62.599998,62.650002,60.43,61.450001,5559200,59.96106
"148",63.009998,64.059998,61.759998,63.970001,12368400,62.419994
"149",63.02,63.299999,61.220001,62.009998,10545300,60.507488
"150",62.139999,62.849998,61.799999,62.509998,7287100,60.995365
"151",62.310001,62.52,61.150002,61.330002,8668500,59.843967
"152",60.630001,61.57,60.349998,61.380001,6023200,59.892754
"153",60.84,61.25,60.099998,60.209999,6912900,58.751102
"154",60.259998,61.080002,59.77,60.740002,5571300,59.268257
"155",61.5,63.060001,61.299999,61.889999,5131500,60.390392
"156",62.139999,62.299999,61.400002,61.970001,2982700,60.468452
"157",62.130001,63.209999,61.810001,62.889999,4509400,61.366165
"158",62.57,63.040001,61.369999,61.369999,3430200,59.882992
"159",61.27,62.400002,61.049999,62.009998,4415800,60.507488
"160",62,62.290001,61.43,61.779999,3425300,60.283054
"161",62.09,64.290001,62,64.260002,7392300,62.702969
"162",63.68,64.480003,63.400002,64.010002,5316100,62.459026
"163",64.309998,64.449997,62.799999,63.43,3906500,61.893082
"164",63.630001,63.959999,62.490002,62.580002,4363900,61.063679
"165",63.09,63.119999,62.369999,62.75,3947100,61.229557
"166",62.040001,63.810001,61.950001,63.48,4496700,61.941864
"167",63.529999,65.800003,63.380001,65.68,7465800,64.08857
"168",66,66.580002,65.139999,65.559998,7621700,63.971462
"169",65.660004,65.860001,63.43,65.120003,5619600,63.542133
"170",64.839996,65.25,64.160004,65.050003,4836900,63.473831
"171",65.089996,65.300003,63.869999,64,5564800,62.449268
"172",64.300003,65.870003,64.059998,65.830002,7038400,64.234932
"173",65.540001,66.169998,64.709999,64.93,5224000,63.356739
"174",65.540001,66.5,65.330002,66.160004,5371700,64.556938
"175",66.480003,66.5,65.25,66.089996,5076700,64.488617
"176",65.910004,66.07,64.870003,65.400002,4904300,63.81535
"177",65.029999,66,64.68,65.169998,4769100,63.590912
"178",65.32,65.459999,64.68,65,16172800,63.425037
"179",65,65.449997,64.019997,64.199997,6266000,62.644417
"180",64.339996,64.610001,63.330002,64.309998,6652400,62.751755
"181",64.809998,65.190002,63.869999,65,6343500,63.425037
"182",64.779999,64.970001,63.84,64.110001,4465600,62.556606
"183",63.740002,64.589996,63.34,63.900002,5665200,62.351692
"184",63.619999,63.75,61.32,62.139999,9230800,60.634338
"185",62.529999,62.75,61.580002,61.759998,5637900,60.263542
"186",62,63.450001,61.990002,63.09,5001700,61.561321
"187",63.049999,63.599998,62.630001,63.540001,5928500,62.000416
"188",63.490002,64.709999,63.439999,64.510002,5048300,62.946911
"189",64.419998,64.709999,62.990002,63.389999,5570400,61.854046
"190",63.610001,63.790001,62.950001,63.450001,3775800,61.91259
"191",63.07,63.330002,62.150002,62.630001,6693000,61.112465
"192",62.650002,63.240002,62.209999,63.09,4505500,61.561321
"193",62.73,63.380001,62.290001,63.25,3837200,61.717438
"194",61.5,61.740002,60.560001,61.18,8840900,59.697598
"195",61.150002,61.560001,60.759998,61.450001,5735600,59.96106
"196",61.27,61.389999,60.52,61.360001,5644600,59.873241
"197",61.450001,62.580002,61.200001,62.049999,4715600,60.546516
"198",62.380001,62.439999,60.549999,61.080002,7151600,59.600021
"199",61.119999,61.970001,61.009998,61.48,4538700,59.990326
"200",61.529999,61.860001,60.970001,61.66,2674800,60.165966
"201",61.720001,62.119999,61.459999,61.5,3930200,60.009842
"202",60.950001,62.029999,60.360001,61.990002,5123500,60.487972
"203",62.48,63.139999,62.23,62.630001,5283200,61.112465
"204",62.700001,62.880001,61.23,61.459999,4281000,59.97081
"205",61.939999,63.330002,61.740002,62.73,6098700,61.210041
"206",62.279999,62.599998,61.189999,61.810001,5419600,60.312336
"207",62.27,62.59,61.880001,62.060001,4846400,60.556274
"208",62.360001,64.269997,62.360001,64.139999,6174600,62.585876
"209",64.330002,65.580002,64.269997,65.300003,6567700,63.71777
"210",65.339996,66.029999,64.860001,65.489998,6876900,63.903164
"211",65.690002,65.779999,64.25,65.330002,5139100,63.747047
"212",65.410004,65.839996,64.830002,65.449997,6129400,63.864132
"213",66.870003,67.029999,62.110001,63.200001,18879300,61.668655
"214",63.41,63.720001,60.709999,60.869999,12947200,59.395103
"215",61.09,61.349998,60.099998,60.959999,7597800,59.482925
"216",62.5,64.900002,62.150002,64.550003,12604700,62.985943
"217",63.490002,64.18,62.59,63.310001,5421700,61.775986
"218",62.869999,63.07,62.25,63,4858900,61.473499
"219",62.720001,63.970001,62.669998,63.619999,3036800,62.078476
"220",63.369999,64.400002,62.790001,64.029999,4562800,62.478542
"221",63.43,63.669998,62.5,62.889999,4071100,61.366165
"222",63.130001,64.410004,63.040001,64.129997,4589000,62.576115
"223",64,64.440002,63.18,64.099998,4213400,62.546844
"224",63.93,64.18,63.279999,63.93,3144400,62.380966
"225",64.489998,64.949997,64.190002,64.5,3749400,62.937153
"226",64.910004,66.309998,64.889999,65.139999,5728900,63.561649
"227",65.18,66.139999,65.120003,66.029999,1644700,64.430077
"228",66.18,66.449997,65.629997,65.739998,4116600,64.14711
"229",66.019997,66.459999,65.839996,65.970001,3976600,64.371536
"230",65.610001,65.709999,61.950001,62.009998,9261600,60.507488
"231",62.549999,62.73,60.860001,62.400002,8947400,60.888039
"232",61.959999,62.689999,60.709999,61.959999,5443400,60.458694
"233",62.389999,62.48,58.349998,58.599998,12491600,57.180107
"234",57.639999,60.720001,57.290001,59.549999,7681800,58.10709
"235",59.48,60.810001,58.630001,60.75,8302600,59.278015
"236",60.799999,62.450001,60.689999,61.57,7202200,60.078144
"237",62.259998,63.509998,62.040001,62.43,6009100,60.917309
"238",62.139999,63.18,62.139999,63.169998,4072700,61.639381
"239",64.110001,64.690002,63.200001,64.400002,6460100,62.839577
"240",64.849998,65.279999,64.300003,64.599998,5536600,63.034733
"241",64.699997,65.449997,64.540001,65.029999,4737100,63.454315
"242",65.470001,67,64.989998,66.730003,9737000,65.113129
"243",67.080002,67.400002,65.879997,66.010002,6236800,64.410576
"244",66.099998,66.25,64.389999,64.900002,6141600,63.327461
"245",65.309998,65.440002,64.010002,64.379997,4714000,62.820061
