"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"1",78.760002,79.910004,78.489998,79.5,13785200,76.969223
"2",79.440002,80.260002,79.360001,80.150002,8033100,77.598541
"3",80.339996,81.529999,80.220001,81.089996,7805100,78.508629
"4",81.300003,82.489998,80.940002,82.209999,8898300,79.592972
"5",82.279999,82.449997,81.650002,81.75,7305300,79.147614
"6",81.699997,81.900002,81.129997,81.309998,6017500,78.721626
"7",81.25,81.800003,80.910004,81.800003,7499200,79.195999
"8",81.050003,81.470001,80.510002,81.370003,6884000,78.779709
"9",81.019997,81.849998,80.790001,81.169998,7291200,78.58606
"10",80.760002,81.489998,80.760002,81.260002,6326500,78.673195
"11",81.269997,81.830002,80.980003,81.589996,8512300,78.992691
"12",81.790001,81.849998,81.410004,81.730003,6479400,79.12825
"13",82.089996,82.279999,81.610001,81.839996,9048500,79.234734
"14",81.699997,82.300003,81.5,82.150002,7414200,79.534866
"15",82.400002,83.489998,81.849998,83.230003,8397500,80.58049
"16",83.790001,84.269997,83.449997,83.900002,9360900,81.229149
"17",83.919998,83.919998,83.080002,83.239998,8428200,80.590172
"18",83.32,83.800003,82.919998,83.769997,5445900,81.103317
"19",83.470001,83.739998,82.660004,83.699997,8792800,81.035507
"20",82.129997,83.279999,82.099998,82.709999,7479400,80.077042
"21",82.900002,83.089996,82.050003,82.440002,7534400,79.815636
"22",82.139999,82.699997,81.57,82.300003,11142300,79.680107
"23",85.739998,86.82,85.110001,86.080002,28079600,83.339767
"24",86.07,86.099998,85.510002,85.830002,9665300,83.097725
"25",85.959999,86.349998,85.669998,85.779999,8600300,83.049316
"26",85.800003,85.839996,85.080002,85.089996,7587700,82.381279
"27",85.370003,85.769997,84.879997,85.580002,6554700,82.855698
"28",85.800003,86.139999,85.230003,85.900002,10432000,83.165489
"29",86.199997,86.699997,86,86.440002,6046300,83.688301
"30",86.519997,86.970001,86.260002,86.849998,5952000,84.085243
"31",87.019997,87.540001,86.699997,87.540001,8049700,84.914604
"32",87.550003,87.68,86.790001,87.410004,8680600,84.788521
"33",87.269997,87.68,86.980003,87.459999,5887200,84.837021
"34",87.510002,88.040001,87.169998,87.919998,9301300,85.283218
"35",87.610001,88.150002,87.510002,87.800003,8389900,85.166817
"36",88.230003,88.489998,87.870003,88.18,6040500,85.5354
"37",87.360001,88.43,87.300003,88.43,5151300,85.777885
"38",88.32,88.379997,87.910004,88,6131600,85.360809
"39",88.160004,88.379997,87.760002,87.940002,8521900,85.30262
"40",88.739998,89.139999,88.419998,88.989998,11131400,86.321121
"41",89,89.129997,88.099998,88.529999,10544200,85.874931
"42",88.309998,88.910004,88.18,88.790001,5700600,86.127121
"43",88.529999,89.269997,88.269997,88.940002,7347600,86.272629
"44",88.989998,89.300003,88.849998,89.059998,5688400,86.389015
"45",89.169998,89.300003,88.870003,88.959999,5866800,86.292007
"46",89.019997,89.5,88.709999,89.110001,5953900,86.437531
"47",89.5,89.860001,89.099998,89.730003,12246700,87.038933
"48",89.800003,90.309998,89.610001,90.110001,8944100,87.407516
"49",89.93,90.029999,89.239998,89.550003,6009400,86.864342
"50",89.75,90.099998,89.410004,89.919998,6350700,87.223228
"51",90.309998,90.330002,89.470001,90.040001,9174400,87.339615
"52",90.25,90.629997,90.169998,90.239998,8613400,87.53363
