"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"1",87.309998,87.919998,86.650002,86.790001,2257900,71.337959
"2",87.169998,88.260002,87.080002,87.260002,2306900,71.724274
"3",87.260002,88.120003,86.660004,86.739998,2056300,71.29686
"4",86.779999,86.970001,85.279999,85.400002,1989400,70.195427
"5",84.910004,84.910004,83.75,84.019997,2581900,69.061127
"6",84,85.18,83.589996,83.760002,3697700,68.84742
"7",83.910004,85.599998,83.800003,84.889999,3543500,69.776207
"8",85.089996,85.120003,83.510002,84.339996,2169400,69.324165
"9",84.059998,84.160004,83.07,83.290001,2242900,68.46109
"10",83.209999,84.650002,83.080002,83.559998,2379700,68.683029
"11",83.519997,84.510002,83.5,84.129997,1967400,69.151543
"12",83.949997,84.080002,82.68,82.989998,1929600,68.2145
"13",83.489998,84.029999,82.580002,83.040001,2068200,68.255623
"14",83.279999,83.370003,82.019997,82.199997,2033700,67.565163
"15",82.639999,84.459999,82.550003,84.190002,2398500,69.200867
"16",84.709999,85.290001,84.470001,85,1707900,69.866646
"17",85.18,85.339996,84.029999,84.239998,1618200,69.241951
"18",84.010002,84.349998,82.5,82.769997,2099300,68.033676
"19",82.5,82.75,81.690002,82.330002,2375000,67.67202
"20",82,82.370003,81.150002,81.620003,2740200,67.088417
"21",82.110001,82.32,80.360001,80.75,3030200,66.373329
"22",80.93,81.260002,80.230003,81.050003,3386800,66.619904
"23",80.5,81.199997,78.82,79.949997,3672500,65.715736
"24",80,80.190002,79,79.139999,3016700,65.049973
"25",79.099998,79.139999,77.809998,78.550003,3255400,64.565002
"26",78.25,79.019997,77.809998,78.860001,3042800,64.819817
"27",78.860001,79.629997,78.860001,79.25,2596900,65.140373
"28",79.419998,79.980003,79.379997,79.860001,2030700,65.641762
"29",79.860001,80.120003,79.57,79.900002,2111900,65.674652
"30",79.980003,80.099998,79.150002,79.980003,2543900,65.740417
"31",79.730003,80.389999,79.660004,80.080002,2272800,65.822601
"32",79.599998,79.690002,78.400002,78.5,2939200,65.035538
"33",78.489998,79.239998,78.349998,78.660004,2219200,65.168106
"34",79.080002,79.389999,78.760002,79.029999,2833700,65.474632
"35",79,79,78.220001,78.379997,2017500,64.936134
"36",79,79.349998,78.360001,78.610001,1864600,65.126686
"37",78.389999,78.489998,77.690002,78.029999,2225500,64.646156
"38",78.199997,79.190002,78,78.860001,2648400,65.333801
"39",78.779999,79.139999,78.110001,78.190002,3243100,64.778717
"40",78.910004,80.029999,78.879997,79.370003,3204500,65.756325
"41",79.279999,79.349998,78.160004,78.330002,2550400,64.89473
"42",78.5,79.029999,78.18,78.339996,1737700,64.902977
"43",78.160004,78.889999,78.010002,78.720001,1848200,65.217827
"44",78.610001,78.809998,77.389999,77.480003,2679200,64.190491
"45",77.610001,78.309998,77.129997,77.25,2817600,63.999958
"46",77.019997,77.400002,76.279999,76.839996,2684500,63.660271
"47",77.18,78.980003,76.589996,78.860001,5038100,65.333801
"48",78.910004,79.489998,78.709999,79.010002,2178700,65.458084
"49",78.5,78.769997,78.160004,78.510002,2343400,65.043854
"50",78.940002,80.279999,78.940002,80.150002,2411800,66.40255
"51",80.059998,80.099998,79.419998,79.690002,2474600,66.021446
"52",79.860001,80.089996,79.629997,79.940002,2799600,66.228561
"53",79.879997,79.989998,79.099998,79.410004,2285400,65.789459
"54",79.489998,79.779999,78.260002,78.599998,4631300,65.118408
"55",78.300003,78.940002,77.839996,78.830002,3026800,65.308952
"56",78.57,79.190002,78.43,78.480003,2211800,65.018974
"57",78.419998,78.669998,77.120003,77.269997,2359700,64.016525
"58",76.970001,77.790001,76.660004,77.25,2089300,63.999958
"59",77.410004,78.110001,77.080002,77.919998,2388500,64.555031
"60",77.809998,78.5,77.540001,78.32,2282000,64.886421
"61",78.379997,78.849998,77.940002,78.589996,3241500,65.110092
"62",78.489998,79.43,78.410004,79.220001,2744100,65.632065
"63",79.089996,79.220001,78,78.290001,1711600,64.861572
"64",78.5,78.550003,77.669998,78.43,1368100,64.977554
"65",78.739998,79.480003,77.529999,77.57,2867200,64.26506
"66",77.589996,77.650002,76.650002,76.879997,3322400,63.693413
"67",76.959999,77.660004,76.529999,77.150002,2484300,63.917107
"68",77.510002,78.650002,77.5,78.050003,2503900,64.662727
"69",77.809998,77.970001,77.150002,77.879997,2042900,64.521889
"70",78.129997,78.260002,77.260002,77.379997,2006100,64.107658
"71",77.260002,77.690002,76.459999,76.669998,2606600,63.519447
"72",76.660004,77.010002,76.57,77.010002,1548800,63.801113
"73",76.650002,76.989998,75.639999,75.93,2326300,62.906334
