"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"1",50.82,51.610001,49.919998,50.610001,7032600,44.347252
"2",50.700001,51.099998,50.32,51.080002,4990000,44.75909
"3",51.209999,51.68,50.720001,50.93,4727100,44.627651
"4",51.02,51.080002,50.290001,50.740002,3472500,44.461166
"5",50.27,50.529999,49.630001,49.66,5765600,43.514812
"6",49.880001,50.040001,49.369999,49.66,5447900,43.514812
"7",49.959999,51.490002,49.459999,51.220001,8689400,44.881756
"8",51.5,51.529999,50.09,50.150002,6963300,43.944176
"9",49.900002,50.869999,49.84,50.59,4413300,44.329727
"10",50.560001,50.709999,50,50.150002,4995100,43.944176
"11",49.799999,50.59,49.790001,50.27,4970000,44.049328
"12",50.200001,50.450001,49.779999,49.860001,4915300,43.690052
"13",50.389999,51.09,50.32,50.73,5888500,44.452412
"14",50.259998,50.57,49.580002,49.939999,5969500,43.760159
"15",50.139999,51.400002,50.009998,50.27,5919200,44.049328
"16",50.41,51.23,50.32,50.689999,5991200,44.417355
"17",50.630001,51.02,50.34,50.630001,4164100,44.364765
"18",50.330002,50.459999,49.200001,49.43,5408100,43.313278
"19",49.009998,49.18,47.189999,47.48,10483200,41.604572
"20",47.810001,48.790001,47.369999,48.759998,7464500,42.726189
"21",49,49.150002,47.439999,48.5,10040900,42.498356
"22",48.75,49.34,47.279999,48.689999,8625100,42.664833
"23",48.849998,50.490002,48.82,50.43,8414400,44.189526
"24",50.5,50.98,49.349998,50.09,8127500,43.891594
"25",49.549999,50.23,49.080002,49.419998,7591600,43.304497
"26",49.049999,50.16,48.509998,49.599998,8588600,43.462234
"27",50.040001,50.330002,49.48,49.810001,6357000,43.646259
"28",50.029999,50.540001,49.82,50.139999,5996000,44.170406
"29",50.040001,50.040001,49.220001,49.700001,6163400,43.782791
"30",50,50.18,49.330002,50.139999,6063400,44.170406
"31",49.830002,50.290001,49.310001,49.360001,7461800,43.483269
"32",49.59,49.650002,48.27,48.34,9689100,42.584717
"33",48.220001,48.240002,47.099998,47.509998,10694000,41.853531
"34",48.130001,48.52,47.82,48.130001,9577200,42.399712
"35",47.799999,47.939999,47.029999,47.099998,8007700,41.492348
"36",47.790001,47.860001,47.029999,47.299999,7846400,41.668526
"37",47.009998,47.490002,46.709999,47.040001,6749500,41.439484
"38",47.23,47.639999,46.970001,47.360001,6208300,41.721394
"39",47.169998,47.669998,47,47.57,6710600,41.906387
"40",48,49.23,47.860001,49.049999,9194500,43.210186
"41",48.619999,48.82,47.91,48.209999,5955300,42.470188
"42",48.189999,48.439999,47.639999,47.82,5290100,42.126617
"43",47.779999,48.470001,47.34,48.32,6078500,42.567089
"44",48.450001,48.509998,47.599998,47.720001,5652800,42.038528
"45",47.41,47.66,45.810001,45.91,9435500,40.444019
"46",45.610001,46.630001,45.48,46.48,7235900,40.946163
"47",46.880001,46.880001,45.48,45.669998,8455400,40.232594
"48",45.68,46.169998,45.540001,45.84,6333800,40.382347
"49",45.150002,45.200001,44.189999,44.939999,10538300,39.589508
"50",45.470001,46.119999,44.849998,45.84,7573400,40.382347
"51",45.950001,46.130001,45.509998,45.84,6393700,40.382347
"52",45.970001,46.360001,45.639999,45.689999,8359700,40.250214
"53",45.400002,45.98,45.049999,45.860001,5754200,40.399971
"54",46.040001,46.169998,44.880001,45.18,6504200,39.800934
"55",45.029999,45.32,44.630001,44.650002,7852200,39.334038
"56",44.650002,45,44.349998,44.48,9149400,39.184277
"57",44.639999,44.880001,43.970001,44.099998,8797100,38.849525
"58",43.490002,44.439999,43.259998,44.290001,6231900,39.016903
"59",44.41,45.490002,44.200001,45.380001,7034800,39.977119
"60",45.330002,46.060001,45.009998,45.950001,6040800,40.479267
"61",49.330002,50.41,48.610001,50,40059800,44.047077
"62",49.639999,50.049999,49.02,49.869999,13410500,43.932545
"63",49.900002,49.93,48.799999,49.450001,7711800,43.562557
"64",49.43,49.790001,49.049999,49.73,6175900,43.809212
"65",50.009998,50.41,48.950001,49.110001,7490900,43.263035
"66",49.389999,49.970001,49.16,49.810001,6823800,43.879704
"67",49.849998,50,49.380001,49.540001,5857400,43.641846
"68",49.790001,50.470001,49.73,50.150002,6737400,44.179222
"69",50.150002,50.240002,49.57,50.150002,7395200,44.179222
"70",50.139999,50.619999,49.299999,49.439999,7623000,43.553749
"71",49.599998,49.790001,48.540001,48.619999,8807100,42.831367
"72",48.59,49.02,48.459999,48.950001,5286600,43.122078
"73",48.610001,49.27,48.43,48.689999,6046600,42.893047
