"","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume","ITW.Adjusted"
"1",123.730003,124.07,121.720001,122.519997,1298800,109.443817
"2",123.050003,123.290001,122.389999,122.989998,1135000,109.863663
"3",122.949997,123.629997,120.699997,121.610001,1480500,108.630943
"4",121.910004,123.209999,121.400002,122.879997,958600,109.765404
"5",122.68,123.230003,122.190002,122.279999,980900,109.229439
"6",122.360001,122.900002,121.790001,122.57,1560400,109.48848
"7",122.5,123.279999,122.019997,123.160004,1139000,110.015541
"8",122.989998,123.18,120.059998,122.610001,1287100,109.524208
"9",122.610001,123.660004,122.610001,123.389999,1021600,110.220978
"10",122.739998,123.260002,122.25,122.82,964100,109.7118
"11",122.940002,124.029999,122.940002,123.660004,989600,110.462143
"12",123.599998,124.260002,122.610001,123.370003,1145600,110.20311
"13",123.75,124.419998,123.290001,123.739998,1109700,110.533607
"14",123.599998,124.129997,123.150002,124.050003,1145700,110.810532
"15",124.43,127.5,123.860001,127.059998,2431200,113.499275
"16",129.110001,130.160004,124.839996,128.570007,3539400,114.848152
"17",128.740005,130.039993,127.18,128.210007,1915600,114.526558
"18",128.270004,129.639999,128.270004,128.860001,1176000,115.10717
"19",128.820007,128.860001,127.720001,128.789993,1483900,115.044632
"20",128.490005,128.630005,126.559998,127.199997,1664200,113.624336
"21",127.139999,127.919998,125.959999,126.879997,1371300,113.338486
"22",126.599998,127.349998,126.059998,126.980003,964400,113.427811
"23",127.599998,127.660004,126.470001,127.209999,1486600,113.63327
"24",127.059998,127.779999,126.82,127.290001,741000,113.70472
"25",127.540001,127.980003,126.809998,126.940002,1114600,113.392082
"26",126.919998,127.389999,126.519997,127.120003,759200,113.552879
"27",127.120003,128.259995,127.120003,127.260002,1164100,113.67794
"28",127.639999,128.100006,127.18,128,725200,114.338966
"29",128.339996,129.639999,128.339996,129.369995,897700,115.562737
"30",129.300003,129.710007,128.539993,129.600006,960900,115.768196
"31",129.190002,129.979996,128.899994,129.759995,838400,115.911102
"32",129.830002,130.309998,129.389999,130.259995,1185500,116.35775
"33",129.169998,130.360001,128.029999,130.309998,1939500,116.40242
"34",129.949997,130.899994,129.600006,130.410004,1502900,116.491753
"35",129.75,130.850006,129.649994,130.119995,1299600,116.232689
"36",130.479996,130.860001,129.369995,130.419998,1589000,116.500687
"37",130,131.679993,129.570007,131.679993,1661300,117.626198
"38",131.479996,132.009995,131.070007,131.880005,1125100,117.804863
"39",131.610001,132.199997,131.320007,132.009995,2274600,117.920967
"40",133.279999,135.240005,133.229996,134.919998,1884000,120.520401
