"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"581",35.369999,35.66,34.955002,35.48,3614400,33.161789
"582",35.514999,35.669998,35.404999,35.639999,3160200,33.311333
"583",35.709999,35.849998,35.145,35.215,5356800,32.914097
"584",35.25,35.455002,35.064999,35.275002,4485600,32.970173
"585",35.294998,35.41,34.48,34.634998,4562800,32.371994
"586",34.580002,34.939999,34.389999,34.924999,5282200,32.643047
"587",35.119999,35.494999,34.955002,35.435001,5392200,33.11972
"588",33.465,34.09,33.455002,33.98,7878000,31.759787
"589",33.349998,33.52,32.855,33.25,8448600,31.077494
"590",33.25,33.450001,33.02,33.09,5096200,30.927944
"591",32.615002,33.185001,32.455002,33.005001,4444200,30.848497
"592",32.794998,33.025002,32.215,32.82,4765600,30.675581
"593",32.055,32.145,31.575001,31.889999,5539400,29.806347
"594",31.924999,32.384998,31.875,32.080002,3415200,29.983934
"595",31.825001,32.325001,31.745001,32.16,4444600,30.058706
"596",32.375,32.794998,32.224998,32.305,3623200,30.194235
"597",32.115002,32.43,31.860001,32.084999,4173000,29.988609
"598",31.6,32.255001,31.559999,32.049999,3711000,29.955891
"599",32.330002,32.779999,32.279999,32.505001,3023000,30.381166
"600",32.419998,32.610001,32.130001,32.139999,2988000,30.040012
"601",31.92,32.720001,31.02,31.34,4841000,29.292284
"602",31.5,31.65,30.719999,30.860001,5881400,28.843647
"603",30.91,31.129999,30.309999,30.379999,6998300,28.39501
"604",30.299999,30.76,30.110001,30.5,4156200,28.507172
"605",30.629999,31.02,30.5,30.719999,4135800,28.712793
"606",30.34,30.9,29.98,30.59,7071700,28.591286
"607",30.01,31.110001,30.01,30.860001,5783200,28.843647
"608",31.219999,31.799999,31.110001,31.780001,4160300,29.703537
"609",31.870001,32.23,31.25,32.18,3725300,30.077402
"610",32.23,32.59,31.440001,31.959999,5133700,29.871773
"611",32.040001,32.560001,31.889999,32.259998,4010800,30.152172
"612",32.43,32.77,32.330002,32.639999,2194100,30.507345
"613",32.91,33.029999,32.259998,32.349998,2316100,30.236292
"614",32.43,32.630001,32.09,32.27,2955100,30.161522
"615",32.41,32.900002,32.259998,32.73,2958700,30.591465
"616",32.669998,32.68,31.129999,31.65,3531900,29.582031
"617",31.76,31.790001,31.299999,31.34,2589400,29.292284
"618",31.6,32.240002,31.48,32.110001,4010600,30.011976
"619",32.139999,32.529999,31.84,32.400002,3078700,30.283028
"620",32.939999,33.240002,32.560001,33.240002,6642400,31.068146
"621",33.009998,33.119999,32.48,32.599998,6595800,30.469954
"622",32.610001,32.830002,32.41,32.610001,3102500,30.479305
"623",32.59,32.75,32.009998,32.139999,4032500,30.040012
"624",32.299999,32.330002,31.92,31.950001,3066700,29.862429
"625",32.02,32.299999,31.84,32.209999,3425300,30.105442
"626",32.34,32.669998,32.110001,32.59,5227100,30.460613
"627",32.919998,33.09,32.369999,32.66,4257200,30.526037
"628",32.540001,32.610001,31.790001,32.119999,3206100,30.021322
"629",32.259998,32.299999,31.92,32.259998,1678300,30.152172
"630",32.09,32.18,31.68,32.09,1983800,29.99328
"631",32.049999,32.130001,31.709999,31.83,3462400,29.750273
"632",31.610001,31.719999,31.200001,31.57,6439500,29.507259
"633",31.700001,31.799999,30.91,31.25,8293700,29.208166
