"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"1",127.699997,127.93,125.989998,127.18,813900,109.08165
"2",127.660004,131.610001,127.220001,131.220001,1323500,112.54673
"3",130.199997,132.550003,128.759995,131.850006,1403000,113.08709
"4",131.589996,132.509995,131.210007,131.550003,757500,112.829781
"5",131.059998,131.399994,129.960007,130.240005,818800,111.706192
"6",129.820007,130.229996,128.710007,128.789993,675300,110.46254
"7",128.639999,129.470001,126.739998,127,913500,108.927254
"8",126.93,129.119995,126.510002,129.009995,696000,110.651207
"9",128.910004,129.529999,128.279999,128.5,513200,110.213799
"10",128.690002,129.490005,128.509995,129.399994,723300,110.985733
"11",129.589996,130.470001,128.919998,130.360001,611400,111.809105
"12",130.330002,130.479996,128.399994,128.449997,844900,110.170906
"13",128.610001,129.369995,128.179993,129.25,649400,110.857079
"14",128.880005,130.910004,128.679993,130.600006,615800,112.014938
"15",130.880005,132.429993,130.389999,132.210007,693700,113.395844
"16",132.610001,132.610001,129.949997,130.240005,796700,111.706192
"17",130.619995,131.5,130.309998,131.350006,440600,112.658234
"18",131.580002,131.690002,129.929993,130.75,537000,112.143616
"19",130.899994,130.899994,129.25,130.270004,772700,111.731918
"20",130.440002,132.369995,130.399994,130.899994,1015900,112.272255
"21",131.25,134.369995,129.130005,129.270004,1004900,110.874229
"22",129.089996,131.149994,129.089996,130.470001,670900,111.903465
"23",132.479996,133.479996,130.339996,130.720001,626400,112.117889
"24",130.770004,131.940002,130.479996,131.320007,547800,112.632515
"25",131.539993,133.309998,130.320007,130.639999,582100,112.049255
"26",130.729996,132.130005,130.639999,131.570007,649400,112.846909
"27",132.130005,132.479996,131.210007,131.979996,420200,113.198578
"28",131.820007,134.050003,131.470001,134,561500,114.931145
"29",134.350006,135.009995,133.279999,134.759995,671400,115.582977
"30",134.460007,136.039993,133.160004,135.789993,991900,116.4664
"31",135.309998,136.470001,134.520004,135.979996,1301900,116.629364
"32",136.220001,138.210007,135.470001,136.839996,891000,117.366959
"33",137.199997,137.5,135.729996,137.190002,1399100,117.667168
"34",136.869995,139.119995,136.839996,138.830002,729600,119.073784
"35",139.029999,139.160004,136.509995,138.660004,895600,118.928001
"36",138.970001,139.589996,138.309998,139.169998,681500,119.365402
"37",139.100006,139.100006,137.130005,138.119995,917300,118.464836
"38",138.440002,140.130005,137.660004,139.880005,721000,119.97438
"39",139.720001,139.720001,138.580002,139.029999,851100,119.245346
"40",138.949997,139.350006,137.690002,137.839996,876000,118.224686
"41",137.520004,137.690002,135.289993,135.559998,1161300,116.269104
"42",135.199997,135.820007,134.139999,135.479996,812300,116.200539
"43",135.210007,135.649994,134.339996,135.429993,701900,116.1576
"44",135.440002,135.75,134.850006,135.660004,495300,116.354904
"45",135.25,135.25,133.919998,134.089996,690400,115.008301
"46",134.389999,135.210007,131.860001,132.029999,945700,113.24144
"47",132.029999,133.940002,129.759995,130.429993,857000,111.869141
"48",130.520004,131.559998,129.830002,130.479996,944000,111.912033
"49",130.339996,130.720001,129.330002,129.929993,593600,111.440285
"50",130.369995,133.520004,129.809998,132.990005,954200,114.064865
"51",132.779999,133.660004,132.190002,132.460007,517800,113.610283
"52",132.710007,133.869995,132.199997,133.190002,899900,114.236382
"53",133.179993,133.949997,132.360001,133.110001,501900,114.167793
"54",133.720001,134.080002,132.009995,132.619995,869400,113.747482
"55",133.050003,133.399994,130.820007,132.240005,561100,113.421593
"56",132.059998,134.660004,132.039993,133.850006,984600,114.802475
"57",133.809998,134.350006,132.020004,132.479996,879200,113.627426
"58",132.179993,132.869995,130.850006,131.320007,634700,112.632515
"59",131.350006,131.910004,129.389999,131.320007,701500,112.632515
"60",130.699997,131.240005,130.130005,131.139999,1071700,113.124199
"61",130.830002,131.570007,130.050003,131.380005,664900,113.331223
"62",131.149994,132.559998,130.259995,132.410004,887500,114.219734
"63",132.5,133.399994,131.979996,133.020004,632200,114.745941
"64",132.949997,134.369995,131.690002,133.850006,1087600,115.461906
"65",133.889999,134.949997,133.75,134.169998,582200,115.737938
"66",133.960007,134.720001,133.399994,134.559998,687000,116.074348
"67",134.440002,136.029999,134.210007,134.679993,752300,116.177872
"68",134.5,136.070007,134.130005,135.649994,699900,117.014626
"69",135.690002,136.899994,135.309998,136.830002,637700,118.032509
"70",136.5,137.350006,136.149994,136.589996,1047800,117.825493
"71",136.520004,136.729996,135.059998,135.520004,640300,116.902481
"72",136.169998,136.889999,135.369995,136.869995,444200,118.066994
"73",136.539993,137.130005,135.279999,135.740005,501100,117.092262
"74",135.669998,135.990005,134.259995,134.679993,680600,116.177872
"75",134.970001,134.970001,133.080002,134.639999,546900,116.143379
"76",134.630005,135.020004,134.169998,134.350006,416800,115.893211
"77",134.550003,135.059998,131.880005,132.789993,579100,114.547516
"78",133.070007,134.050003,132.309998,133.970001,641300,115.565437
"79",132.539993,133.5,127.230003,127.349998,1192800,109.854851
"80",127.349998,127.879997,125.709999,125.989998,946800,108.681686
"81",125.650002,126.690002,125.559998,126.599998,805400,109.207878
"82",126.849998,127.32,125.970001,126.970001,591100,109.527046
"83",126.870003,127.190002,125.989998,126.860001,531800,109.432175
"84",127.309998,127.349998,124.309998,124.790001,670400,107.646545
"85",124.5,124.5,122.440002,123.370003,1009300,106.421638
"86",123.779999,124.059998,123.139999,123.900002,727100,106.878822
"87",124.279999,124.690002,122.510002,123.550003,754300,106.576904
"88",123.449997,123.620003,122.43,123.120003,432200,106.205978
"89",122.769997,123.599998,122.110001,123.019997,857900,106.119713
"90",122.129997,122.279999,120.68,121.239998,887900,104.584244
"91",121.260002,121.519997,120.620003,120.940002,703300,104.325455
"92",120.889999,121.730003,120.050003,120.529999,625800,103.971794
"93",121.029999,121.190002,119.940002,120.889999,754500,104.282333
