"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"487",175.350006,178.360001,172.240005,172.789993,6226100,161.634491
"488",173.389999,173.990005,167.729996,171.690002,5373800,160.60553
"489",174.300003,175.600006,171.240005,172.210007,5229400,161.09198
"490",173.75,176.869995,172.809998,174.210007,5912500,162.962845
"491",174.309998,174.910004,172.070007,173.869995,6102200,162.644791
"492",172.979996,175.139999,171.949997,172.289993,4265200,161.166779
"493",171.509995,171.990005,166.929993,167.970001,5631700,157.125717
"494",168.899994,171.949997,168.5,170.039993,4462200,159.062027
"495",170.919998,174.949997,166.770004,167.559998,6996900,156.742142
"496",166.279999,167.309998,162.229996,164.160004,7675600,153.561676
"497",162.809998,167.960007,160.169998,160.479996,13034100,150.119247
"498",160.160004,161.399994,158.089996,158.139999,4547400,147.930328
"499",159.460007,168.279999,159.440002,168.279999,6141500,157.415665
"500",166.440002,170.460007,163.360001,170.320007,5069300,159.323975
"501",171.220001,173.119995,168.600006,170.220001,4552000,159.230438
"502",171.470001,173.240005,170.649994,171.820007,4206000,160.727127
"503",169.710007,173.179993,169.050003,172.410004,4242900,161.279068
"504",171.839996,171.839996,168.210007,168.610001,4810500,157.724365
"505",170.179993,174.740005,169.520004,173.619995,4762600,162.410919
"506",173.830002,178.179993,173.830002,177.039993,4928800,165.610123
"507",178.570007,179.589996,175.610001,177.889999,4722400,166.405258
"508",177.869995,181.270004,177.100006,179.729996,4922000,168.126434
"509",178.029999,179.240005,176.339996,179.059998,3605300,167.499695
"510",177.929993,180.259995,177.119995,179.410004,3285100,167.827133
"511",177.589996,179.229996,176.899994,178.809998,3871400,167.265823
"512",176.080002,177.820007,175.199997,176.470001,5016100,165.07692
"513",177.089996,177.929993,175.860001,177.039993,4075400,165.610123
"514",174.009995,175.460007,172,174.869995,6499200,163.580215
"515",176.979996,180.039993,176.179993,179.580002,6371100,167.98613
"516",177.490005,178.600006,175.360001,177.110001,6272700,165.675629
"517",176.589996,178.059998,174.529999,176.889999,4910400,165.469818
"518",177,177.529999,175.300003,177.289993,3860100,165.843994
"519",179.779999,180.869995,178.610001,180.399994,4501800,168.753204
"520",178.970001,179.990005,177.410004,179.830002,4091400,168.220001
"521",178.960007,180.149994,178.089996,179.690002,3686900,168.08905
"522",180.470001,184.199997,179.779999,182.179993,5197700,170.418243
"523",181.5,184.669998,181.059998,183.529999,5138000,171.681137
"524",184.029999,185.149994,182.830002,184.369995,4513100,172.466888
"525",184.300003,186.429993,183.839996,186.429993,3050200,174.393906
"526",186.889999,186.990005,184.690002,186.389999,4135200,174.356461
"527",186.690002,186.690002,184.059998,184.720001,3072500,172.794312
"528",183.740005,184.919998,182.449997,184.070007,2793400,172.186249
"529",183.050003,184.580002,182.720001,184.539993,2792300,172.6259
