"","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"1",30.559999,30.66,29.9,30.120001,2441200,30.120001
"2",30.15,30.540001,30.08,30.42,2322200,30.42
"3",30.26,30.92,30.23,30.83,3113700,30.83
"4",30.799999,31.219999,30.52,31.01,1926200,31.01
"5",31,31.49,30.809999,31.309999,2025700,31.309999
"6",31.459999,32.060001,31.450001,31.959999,1845100,31.959999
"7",32.25,32.889999,31.889999,32.119999,2360900,32.119999
"8",32.049999,32.169998,31.440001,31.85,1337600,31.85
"9",31.83,32.330002,31.809999,32.290001,743300,32.290001
"10",32.290001,32.470001,31.42,31.700001,7723300,31.700001
"11",31.65,31.959999,31.360001,31.85,2121900,31.85
"12",32.330002,32.740002,32.220001,32.349998,5443700,32.349998
"13",32.349998,32.59,32.18,32.32,2652000,32.32
"14",32.299999,32.459999,31.860001,32.189999,2769900,32.189999
"15",32.25,32.700001,32.18,32.66,1464200,32.66
"16",32.970001,33.360001,32.599998,32.810001,1343100,32.810001
"17",32.970001,33.130001,32.349998,32.57,1462800,32.57
"18",32.549999,32.849998,32.27,32.779999,1207900,32.779999
"19",32.73,32.84,32.049999,32.810001,1599500,32.810001
"20",32.84,33.389999,32.57,33.259998,2207300,33.259998
"21",33.259998,33.43,32.720001,33.099998,1784500,33.099998
"22",33.029999,33.490002,32.779999,33.18,4434400,33.18
"23",37.150002,38.009998,36.099998,37.720001,12706200,37.720001
"24",37.66,38.330002,36.799999,37.830002,3762900,37.830002
"25",38,38.240002,37.57,37.759998,1934100,37.759998
"26",37.700001,37.860001,37.209999,37.419998,2624500,37.419998
"27",37.380001,38.240002,37.279999,37.990002,1551200,37.990002
"28",37.75,38.130001,37.59,37.68,1521500,37.68
"29",37.720001,38.009998,37.549999,37.799999,1353700,37.799999
"30",37.700001,37.959999,37.41,37.77,2861500,37.77
"31",37.810001,38.07,37.57,37.950001,1168400,37.950001
"32",37.919998,38.09,37.029999,37.240002,1561900,37.240002
"33",37.049999,37.580002,36.900002,37.459999,1249900,37.459999
"34",37.259998,37.759998,37.209999,37.380001,1268300,37.380001
