Symbol
A
AAPL
ABC
ABT
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AET
AIG
AIV
AIZ
AKAM
ALL
AMAT
AMGN
AMP
AMT
AMZN
AN
ANTM
AON
APA
APD
APH
AVB
AVY
AZO
BA
BAC
BAX
BBBY
BBT
BBY
BCR
BDX
BEN
BFB
BHI
BIIB
BK
BLK
BLL
BMY
BRKB
BSX
BWA
BXP
C
CA
CAG
CAH
CAT
CB
CB
CBG
CBS
CCL
CELG
CERN
CF
CHK
CHRW
CI
CINF
CL
CLX
CMA
CMCSA
CMG
CMI
CMS
CNP
COF
COG
COH
COL
COP
COST
CPB
CRM
CSCO
CSX
CTAS
CTL
CTSH
CTXS
CVS
CVX
D
DD
DE
DGX
DHI
DHR
DIS
DISCA
DLTR
DNB
DOV
DOW
DPS
DRI
DTE
DUK
DVA
DVN
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EQR
EQT
ES
ESRX
ETFC
ETN
ETR
EW
EXC
EXPD
EXPE
F
FAST
FCX
FDX
FE
FFIV
FIS
FISV
FITB
FLIR
FLR
FLS
FMC
FSLR
FTI
FTR
GD
GILD
GIS
GLW
GOOGL
GPC
GPS
GS
GT
GWW
HAL
HAR
HAS
HBAN
HCN
HCP
HD
HES
HIG
HOG
HP
HPQ
HRB
HRL
HRS
HST
HSY
HUM
IBM
ICE
IFF
INTU
IP
IPG
IR
IRM
ISRG
ITW
IVZ
JCI
JEC
JNJ
JNPR
JPM
JWN
K
KEY
KIM
KLAC
KMB
KMX
KO
KR
KSS
LEG
LEN
LH
LLL
LLTC
LLY
LNC
LOW
LUK
LUV
M
MA
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDT
MJN
MKC
MMC
MMM
MO
MON
MOS
MRK
MRO
MS
MSFT
MSI
MU
MUR
MYL
NBL
NDAQ
NEE
NEM
NFLX
NFX
NI
NKE
NOV
NRG
NSC
NTAP
NTRS
NUE
NVDA
NWL
OKE
OMC
ORCL
ORLY
OXY
PAYX
PBCT
PBI
PCAR
PCG
PCLN
PDCO
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKI
PLD
PM
PNC
PNW
PPG
PPL
PRGO
PRU
PSA
PWR
PX
PXD
R
RAI
RHI
RHT
RL
ROK
ROP
ROST
RRC
RSG
RTN
SBUX
SCG
SE
SEE
SHW
SJM
SNA
SNI
SO
SPG
SPLS
SRCL
SRE
STI
STT
STZ
SWK
SWN
SYK
SYMC
SYY
T
TAP
TDC
TEL
TGNA
TGT
TIF
TJX
TMK
TMO
TRIP
TROW
TSN
TSO
TSS
TWX
TXN
TXT
UNH
UNP
UPS
URBN
USB
UTX
VAR
VFC
VIAB
VLO
VMC
VNO
VRSN
VTR
VZ
WAT
WDC
WEC
WFC
WFM
WHR
WM
WMB
WMT
WU
WY
WYN
WYNN
XEL
XL
XLNX
XOM
XRAY
XRX
XYL
YHOO
YUM
ZBH
ZION
