"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"248",129.770004,130.720001,129.350006,129.710007,111500,124.827515
"249",129.699997,131.070007,129.610001,130.570007,140700,125.655159
"250",130.580002,130.839996,129.139999,130.699997,83900,125.780235
"251",131.100006,131.479996,129.509995,129.649994,207900,124.769768
"252",129.720001,131.610001,129.279999,131.169998,239200,126.232582
"253",131.050003,132.289993,130.520004,131.029999,183100,126.097839
"254",131.539993,132.350006,131.139999,132.039993,173700,127.069809
"255",132.479996,132.639999,131.679993,132.199997,114500,127.223793
"256",132.089996,133.059998,130.919998,131.479996,161600,126.530884
"257",131.809998,132.100006,130.850006,131.479996,109100,126.530884
"258",130.860001,130.940002,129.089996,130.369995,130300,125.462669
"259",130.559998,131.789993,129.589996,131.520004,249100,126.569389
"260",131.229996,131.940002,130.229996,131.210007,111500,126.271049
"261",131.309998,131.339996,128.490005,128.75,220200,123.903641
"262",129.320007,131.169998,129.320007,130.899994,128200,125.972725
"263",130.649994,130.789993,129.279999,129.559998,140900,124.683167
"264",130.220001,131.229996,129.869995,130.550003,209500,125.635887
"265",129.929993,130.929993,128.039993,129.990005,349600,125.096992
"266",130.020004,131.110001,129.039993,131.100006,181700,126.165176
"267",131.580002,135.669998,131.089996,135.589996,314400,130.486176
"268",135.919998,136.380005,133.669998,135.860001,256200,130.746033
"269",135.889999,136,134.139999,135.669998,148700,130.563171
"270",135.110001,136.190002,133.509995,134.770004,184500,129.697083
"271",134.440002,135.889999,132.949997,134.860001,117000,129.783646
"272",135.039993,136.720001,134.25,135.240005,153800,130.149338
"273",134.949997,135.25,132.660004,133.380005,149900,128.35936
"274",132.470001,134.259995,131.940002,132.490005,155100,127.502899
"275",131.350006,133.410004,128.580002,129.520004,270400,124.644669
"276",127.110001,131.729996,125.559998,128.529999,282400,123.69194
"277",128.160004,131.75,128.160004,130.479996,143100,125.568527
"278",130.470001,130.470001,125.690002,125.809998,192300,121.074318
"279",126.879997,129.649994,123.879997,128.860001,295200,124.009514
"280",129.429993,131.220001,127.550003,129.869995,224300,124.981499
"281",130.119995,131.169998,128.300003,130.429993,150600,125.520432
"282",129.580002,134.339996,129.580002,134.270004,302100,129.215881
"283",138.119995,149.880005,136.630005,147,660800,141.466705
"284",146.75,150.259995,146,149.399994,417100,143.776337
"285",147.270004,149.039993,144.850006,145.229996,498200,139.763321
"286",145.009995,145.199997,143.029999,143.630005,315200,138.223572
"287",144.350006,144.970001,139.809998,142.190002,293600,136.837723
