"","RCL.Open","RCL.High","RCL.Low","RCL.Close","RCL.Volume","RCL.Adjusted"
"1",82.720001,84.57,82.720001,83.870003,1739500,77.689896
"2",83.919998,85.199997,83.519997,84.5,1691300,78.273483
"3",84.599998,85.5,84.459999,85,1409500,78.736626
"4",85.279999,85.379997,84.239998,84.330002,1450700,78.115997
"5",84.360001,85.110001,84.050003,84.550003,1333500,78.319809
"6",84.769997,86.779999,84.360001,85.93,1530400,79.598106
"7",85.900002,86.669998,85.019997,86.620003,1121400,80.237274
"8",86.43,86.470001,84.779999,85.889999,1370500,79.56105
"9",85.629997,86.029999,84.889999,85.089996,1108400,78.819992
"10",84.879997,85.110001,84.029999,84.989998,1015800,78.727364
"11",84.900002,86.349998,84.050003,85.510002,1401500,79.209061
"12",84.720001,85.940002,84.260002,84.559998,1759200,78.329048
"13",84.830002,86.540001,84.5,85.040001,2201700,78.773682
"14",84.970001,85.18,84.519997,84.959999,2373900,78.699577
"15",85.220001,86.360001,85.160004,86.029999,3030900,79.690742
"16",86.75,88.230003,86.480003,87.669998,3403400,81.2099
"17",93.050003,96.089996,92.279999,95.639999,7610500,88.592621
"18",95.519997,95.599998,93.790001,94.559998,3285800,87.592186
"19",95.230003,95.739998,93.620003,94.400002,2137300,87.443985
"20",94.419998,94.459999,92.650002,93.629997,1884700,86.730713
"21",93.940002,95.019997,93.629997,94.330002,2154900,87.379128
"22",94.209999,94.82,93.610001,94.029999,1336700,87.101242
"23",94.010002,95.279999,93.959999,94.519997,1578200,87.555138
"24",94.18,95.139999,94.080002,94.809998,1226000,87.823761
"25",95.209999,95.5,94.57,95.029999,1131400,88.027557
"26",94.989998,95.370003,94.580002,94.970001,1495900,87.971985
"27",94.970001,95.470001,94.769997,95.370003,1348200,88.342514
"28",95.43,96.220001,94.940002,95.839996,1340700,88.77787
"29",96.489998,97.029999,96.099998,96.5,1177500,89.389236
"30",96.440002,97.07,96.220001,96.519997,906700,89.407761
"31",96.139999,97.419998,95.68,96.75,1357000,89.620811
"32",96.68,96.849998,95.419998,95.93,1303100,88.861244
"33",95.699997,95.82,94.43,95.209999,1495000,88.194305
"34",95.220001,96.050003,94.93,95.489998,1632800,88.453651
"35",95.459999,96.209999,95,95.949997,2058300,88.879753
"36",96.550003,97.389999,95.419998,95.529999,1487600,88.490715
"37",95.629997,96.150002,94.650002,96.150002,1215600,89.065025
"38",95.959999,96.889999,95.57,96.690002,1403500,89.565239
"39",96.650002,97.150002,96.080002,96.099998,1284800,89.018723
"40",96.870003,97.669998,96.529999,97.309998,1247800,90.139549
"41",97.480003,97.480003,96.769997,97.18,828600,90.019127
"42",96.419998,97.07,94.660004,95.480003,1827600,88.883415
"43",94.620003,94.980003,93.400002,94.809998,1563700,88.259705
"44",94.669998,94.910004,94.07,94.540001,1361300,88.008369
"45",95.050003,96.089996,94.860001,95.370003,1511400,88.781036
"46",95.910004,96.129997,94.889999,95.5,847200,88.902039
"47",95.75,97.720001,95.75,97.25,1672400,90.531128
"48",97.510002,97.650002,96.400002,96.889999,1165300,90.196007
"49",96.779999,96.82,95.440002,95.940002,1040400,89.311646
"50",96.18,97,95.860001,96.75,781800,90.065681
"51",96.900002,97.239998,96.449997,96.989998,841100,90.289108
"52",97.010002,98.459999,96.879997,97.800003,1697600,91.043144
"53",97.900002,98.019997,97.059998,97.910004,798000,91.145538
"54",98.559998,99,96.629997,97.050003,1075500,90.344948
"55",96.720001,99.07,95.559998,98.75,1452000,91.927505
"56",99.050003,100.480003,99.050003,99.349998,1636300,92.486038
"57",99.419998,99.790001,98.18,98.57,913900,91.759941
"58",98.110001,99.57,97.330002,99.279999,1093600,92.420876
"59",99.879997,101.110001,99.760002,100.32,1372900,93.389023
"60",100,100.440002,98.629997,98.919998,1123200,92.085762
"61",98.919998,99.739998,98.919998,99.650002,1090600,92.765335
"62",99.660004,99.879997,98.050003,98.110001,1499300,91.331711
"63",98.32,98.459999,96.779999,97.699997,995900,90.950027
"64",97.900002,98.57,97.410004,98.110001,942400,91.331711
"65",98.410004,99.540001,97.660004,98.160004,1063800,91.378265
"66",97.860001,99.220001,97.120003,98.779999,927100,91.955421
"67",98.690002,98.760002,96.529999,97.389999,1917900,90.661461
"68",97.379997,98.709999,97.120003,97.949997,1496500,91.182777
"69",97.290001,97.879997,94.849998,95.300003,2507800,88.715874
"70",95.349998,95.870003,93.949997,94.720001,1422500,88.175934
"71",94.57,95.349998,93.860001,94.360001,1677900,87.840805
"72",94.910004,96.150002,94.349998,95.940002,1082500,89.311646
"73",95.709999,95.919998,94.580002,95.550003,919800,88.948593
"74",96.169998,97.050003,95.599998,95.910004,984200,89.283722
"75",96.32,97.980003,96.32,97.209999,1744600,90.493896
"76",96.970001,97.830002,96.900002,97.330002,1025000,90.605606
"77",98.849998,99.489998,96.910004,97.440002,1783100,90.708008
"78",98.150002,99.440002,97.839996,99.150002,1463300,92.299873
"79",99.269997,100.919998,99.139999,100.470001,1328900,93.528664
"80",100.839996,102.68,100.309998,100.5,3007300,93.55661
"81",106.32,110.599998,105.419998,106.599998,6738300,99.235153
"82",106.800003,110.32,106.080002,108.410004,3561200,100.920105
"83",108.730003,108.949997,106.459999,108.07,2139100,100.6036
"84",107.980003,108.25,107.129997,108.099998,1280000,100.631516
"85",108.440002,108.910004,107.470001,107.919998,2416600,100.463959
"86",108.360001,108.919998,107.860001,108.620003,886400,101.115593
"87",108.349998,109,107.690002,107.970001,865000,100.510506
"88",108.220001,109.160004,108.150002,108.82,879200,101.301773
"89",108.879997,108.879997,107.550003,108.339996,1196800,100.85495
"90",108,108.330002,106.68,108.260002,985700,100.780472
"91",108.129997,108.559998,107.260002,107.57,1079300,100.138145
"92",107.309998,108.160004,106.970001,108.120003,1005800,100.650146
"93",108.389999,108.389999,107.099998,107.339996,786900,99.924019
"94",107.339996,107.339996,103.519997,103.650002,1677200,96.48896
"95",104.010002,105.970001,103.739998,104.980003,1087900,97.727074
"96",105.760002,106.870003,105.050003,106.150002,1144300,98.816246
"97",106.190002,107.349998,105.610001,107.209999,940100,99.803001
"98",107.089996,108.040001,106.480003,107.139999,1003500,99.737846
"99",107.459999,108.370003,106.919998,108.18,856600,100.706001
"100",109.129997,111,108.580002,110.260002,1672300,102.642281
"101",110.010002,111.449997,110,111.080002,1090800,103.40564
"102",110.970001,111.139999,110.07,110.43,1184000,102.800545
"103",110.449997,111.050003,109.75,110.18,1774400,103.015594
"104",110.610001,112.949997,110.290001,112.75,1430600,105.418472
"105",113.25,114.5,113.220001,113.379997,1086000,106.007515
"106",113.110001,113.25,112.050003,112.059998,917300,104.773346
"107",111.769997,112.309998,110.830002,110.849998,1522600,103.642044
"108",111.470001,112.620003,110.389999,112.150002,1273300,104.857498
"109",112.150002,113.699997,111.779999,112.82,1043000,105.483932
"110",112.879997,113.529999,108.860001,109.82,1634300,102.679001
"111",109.669998,110,106.660004,109.900002,2041500,102.753807
"112",111.190002,112.610001,110.639999,110.830002,1544000,103.623329
"113",112,112.82,110.730003,111.639999,1351300,104.380646
"114",110.489998,112.129997,109.559998,112.07,1432300,104.782692
"115",111.589996,112.349998,110.730003,111.900002,1480300,104.623756
"116",112.489998,113.449997,112.309998,113.300003,1128800,105.932716
"117",113.379997,113.68,111.580002,111.669998,753300,104.408707
"118",112,114.339996,112,113.910004,1605200,106.503052
"119",113.82,115.629997,112.089996,112.150002,1717000,104.857498
"120",112.169998,112.360001,110.839996,111.860001,1593200,104.586349
"121",111.919998,112.760002,111.209999,111.330002,939000,104.090828
"122",111.330002,111.519997,108.809998,108.889999,1275500,101.809479
"123",109.769997,110.949997,109.769997,110.75,1224500,103.548523
"124",110.650002,110.82,107.870003,109.269997,1032000,102.164764
"125",109.43,109.839996,108.419998,109.230003,1137700,102.127365
"126",109.709999,111.220001,108.82,108.839996,723800,101.762733
"127",109.019997,111.099998,109,110.639999,1135400,103.445686
"128",109.769997,109.769997,108.129997,108.57,992100,101.510284
"129",108.980003,110,108.580002,109.199997,930200,102.099327
"130",109.300003,109.68,108.889999,109.190002,730400,102.089966
"131",109.139999,109.389999,107.790001,109.260002,953600,102.155411
"132",109.730003,110.379997,109.599998,110.019997,1060500,102.86599
"133",110.089996,110.309998,108.849998,109.550003,795400,102.426552
"134",109.300003,109.870003,108.489998,108.889999,881900,101.809479
"135",108.900002,111.970001,108.650002,111.489998,1496500,104.240402
"136",111.269997,112.290001,110.800003,111.849998,872100,104.576996
"137",112.040001,112.599998,111.610001,112.559998,1166100,105.240829
"138",113.730003,116.360001,113.730003,115.260002,1890500,107.765274
"139",115,116.199997,114.769997,114.910004,1467900,107.438026
"140",114.650002,116.279999,114.529999,115.739998,1425800,108.214043
"141",116.5,116.889999,114.629997,114.919998,1137600,107.447395
"142",115.279999,115.440002,114.25,114.449997,811100,107.007942
"143",115.059998,115.139999,112.32,113.290001,1132300,105.92337
"144",112.610001,113.739998,112.190002,113.389999,899900,106.016861
"145",114.190002,114.989998,112.870003,113.07,1709400,105.717674
"146",117.980003,120,116.209999,116.870003,3280400,109.270569
"147",117.639999,117.68,114.660004,117.389999,2631500,109.756767
"148",117.5,120.470001,117,119.919998,2286900,112.122253
"149",119.949997,120.959999,119.360001,119.690002,1529100,111.907227
"150",120,120,117.629997,117.760002,2100600,110.102715
"151",117.830002,121.470001,117.800003,119.800003,2409100,112.010056
"152",118.800003,120.510002,118.059998,120.489998,1959800,112.655182
"153",119.389999,119.849998,116.379997,117.309998,2002600,109.681969
"154",116.410004,117.739998,115.449997,117.220001,1787400,109.597824
"155",118.419998,119.919998,118,119.610001,1785000,111.832413
"156",120.690002,122.959999,120.400002,121.720001,1934700,113.805199
"157",122.220001,122.599998,121.110001,121.230003,1515200,113.347076
"158",121,121.150002,119.120003,119.220001,2024100,111.467773
"159",119.209999,120,118.370003,118.809998,1747300,111.084427
"160",119.18,120.230003,118.910004,119.989998,1528100,112.187714
"161",120,121.360001,119.879997,121.010002,1458400,113.141388
"162",120.449997,121.470001,120.449997,120.620003,1058500,112.776741
