"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"987",87.769997,87.940002,85.080002,86.260002,1311100,85.250404
"988",85.949997,86.910004,85.580002,86.589996,1148400,85.576538
"989",86.349998,87.269997,85.830002,86.339996,1109300,85.329468
"990",86.25,87.470001,86.18,86.760002,1367900,85.744553
"991",86.260002,87.410004,86,87.089996,1499900,86.070686
"992",87.129997,87.5,86.050003,86.440002,1158000,85.428299
"993",86.690002,87.199997,85.050003,85.330002,1222600,84.331291
"994",85.370003,86.25,85.199997,85.849998,1226700,84.845207
"995",85.980003,86.839996,85.760002,86.059998,1049300,85.052742
"996",86.379997,87.190002,85.959999,86.160004,1377600,85.151573
"997",86.389999,87.639999,86.269997,86.669998,923400,85.655609
"998",87.059998,87.860001,86.809998,87.209999,963900,86.189285
"999",87.260002,88.279999,86.699997,88.150002,2454400,87.118279
"1000",87.220001,87.709999,86,86.540001,1356200,85.52713
"1001",86.199997,86.910004,85.790001,86.559998,1122800,85.54689
"1002",86.699997,87.389999,86.669998,86.940002,681900,85.92244
"1003",86.779999,87.290001,86.389999,86.860001,281900,85.843376
"1004",87.550003,87.849998,86.839996,87.480003,636400,86.456123
"1005",87.709999,88.449997,86.839996,87.080002,657400,86.060806
"1006",87,87.489998,86.68,86.709999,701200,85.695129
"1007",86.93,87.260002,86.199997,87.230003,1651400,86.209053
