"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"991",151.839996,153.410004,151.139999,152.399994,1525400,149.568481
"992",153.539993,154.25,151.550003,153.029999,2088900,150.186813
"993",152.100006,154.770004,151.770004,153.679993,1997100,150.824722
"994",152.470001,154.220001,152.470001,153.740005,1504500,150.883621
"995",155.529999,155.529999,150.740005,150.860001,1639100,148.057114
"996",152.210007,154.429993,150.759995,154.389999,1825200,151.52153
"997",154.539993,154.660004,152.110001,154.160004,1563300,151.295822
"998",153.699997,154.179993,152.429993,153.410004,1671300,151.325409
"999",153.639999,154.339996,151.199997,152.360001,3609400,150.289658
"1000",152.929993,153,149.5,151.75,1638800,149.687958
"1001",149.160004,151.229996,149.160004,150.169998,1523300,148.129425
"1002",151.179993,151.919998,150.389999,151.059998,965100,149.007324
"1003",151.320007,151.320007,149.600006,150.830002,422400,148.780457
"1004",151.589996,153.029999,150.770004,151.880005,865900,149.816193
"1005",153.009995,153.009995,150.669998,150.899994,727400,148.849503
"1006",151.630005,152.679993,151.309998,151.929993,675300,149.865509
"1007",152.360001,154.119995,150.619995,153.919998,1220300,151.828445
