"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume","MCHP.Adjusted"
"1",32.255001,32.490002,31.584999,31.924999,5107400,29.64039
"2",32.035,32.064999,31.725,31.91,4460600,29.626463
"3",31.77,31.915001,31.105,31.295,5424800,29.055473
"4",31.375,31.965,31.26,31.84,2737200,29.561474
"5",31.805,32.41,31.805,32.209999,3907400,29.904991
"6",32.209999,32.490002,32.060001,32.424999,2316600,30.104605
"7",32.345001,33.255001,32.25,33.240002,6496600,30.861288
"8",33.18,33.314999,32.735001,33.240002,4881800,30.861288
"9",33.310001,33.349998,33.115002,33.169998,2763600,30.796288
"10",33.009998,33.064999,32.34,32.474998,2971800,30.151026
"11",32.605,33.325001,32.514999,33.25,6319400,30.870569
"12",33.150002,33.595001,32.799999,32.845001,3190600,30.494553
"13",32.98,33.485001,32.924999,33.465,3904200,31.070183
"14",33.360001,33.599998,33.185001,33.514999,3516400,31.116613
"15",33.669998,33.98,33.529999,33.950001,3504800,31.520489
"16",34.200001,34.509998,34.125,34.41,4255800,31.947557
"17",34.470001,34.470001,33.790001,33.814999,5307800,31.395124
"18",33.974998,34.389999,33.915001,34.380001,2840800,31.919703
"19",34.325001,34.544998,33.884998,34.529999,3304200,32.058971
"20",34.415001,34.43,33.424999,33.674999,4797400,31.265165
"21",33.855,34.259998,33.685001,34.205002,3876000,31.757229
"22",33.915001,34.415001,33.720001,34.389999,3521000,31.928993
"23",34.610001,34.865002,34.244999,34.715,3699000,32.230732
"24",34.575001,34.715,34.415001,34.584999,4488200,32.110027
"25",34.639999,34.825001,34.514999,34.810001,4644400,32.318932
"26",38.25,38.25,36.509998,36.900002,23618800,34.259365
"27",36.049999,36.75,35.310001,35.465,60882200,32.927063
"28",35.27,35.509998,34.880001,35.450001,35279600,32.913136
"29",35.52,35.764999,35.205002,35.330002,14991800,32.80172
"30",35.314999,35.66,35.09,35.389999,10793800,32.85743
"31",35.48,36.029999,35.360001,35.950001,11276800,33.377361
"32",35.775002,35.875,35.485001,35.855,6523000,33.457134
"33",35.77,35.849998,35.529999,35.84,4589800,33.443134
"34",35.945,36.264999,35.875,36.240002,7802000,33.816395
"35",36.255001,36.564999,36.119999,36.52,8645800,34.07766
"36",36.52,36.549999,36.169998,36.355,8552400,33.923695
"37",36.119999,36.455002,35.919998,36.415001,5587200,33.979687
"38",36.355,36.575001,36.209999,36.564999,6677200,34.119648
"39",36.470001,36.610001,36.049999,36.259998,11334800,33.835052
"40",36.619999,36.900002,36.115002,36.82,11052800,34.357601
"41",36.654999,36.915001,36.375,36.505001,6169400,34.06366
"42",36.560001,36.685001,36.355,36.650002,4747200,34.198967
"43",36.435001,37.099998,36.310001,36.959999,7180000,34.488239
"44",36.924999,37.240002,36.700001,36.919998,8834400,34.450905
"45",37.060001,37.314999,36.695,36.764999,7071800,34.306271
"46",36.715,36.810001,36.509998,36.740002,3430600,34.282959
"47",37.055,37.195,36.875,36.974998,3061800,34.502232
"48",37.040001,37.290001,36.935001,37.25,3232800,34.758839
"49",37.154999,37.154999,36.855,36.994999,3572000,34.520901
"50",37.084999,37.325001,36.84,37.259998,4494800,34.768177
"51",37.375,37.450001,36.924999,37.060001,3393600,34.581547
"52",37.240002,37.43,37.07,37.139999,6808800,34.656193
"53",37.200001,37.389999,37.105,37.174999,2861200,34.688858
"54",37.314999,37.41,36.115002,36.169998,5158600,33.75106
"55",36.255001,36.845001,36.174999,36.75,4473200,34.292278
"56",36.689999,36.689999,36.240002,36.375,3572800,33.94236
"57",36.794998,37.064999,36.474998,36.575001,4031400,34.12899
"58",36.299999,36.709999,35.939999,36.41,3799400,33.975021
"59",36.404999,37.02,36.305,36.75,4062400,34.292278
"60",36.57,36.939999,36.505001,36.84,5091400,34.376251
"61",36.814999,37.185001,36.75,36.939999,2651800,34.469578
"62",36.855,37.165001,36.5,36.889999,4746200,34.42292
"63",36.970001,37.23,36.23,36.605,4203400,34.156979
