"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"1",118.779999,119.470001,116.970001,117.970001,2989100,102.169937
"2",118.32,119.269997,117.760002,118.970001,2279700,103.036018
"3",118.410004,119.029999,116.599998,117.379997,2405000,101.658958
"4",118.209999,119.739998,117.849998,119.050003,3003900,103.105301
"5",118.309998,118.5,117.07,118.199997,3294300,102.369125
"6",118.010002,118.849998,117.529999,118.669998,2914400,102.776176
"7",117.93,121.330002,117.519997,121.330002,4408600,105.079918
"8",120.129997,120.300003,116.730003,117.93,3970800,102.600388
"9",118.959999,121.25,117.18,118.790001,4034700,103.348618
"10",117.940002,117.989998,113.699997,113.93,4301500,99.120361
"11",114.690002,116.389999,113.660004,116.32,3086200,101.199677
"12",116.669998,117.300003,115.040001,115.610001,2589900,100.58197
"13",116.290001,117.589996,115.989998,117.349998,2876800,102.095787
"14",116.809998,117.860001,116.5,116.93,2485800,101.730392
"15",117.5,119.440002,116.919998,118.660004,2566000,103.235512
"16",120,121.190002,119.529999,121.010002,2572900,105.280014
"17",121.169998,121.980003,120.739998,121.629997,1947000,105.819435
"18",121.339996,121.900002,120.889999,121.639999,1609000,105.828133
"19",120.970001,121.110001,119.639999,120.379997,1995400,104.731926
"20",120.160004,121.019997,119.589996,120.459999,2620200,104.801529
"21",121.660004,122.580002,121.019997,121.139999,2673200,105.39312
"22",120.199997,120.760002,119,120.010002,2090800,104.410019
"23",122.18,122.419998,121.059998,122.160004,1955200,106.28054
"24",121.610001,122.82,121.339996,122.410004,1563900,106.498055
"25",122.809998,123.25,121.279999,121.470001,2680900,105.680229
"26",122.199997,122.199997,120.5,121.459999,2892400,105.671539
"27",121.459999,122.93,121.279999,122.389999,2076700,106.480637
"28",123.300003,123.540001,122.68,123.099998,2099000,107.098343
"29",124,125.349998,123.620003,124.419998,1929500,108.246765
"30",124.540001,126.230003,123.769997,126.099998,2420200,109.708382
"31",126.279999,127.919998,125.370003,127.760002,2589500,111.152618
"32",127.300003,127.660004,126,126.959999,1930800,110.456596
"33",125.730003,126.889999,125.449997,126.860001,1734000,110.369591
"34",127.43,127.839996,126.769997,127.550003,1748600,110.969917
"35",126.779999,128.520004,126.690002,127.760002,1541700,111.152618
"36",127.839996,128.229996,126.839996,128.139999,1221200,111.4832
"37",126.919998,127.419998,126.139999,126.879997,2586300,110.386978
"38",127.190002,128.490005,126.800003,128.130005,1895300,111.474525
"39",127.360001,127.980003,126.660004,127.230003,2343300,110.691498
"40",130.479996,131.830002,129.860001,130.850006,3367200,113.840958
"41",130.979996,131.009995,127.389999,127.510002,2092400,110.935097
"42",127.410004,128.25,126.980003,127.830002,2493200,111.213501
"43",126.760002,127.93,126.089996,127.589996,2289900,111.004692
"44",127.400002,128.050003,126.400002,127.400002,1764800,110.839378
"45",128.919998,129.339996,127.459999,127.550003,2258500,110.969917
"46",128.039993,129.289993,127.239998,127.480003,3435700,110.908989
"47",128.25,128.490005,125.440002,126.459999,3731100,110.021576
"48",126.650002,126.879997,125.709999,126.400002,1815100,109.969383
"49",125.900002,126.419998,124.690002,126.220001,1660600,109.812782
"50",126.739998,126.739998,124.620003,125.230003,2106600,108.951469
"51",125.769997,126.279999,124.900002,125.720001,2413600,109.377777
"52",125.919998,126.209999,124.349998,124.349998,5739000,108.185875
"53",124.160004,125.309998,123.739998,123.790001,2576000,107.698654
"54",124.129997,124.339996,118.589996,118.699997,6317000,103.270302
"55",117.900002,119.300003,116.489998,118.650002,4424000,103.226807
"56",118.669998,121.260002,118.150002,119.279999,4002600,103.774895
"57",119.900002,120.580002,118.589996,119.400002,2425900,103.879311
"58",116.5,118.440002,115.25,118.199997,3440300,102.835304
"59",118.059998,120.809998,117.720001,120.269997,2657600,104.636215
"60",120.07,120.639999,119.290001,119.339996,1758600,103.827103
"61",119.220001,122,119.220001,121.529999,2091300,105.732422
"62",120.970001,121.25,120.160004,120.239998,2189200,104.6101
"63",120.650002,121,118.339996,119.839996,2124200,104.262108
"64",119.330002,119.989998,118.68,119.150002,1871700,103.661797
"65",120.779999,121.019997,118.139999,118.290001,1872800,102.913582
"66",118.25,119.790001,117.480003,119.260002,2071700,103.7575
"67",118.519997,119.839996,118,119.169998,1921000,103.679199
"68",119.080002,119.639999,117.889999,118.370003,2084300,102.9832
"69",117.440002,118.07,116.07,118.029999,3339500,102.687378
"70",116.989998,117.699997,115.870003,116,3039100,101.39373
"71",118,120.650002,115.599998,115.800003,5112400,101.218925
"72",115.980003,118.529999,115.449997,118.410004,3241200,103.500305
"73",117.410004,118.43,115.769997,116.410004,2915200,101.752129
"74",117.459999,118.370003,115.970001,116.480003,2275100,101.813324
"75",117.309998,119.190002,116.699997,118.830002,2053600,103.867416
"76",118.550003,119.470001,117.830002,118.169998,1960600,103.290527
"77",121,121.800003,120.169998,120.860001,2727700,105.641792
"78",122.059998,122.730003,121.07,121.110001,2955600,105.860321
"79",121.290001,122.989998,121.099998,122,2052200,106.638252
"80",122.169998,122.459999,120.139999,121.019997,1556000,105.781639
"81",120.690002,121.57,119.739998,119.75,1865200,104.67157
"82",120.690002,121.860001,119.860001,121.150002,1857400,105.895271
"83",121.489998,121.769997,119.830002,120.660004,1597300,105.46698
"84",120.059998,122.589996,119.769997,122.440002,1675500,107.022858
"85",123.690002,124.440002,122.760002,123.449997,2076300,107.905678
"86",123.760002,123.860001,122.370003,123.120003,1697000,107.617218
"87",123.190002,124.059998,123.080002,123.68,4159000,108.106705
"88",123.639999,124.129997,121.510002,121.959999,2222000,106.603302
"89",121.830002,122.769997,121.400002,122.449997,1594300,107.031578
"90",122.019997,122.139999,120.279999,121.739998,1570000,106.411011
"91",120.550003,121.18,119.559998,120.809998,1547400,105.598091
"92",120.779999,122.639999,120.779999,122.139999,1401700,106.76062
"93",122.309998,122.739998,121.620003,122.620003,1167500,107.180176
"94",122.620003,122.620003,116.959999,117.190002,2657400,102.433914
"95",117.269997,118.190002,115.660004,117.360001,3153300,102.582504
"96",117.510002,119.919998,117.5,118.760002,2229800,103.806206
"97",119.220001,119.739998,118.260002,119.449997,1571600,104.409332
"98",119.449997,121.699997,119.110001,121.150002,1476100,105.895271
"99",121.849998,121.900002,120.57,120.959999,1787400,105.729225
"100",120.959999,121.989998,120.779999,121.449997,1311100,106.157501
"101",120.959999,122,120.639999,121.32,1173300,106.043861
"102",120.5,120.639999,118.260002,118.860001,2779200,103.893639
"103",118.879997,119.25,116.629997,118.699997,2749600,103.753777
"104",119.349998,120.129997,117.360001,120.129997,1679800,105.003723
"105",118.93,119.879997,117.730003,119.160004,2253600,104.155861
"106",119.459999,120.209999,118.489998,118.580002,1695500,103.648888
"107",117.589996,118.68,117.059998,118.150002,1764100,103.273026
"108",118.599998,120.199997,118.239998,119.900002,1434600,104.802696
"109",119.900002,122.290001,119.410004,121.010002,3149100,105.772896
"110",121.790001,123.769997,121.790001,123.169998,2105400,107.660919
"111",123.18,124.099998,121.860001,122.839996,2944500,107.372475
"112",123.389999,124.239998,122.75,123.809998,2242200,108.220345
"113",122.790001,124.099998,121.550003,123.970001,1952600,108.360199
"114",123.279999,124.57,122.639999,122.970001,1723300,107.486115
"115",122.860001,123.099998,121.900002,122.510002,2255000,107.084045
"116",123.550003,124.580002,123.080002,123.790001,1868200,108.202858
"117",123.669998,123.93,122.949997,122.989998,1851300,107.503601
"118",123.5,123.5,121.769997,122.330002,1793500,106.926704
"119",121.860001,122.169998,120.339996,120.760002,1872100,105.55439
"120",121.510002,121.510002,118.889999,119.550003,2689500,104.49675
"121",119.989998,120.970001,119.410004,120.379997,2315900,105.222237
"122",121.32,122.889999,120.919998,121.120003,1871200,105.869072
"123",122.190002,123.760002,122.029999,123.400002,2580900,107.861984
"124",126.629997,128.25,124.190002,125.25,2670700,109.479027
"125",126,126.059998,124.400002,124.870003,1669900,109.146858
"126",125.650002,126.540001,125.239998,126,1589900,110.134583
"127",125.980003,126.519997,124.839996,126.080002,2496000,110.204514
"128",126.150002,127.830002,125.800003,126.010002,1763100,110.143326
"129",126.959999,126.959999,125.059998,126.540001,1842000,110.606583
"130",126.160004,127.690002,125.949997,127.199997,2178700,111.183479
"131",127.349998,127.800003,126.339996,127.389999,2663300,111.349564
"132",126.980003,127.589996,126.480003,127.220001,1975500,111.200974
"133",126.93,127.980003,125.919998,127.32,3160100,111.948334
"134",125.900002,127.550003,124.940002,127.169998,2437200,111.81646
"135",127.040001,128.25,126.769997,127.360001,2321400,111.983513
"136",126.290001,127.190002,125.099998,125.57,2891200,110.40963
"137",126.07,126.809998,125.419998,126.400002,1966100,111.139427
"138",126.389999,127.620003,126.220001,126.949997,2158400,111.623024
