"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"596",97.489998,98.870003,97.220001,97.300003,494200,90.192619
"597",96.360001,97.580002,95.410004,96.839996,494700,89.766212
"598",93.610001,94.800003,91.720001,92.389999,1017000,85.641281
"599",92.760002,94.870003,92.760002,94.580002,671600,87.671303
"600",94.860001,96.129997,92.050003,92.089996,1010300,85.363174
"601",91.620003,91.620003,89.580002,90.129997,827300,83.546364
"602",91.040001,91.760002,90.040001,91.010002,434100,84.362083
"603",90.870003,91.400002,89.519997,89.68,774500,83.129227
"604",89.279999,89.709999,87.849998,88.82,1293400,82.332047
"605",89.150002,89.550003,88.360001,89.379997,610300,82.851143
"606",88.110001,89.110001,87.860001,89.080002,789700,82.573067
"607",88.68,91.849998,87.870003,90.790001,1407100,84.158157
"608",90.589996,93.620003,89.82,93.599998,1573100,86.762894
"609",94.339996,94.82,92.650002,94.540001,807700,87.634216
"610",94.860001,96.529999,94.360001,95.769997,863800,88.774384
"611",96.440002,97.07,94.959999,95.699997,710700,88.709496
"612",96.32,96.849998,94.019997,94.699997,916900,87.782539
"613",95.660004,96.650002,94.959999,95.449997,686300,88.477753
"614",95.400002,95.93,94.82,95.550003,429100,88.57045
"615",95.599998,96.760002,95.5,96.269997,929700,89.981827
"616",96.410004,96.410004,94.199997,95.32,485000,89.093864
"617",95.330002,95.589996,93.400002,93.400002,1061800,87.299286
"618",94.150002,95.93,93.849998,94.989998,772600,88.785423
"619",95.199997,95.580002,94.230003,94.459999,701700,88.290054
"620",95.669998,95.940002,93.529999,94.599998,948600,88.420906
"621",95.029999,96.389999,94.32,95.330002,1172500,89.103218
"622",94.099998,94.68,91.839996,92.230003,883000,86.205711
"623",92.150002,93.379997,91.400002,92.449997,1014900,86.411324
"624",92.5,93.25,92.330002,92.400002,1287100,86.364609
"625",92.449997,94.099998,92.269997,93.959999,925900,87.822716
"626",93.989998,96.279999,93.959999,95.32,3026300,89.093864
"627",96.910004,97.760002,96.300003,97.650002,1502000,91.271683
"628",98.980003,99.699997,96.660004,97.57,4854100,91.196907
"629",97.389999,100.099998,97.300003,99.980003,1129600,93.449493
"630",99.239998,99.959999,98.32,99.790001,1505400,93.271904
"631",99.400002,100.660004,99.050003,99.489998,1813500,92.991486
"632",99.349998,99.970001,99,99.650002,1793100,93.14106
"633",100.32,101.260002,99.580002,100.050003,1332100,93.514931
"634",99.940002,100.110001,98.559998,98.949997,2111500,92.486771
"635",98.080002,99.400002,97.669998,99.349998,981300,92.860634
"636",98.330002,98.330002,96.32,97.120003,1439600,90.776306
"637",97.779999,99.349998,97.389999,98.470001,1891100,92.038132
"638",99.519997,99.519997,96.779999,97.989998,1121200,91.58947
"639",97.459999,98.669998,97.120003,98.339996,794400,91.916603
"640",98.75,100.32,98.160004,99.900002,890100,93.374718
"641",100.099998,100.099998,98.650002,99.459999,760300,92.963455
"642",100.099998,101.769997,99.919998,101.260002,928000,94.645889
"643",100.82,102.900002,100.82,102.239998,952500,95.561882
"644",102.019997,104.18,101.300003,101.989998,1181700,95.328201
"645",101.589996,102.400002,100.970001,102.010002,836900,95.346901
"646",101.690002,102.190002,101.18,102.019997,656700,95.356239
