"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume","PFG.Adjusted"
"1",58.610001,59.290001,58.029999,58.580002,1275600,48.629894
"2",58.84,59.189999,58.689999,59.110001,995200,49.069862
"3",59.139999,59.310001,57.959999,58.509998,1308300,48.571777
"4",58.860001,59.150002,58.57,58.860001,1356200,48.862339
"5",58.450001,59.150002,58.189999,58.189999,1177600,48.306129
"6",58.360001,59.240002,58.049999,58.650002,851500,48.688
"7",58.580002,59.310001,58.48,58.98,944700,48.961937
"8",58.599998,59.040001,58.009998,58.869999,1552800,48.870632
"9",59.200001,59.630001,58.860001,59.029999,709700,49.003452
"10",58.360001,58.91,58,58.27,1487200,48.37254
"11",58.540001,59.540001,58.09,59.48,987400,49.377014
"12",59.529999,59.669998,58.049999,58.299999,1517800,48.397438
"13",58.43,58.939999,57.950001,58.240002,1238700,48.347641
"14",58.099998,58.419998,57.560001,57.740002,1088400,47.932568
"15",57.959999,58.889999,57.740002,58.580002,1596100,48.629894
"16",59.169998,59.77,59.07,59.650002,1014200,49.51815
"17",59.490002,59.540001,57.619999,58.57,1772300,48.62159
"18",58.57,58.720001,57.27,58,2333900,48.148403
"19",57.860001,57.860001,56.669998,57.740002,1757300,47.932568
"20",58.25,58.25,56.34,57.09,2998900,47.392975
"21",57.650002,58.57,56.970001,57.200001,1940400,47.484287
"22",56.75,57.860001,56.119999,57.509998,1648400,47.741627
"23",58.689999,59.439999,58.630001,59.419998,1590800,49.327206
"24",58.869999,59.82,58.869999,59.470001,1205100,49.368713
"25",59.73,59.869999,59.450001,59.720001,1243800,49.576241
"26",59.330002,59.91,58.939999,59.84,1396000,49.675865
"27",60.040001,60.790001,59.799999,60.580002,1329800,50.290173
"28",60.869999,61.049999,60.540001,60.860001,1183100,50.522617
"29",61.130001,62.32,61.07,62.09,1699400,51.543694
"30",62.009998,62.59,61.950001,62.060001,1276500,51.518791
"31",62.27,62.790001,61.889999,62.73,1270500,52.074993
"32",62.560001,62.889999,62.330002,62.599998,1178100,51.967072
"33",61.84,62.139999,61.43,62.119999,990200,51.568607
"34",62.240002,62.700001,62.150002,62.419998,883900,51.817642
"35",62.130001,63.119999,61.990002,62.830002,2040600,52.158009
"36",62.900002,62.970001,62.439999,62.869999,1015500,52.191204
"37",62.040001,62.84,62.040001,62.75,1342900,52.091587
"38",62.68,63,62.279999,62.779999,1103900,52.116497
"39",62.48,62.689999,61.98,62.540001,1225100,51.917263
"40",63.529999,64.309998,63.490002,64.019997,1765200,53.14587
"41",63.43,63.619999,62.650002,62.709999,1461600,52.426899
"42",62.880001,63.709999,62.880001,63.57,1678100,53.145874
"43",63.119999,63.610001,63.029999,63.369999,991900,52.978664
"44",63.16,63.25,62.779999,63.040001,1036400,52.702782
"45",63.709999,63.889999,63,63.07,857400,52.727859
"46",63.119999,63.619999,62.810001,63.07,960500,52.727859
"47",63.099998,63.919998,62.900002,63.540001,913900,53.120796
"48",63.52,63.75,63.360001,63.580002,945200,53.154232
"49",63.25,63.349998,62.740002,63.009998,904900,52.677696
"50",63.139999,63.889999,63.060001,63.830002,1256300,53.363243
"51",64,64.650002,63.970001,64.199997,1147300,53.672565
"52",64.269997,64.290001,63.380001,63.439999,1464700,53.037197
"53",63.34,63.470001,62.869999,63.110001,574900,52.761307
"54",63.560001,63.66,61.169998,61.259998,1435300,51.214664
"55",60.91,62.049999,60.27,61.900002,1158100,51.749714
"56",61.889999,62.84,61.639999,62.18,747000,51.983807
"57",62.18,62.860001,61.82,62.169998,969500,51.975437
"58",60.599998,62.209999,60.18,62.110001,869700,51.925285
"59",62.080002,63.41,61.950001,63.009998,966500,52.677696
"60",62.880001,62.880001,62.150002,62.470001,667600,52.226254
"61",62.490002,63.610001,62.240002,63.110001,1080300,52.761307
"62",62.73,63.490002,62.57,63.110001,1152600,52.761307
"63",63.299999,63.470001,62.029999,63.09,1034800,52.744587
"64",62.75,63.139999,62.639999,62.849998,925000,52.543945
"65",63.330002,63.700001,62.099998,62.16,1133100,51.967091
"66",62.119999,63.150002,61.75,62.73,1029700,52.443619
"67",62.200001,62.91,62.060001,62.57,836600,52.309849
"68",62.639999,63.02,62.27,62.669998,711300,52.393452
"69",62.439999,63.07,62.169998,62.900002,712400,52.585743
"70",62.900002,62.959999,61.669998,61.93,918200,51.774796
"71",61.73,62.369999,61.380001,61.509998,703300,51.423672
"72",61.82,62.689999,61.48,62.630001,612300,52.36002
"73",62.040001,62.610001,61.990002,62.389999,832400,52.15937
"74",62.93,62.959999,62.009998,62.080002,991200,51.9002
"75",62.490002,63.23,62.27,62.919998,1169000,52.602459
"76",62.900002,63.189999,62.599998,62.810001,736000,52.510498
"77",64.349998,64.419998,63.68,63.919998,1244900,53.43848
"78",64.5,64.809998,64.290001,64.349998,1166900,53.797966
"79",64.32,64.730003,64.239998,64.309998,1010400,53.764534
"80",64.489998,65.25,64.459999,65.18,1463300,54.491871
"81",64.410004,65.559998,63.720001,65.129997,1442000,54.450069
"82",65.669998,65.669998,64.610001,64.970001,1452900,54.316307
"83",65.019997,65.099998,64.389999,64.910004,850800,54.266151
"84",64.769997,65.120003,64.629997,64.900002,1357100,54.257786
"85",65.25,65.449997,64.360001,64.43,1425900,53.864857
"86",64.660004,64.760002,64.129997,64.339996,882300,53.789608
"87",64.370003,64.540001,63.75,63.950001,1092200,53.463562
"88",64.07,64.330002,63.240002,63.459999,1052000,53.053909
"89",63.34,63.919998,63.139999,63.860001,1228100,53.388325
"90",63.66,63.900002,62.849998,63.540001,1078700,53.120796
"91",63.150002,63.619999,62.84,63,840400,52.669342
"92",63.25,63.860001,63.080002,63.709999,1358100,53.262917
"93",63.849998,64.089996,63.43,63.98,1014700,53.488647
"94",63.98,63.98,61.330002,61.400002,1297900,51.331711
"95",60.990002,61.189999,60.349998,60.549999,2002900,50.621086
"96",60.68,61.09,60.549999,60.830002,2922200,50.855183
"97",61.23,61.93,60.91,61.43,1330900,51.356785
"98",61.490002,61.98,61.080002,61.709999,1409600,51.590874
"99",61.790001,61.990002,61.450001,61.959999,1032300,51.799877
"100",62.150002,62.759998,62,62.66,1324100,52.385086
"101",62.48,63.119999,62.48,62.75,1045400,52.460339
"102",62.549999,62.709999,62.110001,62.52,671900,52.268051
"103",62.650002,62.950001,62,62.91,1536800,52.594105
"104",62.75,64.080002,62.43,64.080002,1002800,53.966854
"105",63.709999,64.190002,63.400002,63.959999,886600,53.865791
"106",63.91,64.059998,63.209999,63.290001,899400,53.301533
"107",62.779999,62.93,62.02,62.07,1145600,52.274063
"108",62.240002,62.68,61.950001,62.41,906500,52.56041
"109",62.41,64.18,62.400002,63.630001,1568600,53.587868
"110",63.950001,64.989998,63.950001,64.910004,1025300,54.665878
"111",64.720001,65.309998,64.720001,64.970001,1245100,54.716389
"112",65.120003,65.860001,64.980003,65.540001,1058200,55.196438
"113",65.050003,65.480003,64.43,65.360001,1122800,55.044846
"114",64.739998,65.220001,64.639999,65.199997,1234500,54.910099
"115",65.32,65.519997,65.059998,65.349998,1649300,55.036423
"116",65.779999,66.120003,65.5,65.879997,838000,55.482773
"117",65.639999,65.739998,64.980003,65.019997,866300,54.758507
"118",65.139999,65.139999,63.790001,63.860001,1000700,53.781574
"119",63.48,63.48,62.310001,62.689999,1397100,52.796219
"120",62.91,63.080002,62.400002,62.580002,1761500,52.703587
"121",62.849998,63.490002,62.610001,63.060001,863100,53.10783
"122",63.32,64.050003,63.099998,63.400002,970000,53.394173
"123",63.990002,64.82,63.939999,64.690002,928500,54.480583
"124",65.540001,65.629997,64.150002,64.529999,1383300,54.34584
"125",64.860001,65,64.059998,64.07,1376200,53.958431
"126",64.57,65.330002,64.389999,64.760002,752700,54.539539
"127",64.800003,64.849998,64.169998,64.25,1589800,54.110023
"128",64.279999,64.82,63.93,64.120003,1624500,54.000546
"129",64.379997,64.900002,64.169998,64.610001,1270200,54.413212
"130",64.57,65.57,64.459999,65.360001,1101900,55.044846
"131",65.419998,65.68,64.93,65.160004,743500,54.876411
"132",65.269997,65.540001,65.099998,65.510002,717900,55.171177
"133",65.580002,66.050003,65.43,65.949997,795100,55.541737
"134",65.360001,66.309998,65.190002,66.099998,806500,55.668053
"135",65.989998,66.470001,65.610001,66.339996,1097400,55.870174
"136",65.949997,66.57,65.879997,66.410004,520900,55.929131
"137",66.489998,66.949997,66.230003,66.699997,859400,56.173363
"138",66.809998,66.870003,65.860001,65.889999,1029400,55.491203
"139",65.790001,66.459999,65.790001,66.419998,681700,55.937553
"140",66.279999,66.620003,66.129997,66.379997,676600,55.90387
"141",67,67.5,66.669998,67.160004,880900,56.560768
"142",67.260002,67.279999,66.449997,66.660004,648300,56.13969
"143",66.919998,67.370003,66.230003,66.629997,810600,56.11441
"144",67.110001,67.580002,65.459999,67.370003,1095000,56.737621
"145",67.730003,67.730003,66.739998,66.75,1243100,56.215469
"146",67.120003,67.120003,66.190002,66.720001,1241200,56.190216
"147",66.620003,66.870003,65.989998,66.660004,743100,56.13969
"148",66.419998,66.75,66.269997,66.550003,788200,56.047047
"149",67,67.190002,66.620003,67.040001,769800,56.459705
"150",67.029999,67.099998,66.489998,66.510002,588400,56.013351
"151",66.449997,67.239998,66.150002,66.230003,954600,55.77755
"152",65.790001,66.18,65.559998,65.989998,924900,55.575413
"153",65.559998,65.610001,64.419998,64.43,1023200,54.26162
"154",64.339996,65.089996,64.220001,64.32,851700,54.168983
"155",64.940002,65.370003,64.879997,65.010002,678600,54.750092
"156",65.599998,65.690002,64.989998,65,945800,54.741657
"157",65.330002,65.540001,65.07,65.160004,1003800,54.876411
"158",64.910004,65.110001,62.82,62.93,1263300,52.998344
"159",62.700001,63.27,62.389999,62.93,1204700,52.998344
