"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"709",171.240005,172.100006,170.649994,171.630005,1950200,164.084091
"710",171.970001,173.720001,171.970001,172.679993,2367200,165.087921
"711",172.100006,173.309998,171.639999,173.160004,2714000,165.546814
"712",173.240005,175,173.050003,174.600006,1956400,166.923523
"713",174.169998,174.600006,171.630005,172.729996,2143200,165.135742
"714",174.289993,176.289993,173.929993,176.119995,2835200,168.376694
"715",176.600006,180,176.600006,180,4383300,172.086105
"716",179.770004,181.830002,179.229996,180.679993,5156200,172.736191
"717",180.679993,180.979996,179.720001,180.809998,2742400,172.860489
"718",181.800003,181.990005,179.380005,179.660004,2548800,171.761047
"719",179.660004,181.229996,179.550003,181.210007,1636800,173.242905
"720",180.690002,181.440002,179.789993,180.830002,1594600,172.879623
"721",181.169998,183.119995,181.100006,182.009995,1816900,174.007736
"722",180.789993,182.789993,180.509995,181.949997,1855200,173.950363
"723",180.669998,181.369995,179.110001,179.649994,2208300,172.60527
"724",180.910004,181.949997,180.660004,181.75,3242700,174.62291
"725",181.440002,181.440002,179.380005,179.800003,2405800,172.749374
"726",180.5,180.699997,179.009995,180.119995,2673200,173.056854
"727",180.929993,181.699997,176.539993,177.220001,4190700,170.270569
"728",176.929993,177.690002,175.399994,176.529999,3135100,169.607605
"729",176.880005,177.520004,175.660004,176.789993,1852200,169.857391
"730",177.860001,177.949997,175.970001,176.509995,2657500,169.588379
"731",177.5,179.690002,177.059998,178.520004,4578900,171.519562
"732",178.589996,179.649994,178.130005,179.419998,1044800,172.384293
"733",178.779999,179.169998,177.679993,178.550003,1633100,171.548386
"734",178.550003,178.75,174.300003,174.320007,3053500,167.484283
"735",172.580002,173.309998,171.259995,172.550003,3775500,165.783691
"736",173.970001,175.990005,173.149994,173.210007,2933400,166.417801
"737",173.669998,174.300003,172.630005,174.009995,2342100,167.186447
"738",174.910004,176.229996,174.740005,175.460007,2118000,168.57959
"739",175.179993,175.759995,174.25,174.490005,1556500,167.647598
"740",174.490005,174.800003,173.660004,174.039993,2027800,167.21524
"741",174.589996,176.190002,174.190002,176.009995,2174100,169.107986
"742",176.339996,178.160004,175.199997,177.389999,2277600,170.433868
"743",177.389999,178.789993,176.830002,176.979996,2050200,170.039963
"744",177.270004,178,176.139999,176.399994,3207600,169.482712
"745",176.25,177.240005,175.809998,176.699997,3039800,169.77095
"746",176.559998,177.029999,174.410004,174.639999,3614700,167.791733
"747",175.009995,176.619995,174.490005,176.5,2680600,169.578812
"748",177.149994,177.690002,176.149994,176.410004,4351900,169.492325
"749",177.380005,177.380005,175.809998,176.429993,2577700,169.51152
"750",176.440002,176.850006,175.729996,176.309998,625500,169.396225
"751",176.559998,176.899994,175.720001,176.880005,1269700,169.943893
"752",177.080002,177.240005,176.289993,176.479996,1303900,169.55957
"753",176.559998,177,175.759995,176.419998,1670100,169.501938
"754",176.460007,177.080002,175.460007,177,1728900,170.059204
"755",177.5,180.800003,177.139999,180.789993,2857400,173.700562
"756",178.339996,179.830002,177.410004,178.860001,2805200,171.846252
"757",177.839996,178.380005,176.929993,177.509995,3277900,170.549149
"758",177.369995,178.070007,175.589996,177.610001,3002800,170.645248
"759",177.669998,179.100006,176.729996,177.759995,2545500,170.789398
"760",178.699997,179.429993,178.059998,179.070007,1789500,172.048004
"761",179.899994,179.899994,178.139999,178.679993,1671700,171.673279
"762",179.25,181.339996,178.690002,181.270004,2261900,174.161743
"763",180.490005,181.220001,179.509995,180.449997,2191200,173.373886
