"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"617",64.349998,65.07,64.190002,64.809998,1775700,52.665417
"618",65.370003,65.830002,65.059998,65.669998,1844600,53.364269
"619",65.720001,66.459999,65.400002,66.25,2100900,53.835583
"620",67.029999,67.879997,66.910004,67.760002,2536900,55.062634
"621",67.599998,68.959999,67.599998,68.940002,3847100,56.021515
"622",69.010002,69.309998,67.019997,67.290001,2389200,54.680706
"623",67.25,67.290001,66.650002,66.720001,1389200,54.217522
"624",67.279999,67.839996,66.839996,67.349998,1483700,54.729458
"625",67.279999,67.550003,67.099998,67.400002,1261000,54.770092
"626",67.529999,68.839996,67.459999,68.809998,2657200,55.915874
"627",69.639999,69.989998,69.300003,69.589996,2278300,56.549702
"628",69.43,69.589996,68.760002,69.360001,2044600,56.362808
"629",69.480003,70.230003,69.290001,70.199997,1226400,57.045403
"630",69.980003,70.290001,69.529999,70.279999,1287000,57.110409
"631",70.160004,70.32,69.300003,69.57,1688500,56.533455
"632",69.629997,69.93,69.190002,69.82,1770900,56.736626
"633",70.080002,70.720001,69.879997,70.449997,1686200,57.248558
"634",70.730003,71.160004,70.489998,71.059998,1951100,57.744247
"635",71.260002,71.410004,70.910004,71.300003,1376800,57.939281
"636",71.389999,71.43,70.709999,70.980003,1542400,57.679249
"637",70.900002,70.900002,69.769997,70.150002,1925600,57.00478
"638",70.32,70.32,69.5,69.639999,1995700,56.59034
"639",69.339996,69.419998,68.809998,69.160004,1908200,56.200279
"640",69.18,69.419998,68.519997,68.529999,1881500,55.688339
"641",68.589996,69.230003,68.360001,69.139999,1552600,56.184032
"642",69.059998,69.199997,68.370003,68.510002,1203700,55.672092
"643",68.339996,68.580002,67.510002,68.43,1255900,55.607075
"644",69,69,68.25,68.57,1697100,55.72084
"645",68.690002,68.790001,68.019997,68.489998,1496600,55.65583
"646",68.559998,68.559998,66.669998,66.800003,2474700,54.282528
"647",66.540001,67.279999,66.150002,67.209999,1923200,54.615692
"648",67.529999,71.470001,67.239998,70.080002,4271100,56.947891
"649",69.93,72.379997,69.769997,70.989998,3845600,57.687378
"650",71.400002,72.019997,70.349998,70.989998,2183500,57.687378
"651",69,69.160004,67.040001,67.669998,2560900,55.687656
"652",68.169998,68.489998,67.309998,68.099998,1895500,56.041504
"653",67,67.43,65.970001,66.760002,2850400,54.938782
"654",67.18,68.949997,66.849998,68.940002,2434300,56.73278
"655",69.050003,69.959999,68.709999,69.050003,1750900,56.823296
"656",69.75,70.349998,68.889999,69.269997,2253800,57.004337
"657",69.160004,69.809998,68.779999,69.639999,2069000,57.308815
"658",68.669998,69.010002,67.519997,67.709999,2742300,55.720566
"659",67.639999,68.589996,67.559998,67.949997,1300000,55.918072
"660",68.150002,69.489998,68.110001,69.300003,2117100,57.029022
"661",70.080002,71.080002,69.580002,70.910004,1677800,58.353947
"662",70.889999,72.089996,70.559998,71.059998,1579000,58.477379
"663",71.57,71.900002,70.910004,71.18,1971000,58.576138
"664",71.360001,71.440002,70.139999,70.279999,1809600,57.835499
"665",69.550003,69.82,67.160004,67.410004,2500800,55.473694
"666",68.220001,68.559998,67.889999,68.199997,1395800,56.123802
"667",68.489998,69.220001,67.800003,68.32,1481700,56.222557
"668",68.690002,69.739998,68.529999,69.529999,1672200,57.2183
"669",70.019997,70.910004,69.809998,70.82,1672600,58.279877
"670",71.25,71.529999,70.279999,71.279999,1868100,58.658424
"671",70.309998,70.970001,70.059998,70.610001,2154600,58.107059
"672",71.279999,71.449997,70.870003,71.040001,1571700,58.460918
"673",71.620003,71.889999,70.889999,71.019997,1810400,58.444458
"674",70.699997,71.870003,70.160004,71.830002,1767200,59.111042
"675",72.199997,73.959999,72.059998,73.669998,2353200,60.625237
"676",73.660004,74.379997,73.029999,73.519997,2057600,60.501789
"677",73.629997,74.18,73.209999,74.059998,1777600,60.946178
"678",73.639999,74.650002,73.639999,73.93,1726800,60.839191
"679",74.150002,74.970001,74.110001,74.480003,1797700,61.291809
"680",76.139999,77.209999,75.43,75.830002,2866900,62.40276
"681",75.970001,76.779999,75.269997,76.199997,2132700,62.707233
"682",75.779999,76.540001,75.5,76.5,2020000,62.954117
"683",76.93,76.949997,74.529999,75.089996,2716700,61.793797
"684",75.339996,75.849998,74.760002,75.769997,3109600,62.353378
"685",75.339996,75.889999,74.769997,74.809998,2261000,61.56337
"686",74.980003,75.190002,73.459999,74.139999,2426400,61.012001
"687",73.769997,74.050003,73.309998,73.629997,3102600,60.592308
