"","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
"292",230.289993,230.559998,224.699997,226.869995,443500,226.720001
"293",226.699997,234.779999,226.699997,234.380005,428500,234.225037
"294",232.940002,237.339996,230.240005,236.5,406600,236.343643
"295",236.580002,241.589996,234.589996,240.399994,535500,240.241058
"296",238.419998,246.5,237.929993,246.229996,690100,246.067215
"297",247.710007,250.550003,245.270004,248.580002,658300,248.415665
"298",251.529999,260.26001,247.179993,251.429993,1196700,251.263763
"299",252,252.559998,240.460007,240.949997,940600,240.790695
"300",241.350006,242.589996,234.610001,236.860001,691300,236.703415
"301",236.850006,238.669998,232.899994,233.889999,574900,233.735382
"302",234.360001,234.360001,229.649994,234.009995,464400,233.85527
"303",233.880005,236.850006,231.580002,235.690002,565300,235.534195
"304",235.509995,236.639999,229.479996,232.850006,534300,232.69606
"305",233.710007,235.039993,230.389999,232.020004,374600,231.866608
"306",232.580002,232.919998,228.199997,228.339996,526000,228.189041
"307",227.059998,228.449997,224.479996,224.779999,419000,224.631393
"308",225.729996,226.039993,218.119995,218.740005,528000,218.595398
"309",220.100006,227,219.729996,226.839996,862600,226.690048
"310",226.929993,228.910004,223.5,225.089996,543100,224.941193
"311",225.550003,226.619995,221.410004,225.149994,574400,225.001144
"312",226.119995,231.5,225.369995,228.809998,383500,228.658722
"313",228.009995,228.690002,220.5,221.669998,633100,221.523468
"314",221.929993,222.059998,218.970001,221.309998,406800,221.163681
"315",221.009995,221.960007,216.470001,221.210007,381900,221.063736
"316",222.25,224.949997,221.360001,223.550003,434800,223.402222
"317",222.75,223.949997,216.940002,217.979996,298100,217.835892
"318",218.660004,223.160004,217.149994,219.830002,294800,219.684647
"319",222.139999,224.529999,220.619995,223.339996,402200,223.192352
"320",221.660004,223.059998,219.899994,220.610001,347300,220.464142
"321",220.419998,222.979996,220,221.020004,411700,220.873871
"322",221.520004,222.619995,219.539993,221.369995,580000,221.223648
"323",224.130005,228.470001,221.660004,228,485400,227.849258
"324",229.110001,229.880005,226.199997,227.339996,415300,227.189697
"325",227.589996,229.009995,225.050003,226.990005,358200,226.839951
"326",226.580002,228.070007,224.119995,225.220001,262000,225.071121
"327",225.25,226.570007,222.720001,225.119995,468600,224.971146
"328",226.550003,226.679993,224.320007,225.559998,300900,225.410889
"329",226.729996,227.800003,221.720001,223.229996,403700,223.082397
"330",222.350006,227.729996,220.899994,227.589996,437900,227.439529
"331",227.729996,230.919998,227.279999,229.600006,302200,229.448227
"332",229.350006,231.759995,228.399994,230.740005,250600,230.587463
"333",231.949997,232.429993,228.539993,228.710007,333700,228.558807
"334",228.820007,230.809998,227.869995,230.089996,285100,229.937881
"335",229.410004,230.130005,226.460007,226.850006,269200,226.700043
"336",224.729996,226.850006,222.660004,225.279999,379800,225.131058
"337",224.419998,227.830002,222.139999,226.559998,216400,226.410217
"338",227.460007,228.570007,225.039993,225.570007,294800,225.420898
"339",226.039993,228.850006,225.020004,226.800003,288100,226.650055
"340",226.630005,227.710007,224.070007,226.490005,324600,226.340256
"341",227.520004,231.570007,226.470001,231.419998,221800,231.266983
"342",231.100006,234.440002,231.100006,234.320007,293200,234.1651
"343",234.279999,236.600006,234.279999,235.169998,474600,235.014526
"344",233.630005,234.270004,231.229996,232.240005,237100,232.086472
"345",232.630005,232.929993,230.550003,231.539993,299100,231.386917
"346",231.970001,231.970001,229.809998,230.809998,447600,230.657379
"347",230.639999,234.220001,230.5,233.309998,270500,233.155762
"348",234.089996,236.830002,233.509995,236.490005,267900,236.333664
"349",236.139999,236.910004,231.740005,232.039993,274200,231.886581
"350",231.5,233.300003,230.490005,231.919998,248300,231.766663
"351",232.649994,233.389999,229.350006,229.589996,309200,229.438217
"352",229.539993,232.110001,226.940002,227.75,394300,227.599442
"353",225.399994,226.179993,222.740005,224.5,537500,224.351578
"354",225.429993,231.25,225.429993,229.729996,398500,229.578125
"355",228.860001,231.039993,226,226.309998,482900,226.16037
"356",227.619995,230.029999,227.130005,228.110001,371600,227.959198
"357",227.990005,229.740005,226.089996,226.300003,497800,226.150391
"358",226.190002,227.110001,223.119995,224.889999,487800,224.741318
"359",225.460007,229.690002,224.399994,228.929993,298800,228.778641
"360",228.860001,230.600006,224.869995,226.5,526100,226.350235
"361",237.050003,245,222.429993,232.210007,1209300,232.056473
"362",231.190002,232.289993,221.5,221.970001,756100,221.823242
"363",221.729996,228.020004,221.649994,228,503900,227.849258
"364",228.25,229.059998,225.619995,226.830002,439300,226.680054
"365",227.5,237.660004,227.070007,235.149994,927800,234.994537
"366",235.130005,237.589996,233.460007,237.029999,1026700,236.873322
"367",235.259995,235.279999,231.339996,234.600006,526800,234.444916
"368",233.539993,233.619995,230.470001,233.539993,532300,233.38559
"369",233.369995,234.240005,231.149994,231.839996,315900,231.686722
"370",232.080002,234.779999,231.220001,233.979996,457400,233.825302
"371",234.630005,238.369995,233.410004,237.229996,824900,237.073151
"372",237.580002,237.580002,232.059998,234,525500,233.845291
"373",234,235.770004,232.929993,234.809998,280700,234.65477
"374",234.509995,236.479996,231.699997,232.5,416400,232.346298
"375",232.5,235.289993,230.820007,234.789993,621500,234.634781
"376",234.550003,237.490005,234.350006,235.449997,424700,235.294312
"377",233.570007,236.330002,232.139999,236.300003,445000,236.143768
"378",235.979996,240.710007,234.520004,238.160004,281600,238.002548
"379",239.080002,239.350006,236.199997,239.119995,278400,238.961884
"380",240.089996,243.570007,239.520004,242.699997,379100,242.539551
"381",242.949997,245.5,242.710007,244.979996,443300,244.818024
"382",245.539993,245.970001,243.589996,245.289993,380300,245.127808
"383",244.770004,248.690002,244.169998,247.059998,384300,246.896652
"384",247.100006,247.770004,243.710007,245.839996,452100,245.67746
"385",246.440002,248.210007,244.729996,247.119995,276300,246.956635
"386",247,247.220001,242.229996,242.699997,402800,242.539551
"387",242.600006,246.330002,242.600006,246.070007,405100,245.907318
"388",246.589996,247.990005,243.860001,246.789993,335200,246.626846
"389",247.080002,248.279999,244.580002,247.990005,347500,247.826065
"390",246.710007,251.669998,246.710007,248.580002,483700,248.445709
"391",247.699997,251.039993,246.369995,250.259995,352900,250.124802
"392",250.350006,254.139999,249.940002,250.919998,378900,250.784454
"393",250.479996,255.240005,250.149994,254.990005,282100,254.852264
"394",255.899994,257.649994,253.410004,255.520004,237500,255.381973
"395",256.100006,257,253.350006,253.990005,233400,253.852814
"396",257.23999,258.440002,253.75,255.960007,351100,255.821747
"397",257.540009,261.709991,256.809998,260.5,395300,260.359314
"398",259.140015,259.929993,257.290009,259.029999,275100,258.890076
"399",259.339996,261.570007,258.049988,260.359985,231600,260.21933
"400",260.98999,260.98999,258.769989,260.309998,262900,260.169342
"401",259.529999,260.420013,258,258.440002,281600,258.300415
"402",257.880005,258.079987,255.330002,257.48999,328600,257.350891
"403",257.899994,259.029999,255.449997,257.950012,265300,257.810669
"404",258.670013,260.829987,256.679993,256.839996,227800,256.701233
"405",256.149994,256.149994,252.350006,253.259995,367100,253.123184
"406",253.160004,256.929993,251.619995,253.190002,219800,253.053223
"407",252.720001,256.540009,250,254.970001,254700,254.83226
"408",254.820007,254.820007,250.899994,253.149994,301100,253.013245
"409",253.970001,256.950012,252.479996,255.619995,219900,255.481918
"410",256.209991,258.75,254.809998,257.630005,223800,257.490845
"411",257.73999,258.279999,255.679993,256.059998,320300,255.921661
"412",257.100006,257.829987,255.130005,256.76001,272100,256.621307
"413",255.360001,260.299988,254.740005,259.529999,249300,259.389801
"414",259.529999,261.179993,258.5,259.209991,177000,259.069946
"415",258.790009,260.269989,258.390015,259.980011,192800,259.839569
"416",261.01001,261.98999,259.140015,261.829987,264300,261.688568
"417",262.769989,265.329987,261.029999,263.570007,273400,263.427643
"418",263.600006,266.98999,262.75,265.609985,293900,265.466522
"419",264.410004,265.920013,262.790009,263.690002,277300,263.547546
"420",254.5,260.329987,246.300003,255.779999,1150800,255.64183
"421",255.779999,259.059998,255.020004,256.679993,514400,256.541351
"422",255.740005,257.559998,251.949997,255.339996,390500,255.202057
"423",255.240005,261.619995,254.690002,259.809998,355000,259.669647
"424",259.799988,261.049988,257.579987,259.429993,298200,259.289886
"425",260.51001,267.980011,258.269989,259.980011,388800,259.839569
"426",259.480011,264.649994,259.480011,263.720001,353900,263.577545
"427",263,265.799988,263,265.190002,255300,265.046722
"428",265.369995,267.23999,262.799988,265.320007,290300,265.176697
"429",265.130005,265.130005,261.890015,262.920013,237200,262.778015
"430",263.100006,263.320007,258.380005,259.660004,297400,259.519745
"431",259.929993,265.049988,258.720001,264.76001,267400,264.617004
"432",265,267.329987,264.100006,265.339996,375400,265.196655
"433",266.5,269.309998,264.730011,267.559998,511600,267.415497
"434",268.130005,270.640015,266.570007,268.929993,398300,268.78476
"435",269.160004,270.369995,267.690002,269.440002,220500,269.294434
"436",270,273.440002,269.070007,272.839996,258000,272.692566
"437",273.829987,276.309998,272.209991,274.5,243800,274.351715
"438",274.730011,276.630005,273.970001,275.329987,209300,275.181244
"439",275.350006,277.920013,274.119995,277.149994,276500,277.000244
"440",277.309998,280.100006,276.850006,278.73999,218900,278.589447
"441",278.709991,279.420013,277.23999,279.230011,209900,279.079193
"442",279.980011,280.100006,274.769989,276.029999,394100,275.88089
"443",275.109985,275.109985,266.230011,267.829987,396500,267.685303
"444",268.380005,270.600006,263.540009,266.890015,336400,266.745819
"445",266.660004,266.660004,260.079987,262.269989,296600,262.128265
"446",262.350006,263.480011,258.109985,259.690002,375100,259.549744
"447",258.820007,260.790009,252.350006,252.570007,263900,252.433563
"448",252.729996,255.679993,249.190002,250.589996,315800,250.45462
"449",254.089996,256.859985,252.199997,256.220001,302300,256.081573
"450",255.770004,256.700012,252.309998,253,219800,252.863327
"451",254.029999,262.799988,254.029999,262.070007,248200,261.928467
"452",260.940002,264.75,259.609985,264.279999,161900,264.137268
"453",264.359985,264.670013,256.5,258.119995,200500,257.98053
