"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"154",171.759995,175.160004,171.479996,173.559998,719200,173.559998
"155",173.910004,175.360001,173.679993,174.160004,610600,174.160004
"156",174.880005,178.580002,174.179993,177.970001,893500,177.970001
"157",178.889999,179.759995,176.809998,178.460007,628700,178.460007
"158",177.899994,177.899994,169.130005,169.360001,1957700,169.360001
"159",169.960007,172.179993,167.270004,168.610001,1393400,168.610001
"160",168.509995,169.639999,165.179993,167.979996,953400,167.979996
"161",167.970001,173,166.639999,172.550003,899800,172.550003
"162",172.330002,173.839996,170.789993,172.850006,869700,172.850006
"163",174,175.960007,173.350006,175.309998,926300,175.309998
"164",175.410004,176.199997,171.550003,172.550003,822600,172.550003
"165",173.020004,175.929993,173.020004,175.110001,598300,175.110001
"166",173.029999,174.610001,172.270004,173.990005,699000,173.990005
"167",173.550003,174.910004,172.910004,174.880005,589300,174.880005
"168",175.050003,177.070007,173.940002,176.740005,998700,176.740005
"169",176.809998,177.399994,173.880005,176.380005,665400,176.380005
"170",176.419998,179.960007,176.419998,179.330002,1043800,179.330002
"171",180,180.360001,175.369995,176.630005,685600,176.630005
"172",176.559998,180.550003,174.440002,179.990005,1003500,179.990005
"173",179.800003,181.990005,179.080002,181.440002,566200,181.440002
"174",185.610001,185.610001,181.490005,184.119995,739200,184.119995
"175",184.800003,186.100006,182.550003,185.660004,639800,185.660004
"176",185.179993,185.869995,183.259995,183.570007,998200,183.570007
"177",183.419998,185.490005,182.100006,184.860001,872100,184.860001
"178",184.5,185.600006,183.160004,184.5,1861700,184.5
"179",185.949997,188.970001,185.059998,188.339996,1111100,188.339996
"180",189.070007,190.039993,186.039993,187.179993,893200,187.179993
"181",187.830002,189.009995,186.539993,188.779999,565000,188.779999
"182",188.759995,189.389999,184.75,186.320007,641000,186.320007
"183",186.199997,188.240005,186.050003,188,575100,188
"184",187.399994,187.460007,183.529999,184.889999,605200,184.889999
"185",185.610001,186.100006,183.039993,184.199997,693700,184.199997
"186",184.490005,186.809998,183.210007,184.779999,675600,184.779999
"187",184.5,184.770004,180.309998,183.039993,889700,183.039993
"188",183.600006,186.619995,182.059998,186.270004,784700,186.270004
