"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"1",102.629997,104.629997,101.830002,103.540001,4151200,94.672791
"2",104.25,104.470001,102.970001,103.620003,2417900,94.745926
"3",103.629997,104.849998,103.419998,104.18,3084800,95.257957
"4",104.610001,105.709999,103.709999,105.209999,2418300,96.199753
"5",104.32,104.580002,102.82,103.019997,3382600,94.197304
"6",103.230003,104.400002,102.870003,103.400002,2913800,94.544762
"7",103.559998,105.040001,102.730003,104.919998,3542900,95.934616
"8",105.510002,106.510002,104.839996,105.370003,4671700,96.500572
"9",104.839996,106.080002,104.269997,105.389999,2580500,96.51889
"10",105.949997,106.760002,105.449997,105.480003,3881100,96.601334
"11",105.339996,105.709999,104.730003,105.400002,2527500,96.528053
"12",105.5,106.209999,104.459999,105.190002,2425800,96.335716
"13",106.230003,106.790001,105.300003,105.470001,2488100,96.592171
"14",104.720001,105.099998,103.339996,103.459999,3045500,94.751343
"15",104.489998,104.620003,102.910004,103.68,2680500,94.952827
"16",103.629997,104.389999,103.239998,103.900002,2798100,95.154327
"17",104.099998,105.260002,103.900002,104.389999,2772600,95.60305
"18",104.160004,104.160004,102.779999,102.900002,2343600,94.238503
"19",102.190002,102.760002,99.57,101.199997,2975600,92.68158
"20",101.349998,101.620003,100.099998,101.580002,2447500,93.029594
"21",102.190002,102.629997,100.050003,101,3028500,92.498413
"22",101.139999,101.480003,98.940002,99.709999,5064400,91.317001
"23",99.68,102.18,99.209999,100.940002,3520900,92.443474
"24",101,101.050003,99.43,99.699997,1802400,91.307823
"25",99.25,99.5,95.269997,97.190002,5158000,89.009132
"26",96.599998,98.489998,95.279999,98.139999,3445400,89.87915
"27",98.139999,100.290001,98.139999,99.809998,2927000,91.408577
"28",101.230003,102.029999,100.57,101.440002,3089000,92.901375
"29",100.910004,101.379997,100.139999,100.349998,1944900,91.90313
"30",100.330002,101.480003,99.019997,101.230003,3862500,92.709061
"31",100.910004,101.470001,100.349998,100.75,2094000,92.269455
"32",101.059998,101.480003,99.839996,100.169998,3154100,91.738274
"33",99.910004,100.019997,98.43,99.029999,3023200,90.694229
"34",100.410004,100.849998,99.43,99.470001,2737200,91.097183
"35",98.760002,99.199997,97.459999,97.529999,2596500,89.320496
"36",99.190002,99.190002,96.550003,97.57,3211800,89.357124
"37",96.519997,97.5,95.650002,96.300003,3590300,88.194038
"38",96.779999,98.230003,96.300003,97.910004,5156900,89.668518
"39",99.5,99.550003,95.290001,96.989998,6369300,88.825943
"40",98.25,100.419998,98.010002,100.050003,3775900,91.62838
"41",99.18,99.709999,98.239998,98.470001,3048900,90.181366
"42",98.5,99.309998,98.120003,98.57,2075400,90.272957
"43",98.620003,100.379997,97.800003,100.07,3106100,91.64669
"44",100.400002,100.540001,99.400002,99.529999,3381800,91.152145
"45",98.809998,99.360001,94.489998,94.830002,4829600,86.847763
"46",93.769997,96.019997,93.059998,95.699997,4991400,87.644531
"47",96.5,96.5,94.010002,94.790001,3796500,86.811134
"48",94.489998,95.349998,93.519997,94.949997,4695400,86.957672
"49",93.93,94.989998,92.910004,94.589996,5091800,86.627968
"50",95.540001,97.389999,94.68,97.059998,4184400,88.89006
"51",97.160004,97.25,95.739998,95.830002,3182400,87.763588
"52",96.540001,96.970001,95.650002,96.43,6978600,88.313095
"53",95.75,96.550003,95.199997,96.220001,2208400,88.120773
"54",96.489998,96.589996,94.260002,94.529999,2840700,86.573021
"55",94.339996,95.330002,93.93,94.650002,2040700,86.682915
"56",94.480003,95.440002,93.919998,94.809998,2350500,86.829445
"57",94.940002,95.25,94.360001,94.860001,2858400,86.875237
"58",93.349998,93.989998,93.029999,93.379997,2756900,85.519836
"59",93.5,95.639999,93.449997,95.290001,3341000,87.269058
"60",95.18,97.559998,94.57,97,3480900,88.835121
"61",98.190002,100.160004,97.169998,97.169998,7514700,88.990791
"62",97.18,98.5,96.660004,97.550003,4001000,89.338821
"63",97.5,97.809998,95.980003,96.959999,2282000,88.79847
"64",97.370003,98.309998,96.010002,98.25,2232100,89.979897
"65",99.400002,100.529999,97.220001,97.580002,3829100,89.366287
"66",97.970001,98.809998,97.559998,98.050003,1977900,89.796738
"67",98.230003,98.480003,97.040001,97.360001,2866600,89.164795
"68",98.169998,99.43,98.059998,98.57,2902600,90.272957
"69",98.089996,98.610001,96.910004,97.879997,1907900,89.794083
"70",97.82,98.879997,97.18,97.489998,2295100,89.436295
"71",97.25,97.720001,95.330002,95.639999,3235100,87.739128
"72",95.660004,96.129997,95.199997,95.739998,2288800,87.830856
"73",95.110001,95.970001,94.300003,94.830002,2005700,86.996048
"74",94.93,95.419998,92.93,93.290001,3109100,85.583244
"75",93.769997,94.099998,93.190002,93.300003,2737300,85.592438
"76",93,94.25,92.889999,93.580002,2409300,85.849297
"77",94.459999,94.459999,93.32,93.739998,2182200,85.996086
"78",93.800003,95.43,93.470001,95.269997,2273900,87.399681
"79",94.419998,96.489998,94.209999,94.309998,2132000,86.519005
"80",93.57,93.699997,91.160004,93,3876300,85.317207
"81",93.970001,93.970001,92.440002,92.5,1625300,84.858521
"82",92.529999,92.709999,91.75,92.029999,2680100,84.427338
"83",92.239998,92.440002,91.050003,91.870003,3350700,84.280563
"84",91.529999,92.75,91.089996,91.760002,3512200,84.179665
"85",91.040001,91.239998,88.199997,88.599998,5457900,81.280708
"86",89.029999,91.059998,88.870003,90.879997,4696400,83.372353
"87",90.389999,92.139999,90.169998,91.690002,3718300,84.11544
"88",92.360001,92.440002,90.599998,91.639999,3591100,84.069572
"89",93.010002,95.769997,92.57,94.540001,5239200,86.729996
"90",94.82,94.919998,93.980003,94.279999,2580800,86.491478
"91",94.120003,95.010002,93.800003,94.699997,3415700,86.876785
"92",96.32,96.650002,94.120003,94.730003,6294000,86.90432
"93",94.730003,95.059998,93.519997,93.830002,2682700,86.078644
"94",93.830002,94.300003,92.830002,92.949997,2406900,85.271347
"95",92.230003,93.019997,91.669998,91.690002,3795800,84.11544
"96",92.379997,94.389999,92.07,93.809998,3711900,86.060318
"97",94.129997,94.760002,92.790001,93.110001,2004600,85.418137
"98",93.120003,93.300003,91.970001,92.529999,2255400,84.886063
"99",92.370003,93.389999,92.309998,92.669998,2886800,85.014488
"100",92.279999,93.620003,90.440002,91.019997,2768700,83.500778
"101",91.290001,91.410004,90.120003,91.220001,2001500,83.684273
"102",90.470001,90.790001,89.43,89.620003,3163100,82.216438
"103",88.989998,90.610001,88.360001,90.309998,3938800,82.849442
"104",90.639999,91.379997,89.730003,90.400002,2829600,82.932014
"105",90.040001,90.580002,88.940002,89.68,2680200,82.271484
"106",89.120003,89.629997,88.519997,89.199997,2373000,81.831131
"107",89.099998,91.059998,88.769997,90.830002,3219500,83.326485
"108",90.220001,90.940002,87.410004,88.150002,4531400,80.867867
"109",88.150002,88.800003,87.620003,88.110001,3498800,80.831184
"110",88.330002,90.809998,88.040001,90.080002,4507800,82.638443
"111",91.260002,91.980003,89.510002,89.879997,3812500,82.454964
"112",90.050003,90.699997,89.510002,90.559998,2573100,83.078789
"113",90.029999,90.050003,87.839996,88.93,4054900,81.58345
"114",88.860001,89.150002,86.57,87.040001,4362000,79.849579
"115",87.57,88.589996,87.07,88.519997,4767000,81.207306
"116",88.370003,89.010002,87.959999,88.07,2495400,80.794479
"117",86.790001,88.290001,85.879997,87.849998,3772100,80.592667
"118",88.099998,89.169998,86.639999,87.120003,4613500,79.922974
"119",87.339996,89.029999,86.629997,87.690002,3356600,80.445892
"120",87.610001,88.230003,87.209999,87.790001,3733900,80.537621
"121",88.040001,88.190002,86.82,87.389999,2547700,80.170662
"122",88.190002,88.830002,87.68,88,3909200,80.73027
"123",88.18,89.540001,87.489998,89.019997,4508200,81.666016
"124",89.470001,90.910004,89.300003,90,4079000,82.565041
"125",90.339996,91.220001,89.25,90.519997,4164100,83.042091
"126",91,93.160004,90.519997,92.370003,2400000,84.739265
"127",91.82,92.190002,89.959999,90.300003,2720200,82.840271
"128",90.529999,90.839996,88.410004,88.629997,3290600,81.30822
"129",88.07,88.599998,87.040001,88.440002,3810300,81.133934
"130",88.129997,89.779999,88,89.620003,2064600,82.216438
"131",89.620003,90.989998,88.919998,90.629997,2517000,83.142998
"132",91.459999,92.300003,90.410004,90.57,3166700,83.087967
"133",90.370003,91.919998,90.370003,91.809998,2472100,84.382042
"134",91.980003,92.360001,91.589996,91.870003,1773400,84.437195
"135",91.309998,92.129997,91.309998,91.900002,4129100,84.464775
"136",92.25,92.449997,91.25,91.699997,2198600,84.280945
"137",91.559998,94.550003,91.559998,94.309998,3937500,86.679802
"138",95,95.739998,93.57,93.660004,4078200,86.082382
"139",93.389999,93.800003,92.379997,92.910004,2665700,85.393066
"140",93.019997,94.68,92.900002,93.309998,2588900,85.760689
"141",94.779999,95.650002,94.440002,94.870003,2811200,87.194473
"142",95.660004,96.099998,94.650002,94.75,2862100,87.084175
"143",94.620003,95.989998,94.300003,95.980003,2615700,88.214668
"144",96.010002,96.900002,95.029999,95.419998,2977100,87.699959
"145",95.32,95.900002,94.769997,95.139999,2988600,87.442642
"146",94.910004,95.580002,94.050003,94.459999,3802000,86.81765
"147",92.620003,93.279999,89.849998,92.32,5358400,84.850777
"148",92.389999,92.5,87.760002,88.900002,6296700,81.707481
"149",88.82,91.239998,88.559998,90.449997,3792200,83.13208
"150",89.889999,90.230003,88.849998,89.669998,3886500,82.415184
"151",89.809998,92.349998,89.709999,91.150002,3829700,83.775459
"152",91.519997,92.349998,90.269997,90.349998,3289100,83.040161
"153",90.629997,90.959999,88.889999,89.120003,3377400,81.909691
"154",89.150002,89.550003,87.940002,88.529999,2874200,81.367424
"155",88.93,89.040001,87.730003,87.989998,2482200,80.871101
"156",87.75,87.910004,86.25,87.019997,4457900,79.979576
"157",87.230003,87.230003,84.839996,84.980003,3478000,78.104637
"158",84.779999,85.029999,83.370003,83.379997,3438100,76.634071
"159",83.349998,84.540001,83.290001,84.089996,2751700,77.286636
"160",83.809998,84.32,83.410004,83.690002,2515500,76.919006
"161",83.910004,84.529999,83.849998,84.239998,1946700,77.424507
"162",84.160004,85.720001,83.959999,85.110001,2322700,78.224113
"163",84.800003,85.139999,84.330002,84.620003,2007800,77.773758
"164",85.010002,85.220001,84.459999,84.510002,2211300,77.672668
"165",84.349998,84.419998,82.25,83.400002,2377500,76.652466
"166",82.620003,83.239998,81.989998,83.150002,2321300,76.422684
"167",82.919998,83.980003,82.32,83.669998,2245700,76.90062
"168",84,85.18,83.610001,84.989998,4803900,78.113831
"169",85,85.860001,84.589996,85.650002,2358600,78.720444
