"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"1",40,46,40,45.25,7000,44.408005
"2",45.009998,46.009998,45,45,3600,44.162651
"3",42,42,39.98,40,11900,39.255692
"4",40,40,39,40,77800,39.255692
"5",40,44.799999,38,41.009998,7000,40.246895
"6",45,47.5,44.25,45,29100,44.162651
"7",45,47.5,44.990002,45.235001,263200,44.39328
"8",44.25,50,44.25,50,118100,49.069622
"9",46.5,50,44.779999,50,210300,49.069622
"10",45.990002,48.5,44,46.700001,1206100,45.83102
"11",45.023998,48.66,43.200001,44,9264200,43.181263
"12",43.75,49.299999,41.799999,47.32,22551600,46.439484
"13",47,47.849998,44.700001,45.939999,10294200,45.085159
"14",45.150002,46.990002,42.93,44.279999,12146500,43.456055
"15",42.209999,45.200001,41.259998,44.09,22265800,43.269585
"16",44.049999,50.25,44,49.139999,17355600,48.225616
"17",48.549999,48.669998,45.720001,46,8545100,45.144047
"18",45.91,46.299999,43.970001,45.889999,10152100,45.036087
"19",44.189999,44.849998,42.799999,44.549999,7935500,43.721027
"20",44.080002,46.407001,43.549999,45.619999,8740200,44.771118
"21",47,48.560001,45.919998,46.150002,7878100,45.291256
"22",45,46.98,44.900002,45.389999,5407500,44.545395
"23",44.5,47.200001,44.5,45.900002,6939700,45.045906
"24",47.310001,49.549999,46,47.049999,6801900,46.174503
"25",47.439999,48.040001,46.48,47.470001,5174800,46.586693
"26",48.02,48.5,46.310001,47.849998,6446900,46.959621
"27",48.080002,48.599998,47.610001,48.220001,5541100,47.322739
"28",49.07,50.950001,48.650002,49.860001,5368200,48.93222
"29",50.77,51.73,49.709999,51.150002,4343900,50.198223
"30",50.970001,51.599998,50.5,50.91,6123800,49.962685
"31",50.330002,50.529999,48.310001,49.709999,3089700,48.785011
"32",48.849998,49.669998,47.509998,49.529999,5676600,48.608356
"33",49.529999,50.639999,47.959999,48.09,4103600,47.195156
"34",48.610001,49,47.889999,48.310001,2931800,47.411068
"35",49.02,53.290001,48.990002,51.810001,4803200,50.84594
"36",52.119999,54.169998,52.110001,52.950001,4289400,51.964729
"37",52,52.400002,51.060001,51.810001,3150600,50.84594
"38",52.189999,52.290001,49.689999,49.720001,3059800,48.794827
"39",49,50.299999,47.884998,48.209999,4567000,47.312923
"40",47.610001,48.400002,47.23,48,4849900,47.106834
"41",47.32,49.220001,47.200001,48.889999,2981400,47.980274
"42",50.119999,52.34,50.119999,52.130001,4452600,51.159985
"43",51.68,52.928001,51.055,52.310001,2050300,51.336636
"44",52.549999,54.700001,52.474998,53.18,4755100,52.190445
"45",52.360001,53.549999,51.869999,52.029999,3813100,51.254604
"46",52.459999,52.720001,50.919998,51.709999,2134300,50.939369
"47",53.029999,53.990002,50.700001,50.889999,6247000,50.131588
"48",51.59,52.650002,50.77,52.380001,5202300,51.599384
"49",52.869999,52.950001,50.93,50.959999,4260700,50.200546
"50",50.439999,52.869999,50.18,52.650002,7522700,51.86536
"51",52.450001,54.439999,52.110001,54.080002,3073300,53.274052
