"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"1",138.25,139.809998,137.919998,139.789993,1638800,122.538818
"2",139.880005,140.800003,139.089996,139.630005,1178400,122.39859
"3",139.160004,140.190002,136.839996,137.75,1387300,120.750595
"4",138.259995,139.889999,137.009995,138.720001,923500,121.600853
"5",139.809998,139.809998,137.229996,137.419998,925000,120.461319
"6",138.360001,140.059998,137.699997,139.559998,1574900,122.337173
"7",139.949997,141.080002,139.050003,140.710007,837100,123.345299
"8",140.449997,140.630005,134.059998,138.559998,2600300,121.460609
"9",138.940002,140.559998,138.630005,139.979996,923300,122.705391
"10",139.360001,140.169998,138.160004,138.919998,1190900,121.776146
"11",138.929993,139.929993,138.479996,139.899994,819400,122.635246
"12",141,141.949997,140.369995,140.970001,1142700,123.573196
"13",141.339996,142.130005,140.639999,141.580002,906100,124.10791
"14",141.190002,141.740005,140.179993,141.470001,794500,124.01149
"15",142.039993,145.470001,141.899994,145.009995,1107300,127.114632
"16",146.270004,148.25,145.970001,147.860001,1477300,129.612915
"17",148.25,150.350006,146.679993,147.449997,1507400,129.25354
"18",147.479996,147.990005,146.699997,147.139999,794900,128.981766
"19",146.850006,147.289993,145.330002,147.009995,1051400,128.867767
"20",146,147.25,144.25,147.009995,1981800,128.867767
"21",147.910004,149.970001,146.710007,147.320007,1301200,129.139526
"22",146.660004,147.869995,145.850006,146.330002,871200,128.271759
"23",146.929993,147.440002,146.130005,146.860001,946900,128.736313
"24",146.389999,146.979996,145.669998,146.380005,1191100,128.315536
"25",147.630005,148.729996,146.690002,147.350006,1510900,129.165848
"26",146.710007,147.199997,144.800003,145.679993,2097300,127.701912
"27",145.679993,153.440002,145.679993,150.139999,2815600,131.611526
"28",150.5,151.029999,149.679993,150.559998,1355300,131.979736
"29",151.259995,153.619995,150.960007,152.850006,2200100,133.987122
"30",152.119995,152.550003,150.759995,151.960007,1456600,133.206924
"31",152,152.529999,151.550003,151.940002,1641600,133.189407
"32",152,152.360001,151.25,152.179993,1554700,133.399796
"33",151.169998,152.929993,150.440002,152.910004,1263400,134.039688
"34",152.970001,154.669998,152.850006,154.509995,1890100,135.442276
"35",152.710007,153.460007,151.800003,152.25,986100,134.352463
"36",152.869995,153.309998,148.550003,149.110001,1252700,131.581543
"37",148.5,149.940002,147.929993,149.940002,869200,132.314011
"38",149.740005,150.710007,149.020004,149.910004,728700,132.287521
"39",149.600006,149.889999,148.119995,148.490005,1125400,131.034409
"40",150.940002,153.229996,150.240005,152.850006,1071400,134.881912
"41",152.619995,152.619995,150.619995,150.839996,1060600,133.108231
"42",151.360001,152.360001,150.919998,151.940002,913300,134.078857
