"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"1",104.480003,105.290001,102.07,102.519997,3824300,92.672005
"2",102.889999,104.309998,102.510002,103.139999,3668300,93.232452
"3",103.029999,103.360001,101.220001,102.129997,4180400,92.319473
"4",102.029999,103.769997,101.199997,103.190002,3862400,93.277657
"5",103.730003,103.739998,101.900002,102.419998,2968600,92.581604
"6",102.559998,104.239998,101.910004,103.419998,3562700,93.485565
"7",103.349998,104.830002,103.029999,104.269997,2864800,94.253891
"8",104.269997,104.959999,103.349998,104.699997,2397000,94.642601
"9",104.510002,105.449997,104.279999,105.25,2743400,95.139771
"10",104.699997,104.82,102.849998,103.370003,3401800,93.440369
"11",102.260002,104.370003,101.529999,103.769997,5363900,93.801933
"12",108.209999,108.980003,105.440002,106.239998,10103900,96.034683
"13",106.830002,108.639999,106.610001,108.599998,6440000,98.167953
"14",108.639999,108.639999,106.93,107.989998,3932200,97.616562
"15",108.150002,109.25,107.599998,108.720001,4564900,98.276443
"16",109.290001,111,109.010002,110.419998,5137900,99.813126
"17",110.25,111.379997,109.480003,110.150002,4607200,99.569069
"18",110.349998,110.360001,108.139999,109.199997,3555400,98.710312
"19",108.940002,108.959999,106.339996,108,5334200,97.625595
"20",108.129997,108.580002,106.220001,106.580002,4534600,96.342026
"21",107.040001,108.07,106.400002,107.699997,4374500,97.354424
"22",107.199997,107.580002,105.900002,107.300003,4225900,96.992836
"23",107.480003,108.839996,107.349998,108.510002,3249600,98.086609
"24",108.360001,108.690002,107.580002,107.690002,2858100,97.345375
"25",108.190002,108.760002,107.349998,107.650002,3493400,97.309219
"26",107.519997,107.93,106.269997,107.339996,3901400,97.028999
"27",107.339996,107.879997,107.120003,107.419998,3603900,97.101311
"28",107.879997,108.489998,107.709999,107.870003,2778000,97.508095
"29",108.089996,109.300003,107.889999,108.32,2640000,97.914864
"30",108.07,109.160004,107.739998,109.160004,2890300,98.674187
"31",108.529999,109.989998,108.169998,109.779999,3352900,99.234619
"32",109.480003,110,108.5,109.389999,2811100,98.882072
"33",109.43,109.82,107.959999,109.82,4246300,99.270775
"34",110,110.82,109.349998,109.669998,4169800,99.13517
"35",109.18,109.440002,107.949997,108.870003,4206100,98.412033
"36",109.139999,109.5,106.260002,106.699997,4876600,96.450478
"37",105.610001,107.760002,105.169998,107.739998,4632500,97.945946
"38",107.82,108,106.480003,107.5,3288500,97.727745
"39",107.529999,108.080002,107.089996,107.940002,3756600,98.127762
"40",109.040001,110.650002,109.040001,110.110001,4064900,100.100487
"41",110.050003,110.239998,108.910004,109.050003,2739700,99.136856
"42",109.080002,109.279999,108.239998,109.019997,2304900,99.109589
"43",108.760002,109.639999,108.5,109.43,2989100,99.482307
"44",109.099998,109.519997,108.160004,108.360001,3331200,98.509583
"45",108.360001,108.459999,106.410004,106.709999,3454900,97.009575
"46",106.809998,107.139999,105.739998,106.18,4131200,96.527763
"47",106.889999,106.989998,105.720001,106.279999,3316200,96.61866
"48",106.360001,106.790001,105.949997,106.449997,3514800,96.773201
"49",105.949997,106.279999,104.32,104.370003,4303800,94.882294
"50",104.589996,106.139999,104.099998,105.580002,3496100,95.982315
"51",105.5,106.32,105,105.449997,3645300,95.864113
"52",105.43,106.050003,105.099998,105.989998,11395400,96.355019
"53",105.75,105.980003,105,105.080002,3444900,95.527756
"54",105.440002,105.610001,103.199997,103.650002,3846300,94.227753
"55",103.550003,104.5,103.07,104.059998,4101200,94.600464
"56",103.989998,105.139999,103.599998,103.870003,2587700,94.427742
"57",103.989998,104.610001,103.440002,103.959999,2734700,94.50956
"58",102.900002,104.519997,102.410004,104.019997,3812000,94.564117
"59",104.050003,105.889999,103.830002,105.5,4237100,95.909569
