"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"1",106.809998,107.860001,105.220001,106.709999,990200,104.939751
"2",107.330002,109.199997,106.349998,108.809998,990700,107.004913
"3",108.160004,109.449997,107.230003,108.769997,1169100,106.965576
"4",109.059998,109.309998,107.709999,108.510002,728800,106.709908
"5",108.650002,111.730003,108.529999,111.540001,1091000,109.689651
"6",111.550003,112.93,111.349998,112.339996,886100,110.476357
"7",112.129997,112.790001,110.629997,112.129997,448600,110.269836
"8",111.970001,112.580002,110.639999,112.400002,666000,110.535378
"9",112.029999,113,111.839996,112.669998,459300,110.800888
"10",112.730003,114.980003,111.769997,114.300003,791000,112.403854
"11",114.629997,114.629997,113.059998,113.599998,492700,111.715469
"12",113.029999,113.870003,111.599998,111.75,644200,109.896141
"13",111.940002,112.970001,111.779999,112.75,467000,110.879555
"14",112.239998,112.239998,109.879997,111.43,757400,109.581459
"15",111.790001,112.360001,110.860001,112.230003,430100,110.368172
"16",112.260002,114.419998,112.260002,114,1133600,112.108818
"17",113.709999,114.660004,112.839996,113.110001,510900,111.233597
"18",113.559998,113.559998,112.160004,112.93,440800,111.05658
"19",112.949997,113.019997,111.019997,112.75,667700,110.879555
"20",113.050003,113.410004,111.480003,112.629997,758700,110.761543
"21",113.129997,114.480003,112.389999,113.940002,724800,112.04982
"22",113.650002,113.860001,112.349998,112.75,622300,110.879555
"23",113.199997,114.349998,113.139999,113.849998,734200,111.961304
"24",114.110001,114.529999,112.830002,112.900002,344400,111.027077
"25",113.220001,114.529999,111.959999,113.389999,1049800,111.508957
"26",113,113.910004,112.410004,113.779999,510300,111.892494
"27",113.779999,116.279999,113.660004,116.269997,795900,114.341164
"28",116.139999,116.739998,116.010002,116.449997,658900,114.518188
"29",116.870003,117.970001,116.629997,117.879997,713100,115.924469
"30",117.730003,121.480003,117.510002,121.300003,1508700,119.287727
"31",121,122.470001,120.699997,122.410004,856100,120.379318
"32",122.18,122.709999,121.330002,122.129997,678700,120.103951
"33",121.360001,122.970001,121.169998,122.949997,605100,120.910355
"34",123.099998,125.029999,123.099998,124.650002,735200,122.582153
"35",124.480003,124.480003,123.459999,123.75,562900,121.697098
"36",124.029999,124.779999,123.800003,124.550003,337500,122.483818
"37",124.699997,126.080002,123.720001,125.980003,723200,123.890083
"38",125.5,126.980003,124.989998,126.650002,657200,124.647919
"39",125.620003,126.32,124.699997,125.599998,1014600,123.61451
"40",128.809998,129.740005,125.459999,125.559998,1521600,123.575142
"41",124.739998,125.150002,122.599998,122.830002,833700,120.88829
