"","KEYS.Open","KEYS.High","KEYS.Low","KEYS.Close","KEYS.Volume","KEYS.Adjusted"
"865",103.400002,104.639999,102.160004,103.489998,1415900,103.489998
"866",99.989998,101.065002,97.449997,97.82,2211400,97.82
"867",100.099998,100.82,94.940002,95.669998,2338900,95.669998
"868",94.07,98.730003,93.910004,98.540001,1504400,98.540001
"869",101.290001,102.550003,99.730003,101.449997,1442600,101.449997
"870",102.199997,105.489998,101.900002,104.309998,2459800,104.309998
"871",103.970001,104.309998,102.029999,102.589996,1705500,102.589996
"872",104.089996,106.709999,101.599998,106.440002,3784300,106.440002
"873",105.68,105.989998,103.25,104.82,1476500,104.82
"874",105.5,106.480003,103.870003,104.339996,1348900,104.339996
"875",104,104,100.75,101.230003,1227100,101.230003
"876",100.989998,101.120003,98.309998,100.389999,1540400,100.389999
"877",100,100.389999,96.860001,97.559998,4232700,97.559998
"878",98.25,98.389999,96.684998,98.129997,990800,98.129997
"879",97.980003,101.330002,97.849998,100.779999,1939800,100.779999
"880",101.199997,101.370003,99.669998,99.709999,1189400,99.709999
"881",100.25,101.550003,100.010002,100.730003,983700,100.730003
"882",102,103.230003,101.470001,101.82,908600,101.82
"883",100.989998,101.459999,99.470001,99.879997,1001000,99.879997
"884",100.419998,100.419998,98.584999,99.139999,931700,99.139999
"885",99.830002,101.190002,98.099998,99.830002,1729300,99.830002
"886",99.5,99.800003,96.870003,97.639999,1897600,97.639999
"887",98.309998,98.940002,94.650002,94.769997,2453900,94.769997
"888",94,96.290001,93.099998,95.830002,1515300,95.830002
"889",97.410004,97.629997,96.040001,96.779999,1697400,96.779999
"890",96.529999,96.699997,95.449997,96.379997,707400,96.379997
"891",96.760002,98.139999,96.629997,97.779999,1067700,97.779999
"892",97.779999,98.110001,96.160004,97.870003,1732800,97.870003
"893",98.339996,99.489998,97.480003,98.43,1159300,98.43
"894",98.919998,99.260002,97.970001,98.370003,672500,98.370003
"895",98.919998,100.983002,98.190002,99.18,1280100,99.18
"896",98.150002,98.150002,96.230003,96.849998,889000,96.849998
"897",97.199997,98.785004,97.050003,98.199997,950800,98.199997
"898",97.940002,97.974998,95.650002,95.68,896200,95.68
"899",96.169998,96.93,96.110001,96.209999,959500,96.209999
"900",95.830002,99.230003,95.57,98.980003,1034800,98.980003
"901",99.769997,99.93,97.919998,99.889999,1203300,99.889999
"902",99.230003,101.110001,98.709999,100.769997,1108600,100.769997
"903",101,101,99.160004,100.300003,911700,100.300003
"904",100.589996,100.75,99.389999,100.349998,809200,100.349998
"905",100.190002,100.540001,99.629997,99.980003,897600,99.980003
"906",99.900002,100.370003,97.400002,98.139999,1015300,98.139999
"907",98.150002,98.419998,96.660004,97.769997,1098400,97.769997
"908",98.230003,99.769997,97.959999,98.809998,1550700,98.809998
"909",99.269997,101,99.150002,99.57,934800,99.57
"910",101.860001,103.760002,101.150002,103.199997,1507200,103.199997
"911",102.550003,103.739998,102.160004,102.949997,1359400,102.949997
"912",103.5,104.120003,102.07,102.599998,1381200,102.599998
"913",102.470001,103.440002,102.379997,102.690002,1190900,102.690002
"914",103,105.650002,102.489998,104,2513600,104
"915",103.419998,103.989998,101.699997,102.82,2622500,102.82
"916",105.620003,106.385002,95.110001,95.879997,9291400,95.879997
"917",97.150002,99.43,95.900002,96.290001,3805000,96.290001
"918",96.5,98.129997,96.470001,97.580002,2116000,97.580002
"919",97.589996,98.800003,97.440002,98.07,1313800,98.07
"920",98.889999,99.120003,95.419998,95.610001,1713300,95.610001
"921",96.190002,97.690002,96.190002,97.330002,1883700,97.330002
"922",98,98.724998,96.739998,98.519997,1333300,98.519997
"923",98.540001,99.815002,98.050003,99.739998,1647000,99.739998
"924",99.540001,102.870003,99.400002,102.5,1775000,102.5
"925",101.330002,101.5,97.110001,97.889999,2344100,97.889999
"926",97.199997,98.260002,94.040001,94.949997,1605600,94.949997
"927",93.959999,94.760002,92.029999,93.389999,2023600,93.389999
"928",94.830002,95.25,92.870003,92.889999,1889900,92.889999
"929",93.470001,93.949997,90.620003,90.690002,2403400,90.690002
"930",91.230003,92.5,90.764999,92.349998,1701300,92.349998
"931",93.330002,95.349998,93.330002,94.230003,1493800,94.230003
"932",95.300003,96.559998,95.150002,96.209999,854000,96.209999
"933",98.279999,99,97.5,97.970001,1545700,97.970001
"934",96.07,98.269997,95.949997,98.25,1855300,98.25
"935",98.279999,99.879997,96.059998,97.099998,2194300,97.099998
"936",96.580002,97.860001,95.775002,97.800003,1476500,97.800003
"937",97.980003,98.419998,95.440002,97.419998,1287000,97.419998
"938",97.449997,98.824997,96.230003,96.360001,1192200,96.360001
"939",96,97.348999,95.599998,96.599998,1264300,96.599998
"940",96.18,98.489998,95.900002,98.120003,751000,98.120003
"941",98.790001,100.419998,98.699997,100.25,1191600,100.25
"942",100.489998,101.300003,99.595001,99.599998,815000,99.599998
"943",99.690002,100.110001,98.32,98.779999,1187900,98.779999
"944",99.68,99.940002,97,97.480003,1395800,97.480003
"945",96,98.989998,95.480003,98.269997,1235500,98.269997
"946",99.290001,99.900002,98.309998,99.690002,1019900,99.690002
"947",99.690002,102.150002,99.300003,99.489998,1046100,99.489998
"948",100.529999,102,100.059998,101.160004,839000,101.160004
"949",101.400002,103.394997,101.400002,103.18,1045300,103.18
"950",103.5,106.290001,103.375,105.260002,1104700,105.260002
"951",105.410004,105.959999,104.760002,105.720001,943000,105.720001
"952",105.57,106.25,104.129997,104.489998,1343800,104.489998
"953",104.949997,105.559998,103.955002,104.980003,1056900,104.980003
"954",104.029999,105.889999,103.720001,105.68,1148500,105.68
"955",105.489998,106.628998,104.709999,104.910004,800400,104.910004
"956",105.150002,107.970001,105.150002,106.68,1124700,106.68
"957",107,107.660004,105.230003,105.449997,824100,105.449997
"958",106.089996,107.406998,105.699997,105.699997,913500,105.699997
"959",106.209999,106.800003,104.949997,106.260002,916500,106.260002
"960",106.370003,108.5,105.790001,107.879997,1073400,107.879997
"961",106.650002,107.709999,104.860001,105.849998,707600,105.849998
"962",106.230003,107.589996,105.82,106.900002,852300,106.900002
"963",105.419998,106.260002,103.394997,104.300003,967000,104.300003
"964",104.080002,105.900002,103.660004,104.540001,1210300,104.540001
"965",104.239998,105.949997,102.769997,104.870003,1646300,104.870003
"966",105.370003,106.620003,103.940002,104.739998,793400,104.739998
"967",106.010002,109.388,106.010002,107.720001,1282700,107.720001
"968",108.610001,109.870003,107.239998,107.800003,1401300,107.800003
"969",109.040001,111.699997,109,111.129997,1113100,111.129997
"970",110.739998,113.580002,109.970001,112.970001,945100,112.970001
"971",115.290001,117.919998,114.639999,115.559998,1502200,115.559998
"972",114.709999,114.709999,111.824997,112,1437200,112
"973",112.190002,115.855003,112.190002,115.440002,1032500,115.440002
"974",115,115.294998,113.279999,114.019997,1130000,114.019997
"975",115,116.440002,114.099998,116.099998,801200,116.099998
"976",117,118.769997,116.410004,117.669998,1367400,117.669998
"977",117,118.160004,115.407997,117.559998,1084500,117.559998
"978",117.779999,118.669998,115.139999,115.139999,1693500,115.139999
"979",114.199997,118.459999,112.650002,117.959999,1966700,117.959999
"980",118,118.989998,116.019997,116.169998,1600100,116.169998
"981",117,117.800003,115.709999,117.150002,1209800,117.150002
"982",118.139999,118.610001,117.370003,118.120003,1277000,118.120003
"983",117.889999,119.169998,117.120003,118.519997,1154300,118.519997
"984",118.230003,120.650002,118.040001,119.07,578100,119.07
"985",119.400002,120.089996,118.165001,120.040001,1490900,120.040001
"986",120.5,122.964996,120,121.839996,1485400,121.839996
"987",120.449997,122.025002,120.449997,121.879997,996700,121.879997
"988",121.879997,123.089996,121.629997,122.639999,936300,122.639999
"989",123.120003,124.75,122.690002,123.209999,879000,123.209999
"990",123.879997,124.919998,123.120003,124.910004,1418600,124.910004
"991",124.669998,127.309998,124.519997,127.129997,1489400,127.129997
"992",126.919998,127.5,123.779999,124.669998,1064000,124.669998
"993",123.080002,125.050003,122.279999,124.760002,958000,124.760002
"994",124.519997,126.43,123.699997,126.300003,1080400,126.300003
"995",126.550003,127.25,123.32,123.720001,1117900,123.720001
"996",125.129997,125.599998,122.800003,123.370003,1243500,123.370003
"997",123.449997,124.269997,122.120003,123.910004,1331900,123.910004
"998",124.910004,126.910004,124.389999,126.860001,1377700,126.860001
"999",127.150002,128.589996,126.529999,128.259995,2937600,128.259995
"1000",126.989998,127.529999,125.169998,126.970001,1151700,126.970001
"1001",126.940002,129.740005,126.809998,128.690002,2726100,128.690002
"1002",129.470001,131.860001,129.169998,130.419998,1012200,130.419998
"1003",130.710007,130.990005,130.119995,130.949997,233900,130.949997
"1004",132.5,132.619995,131.270004,131.820007,1614900,131.820007
"1005",132.139999,132.419998,129.720001,130.009995,615900,130.009995
"1006",130.649994,132.139999,130.270004,131.240005,1519000,131.240005
"1007",131.720001,132.25,130.669998,132.089996,616500,132.089996
