"","D.Open","D.High","D.Low","D.Close","D.Volume","D.Adjusted"
"1",76.57,76.690002,75.959999,76.25,3017500,62.485588
"2",76.389999,76.690002,75.919998,76.18,3426200,62.428226
"3",75.790001,76.339996,75.120003,76.279999,2688000,62.510178
"4",76.040001,77.050003,75.889999,76.900002,1848000,63.018246
"5",76.93,76.980003,75.68,75.720001,1947400,62.05127
"6",75.589996,75.68,75.120003,75.43,1534200,61.813622
"7",75.440002,75.910004,75.239998,75.629997,1902400,61.977512
"8",75.650002,75.839996,75.040001,75.279999,2468300,61.690704
"9",75.07,75.43,74.699997,75.209999,1992700,61.633335
"10",75.57,76.360001,75.330002,76.199997,2111500,62.444603
"11",75.989998,76.639999,75.940002,76.169998,1913900,62.420033
"12",75.779999,76.160004,75.360001,75.620003,1397400,61.969322
"13",75.730003,76.040001,75.290001,75.790001,1739300,62.108643
"14",75.910004,76.099998,75.449997,75.580002,1530700,61.93655
"15",75.529999,75.769997,75.32,75.470001,1898200,61.846397
"16",75.459999,75.93,75.209999,75.809998,2161100,62.125019
"17",75.720001,76.239998,75.5,75.690002,1537700,62.026691
"18",75.690002,75.839996,75.220001,75.519997,1393800,61.887379
"19",75.779999,75.790001,75.010002,75.260002,2287000,61.674305
"20",75.309998,76.309998,75.279999,76.279999,3056200,62.510178
"21",74.360001,75.440002,71.82,71.849998,7279600,58.879868
"22",71.870003,72.150002,70.870003,71.68,4336600,58.74057
"23",71.720001,71.989998,71.25,71.699997,3695400,58.756947
"24",72.050003,72.419998,71.510002,72.209999,3223800,59.174873
"25",72.260002,72.449997,71.709999,72.349998,2436200,59.289627
"26",72.559998,73.519997,72.489998,73.339996,2711600,60.100903
"27",73.260002,73.480003,71.589996,72.150002,3752800,59.125725
"28",72.150002,73.449997,71.830002,73.370003,3563800,60.125473
"29",73.410004,73.879997,73.18,73.730003,2829000,60.420509
"30",73.589996,73.68,72.830002,73.120003,2824300,59.920601
"31",72.550003,72.800003,71.959999,72.379997,3184400,59.314201
"32",72.529999,73.379997,72.400002,73.279999,3026300,60.051739
"33",73.269997,73.839996,72.839996,73.769997,3426400,60.453266
"34",73.650002,75.089996,73.419998,74.760002,3541200,61.264568
"35",74.75,75.440002,74.300003,75.349998,3105700,61.748058
"36",75.620003,76.290001,75.360001,76.160004,2513300,62.411854
"37",76.449997,77.190002,76.440002,77,2384800,63.100212
"38",76.889999,77.050003,76.540001,76.870003,3344000,62.993683
