"","GNRC.Open","GNRC.High","GNRC.Low","GNRC.Close","GNRC.Volume","GNRC.Adjusted"
"1",41.279999,42.73,41.200001,41.939999,372100,41.939999
"2",42.220001,42.310001,41.849998,42,299800,42
"3",41.91,42.169998,40.700001,41.119999,404100,41.119999
"4",41.209999,41.470001,40.669998,40.709999,312200,40.709999
"5",40.599998,40.779999,40.060001,40.290001,248300,40.290001
"6",40.41,40.82,40.049999,40.779999,654200,40.779999
"7",40.639999,41.240002,40.470001,40.619999,217700,40.619999
"8",40.610001,41.009998,39.540001,40.91,452100,40.91
"9",39.389999,39.98,37.939999,37.990002,1253300,37.990002
"10",37.619999,38.610001,37.349998,37.75,483900,37.75
"11",38.02,38.330002,37.700001,37.860001,321500,37.860001
"12",37.939999,38.849998,37.869999,38.360001,406900,38.360001
"13",38.349998,38.790001,38.09,38.599998,394000,38.599998
"14",38.490002,38.799999,38.360001,38.689999,363100,38.689999
"15",38.869999,40.139999,38.869999,40.049999,332500,40.049999
"16",40.599998,40.759998,40.25,40.450001,532100,40.450001
"17",40.540001,40.759998,40.34,40.689999,270500,40.689999
"18",40.689999,40.830002,40.150002,40.310001,188600,40.310001
"19",39.98,40.23,39.549999,39.880001,631400,39.880001
"20",39.84,40.380001,39.48,40.259998,310900,40.259998
"21",40.360001,40.869999,39.919998,40.25,546800,40.25
"22",40.23,40.360001,39.919998,40.220001,313300,40.220001
"23",40.5,40.66,40.119999,40.599998,364400,40.599998
"24",40.43,40.799999,39.990002,40.549999,194800,40.549999
"25",40.91,41.799999,40.810001,41.290001,405400,41.290001
"26",41.349998,41.349998,40.25,40.790001,384500,40.790001
"27",40.889999,41.91,40.720001,41.790001,335000,41.790001
"28",41.810001,42.27,41.720001,42.209999,434000,42.209999
"29",42.34,42.849998,42.34,42.639999,419000,42.639999
"30",44.689999,44.84,39.200001,39.799999,1472500,39.799999
"31",39.880001,40.869999,39.799999,40.5,638900,40.5
"32",40.360001,40.709999,39.48,40.16,531700,40.16
"33",39.990002,40.759998,39.48,40.450001,734800,40.450001
"34",40.470001,40.75,40.259998,40.34,374300,40.34
"35",40.209999,40.779999,40.150002,40.740002,483800,40.740002
"36",40.919998,40.950001,39.459999,40.07,341400,40.07
"37",39.560001,39.560001,39.119999,39.299999,304400,39.299999
"38",39.18,40.119999,39.099998,39.869999,426100,39.869999
"39",39.849998,39.849998,39.02,39.040001,384200,39.040001
"40",39.84,40.580002,39.66,39.830002,422600,39.830002
"41",39.639999,40.290001,39.549999,39.669998,309200,39.669998
"42",39.77,40.02,39.330002,39.470001,219500,39.470001
"43",39.209999,39.580002,39.110001,39.549999,253400,39.549999
"44",39.360001,39.490002,38.810001,39.18,223600,39.18
"45",39.290001,39.290001,38.619999,38.66,184800,38.66
"46",38.650002,39.02,38.310001,38.380001,140600,38.380001
"47",38.77,38.950001,38.48,38.66,232300,38.66
"48",38.66,39.540001,38.66,39.169998,785400,39.169998
"49",38.799999,38.799999,37.549999,37.990002,486800,37.990002
"50",38.25,38.869999,38,38.740002,375900,38.740002
"51",38.950001,38.950001,38.43,38.52,182100,38.52
"52",38.779999,38.779999,38.369999,38.459999,398200,38.459999
"53",38.369999,38.52,37.869999,38.07,328800,38.07
"54",38.27,38.27,36.790001,36.790001,402500,36.790001
"55",36.669998,37.189999,36.48,37.009998,514500,37.009998
"56",37.02,37.779999,36.650002,37.32,288800,37.32
"57",37.400002,37.73,36.970001,37.310001,270500,37.310001
"58",36.57,37.68,36.549999,37.490002,462800,37.490002
"59",37.23,37.869999,36.849998,37.509998,435000,37.509998
"60",37.41,37.630001,37.18,37.400002,477900,37.400002
"61",37.389999,37.740002,37.34,37.509998,348000,37.509998
"62",37.43,37.610001,37.189999,37.279999,791400,37.279999
"63",37.299999,37.619999,36.700001,37.029999,440900,37.029999
"64",36.91,37.259998,36.720001,36.919998,258900,36.919998
"65",35.740002,36.700001,34.75,34.790001,858400,34.790001
"66",34.950001,36.09,34.900002,35.77,559200,35.77
"67",35.77,36.040001,35.560001,35.889999,317200,35.889999
"68",35.959999,36.610001,35.830002,36.189999,329400,36.189999
"69",36.060001,36.669998,35.869999,36.610001,432300,36.610001
"70",36.610001,36.610001,35.59,35.599998,358300,35.599998
"71",35.610001,35.830002,34.900002,35.049999,411500,35.049999
"72",35.150002,35.759998,35.150002,35.75,638800,35.75
"73",35.57,35.990002,35.439999,35.689999,617200,35.689999
"74",35.959999,36.23,35.310001,35.5,314700,35.5
"75",35.759998,36.139999,35.66,35.970001,523300,35.970001
"76",35.91,36.150002,35.549999,35.990002,762200,35.990002
"77",36.799999,36.849998,36.43,36.720001,405000,36.720001
"78",36.990002,37.669998,36.970001,37.130001,344200,37.130001
"79",37.099998,37.68,37.099998,37.290001,468500,37.290001
"80",37.040001,37.34,35.959999,36.23,515100,36.23
"81",36.34,36.43,34.82,35.169998,666100,35.169998
"82",35.240002,35.790001,34.810001,35.540001,481800,35.540001
"83",35.540001,35.889999,35.200001,35.799999,443800,35.799999
"84",35.529999,35.669998,34.560001,35.299999,515500,35.299999
"85",35.400002,35.720001,35.009998,35.68,308200,35.68
"86",35.82,36.169998,35.630001,36.080002,277800,36.080002
"87",36.150002,36.150002,35.689999,36.02,177000,36.02
"88",36.060001,36.400002,35.82,36.029999,312200,36.029999
"89",35.950001,36.09,35.68,35.939999,279100,35.939999
"90",35.860001,36.099998,35.139999,36.02,313100,36.02
"91",35.860001,35.860001,35.119999,35.139999,291500,35.139999
"92",35.18,35.790001,35.139999,35.75,267200,35.75
"93",35.84,35.84,35.029999,35.639999,313000,35.639999
"94",34.950001,35.18,34.73,35.049999,463700,35.049999
"95",34.830002,35.220001,34.610001,34.91,429000,34.91
"96",34.98,35.779999,34.98,35.220001,291400,35.220001
"97",35.299999,35.389999,34.799999,35.09,263800,35.09
"98",35.169998,35.450001,34.73,35.18,272300,35.18
"99",35.27,35.41,34.66,34.93,484500,34.93
"100",34.959999,35.07,34.68,34.75,388600,34.75
"101",34.759998,34.959999,34.560001,34.830002,281000,34.830002
"102",34.759998,35.060001,34.509998,34.52,358700,34.52
"103",34.450001,34.720001,33.77,34.650002,336300,34.650002
"104",34.889999,36.119999,34.639999,35.919998,326500,35.919998
"105",35.93,36.599998,35.740002,35.950001,308600,35.950001
"106",35.91,35.91,35.439999,35.630001,215500,35.630001
"107",35.27,35.599998,35.060001,35.400002,213000,35.400002
"108",35.400002,35.619999,35.130001,35.330002,336100,35.330002
"109",35.380001,35.560001,35.07,35.349998,571700,35.349998
"110",35.419998,36.369999,35.32,36.279999,403300,36.279999
"111",36.360001,36.599998,35.93,36.029999,323800,36.029999
"112",36.049999,36.209999,35.529999,36.060001,260600,36.060001
"113",36.080002,36.279999,35.689999,35.990002,385400,35.990002
"114",35.599998,36.080002,35.52,36,183700,36
"115",35.799999,35.849998,35.220001,35.599998,424900,35.599998
"116",35.77,36.240002,35.759998,36.09,337100,36.09
"117",35.900002,35.900002,35.389999,35.650002,222900,35.650002
"118",35.77,35.77,35.27,35.369999,261000,35.369999
"119",35.310001,35.689999,35.279999,35.529999,181100,35.529999
"120",35.529999,35.939999,35.41,35.900002,325400,35.900002
"121",36,36.049999,35.23,35.59,286200,35.59
"122",35.599998,35.66,35.18,35.43,293000,35.43
"123",35.66,35.970001,35.59,35.75,298700,35.75
"124",35.93,36.380001,35.810001,36.150002,569600,36.150002
"125",36.310001,36.59,36.009998,36.130001,318200,36.130001
"126",36.27,36.740002,36.18,36.59,197100,36.59
"127",36.43,36.759998,36.259998,36.75,291100,36.75
"128",36.560001,36.580002,35.91,36.029999,298100,36.029999
"129",36.07,36.279999,35.810001,36.139999,209700,36.139999
"130",35.889999,36.330002,35.889999,36.150002,416500,36.150002
"131",36.040001,36.23,35.66,35.91,188200,35.91
"132",36.18,36.349998,35.860001,35.950001,268900,35.950001
"133",35.970001,36.32,35.610001,35.919998,241900,35.919998
"134",35.91,36.32,35.889999,36.029999,135700,36.029999
"135",36.02,36.400002,35.93,36.200001,181400,36.200001
"136",36.110001,36.209999,35.689999,36.200001,214000,36.200001
"137",36.200001,36.73,36.130001,36.650002,212300,36.650002
"138",36.650002,36.860001,36.509998,36.810001,245200,36.810001
"139",37.07,37.07,36.369999,36.369999,315700,36.369999
"140",36.279999,36.540001,36.029999,36.490002,275800,36.490002
"141",36.810001,36.970001,36.32,36.540001,209600,36.540001
"142",36.560001,36.57,35.869999,36.169998,252000,36.169998
"143",36.34,36.380001,35.959999,36.189999,133800,36.189999
"144",36.040001,36.349998,35.779999,36.060001,164700,36.060001
"145",36.189999,36.23,35.509998,35.970001,258600,35.970001
"146",36,37.02,35.540001,36.849998,663500,36.849998
"147",37.75,38.09,36.529999,37.349998,613400,37.349998
"148",37.380001,37.939999,37.23,37.759998,540000,37.759998
"149",37.790001,38.400002,37.790001,38.220001,282100,38.220001
"150",38.220001,39.110001,38.130001,38.349998,516100,38.349998
"151",38.240002,39.279999,38.169998,38.639999,517600,38.639999
"152",38.369999,38.610001,38.150002,38.310001,375400,38.310001
"153",38.130001,38.18,37.349998,37.349998,299000,37.349998
"154",37.110001,37.439999,36.849998,37.389999,399600,37.389999
"155",37.700001,37.84,37.529999,37.66,168500,37.66
"156",37.740002,37.740002,37.110001,37.130001,178500,37.130001
"157",37.310001,37.5,37.139999,37.240002,218800,37.240002
"158",37.130001,37.27,36.34,36.349998,195700,36.349998
"159",35.98,36.619999,35.939999,36.41,248500,36.41
"160",36.450001,36.860001,36.419998,36.68,193000,36.68
"161",36.860001,37.259998,36.509998,37.240002,215200,37.240002
"162",36.939999,36.939999,36.139999,36.189999,200300,36.189999
"163",36.459999,37.740002,36.189999,37.700001,720000,37.700001
"164",38,38.75,37.91,38.59,848300,38.59
"165",38.990002,39.169998,37.799999,38.060001,1066300,38.060001
"166",37.740002,38.580002,37.700001,37.799999,561100,37.799999
"167",37.830002,39.470001,37.740002,39.450001,691900,39.450001
"168",39.560001,40.41,39.310001,40.380001,793100,40.380001
"169",40.400002,41,40.200001,40.66,639000,40.66
"170",41.040001,42.32,41.02,42.049999,1313600,42.049999
"171",43.150002,43.959999,42.560001,43.59,1599200,43.59
"172",44,44.34,42.119999,42.849998,2369300,42.849998
"173",42.75,43.349998,41.450001,41.799999,1751100,41.799999
"174",41.68,42.32,41.549999,41.91,1365400,41.91
"175",42.220001,43.639999,42.169998,43.419998,1160600,43.419998
"176",43.549999,43.939999,42.75,42.970001,939700,42.970001
"177",43.09,43.389999,42.880001,43.16,610500,43.16
"178",44.290001,45.610001,44.080002,45.279999,2011100,45.279999
"179",45.799999,46.52,45.48,46.060001,1111800,46.060001
"180",46.119999,46.580002,45.939999,46.150002,521100,46.150002
"181",46.139999,46.75,45.689999,45.93,813800,45.93
"182",45.93,45.93,44.869999,45,615300,45
"183",44.950001,45.490002,44.669998,45.380001,538300,45.380001
"184",45.380001,45.639999,45.130001,45.419998,380000,45.419998
"185",45.48,45.5,45.02,45.110001,297800,45.110001
"186",45.419998,45.66,44.990002,45.5,525200,45.5
"187",45.52,45.810001,45.380001,45.619999,480700,45.619999
"188",45.57,46.360001,45.549999,45.93,487400,45.93
"189",47.900002,48.700001,47.299999,48.619999,975700,48.619999
"190",48.66,48.970001,48.380001,48.68,512500,48.68
"191",48.68,49.110001,48.509998,48.740002,366400,48.740002
"192",48.75,48.919998,48.529999,48.73,630900,48.73
"193",48.57,49.099998,48.52,49.029999,364900,49.029999
"194",49.07,49.290001,48.68,48.73,423600,48.73
"195",48.959999,48.98,48.580002,48.919998,324500,48.919998
"196",48.93,49.23,48.93,49.09,350100,49.09
"197",49.34,50.290001,49.34,49.880001,819100,49.880001
"198",50.139999,50.580002,49.84,50.580002,359100,50.580002
"199",50.77,50.990002,50.540001,50.889999,463100,50.889999
"200",50.950001,51.189999,50.099998,50.490002,808000,50.490002
"201",50.580002,50.700001,49.709999,50,753100,50
"202",49.830002,49.830002,48.790001,49.349998,666000,49.349998
"203",49.849998,50.650002,49.630001,50.610001,452400,50.610001
"204",50.970001,51.150002,50.41,50.860001,435300,50.860001
"205",50.950001,52.029999,50.950001,51.630001,392000,51.630001
"206",51.610001,51.830002,50.830002,51.689999,456200,51.689999
"207",52,52.169998,51.700001,52,486200,52
"208",52.02,52.16,51.130001,51.98,433500,51.98
"209",51.700001,52.07,51.459999,51.950001,413700,51.950001
"210",51.990002,52.630001,51.93,52.09,571100,52.09
"211",53.779999,53.779999,48.529999,50.34,1433800,50.34
"212",50.580002,51.5,50.389999,51.299999,829800,51.299999
"213",51.41,51.41,50.119999,50.200001,546200,50.200001
"214",50.07,50.82,49.779999,50.599998,369900,50.599998
"215",50.5,50.5,48.950001,49.310001,397900,49.310001
"216",49.009998,49.66,48.849998,49.299999,594000,49.299999
"217",49.040001,49.560001,48.549999,48.91,417200,48.91
"218",48.830002,50.18,48.720001,49.84,493400,49.84
"219",49.419998,50.02,49.220001,49.73,479800,49.73
"220",49.610001,50.040001,49.43,49.540001,373500,49.540001
"221",49.27,49.619999,48.860001,49.400002,361700,49.400002
"222",49.889999,50.439999,49.639999,50.189999,471900,50.189999
"223",50.049999,50.700001,49.849998,50.310001,486300,50.310001
"224",49.650002,49.77,47.75,48.759998,765700,48.759998
"225",48.790001,49.130001,48.470001,48.580002,486000,48.580002
"226",48.43,49.049999,47.970001,48.68,313700,48.68
"227",48.77,48.970001,48.369999,48.759998,137700,48.759998
"228",48.75,48.82,47.880001,48.209999,621500,48.209999
"229",48.299999,48.939999,48.009998,48.84,414800,48.84
"230",48.84,49.200001,48.099998,48.310001,401000,48.310001
"231",48.549999,49.380001,48.259998,49.169998,459700,49.169998
"232",49.049999,49.310001,47.810001,48.73,613900,48.73
"233",49.279999,50.25,48.709999,48.759998,457900,48.759998
"234",48.639999,48.889999,48.150002,48.5,410400,48.5
"235",48.419998,48.98,48.34,48.540001,287200,48.540001
"236",48.48,49.110001,48.119999,48.669998,278000,48.669998
"237",48.790001,49.259998,48.419998,48.860001,373200,48.860001
"238",49.040001,49.490002,49.040001,49.279999,382000,49.279999
"239",49.419998,49.849998,49.290001,49.419998,329800,49.419998
"240",49.57,49.970001,49.52,49.720001,311800,49.720001
"241",49.82,49.959999,48.139999,48.509998,320800,48.509998
"242",48.709999,49.299999,48.650002,48.939999,646500,48.939999
"243",49.669998,50.330002,49.630001,49.880001,542100,49.880001
"244",49.950001,50.060001,49.27,49.41,252800,49.41
"245",49.779999,49.84,49.470001,49.650002,408600,49.650002
"246",49.91,50.34,49.619999,50.130001,177200,50.130001
"247",50.330002,50.490002,49.919998,50.360001,167400,50.360001
"248",50.369999,50.5,50.02,50.150002,196800,50.150002
"249",50,50.150002,49.77,49.860001,156500,49.860001
"250",50,50,49.52,49.810001,166100,49.810001
"251",50,50.299999,49.400002,49.52,351700,49.52
"252",49.66,49.66,47.950001,48.029999,560900,48.029999
"253",48.029999,50.150002,47.869999,49.73,841700,49.73
"254",50.200001,50.720001,49.82,50.07,435600,50.07
"255",50.150002,50.490002,49.939999,50.41,234800,50.41
"256",50.400002,50.400002,49.43,49.529999,278600,49.529999
"257",49.470001,50.130001,48.220001,48.349998,587500,48.349998
"258",48.209999,48.209999,46.59,47.389999,748500,47.389999
"259",47.66,49.130001,47.450001,49.02,511700,49.02
"260",49.099998,49.700001,48.950001,49.27,252700,49.27
"261",49.599998,49.860001,48.759998,48.990002,299000,48.990002
"262",49.27,50.599998,49.130001,50.549999,455500,50.549999
"263",50.75,51.209999,50.369999,50.41,355500,50.41
"264",50.52,51.73,50.43,51.639999,473900,51.639999
"265",51.5,51.869999,51.240002,51.700001,300400,51.700001
"266",51.560001,51.82,51.060001,51.630001,238200,51.630001
"267",51.790001,52.650002,50.540001,51.5,623900,51.5
"268",51.75,51.880001,50.150002,50.610001,279800,50.610001
"269",50.84,51.23,50.5,51.139999,177700,51.139999
"270",51.049999,51.900002,50.650002,51.419998,417400,51.419998
"271",50.98,51.349998,50.43,50.470001,271400,50.470001
"272",50.700001,50.919998,48.860001,48.93,383500,48.93
"273",48.580002,49.23,48.27,49.23,401700,49.23
"274",48.700001,49.540001,48.700001,49.240002,344100,49.240002
"275",48.549999,49.889999,47.959999,48.290001,675000,48.290001
"276",47.110001,49,47,48.630001,588900,48.630001
"277",48.43,49.07,48.220001,48.400002,322800,48.400002
"278",48.509998,48.799999,46.52,46.529999,332900,46.529999
"279",46.860001,47.66,45.169998,46.470001,577800,46.470001
"280",46.610001,48.509998,46.470001,47.990002,563900,47.990002
"281",49.5,49.5,44.279999,45.029999,2075400,45.029999
"282",46.639999,47.009998,45.439999,46.580002,1425500,46.580002
"283",46.970001,46.970001,45.209999,45.75,609200,45.75
"284",45.599998,46.549999,45.419998,45.689999,265400,45.689999
"285",45.43,45.990002,44.93,45.110001,219000,45.110001
"286",45.23,45.880001,45.080002,45.09,255900,45.09
"287",45.310001,46.029999,45.25,45.650002,364900,45.650002
"288",45.77,45.900002,44.849998,45.389999,214500,45.389999
"289",45.470001,46.310001,45.209999,46.200001,288100,46.200001
"290",46.139999,46.610001,45.990002,46.110001,453900,46.110001
"291",46.189999,46.32,44.459999,44.48,371300,44.48
"292",44.419998,44.779999,42.98,43.34,568000,43.34
"293",43.029999,44.209999,42.959999,43.720001,577900,43.720001
"294",43.799999,44.84,43.689999,44.5,369900,44.5
"295",44.52,45.509998,44.220001,45.25,724200,45.25
"296",44.880001,45.619999,44.66,45.450001,456600,45.450001
"297",45.709999,47.09,45.610001,47.009998,775300,47.009998
"298",47.290001,48.02,46.959999,47.610001,488900,47.610001
"299",47.560001,47.810001,46.400002,46.68,434200,46.68
"300",46.779999,47.259998,46.41,46.509998,361400,46.509998
"301",46.509998,46.919998,46.18,46.349998,707300,46.349998
"302",46.470001,46.75,46,46.32,446200,46.32
"303",46.560001,48.439999,46.560001,47.389999,1172100,47.389999
"304",47.189999,47.189999,46.119999,46.630001,675000,46.630001
"305",46.700001,47.380001,46.66,46.860001,303500,46.860001
"306",47.080002,47.25,46.580002,46.790001,418800,46.790001
"307",46.369999,46.48,45.32,45.32,323800,45.32
"308",45.5,45.5,44.470001,44.470001,230100,44.470001
"309",45.23,45.73,44.709999,45.639999,272100,45.639999
"310",45.84,45.84,44.810001,45.07,399400,45.07
"311",45.349998,46.91,45.200001,46.040001,926600,46.040001
"312",46.119999,46.689999,45.84,45.91,380500,45.91
"313",45.93,45.93,44,44.630001,353000,44.630001
"314",44.77,45.299999,44.369999,45.27,269500,45.27
"315",44.43,45.950001,44.16,45.700001,314200,45.700001
"316",45.98,46.470001,45.790001,46.209999,414700,46.209999
"317",45.790001,45.970001,44.849998,45.299999,298500,45.299999
"318",45.650002,45.830002,44.830002,44.91,287500,44.91
"319",45.639999,46.119999,45.34,45.810001,400400,45.810001
"320",45.5,46.049999,45.360001,45.790001,314100,45.790001
"321",45.98,46.57,45.860001,46.23,416700,46.23
"322",46.57,46.639999,45.709999,45.970001,379000,45.970001
"323",46.490002,47.110001,45.860001,47.009998,990700,47.009998
"324",47.369999,48,47.330002,47.84,1431000,47.84
