"","O.Open","O.High","O.Low","O.Close","O.Volume","O.Adjusted"
"1",55.949612,55.978683,55.145348,55.707363,2036446,45.131836
"2",55.862404,56.637596,55.620155,56.540699,1866475,45.80695
"3",56.35659,58.449612,56.007751,58.062016,2349348,47.039463
"4",57.790699,58.439922,57.354652,57.984497,1916218,46.976665
"5",57.461239,58.100777,57.354652,57.55814,2000326,46.631264
"6",57.54845,57.810078,56.782948,56.870155,1809199,46.073868
"7",56.773254,57.480621,56.676357,56.715115,1625710,45.948246
"8",56.676357,57.829456,56.453487,57.72287,1454810,46.764698
"9",57.703487,57.703487,56.928295,57.238373,1074725,46.372192
"10",57.344959,58.449612,57.33527,58.265503,1512086,47.204323
"11",58.265503,58.439922,57.790699,57.926357,1969366,46.929573
"12",57.713177,57.819767,57.083332,57.344959,1488454,46.458538
"13",57.422482,57.955425,57.364342,57.839146,1612294,46.858898
"14",57.897285,58.711239,57.790699,58.391472,1847899,47.306385
"15",58.246124,58.46899,57.703487,57.926357,1644286,46.929573
"16",58.042637,58.226746,57.364342,57.771317,1694131,46.803944
"17",57.713177,58.168606,57.61628,57.955425,1851718,46.95311
"18",58.091084,58.178295,57.306202,57.596897,1995888,46.66264
"19",57.33527,57.810078,57.034885,57.45155,2271329,46.710705
"20",57.538761,58.139534,57.257751,57.78101,4954322,46.978573
"21",57.587208,57.877907,56.25,56.501938,5833999,45.938629
"22",56.501938,57.713177,56.453487,57.577518,1686907,46.813118
"23",58.023254,58.52713,57.61628,57.965115,1827053,47.128246
"24",58.052326,58.226746,57.645348,57.965115,1311775,47.128246
"25",57.965115,58.624031,57.965115,58.284885,1744493,47.388233
"26",58.197674,59.03101,58.110466,58.624031,1403726,47.663982
"27",58.624031,59.060078,58.401161,58.70155,919615,47.727016
"28",58.52713,59.602715,58.420544,59.379845,1126222,48.278492
"29",59.253876,59.864342,59.108528,59.709301,1204654,48.546371
"30",59.534885,59.680233,58.362404,58.895348,1653574,47.884563
"31",58.614342,58.672482,57.858528,58.449612,1482365,47.522167
"32",58.52713,58.97287,58.449612,58.70155,1681541,47.727016
"33",58.80814,59.341084,58.556202,58.91473,1230144,47.900333
"34",58.963177,59.815891,58.720928,59.612404,1296502,48.467587
"35",59.670544,59.912792,58.943798,59.244186,1168740,48.16819
"36",59.806202,60.978683,59.331394,60.910854,1328597,49.523285
"37",60.901161,61.230621,60.503876,61.230621,1711262,49.783257
"38",61.056202,61.627907,60.542637,61.182171,1905382,49.910515
"39",59.408916,59.815891,59.341084,59.379845,10224127,48.440235
"40",59.166668,59.302326,58.459301,58.720928,3537696,47.902718
"41",58.682171,59.370155,58.546513,58.682171,2995896,47.87109
"42",58.720928,58.895348,57.412792,58.46899,3025824,47.697182
"43",58.275192,58.275192,57.102715,57.819767,2562250,47.16758
"44",57.625969,58.032948,57.480621,57.984497,1470187,47.301964
"45",57.38372,57.54845,55.833332,55.910854,2608277,45.61034
"46",55.920544,56.656979,55.184109,55.377907,2003525,45.175594
"47",55.707363,56.453487,55.329456,55.610466,1682779,45.365311
"48",55.658916,56.424419,55.620155,56.02713,1855123,45.7052
"49",55.881783,56.182171,55.600777,55.949612,1752955,45.641968
"50",56.337208,57.839146,56.288761,57.39341,2378554,46.819763
"51",57.39341,57.78101,57.141472,57.228683,1712191,46.68539
"52",57.422482,58.091084,57.151161,58.003876,4741008,47.317764
"53",57.994186,58.197674,57.587208,57.61628,1158626,47.001583
"54",57.877907,58.488373,57.655041,58.178295,1974422,47.46006
"55",58.507751,58.556202,57.470928,58.081394,1553057,47.381004
"56",57.761627,58.536823,57.684109,57.829456,1916218,47.17548
"57",57.829456,58.217052,57.364342,57.61628,1957498,47.001583
"58",57.587208,58.52713,57.025192,57.238373,2060904,46.693302
"59",57.199612,57.33527,56.327518,57.063953,2351825,46.55101
"60",57.073643,57.39341,56.773254,57.238373,1591138,46.693302
"61",56.986435,57.199612,56.36628,57.102715,1325604,46.749622
"62",57.034885,57.78101,57.034885,57.684109,2141090,47.225594
"63",57.461239,57.926357,57.122093,57.858528,1605586,47.368404
"64",57.848839,58.304264,57.61628,57.868217,1390310,47.376331
"65",57.945736,58.110466,57.61628,57.897285,1019822,47.40015
"66",57.819767,58.536823,57.54845,58.304264,1390104,47.733322
"67",58.343021,58.85659,58.343021,58.391472,1325191,47.804714
"68",58.372093,58.943798,58.129845,58.86628,913733,48.193436
"69",58.953487,59.738373,58.779072,59.505814,1845938,48.71703
"70",59.127907,59.680233,59.108528,59.476746,1111567,48.693222
"71",59.350777,59.796513,59.312016,59.544575,1152950,48.748756
"72",59.815891,59.990311,59.573643,59.89341,1393200,49.034351
"73",59.77713,60.213177,59.728683,60.135658,1483087,49.23267
"74",60.10659,60.377907,59.89341,60.05814,1239638,49.169216
"75",59.94186,60.174419,59.631783,60.145348,1371012,49.240604
"76",60.019379,60.174419,59.796513,59.83527,1221475,48.986748
"77",59.922482,60.077518,57.906979,58.217052,2946050,47.661934
"78",58.333332,58.333332,57.751938,57.974808,1922513,47.4636
"79",58.013565,58.081394,57.015503,57.374031,1882574,46.971741
"80",57.170544,57.877907,57.122093,57.60659,1481642,47.330818
"81",57.519379,57.519379,56.482559,56.540699,1536958,46.455051
"82",56.686047,57.315891,56.269379,56.996124,1547484,46.829235
"83",57.112404,57.54845,57.025192,57.209301,1612603,47.004398
"84",57.325581,57.38372,55.813953,56.036823,1871119,46.041046
"85",55.755814,55.755814,53.217052,54.050388,5226461,44.408951
"86",54.273254,54.961239,54.069767,54.864342,2122102,45.077721
"87",55.077518,55.300388,53.80814,53.953487,2486707,44.329346
"88",54.021317,54.176357,52.819767,53.255814,2512094,43.756123
"89",53.391472,54.399223,53.265503,53.85659,2872366,44.249741
"90",53.565891,53.604652,52.412792,52.751938,2639546,43.342125
"91",52.839146,53.255814,52.78101,53.032948,1759250,43.573013
"92",53.052326,53.720928,52.587208,52.61628,2163278,43.230659
"93",52.645348,52.926357,51.211239,51.560078,3099509,42.362862
"94",51.676357,52.344959,51.35659,52.093021,2471537,42.800739
"95",52.044575,52.38372,51.647285,52.151161,2211782,42.848503
"96",52.199612,52.72287,51.676357,52.519379,1931904,43.151047
"97",52.587208,53.217052,52.39341,52.45155,1708992,43.095318
"98",52.461239,52.858528,52.27713,52.461239,1550064,43.103271
"99",52.54845,53.149223,52.490311,52.965115,1435512,43.517265
"100",53.052326,53.711239,52.994186,53.439922,1630354,43.907383
"101",53.449612,53.97287,53.284885,53.46899,2114774,43.931278
"102",53.381783,53.79845,53.246124,53.294575,1496606,43.956062
"103",53.294575,53.70155,53.100777,53.226746,1699188,43.900108
"104",53.207363,53.97287,52.839146,53.817829,1753058,44.387611
"105",54.215115,54.990311,54.215115,54.825581,2426851,45.218781
"106",54.622093,54.689922,53.488373,53.653103,1682573,44.251759
"107",53.653103,53.982559,53.207363,53.70155,1619002,44.291706
"108",53.70155,54.205425,53.58527,53.895348,1667093,44.451534
"109",53.895348,54.137596,53.100777,53.187984,2072772,43.868134
"110",53.158916,53.740311,52.577518,53.594959,1781954,44.203808
"111",53.740311,54.467052,53.624031,54.399223,1423128,44.867123
"112",54.282948,54.680233,54.069767,54.534885,1059761,44.979027
"113",55.05814,55.329456,54.738373,55.184109,1512086,45.5145
"114",54.864342,55.465115,54.71899,55.145348,1266883,45.482506
"115",55.310078,55.348839,54.496124,54.912792,2922418,45.290714
"116",54.912792,54.980621,54.215115,54.476746,1860696,44.931076
"117",54.437984,54.622093,54.166668,54.428295,2534076,44.891102
"118",54.467052,54.573643,53.381783,53.70155,2283300,44.291706
"119",53.58527,53.69186,52.965115,53.120155,2073185,43.812183
"120",53.129845,53.63372,53.052326,53.565891,2505799,44.179825
"121",53.885658,55.513565,53.885658,54.728683,2477110,45.138863
"122",54.631783,54.709301,54.021317,54.253876,1983917,44.747257
"123",54.389534,55.203487,54.166668,55.04845,1575038,45.402599
"124",54.641472,54.699612,53.720928,54.040699,1679890,44.738388
"125",54.195736,54.428295,53.246124,53.46899,1496194,44.265091
"126",53.662792,54.534885,53.662792,54.312016,1063166,44.963009
"127",54.273254,54.457363,53.255814,53.498062,1636958,44.28915
"128",53.304264,53.488373,52.45155,52.45155,1647485,43.422783
"129",52.596897,53.013565,52.267441,52.994186,1081639,43.872017
"130",53.023254,53.052326,51.928295,51.937984,1755845,42.997616
"131",52.160854,52.422482,51.686047,52.21899,1219411,43.230263
"132",52.61628,53.391472,52.587208,52.974808,1416523,43.855976
"133",53.052326,53.498062,52.868217,53.420544,978852,44.224972
"134",53.672482,54.622093,53.672482,54.505814,1645008,45.123428
"135",54.457363,54.932171,54.360466,54.728683,1433242,45.307941
"136",54.912792,55.174419,54.709301,54.825581,1197533,45.388153
"137",54.844959,55.523254,54.728683,55.387596,1011566,45.853432
"138",55.465115,56.036823,55.271317,55.542637,1045829,45.981789
"139",55.620155,55.794575,55.05814,55.532948,886798,45.973759
"140",55.523254,55.620155,54.922482,55.397285,1423747,45.861439
"141",55.261627,55.707363,54.89341,55.649223,1684843,46.070023
"142",55.629845,56.172482,55.484497,56.124031,1595162,46.4631
"143",56.036823,56.656979,55.426357,56.153103,2091761,46.487171
"144",56.094959,56.385658,55.339146,55.426357,1464098,46.054001
"145",55.436047,55.542637,54.980621,55.290699,3504672,45.94128
"146",55.406979,56.114342,55.203487,55.949612,1937477,46.48877
"147",55.794575,55.794575,54.970928,55.329456,1224571,45.973488
"148",55.145348,55.426357,54.95155,55.271317,989998,45.925163
"149",55.067829,55.717052,55,55.668606,1748724,46.255283
"150",55.668606,55.872093,55.22287,55.668606,1030142,46.255283
"151",55.494186,55.833332,55.16473,55.523254,1240567,46.134506
"152",55.513565,56.036823,55.135658,55.697674,1693099,46.279434
"153",55.697674,55.784885,55.251938,55.251938,995880,45.909061
"154",55.067829,55.251938,54.496124,54.728683,1315387,45.474297
"155",54.980621,55.813953,54.680233,55.542637,1583398,46.150627
"156",55.28101,55.387596,54.612404,55.203487,2221690,45.868813
"157",55.300388,56.182171,55.251938,55.823643,2200946,46.384113
"158",55.833332,55.978683,55.397285,55.416668,1614667,46.045933
"159",55.348839,55.397285,54.806202,55.087208,1490827,45.77219
"160",55.174419,56.240311,55.038761,56.08527,1621685,46.601486
"161",56.007751,56.162792,55.406979,55.600777,1086696,46.198917
"162",55.629845,56.327518,55.445736,56.29845,985663,46.778629
"163",56.385658,56.637596,55.687984,55.717052,1047480,46.295551
"164",56.007751,56.560078,55.794575,56.240311,942629,46.730312
"165",56.220928,56.269379,55.319767,55.436047,1064818,46.06205
"166",55.697674,55.891472,55.232559,55.368217,1123332,46.005688
"167",55.125969,55.251938,54.815891,55.155041,1260898,45.999229
"168",55.329456,56.02713,55.242249,55.775192,2860394,46.516434
"169",55.736435,56.482559,55.639534,56.065891,1128389,46.758873
"170",56.405041,56.569767,56.02713,56.511627,1914979,47.130615
"171",56.550388,57.470928,56.337208,56.375969,2528400,47.017467
