"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"1",97.830002,99.360001,95.889999,96.769997,1065200,92.580986
"2",96.580002,98.419998,96.25,97.82,1036000,93.585526
"3",97.419998,97.559998,96.559998,97.190002,985800,92.982811
"4",97.43,98.459999,96.910004,97.690002,751500,93.461159
"5",97,97.25,96.309998,96.870003,774800,92.676643
"6",96.970001,98.239998,96.400002,97.720001,713800,93.489845
"7",97.82,98.870003,97.300003,98.720001,689200,94.446564
"8",98.470001,99.330002,98.019997,99.050003,835200,94.762283
"9",99.25,99.629997,98.919998,99.279999,758900,94.982315
"10",99.129997,99.419998,97.650002,97.980003,816800,93.738602
"11",98.290001,98.620003,97.099998,98.029999,1301300,93.786423
"12",97.5,97.900002,93.580002,94.360001,2373400,90.275299
"13",94.150002,94.82,93.330002,94.519997,1025500,90.428383
"14",94.650002,95.029999,93.709999,94.5,699900,90.409218
"15",94.900002,96.669998,94.599998,96.480003,690100,92.303528
"16",96.779999,98.620003,95.959999,98.540001,916600,94.274353
"17",98.300003,98.879997,97.32,98.760002,782100,94.48484
"18",98.919998,98.980003,97.779999,98.870003,605200,94.590073
"19",98.089996,99.029999,97.900002,98.93,594800,94.647453
"20",99.25,100.209999,98.669998,99.080002,1312700,94.790985
"21",99.489998,99.629997,97.660004,98.32,857500,94.063896
"22",97.75,99.080002,96.660004,97.239998,942800,93.030632
"23",97.379997,99.75,97.080002,99.660004,1011100,95.345871
"24",99.470001,100.5,99.050003,99.519997,3331100,95.211929
"25",99.800003,100.120003,98.230003,98.510002,879200,94.245651
"26",97.940002,98.459999,96.510002,98.190002,746800,94.159363
"27",98.330002,99.599998,98.269997,98.82,416100,94.763474
"28",98.559998,100.540001,98.559998,100.370003,561000,96.249863
"29",100.599998,101.230003,99.760002,100.360001,661900,96.240265
"30",100.379997,100.739998,99.419998,99.5,557200,95.415581
"31",99.449997,100.790001,99.449997,100.669998,754100,96.537521
"32",100.730003,100.970001,99.760002,100.709999,414300,96.575912
"33",100.639999,101.07,99.830002,101.040001,443600,96.892349
"34",101,101.230003,100.470001,100.82,496500,96.681404
"35",100.790001,101.220001,98.080002,98.339996,1840400,94.303162
"36",98.480003,98.82,97.040001,97.309998,1254700,93.315468
"37",97.089996,100.18,96.660004,99.82,1173600,95.72242
"38",99.43,100.169998,99,100.120003,737600,96.010086
"39",100.260002,100.260002,98.120003,98.169998,740000,94.14016
"40",98.82,100.330002,98.82,100.139999,781400,96.029289
"41",99.870003,99.959999,97.620003,97.849998,771300,93.833298
"42",97.93,98.190002,97.230003,97.849998,705700,93.833298
"43",97.650002,98.739998,97.400002,98.550003,566600,94.504562
"44",98.190002,98.580002,96.510002,96.599998,934100,92.634598
"45",96.5,97.260002,96.010002,96.769997,1030600,92.79763
"46",96.849998,97.379997,95.709999,96.18,1159500,92.231842
"47",96.790001,97.089996,96.040001,96.650002,919100,92.682549
"48",96.610001,96.980003,95.059998,95.25,1319200,91.340042
"49",95.059998,95.059998,93.360001,94.440002,1333300,90.563286
"50",94.769997,95.480003,94.389999,95.089996,860100,91.186584
"51",95.089996,95.410004,94.279999,94.459999,655600,90.582474
"52",94.93,94.93,93.419998,93.949997,1401900,90.093399
"53",93.989998,93.989998,92.629997,92.910004,796600,89.096092
"54",93.169998,93.190002,91.300003,91.610001,1163600,87.849457
"55",91.919998,92.309998,91.190002,91.699997,954100,87.935745
"56",91.610001,91.849998,90.709999,90.809998,765900,87.082275
"57",91.160004,91.75,89.919998,90.269997,918400,86.564468
"58",89.040001,90.660004,88.699997,90.550003,1361500,86.832985
"59",90.599998,92.949997,89.419998,92.339996,1093300,88.549492
"60",91.849998,92.260002,90.410004,91.160004,1412800,87.417915
"61",90.879997,92,90.879997,91.900002,656200,88.127556
"62",91.419998,92.160004,90.989998,91.739998,701600,87.974121
"63",92.040001,92.529999,90.360001,90.379997,1055900,86.669945
"64",90.290001,92,90.209999,91.959999,1127300,88.185074
"65",92.290001,93.279999,92.040001,92.360001,1634200,88.568649
"66",92.339996,93.059998,91.57,92.25,1511800,88.463188
"67",92.110001,92.110001,91.019997,91.080002,1088600,87.341202
"68",91.589996,94.080002,91.589996,93.220001,1040900,89.393372
"69",91.43,91.639999,90.209999,91.610001,1209400,87.849457
"70",91.650002,91.889999,90.089996,90.160004,1308500,86.458984
"71",90.230003,90.879997,88.940002,89.139999,1455600,85.48085
"72",88.269997,90.779999,88,89.110001,1861900,85.452095
"73",88.769997,89.300003,88.25,88.940002,1084500,85.289078
"74",89.43,89.839996,88.839996,88.919998,1028800,85.269867
"75",89.529999,90.199997,89.110001,89.769997,1240800,86.084969
"76",90.150002,91.019997,89.599998,90.949997,1007900,87.216545
"77",92.349998,92.940002,91.589996,92.360001,963900,88.568649
"78",92.190002,93.470001,91.410004,92.129997,933100,88.348099
"79",92.300003,92.300003,90.580002,90.760002,1304000,87.03434
"80",90.910004,91.57,90.830002,91.050003,1077700,87.312447
"81",90.839996,91.110001,89.080002,89.660004,956600,85.9795
"82",90.089996,90.360001,88.5,88.610001,1182600,84.97261
"83",88.860001,89.709999,88.25,89.650002,2078600,85.969902
"84",89.459999,89.839996,88.389999,89.269997,1514900,85.825676
"85",89.360001,89.529999,87.510002,88.550003,1163100,85.133461
"86",88.550003,88.970001,88.139999,88.730003,804900,85.306541
"87",88.690002,88.830002,87.690002,87.879997,611900,84.489326
"88",87.699997,88.099998,87.18,87.610001,705600,84.229729
"89",87.260002,87.349998,85.860001,86.690002,1642100,83.345238
"90",86.5,86.669998,85.68,86.07,1118800,82.749146
"91",85.800003,86.599998,85.589996,85.870003,1639000,82.556885
"92",85.940002,86.839996,85.830002,85.900002,1052200,82.585716
"93",85.620003,86.209999,85.239998,85.980003,664700,82.662643
"94",85.080002,85.540001,83.449997,83.519997,786500,80.297539
"95",83.519997,84.669998,83.349998,84.029999,830500,80.787865
"96",84.040001,84.82,83.419998,84.139999,578800,80.893623
"97",84.43,84.5,83.620003,84.25,562900,80.999382
"98",84.589996,85.559998,84.080002,85.07,679700,81.78775
"99",85.059998,85.559998,84.169998,84.550003,491700,81.287811
"100",84.730003,85.230003,84.379997,84.989998,634200,81.710815
"101",84.82,85.160004,84.32,84.540001,687900,81.278191
"102",84.650002,86.32,84.370003,85.940002,589400,82.624184
"103",86.040001,86.370003,84.620003,85.379997,761300,82.085785
"104",85.860001,86.449997,85.160004,86.019997,743900,82.70108
"105",85.989998,86.550003,85.720001,85.980003,568400,82.662643
"106",86.129997,86.870003,85.610001,86.5,668700,83.162575
"107",86.230003,86.82,85.870003,86.239998,695400,82.91259
"108",86.57,88.07,86.139999,87.919998,961500,84.527786
"109",88.160004,88.769997,87.190002,88.199997,852400,84.796967
"110",87.970001,88.709999,87.580002,88.459999,880500,85.046936
"111",88.480003,89.919998,87.029999,89.779999,1570300,86.316017
"112",89.739998,90.800003,89.300003,90.57,885100,87.075539
"113",90.730003,90.839996,89.349998,89.870003,7e+05,86.402527
"114",89.099998,90.32,88.360001,90.290001,701400,86.806343
"115",90.120003,90.120003,89.150002,89.580002,1283500,86.123734
