"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"1",70.25,71.029999,69.349998,70.610001,11125400,63.991482
"2",70.900002,71.660004,70.82,71.269997,7806800,64.589607
"3",71.480003,71.510002,70.589996,70.830002,6217200,64.190865
"4",71.139999,72.879997,71.110001,72.870003,8985600,66.03965
"5",73.300003,74.110001,73.199997,73.82,9672000,66.900597
"6",74.269997,75.269997,74.120003,74.900002,7681700,67.879372
"7",75.120003,75.120003,73.379997,74.440002,7475400,67.462471
"8",74.059998,75.230003,73.739998,75.110001,6462600,68.069695
"9",75,75.300003,74.660004,75.089996,5455800,68.051544
"10",75.059998,75.949997,74.370003,75.82,7084400,68.713127
"11",76.269997,76.269997,75.209999,75.669998,5833000,68.577179
"12",75.300003,75.720001,74.940002,75.300003,6753700,68.241875
"13",75.510002,75.68,74.720001,74.989998,8898600,67.960922
"14",74.720001,75.139999,74.360001,74.769997,4523400,67.761536
"15",74.639999,74.730003,73.589996,73.830002,6430300,66.909668
"16",73.989998,74.610001,73.589996,74.489998,6171200,67.507805
"17",74.489998,74.580002,73.889999,74.040001,3699400,67.099976
"18",74.540001,75.230003,74.470001,74.949997,4903000,67.924675
"19",74.68,74.940002,74.32,74.669998,4372100,67.670929
"20",74.589996,76.230003,74.269997,76.019997,7828200,68.894371
"21",75.279999,76.040001,75.230003,76,5618300,68.876266
"22",75.580002,76.290001,75.440002,75.919998,5357300,68.803749
"23",76.129997,76.5,75.669998,76.339996,4985900,69.184395
"24",76.32,76.339996,75.519997,75.980003,3817600,68.858147
"25",75.870003,76.160004,75.519997,76.120003,3898500,68.985016
"26",76.07,76.139999,75.519997,75.599998,3668200,68.513748
"27",75.599998,75.879997,75.440002,75.709999,4367500,68.613449
"28",75.849998,76.260002,75.709999,76.150002,3427100,69.012192
"29",76.269997,76.93,76.150002,76.919998,4081600,69.710037
"30",77,77.300003,76.459999,77.050003,3781600,69.827835
"31",76.639999,77.889999,76.57,77.699997,4244300,70.416901
"32",77.720001,78,77.160004,77.989998,4152500,70.67971
"33",77.860001,78.980003,77.800003,78.879997,9954600,71.48629
"34",80,80.980003,79.800003,80.559998,7313100,73.008835
"35",80.25,80.470001,79.239998,79.620003,5508000,72.156937
"36",80.25,80.93,79.949997,80.739998,4552700,73.171982
"37",80.540001,81.050003,80.440002,81.029999,4489100,73.434784
"38",81.029999,81.160004,80.650002,80.75,3588800,73.181015
"39",80.510002,81.129997,80.459999,80.910004,3749300,73.326035
"40",81.309998,82.279999,80.959999,82.07,4996000,74.377304
"41",81.900002,82.470001,81.489998,81.989998,4068800,74.304787
"42",81.620003,82,81.339996,81.860001,2775500,74.186981
"43",81.419998,81.860001,81.279999,81.540001,2681800,73.896988
"44",81.18,81.720001,81.099998,81.400002,2594900,73.770096
"45",81.400002,82.400002,81.269997,82.220001,4018600,74.513245
"46",82.150002,82.879997,81.889999,82.790001,3478800,75.0298
"47",83,83.190002,82.580002,83.040001,4033900,75.256371
"48",82.989998,83.190002,82.440002,82.889999,3134200,75.12043
"49",82.660004,84,82.139999,82.519997,3591800,74.785118
"50",82.599998,83.449997,82.57,83.300003,3267100,75.492012
"51",83.239998,83.470001,81.610001,81.830002,6347400,74.15979
"52",81.809998,82.349998,81.699997,82.230003,11360900,74.522301
"53",82.160004,82.239998,81.279999,81.419998,4423800,73.788231
"54",81.800003,81.900002,80.720001,81.120003,5343900,73.51635
"55",80.699997,81.190002,80.360001,81,4419800,73.79879
"56",80.739998,81.349998,80.68,80.860001,4194800,73.671234
"57",80.849998,81.470001,80.849998,81,3010300,73.79879
"58",80.699997,81.160004,80.389999,81.029999,5272200,73.826111
"59",80.919998,81.050003,80.620003,80.739998,7442300,73.561905
"60",80.830002,81.330002,80.449997,81.139999,5686700,73.926346
"61",81.040001,81.220001,80.5,80.989998,2420700,73.789665
"62",80.75,81.110001,80.550003,80.559998,3790000,73.397903
"63",80.849998,81.160004,80.209999,81.029999,3250100,73.826111
"64",81,81.07,80.480003,80.620003,3097800,73.452576
"65",80.919998,81.089996,80.209999,80.239998,3620600,73.106361
"66",80.68,80.68,79.82,80.220001,3930300,73.08812
"67",80.25,80.650002,80.139999,80.370003,2515200,73.224785
"68",80.300003,80.610001,80.120003,80.300003,2666900,73.160995
"69",80.110001,80.349998,79.790001,80.150002,2642700,73.024345
"70",79.769997,80.160004,79.650002,80.099998,3551400,72.978798
"71",80,80.5,79.879997,80.010002,3440900,72.89679
"72",80.169998,80.410004,79.910004,80.360001,2695300,73.21566
"73",80.68,80.68,80.120003,80.330002,4543000,73.188339
"74",80.75,80.75,80.269997,80.32,3781700,73.179237
"75",80.160004,81.239998,79.910004,81.019997,5323900,73.817001
"76",80.989998,81.07,80.290001,80.480003,3582300,73.32502
"77",81.360001,81.540001,80.599998,80.650002,4153900,73.479897
"78",80.760002,82.209999,80.75,81.760002,4351000,74.491219
"79",82.239998,82.970001,82.07,82.139999,4445200,74.837418
"80",82.220001,83.5,82.120003,83.129997,4878100,75.739426
"81",83.040001,83.110001,82.660004,83.089996,3915400,75.70298
"82",83.010002,84.059998,83.010002,83.739998,4325900,76.295197
"83",83.650002,84.790001,83.650002,84.75,5266100,77.215378
"84",84.709999,84.709999,83.910004,84.089996,3226100,76.614052
"85",84.099998,84.410004,83.839996,83.910004,3669600,76.450066
"86",84.150002,84.209999,83.790001,84,4030100,76.532082
"87",83.980003,83.980003,83.099998,83.300003,3913000,75.894302
"88",83.330002,83.769997,83.190002,83.339996,3819900,75.930771
"89",83.239998,83.239998,82.580002,82.889999,4942600,75.520744
"90",82.449997,83.019997,82.199997,83.010002,3801000,75.630089
"91",82.870003,83.879997,82.809998,83.419998,3013400,76.003639
"92",83.410004,84.25,83.129997,84.139999,3532100,76.659622
"93",84.089996,84.330002,83.459999,83.940002,4635300,76.477402
"94",83.940002,83.940002,82.589996,82.660004,5861800,75.311203
"95",81.589996,82.900002,81.5,82.400002,5225600,75.074303
"96",82.449997,83.510002,82.230003,83.230003,4780400,75.830513
"97",83.260002,84.349998,83.260002,83.989998,3912400,76.522949
"98",84.099998,84.919998,83.940002,84.610001,4385600,77.087837
"99",84.800003,85.199997,84.089996,84.699997,6645300,77.169838
"100",85.209999,86,83.860001,85.580002,7210600,77.971611
"101",85.580002,85.82,84.599998,85.089996,4796900,77.525146
"102",85.110001,85.330002,84.5,84.860001,4131600,77.31562
"103",84.989998,85.400002,83.779999,84.279999,7439900,76.787163
"104",84.610001,86.080002,84.370003,86.080002,7535300,78.427155
"105",86.120003,86.720001,85.540001,85.82,6162500,78.190277
"106",85.589996,86.019997,85.410004,85.949997,3243900,78.308693
"107",85.879997,86.550003,85.68,86,3627100,78.354263
"108",86.370003,86.459999,85.839996,85.980003,3291800,78.336044
"109",85.980003,86.339996,85.639999,85.940002,4159700,78.299591
