"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"1",79,79.93,78.260002,79.25,1814800,70.023674
"2",80.739998,82.389999,80.5,82.269997,3318900,72.692085
"3",82.209999,82.889999,80.959999,81.68,2841600,72.170746
"4",81.940002,82.68,80.940002,82.440002,2349600,72.842293
"5",81.870003,82.510002,81.18,81.370003,1959800,71.896843
"6",81.419998,82.080002,81.010002,81.300003,2398100,71.835007
"7",81.050003,82.889999,80.82,82.849998,3031000,73.204544
"8",82.989998,82.989998,81.139999,82.089996,2411700,72.533028
"9",82.550003,83.489998,82.489998,82.93,2191400,73.275223
"10",82.120003,82.389999,80.139999,80.199997,2014100,70.863075
"11",80.220001,80.389999,78.870003,80.150002,2372700,70.818893
"12",80.220001,80.400002,78.379997,78.75,2242100,69.581886
"13",79.059998,79.410004,78.459999,79.010002,1614600,69.811607
"14",78.75,79.160004,77.949997,78.559998,1073600,69.414001
"15",78.879997,80.870003,78.230003,80.519997,2736100,71.145813
"16",75,78.400002,74.449997,77.800003,6599000,68.742477
"17",77.099998,77.660004,75.980003,76.580002,4242400,67.664513
"18",76.5,76.57,75.889999,76,2299400,67.152039
"19",75.809998,76.32,75.139999,76.199997,2077500,67.328728
"20",75.959999,76.419998,75.559998,76.199997,2481400,67.328728
"21",76.879997,77.43,76.010002,76.339996,2515900,67.452446
"22",75.620003,76.269997,75.080002,75.970001,2535700,67.125519
"23",77.029999,77.540001,76.5,77.540001,2280700,68.512726
"24",77.019997,77.779999,76.720001,77.32,1354700,68.318375
"25",77.68,77.709999,77.040001,77.5,2158500,68.477402
"26",76.809998,77.5,76,77.349998,2589500,68.344849
"27",77.540001,78.25,77.040001,77.940002,1814800,68.866165
"28",78.220001,78.25,77.330002,78.110001,1951600,69.016411
"29",78.529999,79.75,78.529999,79.290001,1546200,70.059029
"30",79.290001,81.779999,79.290001,81.449997,3357400,71.967522
"31",81.730003,82.309998,81.489998,81.910004,1793000,72.373993
"32",80.589996,81.349998,80.459999,80.760002,2366700,71.357872
"33",79.93,80.739998,79.760002,80.669998,1214200,71.278343
"34",80.800003,81.269997,80.169998,80.529999,2186600,71.15464
"35",80,80.360001,79.5,80.209999,2175100,70.871902
"36",80.529999,80.599998,79.459999,79.82,1502100,70.527313
"37",78.919998,79.43,78.519997,78.949997,2135400,69.758591
"38",78.949997,79.449997,78.870003,79.209999,2206200,69.988327
"39",78.660004,79.910004,78.459999,79.709999,2754200,70.430107
"40",81.18,82.620003,81.18,81.650002,4164400,72.144241
"41",81.849998,81.849998,80.330002,80.370003,2139600,71.013283
"42",79.800003,80.639999,79.769997,80.220001,1749200,70.880737
"43",79.650002,79.93,79.300003,79.620003,1526800,70.350594
"44",79.699997,79.970001,79.32,79.599998,2051900,70.332916
"45",80.650002,80.959999,79.860001,79.919998,2093100,70.615662
"46",80.43,80.559998,79.760002,79.910004,2350500,70.606834
"47",80.330002,80.699997,79.540001,79.910004,2215000,70.606834
"48",80.160004,80.889999,79.480003,79.540001,2415100,70.279892
"49",79.18,79.349998,78.650002,79.139999,1972200,69.926468
"50",79.279999,80.110001,79.150002,79.660004,2208400,70.385925
"51",79.910004,80.959999,79.720001,80.610001,2816700,71.225342
"52",80.699997,80.769997,78.349998,78.610001,3939600,69.458168
"53",78.139999,78.639999,77.620003,77.760002,2404500,68.707146
"54",78.25,78.339996,76.139999,76.309998,4562700,67.425934
"55",75.93,77.230003,75.269997,76.790001,2495900,67.85006
"56",76.699997,77.949997,76.370003,77.269997,2946100,68.274178
"57",77.5,77.720001,76.709999,77.209999,2684200,68.221161
"58",75.559998,78.209999,75.370003,78.110001,3236700,69.016411
"59",77.849998,80.040001,77.699997,79.400002,3081800,70.156204
"60",79.400002,79.910004,79.07,79.309998,2065700,70.076683
"61",79.160004,80.199997,78.720001,80.040001,1622600,71.06218
"62",79.610001,80.550003,79.440002,79.610001,1478300,70.680405
"63",79.669998,79.870003,77.790001,78.82,1954900,69.979019
"64",78.510002,78.970001,78.32,78.690002,1056000,69.863586
"65",79.339996,80.540001,78.550003,78.610001,2556400,69.792572
"66",78.480003,79.419998,77.879997,78.879997,1545000,70.032265
"67",78.330002,79.379997,78.019997,78.779999,1017600,69.943512
"68",78.760002,79.029999,77.839996,78.419998,2172300,69.623894
"69",77.839996,78.5,77.300003,78.32,2403200,69.53511
"70",78,78.18,77.300003,77.730003,2142100,69.011276
"71",77.559998,78.849998,77.18,77.300003,1966500,68.629524
"72",77.510002,78.519997,76.980003,78.480003,1734700,69.677162
"73",77.779999,78.190002,76.949997,77.709999,1735900,68.993523
"74",78.43,78.769997,77.610001,77.870003,1667800,69.135574
"75",78.559998,78.68,77.519997,78.32,2103300,69.53511
"76",78.300003,78.800003,77.410004,77.699997,1509400,68.984634
"77",79.339996,80.010002,78.870003,79.790001,2159400,70.840225
"78",80.290001,81.110001,80.089996,80.620003,2446700,71.577141
"79",81,83.93,80.93,83.550003,3676600,74.178482
"80",83.849998,84.830002,83.370003,84.730003,2940200,75.226128
"81",84.690002,85.379997,83.870003,83.900002,2712900,74.48922
"82",84.470001,84.5,83.629997,83.940002,2225600,74.524727
"83",84.089996,84.239998,83.169998,83.349998,2069300,74.000916
"84",82.879997,83.940002,82.610001,83.779999,1782300,74.382675
"85",84.410004,84.790001,83.489998,83.720001,1927200,74.329414
"86",84,84.099998,83.379997,83.599998,1256900,74.222862
"87",83.900002,84.129997,83.099998,83.389999,1292400,74.036423
"88",83.510002,84.239998,83.239998,83.449997,1378400,74.089684
"89",83.139999,83.599998,82.980003,83.559998,788100,74.18734
"90",83.190002,83.419998,82.239998,82.830002,1866500,73.539238
"91",82.480003,82.669998,81.730003,82.57,1555900,73.308395
"92",82.720001,83.239998,82.589996,82.790001,1875500,73.503723
"93",82.489998,83.029999,81.809998,82.900002,1338800,73.601379
"94",82.900002,82.900002,79.43,79.82,2461000,70.866867
"95",79.779999,80.489998,79.279999,79.889999,1586100,70.929001
"96",80.029999,81.339996,79.769997,80.809998,2252300,71.745804
"97",81.25,81.389999,80.379997,80.809998,1515600,71.745804
"98",80.940002,81.830002,80.510002,81.510002,1041800,72.367302
"99",81.639999,81.870003,81.25,81.809998,1435900,72.633652
"100",82.120003,82.800003,81.839996,82.139999,1219600,72.926613
"101",81.800003,82.269997,81.610001,81.989998,1268200,72.793449
"102",81.529999,81.919998,81.400002,81.68,1263000,72.518219
"103",81.489998,81.690002,80.730003,81.459999,1815100,72.322906
"104",81.879997,82.889999,81.470001,82.82,1312900,73.530334
"105",81.989998,83,81.730003,82.68,1255000,73.406052
"106",83.860001,84.370003,83.050003,83.07,2472800,73.752312
"107",82.550003,83.400002,81.980003,83.300003,2168400,73.956528
"108",83.449997,84.449997,83.099998,84.389999,2031500,74.924255
"109",84.389999,86.480003,84.379997,86,2173800,76.353661
"110",86.400002,87.510002,86.349998,87.349998,1884400,77.552238
"111",87.300003,88.059998,87.029999,87.110001,1595200,77.339149
"112",87.879997,89.610001,87.839996,88.589996,3127800,78.653137
"113",87.949997,88.82,87.519997,88.790001,1703800,78.830704
"114",88.220001,89.260002,88.110001,88.800003,1477000,78.839592
"115",89.019997,89.07,87.940002,88.25,3223700,78.351265
"116",88.629997,89.949997,88.489998,89.519997,1953400,79.478821
"117",89.199997,89.82,88.940002,89.150002,1026000,79.150352
"118",89.330002,89.620003,88.739998,89.379997,1223300,79.354538
"119",89.080002,89.370003,88.580002,88.68,1195000,78.73304
"120",88.75,88.800003,86.800003,87.239998,3447000,77.454567
"121",87.459999,87.900002,87.029999,87.82,1527500,77.969521
"122",88.220001,88.68,87.769997,87.900002,1236300,78.04055
"123",89,89.940002,88.900002,89.660004,2293200,79.603134
"124",91.43,91.43,89,89.639999,1877900,79.924118
