"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"1",95.010002,96.629997,94.75,95.470001,1180900,91.057411
"2",95.550003,97.239998,95.339996,97.089996,859900,92.602516
"3",96.800003,97.959999,96.699997,97.860001,1274500,93.336937
"4",98.019997,98.760002,97.959999,98.300003,1065100,93.756615
"5",97.970001,98.330002,96.82,96.860001,682000,92.383171
"6",94.519997,95.5,93.510002,94.669998,1423000,90.294388
"7",94.43,95.379997,94.300003,95.019997,1121400,90.628204
"8",94.519997,97.190002,93.870003,96.5,1472600,92.03981
"9",96.870003,98.019997,96.699997,96.959999,847500,92.478546
"10",97.099998,100.75,96.980003,99.150002,1928900,94.567345
"11",99.629997,99.690002,97.889999,99.330002,1242400,94.739021
"12",99.059998,100.279999,99.059998,99.959999,1755300,95.339867
"13",100.419998,101.169998,100.129997,101.019997,1491500,96.350891
"14",100.769997,101.860001,100.660004,101.769997,1322600,97.066231
"15",101.93,102.449997,101.260002,101.949997,1039200,97.2379
"16",102.790001,103.980003,102.260002,103.730003,1333900,98.935623
"17",103.620003,104.629997,103.620003,104.07,1355500,99.259941
"18",104.120003,104.25,103.559998,103.980003,790200,99.174095
"19",103.989998,103.989998,103.129997,103.760002,1075200,98.964241
"20",103.510002,103.790001,102.959999,103.669998,1046700,98.878426
"21",103.959999,104.129997,103.029999,103.550003,1351600,98.763954
"22",98.25,104.580002,98.25,104.419998,798800,99.593742
"23",104.989998,106.629997,104.919998,106.169998,1061800,101.262871
"24",105.550003,106.989998,105.550003,106.760002,1033400,101.8256
"25",107.860001,109.57,106.919998,107.059998,1847700,102.11171
"26",107.150002,107.459999,106.480003,106.82,995400,101.88282
"27",107.389999,107.650002,106.669998,107.580002,782400,102.607697
"28",107.5,108.309998,107.269997,108,693200,103.008286
"29",108.660004,109.169998,108.220001,109.029999,580000,103.990677
"30",108.239998,109.260002,108.120003,109.260002,741300,104.210037
"31",109.029999,110.040001,109,109.849998,661400,105.138428
"32",109.93,110.360001,109.269997,110.220001,1031300,105.492569
"33",109.639999,112.980003,109.550003,112.900002,2024100,108.057632
"34",112.139999,113.139999,111.589996,112.870003,1870700,108.028931
"35",112.43,114.029999,112.43,113.559998,1477000,108.689316
"36",113.739998,114.019997,112.660004,113.230003,1117500,108.373466
"37",112.769997,113.290001,111.150002,113.290001,923800,108.430916
"38",113.290001,113.290001,110.769997,112.050003,1958400,107.24408
"39",111.910004,112.309998,111.019997,111.370003,1387400,106.593254
"40",112.650002,113.510002,112.309998,113.199997,1208100,108.344749
"41",112.599998,112.779999,111.93,112.470001,870400,107.646065
"42",112.470001,112.889999,112.160004,112.620003,814900,107.789627
"43",111.779999,112.709999,111.620003,112.269997,733200,107.454636
"44",111.879997,113,111.879997,112.660004,737700,107.827919
"45",112.760002,113.150002,112.330002,112.68,938200,107.847076
"46",112.989998,113,112.129997,112.480003,865000,107.65564
"47",112.82,112.940002,111.830002,111.93,1010900,107.129211
"48",112.07,112.5,111.449997,112.150002,961800,107.339767
"49",112,112.339996,111.43,112.110001,605900,107.301514
"50",112.709999,113.300003,111.959999,112.889999,846800,108.048035
"51",113.010002,113.800003,112.949997,113.540001,765200,108.670174
"52",113.610001,113.75,111.919998,111.940002,967000,107.138802
"53",111.900002,113.059998,111.660004,112.260002,647200,107.445076
"54",112.849998,113.110001,110.559998,110.879997,838500,106.124268
"55",110.839996,111.230003,110.110001,111.129997,1059000,106.363518
"56",111.169998,112.949997,111.040001,112.169998,972400,107.358948
"57",112.43,113.480003,112.059998,112.470001,907200,107.646065
"58",111.059998,112.120003,110.809998,111.410004,654600,106.631538
"59",111.300003,111.739998,110.879997,111.260002,915900,106.487968
"60",110.910004,111.699997,110.279999,111.449997,1067900,106.669823
"61",111.389999,111.919998,110.839996,111.620003,857600,106.832527
"62",111.160004,112.699997,110.93,112.040001,888700,107.234512
"63",112.139999,113.169998,110.93,111.900002,1030900,107.10051
"64",111.519997,111.75,110.82,111.379997,659600,106.602814
"65",111.949997,114.07,111.5,113.07,1514900,108.220337
"66",112.919998,113.68,111.989998,113.339996,936500,108.47876
"67",112.900002,113.980003,112.900002,113.279999,873000,108.421349
"68",113.290001,113.489998,112.580002,112.940002,589500,108.095894
"69",112.550003,113.389999,112.470001,113.379997,672600,108.517052
