"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume","DFS.Adjusted"
"151",61.279999,62.540001,61.009998,61.959999,2902100,56.284668
"152",61.490002,61.630001,60.970001,61.259998,1834000,55.648781
"153",60.889999,61.080002,60.09,60.099998,2280900,54.595036
"154",60.119999,60.220001,59.560001,59.639999,2163700,54.177174
"155",60.209999,60.68,60.119999,60.5,1802400,54.958397
"156",61.029999,62.110001,61.029999,61.869999,2876300,56.2029
"157",62.18,62.470001,61.59,61.709999,2309300,56.057568
"158",61.450001,61.669998,59.900002,59.900002,1905600,54.413361
"159",59.73,60,59.400002,59.43,2044300,53.986408
"160",59.490002,59.580002,59.110001,59.27,1555900,53.841064
"161",59.25,59.580002,58.970001,59.5,2627800,54.371063
"162",59.139999,59.709999,58.919998,59.310001,1498600,54.197437
"163",59.419998,59.73,59.240002,59.470001,1730200,54.343651
"164",59.630001,60.470001,59.630001,59.689999,2776800,54.544674
"165",59.830002,59.959999,59.009998,59.099998,1200000,54.005547
"166",58.52,58.669998,58.130001,58.450001,2706900,53.411572
"167",58.490002,59.259998,58.439999,58.970001,1775200,53.886745
"168",58.970001,59.400002,58.779999,58.950001,2321800,53.868484
"169",59.119999,59.84,58.889999,59.59,1342800,54.453304
"170",59.299999,59.299999,57.98,58.439999,2504000,53.402428
"171",58.68,59.060001,58.41,58.860001,1846400,53.786232
"172",58.919998,58.98,57.720001,58.09,2432200,53.082603
"173",57.959999,58.200001,57.630001,57.66,1966300,52.689674
"174",58.009998,58.48,57.82,58.189999,2667400,53.173985
"175",58.349998,58.540001,57.5,57.990002,3269800,52.991234
"176",58,59.360001,57.830002,59.290001,2901600,54.179169
"177",59.209999,59.419998,58.57,58.650002,1765600,53.594334
"178",58.540001,59.52,58.48,59.43,4212100,54.307095
"179",59.540001,60.470001,59.450001,60.25,2432600,55.056412
"180",60.25,60.779999,60.049999,60.490002,2007300,55.27573
"181",60.43,60.619999,60.009998,60.34,2816800,55.138657
"182",60.310001,60.75,60.139999,60.5,1734200,55.284863
"183",60.380001,61.419998,60.380001,61.41,2111800,56.116417
"184",61.299999,62.27,61.209999,61.91,2161500,56.573322
"185",61.700001,62.75,61.639999,62.689999,2806600,57.286091
"186",63.259998,64.190002,63.119999,64.059998,3413100,58.537994
"187",64.059998,64.5,63.73,64.360001,2393100,58.812126
"188",64.550003,64.730003,63.950001,64.480003,2494500,58.921791
"189",64.510002,65.220001,64.269997,65.160004,2258400,59.543171
"190",65.169998,65.800003,65.129997,65.739998,3260700,60.07317
"191",65.470001,65.980003,64.989998,65.489998,2200600,59.844715
"192",65.529999,66.160004,65.309998,65.970001,2387700,60.28334
"193",65.919998,66.010002,65.43,65.75,2554000,60.08231
"194",65.809998,66.139999,65.260002,65.379997,1974800,59.744198
"195",65.419998,65.739998,65.18,65.339996,1697600,59.707657
"196",65.160004,65.360001,64.599998,64.839996,2155700,59.250748
"197",64.209999,64.839996,63.66,63.810001,3782500,58.309544
"198",63.73,64.419998,63.529999,63.880001,2779900,58.373497
"199",64.190002,65.400002,64.190002,65.349998,3295000,59.716801
"200",65.410004,65.540001,64.559998,64.660004,1680900,59.086269
"201",64.970001,65.559998,64.82,65.389999,1969800,59.753342
"202",65.029999,65.760002,64.800003,65.660004,2077600,60.000076
"203",66.209999,67.099998,66.209999,66.57,3211800,60.831615
"204",66.599998,67.040001,66.589996,66.839996,2552200,61.07835
"205",66.959999,67.410004,66.830002,67.389999,2696100,61.58094
"206",66.110001,67.300003,64.589996,65.150002,5375200,59.534031
"207",65.699997,66.919998,65.57,66.690002,3020800,60.941277
"208",66.599998,66.989998,66.230003,66.779999,1713300,61.023521
"209",66.610001,67.080002,66.400002,66.510002,1424000,60.776798
"210",66.300003,66.860001,66.169998,66.529999,1920300,60.795074
"211",66.68,67.18,66.300003,66.900002,1923100,61.13319
"212",66.82,67.110001,66.110001,66.93,2362300,61.160603
"213",67.010002,67.860001,66.849998,67.440002,3146300,61.626629
"214",67.260002,67.419998,66.790001,67.019997,1331800,61.242832
"215",67.040001,67.190002,66.160004,66.440002,1800300,60.712822
"216",66.160004,66.25,65.510002,66.089996,1634400,60.393002
"217",65.75,65.970001,64.779999,65.470001,2195400,59.826439
"218",65.400002,65.690002,64.730003,64.760002,1630900,59.177662
"219",64.580002,65.050003,63.869999,65,2186100,59.396965
"220",64.519997,64.830002,63.990002,64.209999,2046300,58.67506
"221",63.799999,65.519997,63.310001,65.269997,3254200,59.643684
"222",65.410004,65.849998,64.769997,64.82,2266900,59.232475
"223",64.599998,65.389999,64.5,65.059998,1491300,59.451786
"224",65.239998,66.139999,65.129997,65.82,1237400,60.146278
"225",65.769997,65.919998,65.279999,65.639999,1228900,60.302452
"226",65.639999,65.860001,65,65.5,2026200,60.173828
"227",65.57,65.639999,65.190002,65.400002,897300,60.081966
"228",65.489998,65.82,65.129997,65.339996,1764600,60.026852
"229",65.419998,67.699997,65.099998,67.629997,2291200,62.130642
"230",68,69.980003,67.970001,69.010002,2778200,63.398418
"231",69.440002,71.18,69.279999,70.599998,3971600,64.859123
"232",70.790001,71.190002,68.769997,71.120003,2558000,65.336853
"233",72.019997,73.760002,72,73.440002,3998100,67.468193
"234",74.160004,74.410004,72.599998,73.18,3449000,67.229324
