"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume","SYK.Adjusted"
"1",119.809998,119.860001,117.860001,119.43,1831500,113.131409
"2",119.639999,120.650002,119.360001,120.099998,1504800,113.76606
"3",120.099998,120.400002,118.400002,118.779999,1772200,112.515678
"4",117.5,118.379997,116.5,117.75,2464200,111.540001
"5",117.879997,119.650002,117.639999,119.019997,1355700,112.743019
"6",119.559998,122.720001,119.050003,121.900002,2310300,115.471146
"7",121.900002,127.230003,121.900002,123.660004,3140900,117.138306
"8",122.860001,123.370003,121.839996,123.260002,1417300,116.759407
"9",123.220001,124,122.599998,122.919998,1665100,116.437325
"10",122.120003,122.989998,121.68,122.550003,1923900,116.086861
"11",122.93,123.089996,122.150002,122.400002,1195400,115.944763
"12",122,122.620003,121.389999,122.129997,1016100,115.689018
"13",122.519997,123.080002,121.449997,121.75,1196600,115.329033
"14",121.559998,122.290001,120.839996,121.410004,1391700,115.006973
"15",121.510002,122.360001,120.639999,121.5,1546500,115.092232
"16",122.18,124.949997,121.050003,121.110001,2562300,114.722801
"17",121.110001,121.110001,119.169998,120.830002,1891600,114.457542
"18",121.029999,123.669998,120.730003,123.290001,1497600,116.787819
"19",123.269997,123.269997,121.940002,122.510002,1249300,116.048981
"20",122.129997,123.589996,122,123.529999,1148500,117.015167
"21",123.43,123.82,122.419998,123.120003,1586900,116.626785
"22",122.879997,123.470001,122.300003,123.389999,1330900,116.882545
"23",123.720001,124.25,122.779999,123.360001,986000,116.854126
"24",123.080002,123.290001,121.860001,122.330002,1171300,115.878456
"25",122.360001,122.839996,122.160004,122.510002,1726400,116.048981
"26",122.339996,122.949997,122.010002,122.410004,689500,115.954247
"27",122.410004,123.580002,122.279999,123.32,1492700,116.816254
"28",123.279999,123.709999,122.779999,123.309998,841600,116.80677
"29",123.440002,124.760002,123.339996,124.330002,1121200,117.772995
"30",124.43,125.510002,123.839996,125.260002,1125200,118.653946
"31",124.699997,125.980003,124.610001,125.760002,1039000,119.127563
"32",125.589996,125.769997,124.889999,125.75,887600,119.118073
"33",125.650002,126.370003,125.120003,126.339996,863100,119.676979
"34",126.010002,127.790001,126,127.160004,1358200,120.453728
"35",127.050003,127.959999,126.839996,127.290001,806000,120.576874
"36",127.5,128.720001,127.010002,128.669998,1082800,121.884087
"37",128.559998,129.300003,128.289993,129.270004,770700,122.452438
"38",129,129.660004,128.410004,128.580002,1005600,121.798836
"39",128.740005,129.199997,127.190002,128.559998,1196800,121.779892
"40",129.350006,131.360001,128.779999,131.050003,1272000,124.13858
"41",130.940002,131.309998,129.850006,130.789993,940400,123.892288
"42",130.509995,130.850006,129.649994,130.199997,1128100,123.333374
"43",129.539993,130.160004,129.190002,129.690002,1373300,122.850304
"44",129.350006,129.809998,128.789993,129.139999,1724900,122.329308
"45",129.539993,129.869995,128.949997,129.339996,647300,122.518768
"46",129.169998,130.149994,129.029999,129.809998,1023300,122.963974
"47",130.300003,130.690002,129.289993,130,1642300,123.143959
"48",130.210007,131.460007,129.589996,131.380005,1334300,124.451157
"49",130.820007,131.350006,130.479996,130.970001,1487200,124.06279
"50",131.309998,132.990005,131,132.830002,1110700,125.824692
"51",132.619995,132.619995,130.509995,131.5,1675100,124.564812
"52",131.559998,133.020004,131,132.660004,2050700,125.663689
"53",132.619995,132.910004,132.139999,132.589996,714900,125.597343
"54",132.779999,133.589996,131.410004,132.380005,966900,125.39846
"55",132.710007,133.240005,131.610001,132.449997,789700,125.464737
"56",132.380005,132.770004,131.279999,131.589996,1247900,124.650093
"57",131.830002,133.160004,131.539993,132.509995,1237000,125.52153
"58",132,132.619995,131.729996,132.490005,698200,125.502647
"59",132.220001,132.889999,131.440002,132.699997,750900,125.701553
"60",131.919998,132.240005,131.139999,131.899994,1359000,125.345184
"61",131.699997,132.509995,131.509995,131.949997,607600,125.392715
"62",131.539993,132.199997,131.470001,131.649994,753500,125.107613
"63",131.649994,132.419998,130.589996,131.929993,998400,125.373688
"64",131.919998,132.130005,130.630005,131.410004,710900,124.87957
"65",131.210007,132.259995,130.940002,131.179993,669400,124.660995
"66",131.300003,131.300003,130.259995,130.839996,752300,124.33783
"67",130.889999,131.330002,130.529999,130.839996,867900,124.33783
"68",130.669998,131.330002,130.550003,130.729996,761200,124.233337
"69",130.449997,131.179993,129.940002,130.589996,774500,124.100288
