"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"617",97.599998,98.029999,96.5,97.019997,485700,87.989433
"618",97.639999,97.639999,96.209999,96.830002,901200,87.817123
"619",96.709999,98.25,96.709999,97.940002,727200,88.823799
"620",98.330002,98.940002,97.389999,98.559998,974700,89.386086
"621",98.129997,98.220001,96.870003,97.620003,2253200,88.533585
"622",97.900002,98.139999,96.769997,96.980003,2065200,87.953156
"623",97.169998,97.360001,96.349998,96.639999,1320800,87.644806
"624",96.489998,96.809998,94.480003,94.480003,1250800,85.685852
"625",94.910004,95.519997,93.480003,93.739998,914400,85.01474
"626",93.699997,94.82,93.449997,94.089996,1304400,85.332146
"627",94.089996,94.339996,92.919998,93.919998,661000,85.177971
"628",94.089996,95.080002,94.050003,94.989998,644500,86.148384
"629",95.190002,96.25,95.190002,95.629997,344700,86.728813
"630",94.699997,95.620003,93.910004,95.290001,810900,86.420479
"631",95.449997,95.879997,94.550003,95.360001,808700,86.483948
"632",95.120003,95.639999,94.779999,95.519997,809600,86.629044
"633",96.059998,96.449997,95.360001,95.459999,453200,86.574638
"634",95.339996,95.760002,94.07,94.709999,1030000,85.894455
"635",94.629997,94.650002,93.269997,93.510002,958700,84.806145
"636",93.669998,94.43,93.160004,93.769997,775300,85.041939
"637",93.5,93.919998,92.639999,93.300003,965200,84.615685
"638",93.839996,94.370003,93.610001,94.050003,671500,85.295898
"639",94.300003,95.239998,93.32,95.150002,906600,86.293495
"640",94.93,95.389999,93.489998,93.589996,854400,84.878685
"641",93.800003,94.080002,92.650002,93.360001,766400,84.67012
"642",93.230003,93.349998,92.419998,92.839996,1082000,84.198509
"643",93.260002,93.309998,91.279999,91.800003,1272000,83.25531
"644",91.449997,91.910004,90.529999,91.059998,1225200,82.58419
"645",91.25,92.099998,90.809998,92.019997,708400,83.454826
"646",92.410004,93.169998,91.779999,93.120003,884700,84.452446
"647",93.550003,93.709999,91.43,91.93,1418000,83.373215
"648",91.349998,92.360001,90.839996,91.220001,1092900,83.398819
"649",91.040001,92.68,90.650002,91.970001,881000,84.084496
"650",92.019997,93.169998,91.910004,92.489998,1168100,84.559921
"651",92.709999,93.620003,91.089996,91.550003,1289200,83.700523
"652",91.459999,93.32,90.480003,93.019997,1015100,85.044479
"653",93.230003,93.720001,91.650002,93.010002,863100,85.035347
"654",91.209999,94.419998,91.160004,92.779999,1546500,84.825058
"655",91.360001,92.93,91.360001,92.440002,1294500,84.514214
"656",92.839996,92.839996,91.07,91.839996,1059300,83.965652
"657",91.5,93.080002,90.959999,92.970001,1381800,84.998764
"658",93.269997,93.470001,91.489998,91.800003,979300,83.929085
"659",91.75,94.010002,91.75,93.779999,839200,85.739326
"660",93.839996,94.629997,93.25,94.120003,1365000,86.050171
"661",94.169998,95.32,93.75,94.959999,1188200,86.818138
"662",95.339996,95.559998,94.43,94.769997,969400,86.64444
"663",94.459999,95.739998,94.440002,95.730003,714500,87.522118
"664",95.529999,95.660004,94.230003,94.889999,1224000,86.754143
"665",95.139999,95.410004,93.610001,94.139999,1136200,86.068451
"666",94.190002,95,94.019997,94.989998,818000,86.845573
"667",95.470001,95.550003,94.480003,94.5,1186700,86.397583
"668",94.519997,94.949997,94.029999,94.75,726800,86.626152
"669",95.230003,95.360001,94.580002,95.279999,690100,87.110703
"670",95.639999,95.790001,94.989998,95.309998,1108100,87.138138
"671",95.25,95.669998,94.910004,95.580002,1674400,87.384987
"672",95.879997,96.080002,95.150002,95.919998,1358500,87.695831
"673",95.419998,95.529999,94.110001,94.309998,962300,86.223869
"674",94.489998,94.93,93.300003,93.809998,1225900,85.766739
"675",93.550003,93.669998,91.889999,92.449997,976700,84.523338
"676",92.400002,92.410004,91.18,91.989998,788000,84.102783
"677",91.879997,93.25,91.610001,93.150002,782400,85.163338
"678",93.900002,94.169998,92.769997,93.279999,841500,85.282173
"679",92.93,94,92.540001,93.080002,1052700,85.099335
"680",93.43,93.760002,92.769997,93.489998,747400,85.474174
"681",93.830002,94.629997,93.830002,94.360001,925700,86.269592
"682",94.849998,95.93,94.07,95.879997,852100,87.659271
"683",96.389999,96.540001,95.849998,96.260002,749700,88.006683
"684",97.190002,97.470001,96.480003,97.169998,1294800,88.838661
"685",97.32,98.160004,97.050003,97.389999,1190100,89.039787
"686",97.629997,98.580002,97.239998,97.870003,833800,89.478638
"687",97.629997,97.919998,97.120003,97.779999,838300,89.396355
"688",98.010002,98.370003,97.489998,97.669998,755800,89.295784
"689",97.540001,97.849998,96.769997,97.410004,490800,89.05809
"690",97.440002,98,96.949997,97.07,718100,88.747223
"691",96.809998,97.400002,96.309998,97.309998,669100,88.966652
"692",97.239998,97.449997,95.57,95.589996,724800,87.394119
"693",95.800003,96.099998,95.239998,95.730003,648000,87.522118
"694",95.790001,97.410004,95.790001,97.230003,765600,88.893524
"695",97.25,97.519997,96.650002,97.440002,725800,89.08551
"696",97.379997,97.379997,95.480003,95.580002,832800,87.384987
"697",95.580002,95.900002,94.860001,95.410004,655600,87.229561
"698",95.129997,95.839996,94.400002,95.370003,516600,87.192993
"699",95.160004,95.910004,94.43,95.459999,1311800,87.275276
"700",95.589996,95.809998,94.25,94.529999,605600,86.425011
"701",94.550003,94.82,93.559998,93.660004,514200,85.629608
"702",93.610001,94.18,93.190002,93.830002,908700,85.785027
"703",93.790001,94.099998,93.43,93.690002,583900,85.657036
"704",93.699997,94.169998,93.099998,93.910004,494400,85.858177
"705",93.5,94.110001,93.389999,93.989998,499800,85.931305
"706",94.32,94.68,94.050003,94.529999,517500,86.425011
"707",94.790001,94.919998,93.889999,94.150002,793000,86.077599
"708",94.559998,95.68,94.260002,95.089996,955600,86.936989
"709",95.059998,95.099998,93.879997,94.199997,564100,86.123299
"710",93.75,94.029999,92.059998,92.230003,679500,84.322212
"711",92.160004,93.269997,92.110001,93.080002,632100,85.099335
"712",93.110001,94.209999,93.110001,93.839996,558500,85.794167
"713",94.160004,94.419998,93.300003,94.120003,861300,86.050171
"714",93.309998,93.879997,93.059998,93.489998,1198400,86.191216
"715",93.389999,93.389999,91.370003,91.720001,740300,84.559402
"716",91.279999,91.849998,90.709999,90.779999,1352600,83.692787
"717",90.980003,91.910004,90.980003,91.169998,1371500,84.05233
"718",87,89.010002,85.510002,87.82,2745000,80.963867
"719",87.18,87.559998,86.080002,86.389999,1451100,79.645508
"720",86.360001,86.610001,85,85.129997,972200,78.483879
"721",85.019997,85.639999,84.260002,85.610001,1483100,78.926414
"722",85.860001,86.730003,85.410004,85.940002,1296200,79.230659
"723",86.129997,87.059998,85.970001,86.989998,1071100,80.198669
"724",86.989998,87.629997,86.800003,87.610001,1019200,80.770264
"725",87.68,88.589996,86.660004,86.800003,955600,80.023521
"726",86.540001,87.089996,86.25,86.75,1108400,79.977409
"727",87.120003,87.550003,86.629997,87.279999,846500,80.466026
"728",87.199997,87.669998,86.629997,87.269997,836500,80.45681
"729",87.57,87.57,86.730003,87.199997,425900,80.392273
"730",87.260002,87.669998,86.57,86.599998,814000,79.839119
"731",86.57,87.730003,86.410004,87.5,2053200,80.668846
"732",87.589996,87.830002,87.080002,87.389999,677700,80.567444
"733",87.699997,88.139999,87.349998,87.389999,407400,80.567444
"734",87.07,87.220001,85.699997,85.75,807000,79.055481
"735",85.449997,86.349998,85.339996,86.080002,963900,79.359718
"736",85.989998,87.169998,85.889999,86.940002,853400,80.152573
"737",86.790001,86.849998,86.230003,86.589996,1244800,79.829903
"738",86.489998,86.910004,86.120003,86.199997,926900,79.470345
"739",86.370003,86.379997,85.32,85.550003,625000,78.871094
"740",85.550003,85.790001,85.099998,85.209999,769500,78.557625
"741",85.370003,85.910004,84.879997,85.440002,760000,78.769684
"742",85.389999,86.370003,85.209999,85.739998,1270500,79.046265
"743",85.660004,86.339996,85.269997,86.139999,712300,79.415031
"744",86.199997,87.620003,85.959999,87.599998,1697900,80.761055
"745",87.660004,88.199997,87.260002,87.599998,856300,80.761055
"746",87.849998,88.669998,87.160004,88.57,785100,81.655319
"747",88.57,89.260002,88.25,89.25,1342100,82.282234
"748",89.5,90.68,89.309998,90.190002,2606500,83.148849
"749",90.339996,90.339996,88.739998,88.980003,745000,82.033318
"750",89.089996,89.269997,88.589996,88.860001,242000,81.922676
"751",88.93,89.349998,88.559998,88.949997,484300,82.005661
"752",89.099998,89.199997,88.68,88.849998,598500,81.913467
"753",88.629997,89.260002,88.610001,89.25,553200,82.282234
"754",89.330002,89.980003,89.279999,89.93,882500,82.909157
"755",90.129997,90.25,88.400002,88.709999,744100,81.784378
"756",88.550003,89.269997,88.489998,88.989998,1058500,82.042526
"757",89.089996,89.400002,88.800003,88.900002,908800,81.959564
"758",88.389999,88.720001,88.099998,88.68,931300,81.756737
"759",88.809998,89.089996,88.470001,88.510002,797200,81.600014
"760",88.510002,89.910004,88.330002,89.889999,779300,82.872269
"761",89.940002,90.599998,89.879997,90.559998,808500,83.48996
"762",90.529999,91.910004,90.440002,91.230003,1074900,84.107651
"763",91.160004,92.040001,91.010002,92.040001,758300,84.854416
"764",92.199997,92.919998,92.089996,92.639999,1034100,85.407578
"765",92.860001,93.459999,92.769997,93.239998,1204200,85.960739
"766",93.330002,93.75,92.519997,93.339996,935100,86.052925
"767",93.669998,94.589996,93.230003,94.379997,700600,87.011734
"768",94.720001,95.209999,94.480003,94.559998,761500,87.177673
"769",94.57,95.93,94.489998,95.839996,701100,88.35775
"770",95.599998,97.199997,95.57,97.120003,763100,89.537827
"771",97.279999,98.059998,96.970001,97.669998,1228400,90.044876
"772",97.860001,98.360001,97.050003,97.050003,840100,89.473297
"773",96.989998,98.099998,96.900002,98.050003,816300,90.395218
"774",97.709999,98.809998,97.370003,98.779999,744000,91.06823
"775",98.050003,98.639999,97.459999,97.690002,2172600,90.782936
"776",97.93,98.589996,97.489998,98.239998,776500,91.294037
"777",98.050003,98.580002,97.620003,97.620003,1090600,90.717888
"778",97.389999,98.230003,97,98.169998,751800,91.228989
"779",98.209999,98.550003,97.839996,97.989998,984500,91.061714
"780",98.360001,98.489998,97.839996,98.059998,1000900,91.12677
"781",98.239998,98.879997,97.870003,98.809998,649000,91.823746
