"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"1",52.59,52.59,51.93,52.380001,1107200,45.892357
"2",52.450001,52.919998,52.23,52.439999,1114300,45.944916
"3",52.450001,52.759998,51.91,52.700001,2256100,46.172726
"4",52.470001,53.400002,52.41,53.099998,1883800,46.52317
"5",53.130001,53.220001,51.900002,51.990002,1588300,45.550655
"6",52.049999,52.450001,51.66,51.970001,1286600,45.533134
"7",51.900002,52.439999,51.889999,52.200001,1674100,45.73465
"8",52.189999,52.389999,51.810001,51.959999,1470200,45.524368
"9",51.900002,52.09,51.700001,51.970001,905500,45.533134
"10",52.060001,52.599998,52.009998,52.549999,1052400,46.041298
"11",52.389999,52.66,52.240002,52.360001,880600,45.87484
"12",52.169998,52.32,51.650002,51.810001,915700,45.392952
"13",51.91,52.400002,51.779999,52.049999,806100,45.60323
"14",52.16,52.400002,51.93,51.98,665400,45.541897
"15",51.91,52.240002,51.790001,52.060001,1129900,45.611992
"16",51.84,52.07,51.610001,51.900002,974400,45.471809
"17",51.919998,52.279999,51.720001,52.080002,1061900,45.629517
"18",52.240002,52.299999,51.669998,51.82,649600,45.401714
"19",52.009998,52.009998,51.349998,51.689999,592900,45.287815
"20",51.720001,52.66,51.639999,52.650002,1460100,46.128914
"21",52.240002,52.639999,51.610001,51.75,1076900,45.340393
"22",51.860001,52.619999,51.689999,52.59,1032200,46.076344
"23",52.779999,52.970001,52.540001,52.689999,623300,46.163963
"24",52.869999,52.98,52.529999,52.650002,874700,46.128914
"25",52.740002,52.880001,52.560001,52.68,544300,46.155193
"26",52.810001,53.240002,52.77,53.119999,943300,46.540695
"27",53.060001,53.32,52.470001,52.900002,1261500,46.347954
"28",52.720001,53.049999,52.580002,52.93,1060100,46.374233
"29",52.93,53.209999,52.639999,53.049999,1404000,46.479374
"30",52.91,52.91,52.259998,52.650002,1416700,46.128914
"31",52.139999,52.59,51.810001,52.540001,2209500,46.032536
"32",52.009998,53.080002,52,52.939999,2248200,46.382999
"33",53.099998,53.48,52.900002,53.369999,1846800,46.759743
"34",53.220001,53.970001,53.099998,53.889999,1461800,47.215332
"35",53.830002,54.099998,53.5,53.970001,1145100,47.285427
"36",54.23,54.27,53.689999,54.07,1456100,47.373035
"37",54.139999,54.599998,54.029999,54.580002,2108800,47.819866
"38",54.549999,54.59,53.880001,54.290001,1616000,47.565788
"39",54.16,54.830002,54.099998,54.689999,2668600,47.916245
"40",54.029999,55.07,53.869999,54.759998,1674900,47.97757
"41",54.529999,55.509998,54.400002,55.119999,906400,48.292984
"42",55.130001,55.220001,54.43,54.889999,920800,48.091473
"43",54.849998,55.16,54.66,54.889999,1138200,48.091473
"44",54.860001,54.970001,54.709999,54.82,1005200,48.030144
"45",54.279999,54.490002,53.970001,54.119999,1061800,47.416851
"46",54.259998,54.529999,54.110001,54.119999,1288000,47.416851
"47",53.98,54.220001,53.48,53.889999,1891100,47.602341
"48",53.84,54.25,53.759998,54.189999,1718200,47.867332
"49",54.169998,54.299999,53.900002,54.02,1685400,47.717178
"50",54.23,55.02,54.139999,54.790001,1407800,48.397335
"51",54.470001,54.619999,54.119999,54.349998,1388300,48.008667
"52",54.43,55.279999,54.380001,55.049999,2346100,48.626995
"53",55.060001,55.23,54.52,54.689999,1380000,48.309006
"54",54.610001,55.610001,54.610001,55.490002,1377100,49.015667
"55",55.740002,56.200001,55.549999,56.040001,1776600,49.501495
"56",55.860001,56.5,55.810001,56.049999,1924400,49.510323
"57",56.029999,56.43,55.860001,56.189999,1141500,49.633987
"58",56.419998,56.57,55.970001,56.049999,1083300,49.510323
"59",55.939999,56.439999,54.889999,55.310001,5066700,48.856663
"60",55.200001,55.349998,54.830002,55.130001,1996800,48.697662
"61",54.959999,54.990002,54.48,54.689999,1310100,48.309006
"62",54.560001,54.91,54.5,54.59,2105200,48.22068
"63",54.52,54.59,54.139999,54.57,1428700,48.203014
"64",54.630001,55.040001,54.490002,54.720001,977800,48.335503
"65",54.610001,55.09,54.389999,55.049999,2026700,48.626995
"66",55.040001,55.16,54.599998,54.709999,2280300,48.326672
"67",54.830002,54.959999,54.470001,54.52,1870100,48.158836
"68",54.549999,54.759998,54.189999,54.709999,1156700,48.326672
"69",54.5,54.860001,54.290001,54.790001,1522700,48.397335
"70",54.700001,55.419998,54.560001,55.389999,2243100,48.92733
"71",55.360001,55.360001,54.73,54.990002,1885800,48.573994
"72",55.169998,55.490002,54.93,55.43,2073800,48.962658
