"","BR.Open","BR.High","BR.Low","BR.Close","BR.Volume","BR.Adjusted"
"1",66.519997,66.639999,65.690002,65.93,498700,60.885086
"2",65.959999,66.75,65.940002,66.370003,630800,61.291428
"3",66.300003,66.769997,65.730003,66.029999,735300,60.977444
"4",66.050003,66.459999,65.910004,66.300003,480100,61.226776
"5",66.300003,66.589996,66.059998,66.150002,367900,61.088253
"6",66.040001,66.260002,65.739998,66.019997,304900,60.968204
"7",65.860001,66.279999,65.5,66.110001,321400,61.051323
"8",66.019997,66.220001,65.220001,66.209999,216700,61.143661
"9",66.360001,66.75,66.160004,66.220001,346700,61.152901
"10",66.199997,66.32,65.720001,66.199997,316900,61.134434
"11",66.410004,66.410004,65.75,66.110001,372600,61.051323
"12",66.080002,66.449997,65.57,65.739998,238500,60.709618
"13",65.760002,66.18,65.510002,65.860001,234500,60.820454
"14",65.739998,66.019997,65.349998,65.860001,243700,60.820454
"15",66,67.169998,65.739998,67.010002,442500,61.882446
"16",67.519997,67.629997,67.18,67.580002,436400,62.408825
"17",67.610001,67.889999,67.339996,67.389999,338500,62.233364
"18",67.459999,67.690002,67.099998,67.239998,260000,62.094849
"19",67.099998,67.099998,65.82,66.410004,455300,61.328362
"20",66.32,66.610001,65.900002,66.529999,337400,61.439175
"21",67,67.010002,65.519997,65.870003,516600,60.829689
"22",65.870003,68.07,65.760002,67.980003,1131700,62.778217
"23",68.419998,68.709999,68.120003,68.559998,468300,63.313839
"24",68.120003,68.419998,67.610001,68.07,487500,62.86134
"25",68,68.650002,67.980003,68.489998,496500,63.24918
"26",67.93,68.5,67.510002,68.18,426800,62.962921
"27",68.18,68.360001,67.150002,67.18,697900,62.039463
"28",67,67.470001,66.93,67.32,623600,62.168724
"29",67.43,68.089996,67.43,67.879997,473800,62.685871
"30",67.849998,67.889999,67.419998,67.559998,422300,62.390362
"31",67.589996,68.300003,67.489998,68.160004,524300,62.94445
"32",68.150002,68.629997,68.059998,68.620003,718800,63.369259
"33",68.589996,68.68,68.010002,68.580002,487400,63.332314
"34",68.68,69.209999,68.489998,69.139999,576900,63.849457
"35",68.739998,68.959999,68.389999,68.860001,613400,63.590897
"36",68.989998,69.419998,68.68,68.970001,1234000,63.692482
"37",68.970001,70.360001,68.959999,70.360001,552200,64.976112
"38",70.400002,70.610001,69.550003,69.82,713000,64.477425
"39",69.900002,70.099998,69.32,69.330002,678400,64.024918
"40",69.650002,70.809998,69.650002,70.599998,608200,65.197739
"41",70.5,70.5,69.910004,69.949997,482600,64.597481
"42",69.900002,69.940002,69.309998,69.629997,522300,64.301949
"43",69.199997,69.519997,69.059998,69.07,390100,63.784817
"44",69.209999,69.25,68.400002,68.629997,543900,63.378494
"45",68.669998,68.720001,68.239998,68.300003,363600,63.073734
"46",68.309998,68.620003,67.940002,68.620003,497700,63.369259
"47",68.790001,68.900002,68.199997,68.5,362300,63.56411
"48",68.449997,68.769997,68.360001,68.739998,286300,63.786823
"49",68.769997,68.940002,68.400002,68.769997,326600,63.814671
"50",69.029999,69.209999,68.190002,68.809998,413500,63.851772
"51",68.849998,69.379997,68.849998,69.290001,411400,64.297195
"52",69.239998,69.449997,68.989998,69.279999,584200,64.287903
"53",69.279999,69.279999,68.330002,68.480003,281000,63.545559
"54",68.879997,68.879997,67.510002,67.739998,545400,62.858883
"55",67.75,68.440002,67.75,68.360001,381600,63.434219
"56",68.220001,68.639999,67.940002,68.010002,357200,63.109436
