"","BIO.Open","BIO.High","BIO.Low","BIO.Close","BIO.Volume","BIO.Adjusted"
"1",182.960007,184.809998,181.869995,182.910004,135700,182.910004
"2",183.550003,185.550003,182.300003,185.320007,154500,185.320007
"3",185.380005,187.160004,184.139999,185.929993,183400,185.929993
"4",185.929993,188,185.929993,187.509995,125700,187.509995
"5",188,189.270004,187.339996,188.380005,142800,188.380005
"6",192.100006,194.199997,187.5,188.479996,224000,188.479996
"7",188.490005,188.759995,183.449997,187.169998,261000,187.169998
"8",187.190002,187.759995,185.860001,186.410004,138200,186.410004
"9",185.880005,189.240005,185.880005,188.460007,124400,188.460007
"10",187.169998,189.289993,186.5,187.960007,188700,187.960007
"11",187.570007,188.559998,186.100006,187.869995,340300,187.869995
"12",187.699997,188.399994,185.899994,187.429993,336100,187.429993
"13",188.119995,188.580002,186.479996,186.910004,154300,186.910004
"14",186.089996,188.330002,185.300003,185.729996,584800,185.729996
"15",185.720001,187.539993,183.429993,185.100006,248000,185.100006
"16",185.520004,187.979996,185.429993,187.199997,152700,187.199997
"17",186.369995,188.720001,186.339996,188.009995,391500,188.009995
"18",188,188.979996,186.259995,186.5,98900,186.5
"19",186.350006,188.070007,184.539993,186.610001,116000,186.610001
"20",186.509995,190.360001,184.970001,190.080002,178200,190.080002
"21",190.5,192.600006,188.809998,189.630005,120400,189.630005
"22",189.539993,189.839996,188.429993,189.309998,86000,189.309998
"23",189.679993,191.490005,189.419998,191.100006,88900,191.100006
"24",190.960007,191.5,189.759995,191.440002,91600,191.440002
"25",192.059998,192.059998,188.259995,189.710007,136400,189.710007
"26",189.940002,190,187.570007,189.289993,147000,189.289993
"27",189.289993,190.880005,189.289993,190.880005,166500,190.880005
"28",191.25,191.850006,189.630005,190.309998,103600,190.309998
"29",191.369995,191.490005,188.240005,189.169998,180000,189.169998
"30",189.119995,191.830002,188.110001,191.75,175800,191.75
"31",191.639999,192.639999,190.899994,192.210007,84300,192.210007
"32",192.889999,193.279999,190.529999,191.850006,97500,191.850006
"33",191.860001,193.600006,190.089996,193.270004,113500,193.270004
"34",193.270004,194.25,191.300003,192.059998,148400,192.059998
"35",192.270004,193.119995,191.240005,191.669998,94000,191.669998
"36",192.5,193.309998,190.490005,192,145200,192
"37",189.100006,192.729996,186.979996,191.919998,362700,191.919998
"38",192.160004,197.630005,191.610001,196.830002,241700,196.830002
"39",196.139999,197.350006,194.639999,194.639999,270500,194.639999
"40",195.440002,197.710007,193.110001,196.020004,227900,196.020004
"41",195.720001,197.809998,195.039993,195.410004,142100,195.410004
"42",196.339996,198.210007,195.729996,198.020004,191300,198.020004
"43",196.729996,197.779999,194.970001,195.080002,177900,195.080002
"44",195.020004,197.160004,193.649994,195.5,127300,195.5
"45",195,196.979996,194.990005,196.130005,133400,196.130005
"46",195.520004,196.880005,195.240005,195.710007,143500,195.710007
"47",196.509995,197.710007,195.779999,197.25,317800,197.25
"48",197,198.210007,195.020004,197.610001,317700,197.610001
"49",198.410004,203.389999,198.199997,201.929993,536800,201.929993
"50",202.139999,209.5,200.860001,207.830002,739800,207.830002
"51",208.240005,208.600006,200.350006,200.960007,462100,200.960007
"52",200.809998,200.809998,196.399994,197.309998,615400,197.309998
"53",197.210007,197.210007,194.009995,196,587800,196
"54",197.199997,199.339996,194.75,195.690002,247000,195.690002
"55",195.860001,199.229996,195.610001,199.020004,249400,199.020004
"56",199.110001,201.529999,197.820007,200.190002,162900,200.190002
"57",200.399994,203.339996,200,200.410004,171500,200.410004
"58",198.679993,200.419998,198.440002,199.639999,205700,199.639999
"59",199.429993,201.240005,199.169998,200.130005,210200,200.130005
"60",200.149994,200.380005,198,198.550003,103300,198.550003
"61",198.360001,199.710007,198.339996,199.25,99100,199.25
"62",198.830002,200.759995,195.5,199.339996,154300,199.339996
"63",199.399994,201.639999,199.199997,201.479996,138600,201.479996
"64",201.440002,201.919998,200.630005,201.869995,178800,201.869995
"65",202.350006,202.679993,198.970001,199.470001,261900,199.470001
"66",200.330002,201.199997,198.25,201.020004,172000,201.020004
"67",200.279999,202.960007,199.940002,202.559998,147200,202.559998
"68",202.850006,204.339996,201.779999,202.330002,129400,202.330002
"69",202.160004,203.789993,201.490005,202.710007,178400,202.710007
"70",203.179993,206.5,201.850006,202.600006,131400,202.600006
"71",201.75,203.449997,200.649994,202.729996,99400,202.729996
"72",202.949997,204.440002,201.899994,203.869995,104300,203.869995
"73",203.509995,205.440002,202.259995,205.220001,149700,205.220001
"74",206,210.690002,205.830002,210.270004,262600,210.270004
"75",210.710007,211.449997,209.399994,211.100006,159500,211.100006
"76",210.690002,211.660004,210,211.589996,245300,211.589996
"77",213.580002,213.960007,211.979996,213.449997,120200,213.449997
"78",214.580002,215.479996,212.720001,213.139999,238200,213.139999
"79",213,215.509995,212.470001,214.919998,163300,214.919998
"80",215.210007,219.339996,215.089996,217.779999,201100,217.779999
"81",218.070007,218.940002,216.520004,218.259995,290900,218.259995
"82",219.429993,220.729996,216.850006,220.009995,136700,220.009995
"83",220.119995,221.570007,219.779999,220.600006,189200,220.600006
"84",220.330002,221.389999,218.240005,219.979996,223600,219.979996
"85",220.580002,221.669998,218.630005,220.770004,206500,220.770004
"86",223,224.240005,215.559998,218.139999,345000,218.139999
"87",217.940002,217.940002,216.089996,217.850006,88100,217.850006
"88",217.919998,223.470001,216.539993,223.119995,448900,223.119995
"89",222.020004,223.419998,220.25,223,189100,223
"90",222.619995,222.710007,219.679993,221.139999,134100,221.139999
"91",220.860001,222.75,220.309998,220.509995,123100,220.509995
"92",220.259995,223.149994,220.259995,222.320007,90600,222.320007
