"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"1",156.300003,157.139999,155.210007,156.970001,3426100,145.53363
"2",157.809998,159.229996,157.809998,158.619995,3189800,147.063446
"3",158.410004,159.699997,157.399994,158.710007,2796000,147.146912
"4",158.979996,159.660004,157.889999,159.100006,2426000,147.508514
"5",159,159.240005,158.169998,158.320007,2839400,146.785324
"6",158.960007,159.940002,158.570007,159.070007,2988300,147.480682
"7",159.539993,159.699997,158.279999,159.399994,2416500,147.786621
"8",159.149994,159.160004,156.669998,158.289993,3020500,146.757477
"9",158.740005,159.580002,158.339996,158.830002,2435400,147.258163
"10",158.199997,159.039993,157.229996,157.669998,2758800,146.182663
"11",157.550003,159.050003,156.75,158.320007,2087000,146.785324
"12",158.869995,159.869995,157.910004,159,3144000,147.415787
"13",159.809998,160.300003,158.229996,159.529999,3384500,147.90715
"14",158.940002,159.5,157.289993,157.839996,3931200,146.340271
"15",158.580002,160.929993,157.839996,160.550003,3927500,148.852844
"16",163.589996,168.649994,163.240005,167.360001,7480000,155.166702
"17",167.25,170,167.25,169.119995,5436800,156.798462
"18",169.210007,169.800003,167.009995,167.699997,4883200,155.481918
"19",165.919998,165.990005,163.820007,165.570007,5456300,153.507095
"20",164.960007,165.100006,163.220001,163.419998,5350700,151.513748
"21",164.25,165.809998,163.119995,163.970001,3138000,152.023697
"22",163.220001,163.970001,160.820007,162.259995,3791700,150.438248
"23",162.990005,163.559998,162.309998,162.399994,2981700,150.568054
"24",162.419998,164.080002,162.380005,163.979996,3110500,152.032944
"25",165,167.419998,164.869995,166.5,4243200,154.36937
"26",165,165.240005,163.690002,163.809998,3041600,153.181732
"27",164.669998,165.089996,164.059998,164.279999,3451100,153.621262
"28",165.25,166.449997,164.470001,166.229996,2689700,155.444733
"29",166.449997,169.070007,166.350006,168.029999,3765000,157.127945
"30",167.699997,168.800003,167.220001,168.5,2580300,157.567444
"31",168.419998,169.949997,168.350006,169.300003,4033200,158.315552
"32",169.740005,170.809998,168.75,170.809998,3070100,159.72757
"33",170.410004,173.25,170.399994,172.710007,4982900,161.504272
"34",173.919998,176.169998,173.679993,175.559998,4231700,164.169357
"35",174.979996,175.75,174.009995,175.360001,2832100,163.982346
"36",175.970001,177,175.699997,176.860001,3502600,165.38504
"37",176.75,178.800003,176.100006,177.440002,4197200,165.927383
"38",178,179.880005,177.550003,179.429993,2892600,167.788315
"39",180.339996,181.929993,179.669998,180.229996,4785100,168.536377
"40",181.850006,184.800003,181.820007,183.910004,5461800,171.977631
"41",184,185.710007,182.970001,182.990005,4909000,171.117325
"42",182.990005,183.580002,181.449997,182.179993,3917500,170.359863
