"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume","ED.Adjusted"
"1",73.720001,73.739998,72.739998,73.629997,1699600,61.191494
"2",73.720001,74.199997,73.300003,73.559998,1259600,61.133339
"3",73.540001,73.989998,72.970001,73.720001,1802900,61.266308
"4",73.290001,74.019997,73.169998,73.940002,914600,61.44915
"5",74.099998,74.099998,72.709999,72.760002,1479300,60.468491
"6",72.629997,72.82,72.139999,72.639999,1124200,60.368763
"7",72.629997,73.169998,72.410004,73.029999,1288800,60.69286
"8",73.010002,73.739998,72.5,73.620003,1493100,61.183205
"9",73.440002,73.650002,73.040001,73.599998,1179900,61.166576
"10",73.889999,74.639999,73.669998,74.599998,1601900,61.997646
"11",74.279999,74.830002,74.120003,74.43,1455500,61.856361
"12",73.949997,74.150002,73.260002,73.489998,1395500,61.075165
"13",73.410004,73.800003,72.790001,73.080002,2034800,60.734428
"14",73.269997,73.529999,72.699997,72.959999,1527100,60.634693
"15",72.82,73.110001,72.540001,72.790001,1544100,60.493427
"16",72.519997,72.769997,72.129997,72.739998,1990900,60.451862
"17",72.510002,73.519997,72.510002,73.019997,1451300,60.68454
"18",73.290001,73.510002,72.919998,73.120003,1488300,60.767677
"19",73.339996,73.559998,72.809998,73.260002,1595100,60.884014
"20",73.440002,74.550003,73.339996,74.349998,2991000,61.789886
"21",73.82,74.019997,73.050003,73.330002,1766300,60.942192
"22",73.470001,74.5,73.169998,74.470001,1488000,61.889614
"23",74.5,74.699997,73.940002,74.199997,2302100,61.665218
"24",74.550003,74.739998,74.050003,74.300003,1758300,61.748333
"25",74.309998,74.599998,74.169998,74.510002,831900,61.922852
"26",74.620003,75.309998,74.620003,75.25,1121600,62.537853
"27",75.129997,75.440002,74.260002,74.389999,1801900,61.823109
"28",74.290001,74.959999,74.18,74.75,1321700,62.122299
"29",74.290001,74.480003,73.639999,74.349998,1695200,62.36557
"30",74.139999,74.300003,73.389999,73.690002,1254300,61.811943
"31",73.209999,73.760002,72.940002,73.699997,1616700,61.820332
"32",73.68,74.489998,73.529999,74.290001,2953000,62.315228
"33",74.080002,74.080002,72.629997,73.5,2768800,61.652576
"34",73.5,74.68,73.220001,74.519997,1854700,62.508163
"35",74.519997,75.089996,74.199997,75.010002,2410800,62.919189
"36",75.290001,75.989998,75.07,75.910004,1438000,63.67411
"37",76.25,76.760002,76.07,76.610001,1609700,64.261284
"38",76.610001,76.709999,76.190002,76.470001,1239000,64.143845
"39",76.290001,77.239998,76.260002,77.040001,1727500,64.621971
"40",75.910004,76.910004,75.589996,76.18,1780800,63.900589
"41",75.970001,77.5,75.790001,77.190002,2164800,64.74778
"42",77.309998,77.309998,76.190002,76.669998,1525700,64.311615
"43",76.669998,77.019997,76.440002,76.639999,1328500,64.286438
"44",76.489998,76.860001,76.389999,76.639999,1088200,64.286438
"45",76.059998,76.089996,75.419998,75.510002,1201600,63.338577
"46",75.639999,76,75.110001,75.129997,1776900,63.019833
"47",75.519997,76.019997,75.379997,75.980003,1145100,63.732845
"48",75.980003,76.279999,75.790001,76.279999,1414100,63.984474
"49",76.239998,76.57,76.029999,76.419998,1203100,64.101913
"50",76.669998,78.110001,76.489998,77.639999,1547200,65.125252
"51",77.339996,77.620003,76.190002,76.32,1892200,64.018013
"52",76.529999,77.089996,76.400002,76.68,2989100,64.32
"53",76.889999,77.050003,75.940002,76.089996,1060900,63.825092
"54",76.099998,77.57,76.050003,77.339996,1603000,64.873596
"55",77.650002,78.360001,77.510002,78.110001,2040300,65.519493
"56",78,78.68,77.660004,77.889999,1270900,65.334961
"57",77.889999,78.660004,77.760002,78.410004,1130200,65.771141
"58",78.519997,78.980003,78.139999,78.550003,1783800,65.88858
"59",78.330002,78.629997,78.110001,78.529999,1241400,65.871788
"60",78.269997,78.480003,77.75,78.18,1260800,65.578201
"61",77.989998,78,77.440002,77.739998,827100,65.209129
"62",77.620003,78.080002,77.290001,77.660004,1300400,65.142021
"63",77.75,77.830002,77.139999,77.830002,2192100,65.284637
"64",77.699997,78.279999,77.5,77.959999,1130200,65.393677
"65",77.860001,78.610001,77.589996,78.529999,1291300,65.871788
"66",78.370003,78.5,77.980003,78.330002,1010500,65.704033
"67",78.690002,78.760002,77.800003,77.82,1988500,65.276245
"68",77.870003,78.150002,77.540001,78.010002,932900,65.435631
"69",77.870003,78.089996,77.309998,77.900002,1733100,65.34333
"70",77.629997,78.589996,77.440002,78.580002,2095600,65.91375
"71",78.480003,78.82,77.949997,78.529999,1578800,65.871788
"72",78.610001,78.870003,78.470001,78.870003,1307300,66.156975
"73",78.889999,79.290001,78.660004,79.089996,1549000,66.34153
"74",78.889999,79.07,78.57,78.779999,1700200,66.081482
"75",78.779999,78.779999,77.800003,78.279999,1836400,65.662079
"76",78.239998,79.269997,78.220001,79.089996,2137300,66.34153
"77",79.139999,79.5,78.57,79.400002,1744600,66.601555
"78",79,79.480003,78.870003,79.400002,1146000,66.601555
"79",79.32,79.709999,79.089996,79.139999,1099000,66.383469
"80",79.169998,80.099998,79.019997,79.580002,1495300,66.752541
"81",79.389999,79.580002,78.980003,79.279999,2890300,66.500893
"82",79.300003,79.449997,78.769997,78.849998,1284300,66.140213
"83",79.029999,79.330002,78.769997,79.260002,1386700,66.484131
"84",79.25,79.349998,78.709999,78.760002,1495800,66.064735
"85",78.459999,79.089996,78.419998,78.879997,1598400,66.165375
"86",79.43,80.209999,79.010002,79.809998,1650300,66.945465
"87",79.279999,79.779999,79.080002,79.389999,1168700,66.59317
"88",79.279999,79.370003,78.690002,78.809998,1472400,66.106628
"89",78.949997,79.360001,78.790001,79.040001,1489200,66.299599
"90",79,79.470001,78.720001,79.459999,1337800,66.651878
"91",79.660004,80.080002,79.510002,79.900002,1282900,67.02095
"92",79.360001,79.690002,79.07,79.610001,1506700,67.359421
"93",79.639999,79.730003,79.129997,79.139999,1288600,66.961746
"94",79.139999,79.870003,78.959999,79.360001,1748100,67.147873
"95",79.459999,80.089996,79.029999,79.919998,1613500,67.621712
"96",80,80.379997,79.529999,80.370003,1337900,68.002472
"97",80.099998,81.169998,80.099998,80.949997,1366300,68.493195
"98",81,81.620003,80.919998,81.309998,1788800,68.797813
"99",81.279999,81.610001,81.18,81.449997,1626900,68.91626
"100",81.580002,82.160004,81.309998,82.040001,1341800,69.415489
"101",82.099998,82.400002,81.849998,82.099998,1123200,69.466255
"102",82.040001,82.389999,81.870003,82.199997,1173700,69.550842
"103",82.309998,83.25,82.220001,82.790001,1924600,70.050072
"104",82.769997,83.449997,82.489998,83.43,1467000,70.591576
"105",83.889999,83.989998,83.260002,83.529999,918800,70.676178
"106",83.389999,83.489998,83.019997,83.050003,855600,70.270058
"107",83.25,83.330002,82.709999,82.900002,1173700,70.143143
"108",83.139999,83.949997,82.860001,83.760002,1599800,70.870804
"109",83.760002,83.760002,82.480003,83.040001,1617300,70.261597
"110",82.699997,83.349998,82.639999,83.25,1412600,70.439278
"111",83.25,83.739998,82.629997,83.300003,1546100,70.48159
"112",82.839996,83.080002,82.510002,82.879997,1687300,70.126213
"113",83.559998,83.980003,83.239998,83.589996,1312100,70.726952
"114",83.75,84.260002,83.07,84.260002,1907800,71.293846
"115",84.5,85.040001,84.349998,84.849998,2975700,71.793068
"116",84.720001,84.760002,84.300003,84.75,1687200,71.708443
"117",84.800003,85.129997,84.720001,84.959999,1283000,71.886139
"118",85.040001,85.129997,84.349998,84.650002,1135000,71.62384
"119",84.470001,84.860001,84.160004,84.199997,1154600,71.243088
"120",84.139999,84.550003,83.730003,83.839996,1347100,70.938477
"121",83.910004,84.580002,83.730003,84.040001,1387900,71.107719
"122",83.559998,83.779999,82.519997,82.669998,1566000,69.948524
"123",83.010002,83.059998,81.809998,81.82,1627100,69.229332
"124",81.199997,81.470001,80.669998,80.830002,2111700,68.391678
"125",80.959999,81.349998,80.800003,80.82,1943400,68.383232
"126",81.139999,81.279999,80.57,80.57,929600,68.171684
"127",80.599998,80.720001,80.169998,80.470001,1551500,68.087074
"128",80.360001,80.599998,80.040001,80.389999,1200200,68.019379
"129",80.519997,80.900002,80.279999,80.529999,1345700,68.13784
"130",80.610001,80.919998,80.370003,80.370003,1314300,68.002472
"131",80.510002,80.650002,80.040001,80.410004,1060000,68.036308
"132",80.980003,81.220001,80.82,81.110001,1233400,68.628593
"133",80.900002,81.019997,80.309998,80.330002,1512200,67.968628
"134",80.900002,81.220001,80.599998,80.730003,837100,68.30706
"135",80.809998,81.120003,80.489998,81.110001,885500,68.628593
"136",81.18,81.410004,81.040001,81.209999,1104300,68.713196
"137",81.470001,81.75,81.089996,81.75,988100,69.170105
"138",82,82.419998,81.68,82.410004,969500,69.728546
"139",82.419998,82.980003,82.239998,82.93,1628600,70.168518
"140",82.910004,82.980003,81.82,82.139999,1601600,69.500084
"141",82.129997,82.18,81.239998,81.510002,1326200,68.967033
"142",81.400002,82.110001,81.239998,82.110001,1294300,69.474709
"143",81.940002,82.300003,81.550003,82.290001,1653700,69.627014
"144",82.269997,82.489998,81.769997,82.379997,2203700,69.703148
"145",82.410004,82.959999,82.150002,82.860001,2909000,70.109299
"146",82.940002,83.089996,82.370003,82.739998,1694300,70.007759
"147",82.440002,82.830002,82.150002,82.699997,1804300,69.973907
"148",82.510002,83.120003,82.43,83.120003,2194400,70.329292
"149",82.349998,83.620003,82.349998,82.800003,1396100,70.05854
"150",82.809998,83.5,82.639999,83.5,1267200,70.65081
"151",83.389999,84.120003,83.300003,84.059998,1386400,71.124626
"152",83.449997,84.160004,83.139999,83.260002,2978300,70.447754
"153",83.32,83.849998,82.82,83.639999,1430500,70.769264
"154",83.68,83.830002,82.510002,82.870003,1546900,70.117752
"155",82.339996,82.779999,82.040001,82.550003,1566400,70.433464
"156",82.190002,83.18,82.190002,83.050003,1047700,70.860054
"157",83.07,83.529999,82.93,83.440002,872600,71.192818
"158",83.459999,83.650002,82.910004,83.019997,1044700,70.834457
"159",82.959999,84.07,82.739998,83.529999,2024000,71.269592
"160",83.690002,83.93,83.309998,83.75,937300,71.457306
"161",83.760002,83.93,83.309998,83.93,1084900,71.610893
"162",83.970001,84.290001,83.639999,84.260002,825900,71.892456
"163",84.239998,84.540001,84.029999,84.230003,845800,71.866867
"164",84.440002,84.870003,84.300003,84.480003,778600,72.08017
"165",84.660004,84.760002,84.25,84.589996,825300,72.174019
"166",84.790001,84.919998,84.370003,84.419998,1070900,72.028969
