"","DG.Open","DG.High","DG.Low","DG.Close","DG.Volume","DG.Adjusted"
"829",181.380005,181.929993,178.029999,179,1920000,176.982437
"830",178.5,179.979996,176,178.740005,1969000,176.725357
"831",180.289993,182.130005,178.809998,179.149994,1498500,177.130707
"832",177.139999,179.910004,176.360001,176.5,1920200,174.510605
"833",178.059998,178.389999,175.550003,175.979996,2103700,173.996475
"834",176.419998,182.589996,174.080002,179.490005,2579600,177.466904
"835",181,183.320007,178.009995,178.429993,2210200,176.418839
"836",179.179993,179.850006,174.580002,174.800003,2041300,172.829773
"837",173.639999,177,173,175.300003,2034500,173.324127
"838",174.220001,176.429993,172.660004,173,1570700,171.050049
"839",173.740005,175.800003,172.669998,175.440002,1263200,173.462555
"840",176,176.850006,174.059998,174.869995,1438100,172.898956
"841",175.839996,176.910004,173.380005,173.899994,1163600,171.93988
"842",175.25,175.830002,173.259995,173.600006,1118900,171.643295
"843",175.199997,176.789993,173.389999,176.360001,1573000,174.372177
"844",177.279999,184.949997,177.279999,183.039993,2743500,180.976883
"845",182.740005,184.759995,181.520004,181.729996,2025400,179.681641
"846",181.929993,183.869995,179.020004,181.570007,2354000,179.523468
"847",180.320007,182.5,178.779999,181.5,1497600,179.454254
"848",181.020004,183.770004,180.270004,182.020004,2807400,179.968384
"849",184.940002,185.009995,181.600006,182.050003,2167500,179.998047
"850",182.449997,184.630005,181.419998,181.479996,1660500,179.434464
"851",181.580002,182.259995,177.529999,178.570007,2368000,176.557266
"852",179.009995,179.479996,176.580002,178.410004,1977100,176.399063
"853",179.479996,179.610001,177.210007,178.979996,1848700,176.962631
"854",182.119995,183.339996,179.389999,180.360001,2550000,178.327087
"855",180.600006,187.199997,179.050003,187.199997,3573100,185.090012
"856",186,189.5,180.309998,184.110001,5695800,182.034821
"857",184.979996,192.710007,184.979996,191.509995,8138800,189.35141
"858",191.289993,194.839996,189.139999,191.5,2602500,189.341522
"859",191.509995,193.039993,189.820007,191.779999,2883600,189.618347
"860",191.649994,191.860001,188.059998,189.75,2426100,187.611237
"861",189.75,190.75,185.190002,185.880005,3115300,183.784882
"862",186.410004,186.899994,181.270004,185.660004,3337600,183.567352
"863",183.660004,187.399994,183.649994,186,2986800,183.903534
"864",188.110001,188.210007,185,186.25,2551700,184.150711
"865",187.059998,190.740005,187.059998,190.130005,3549800,187.986984
"866",190.199997,192.690002,187.460007,188.279999,2753100,186.157822
"867",190.25,190.699997,181.529999,184,3198700,181.926071
"868",182.720001,190.199997,182.619995,187.860001,2842700,185.742554
"869",189.119995,191.149994,186.910004,190.880005,2557200,188.728516
"870",190.710007,191.309998,188.850006,189.759995,1751300,187.621124
"871",190.940002,191.990005,188.699997,191.320007,1819500,189.163574
"872",193.080002,193.720001,188.169998,188.779999,2866100,186.652176
"873",189.580002,192.669998,188.649994,192.139999,1441600,189.974304
"874",192.759995,193,189.399994,189.970001,1796300,187.828796
"875",189.529999,192.449997,188.610001,191.850006,2450400,189.687576
"876",190.75,191.759995,187.669998,190.669998,2529400,188.520905
"877",190.759995,193.630005,189.25,189.389999,6688800,187.255295
"878",190.080002,191.309998,188.119995,190.020004,2147500,187.87822
"879",190.029999,191.050003,188.130005,190.509995,1904200,188.362686
"880",189.789993,191.440002,188.070007,190.899994,1844500,188.748276
"881",191.789993,191.899994,188.940002,189.479996,1559400,187.344284
"882",190.539993,190.820007,186.089996,187.139999,1752700,185.382874
"883",185.919998,188.910004,185.720001,187.820007,1923500,186.056503
"884",188,188.389999,185.600006,186.529999,2228500,184.77861
"885",186.649994,190.550003,186.550003,189.740005,1737000,187.958481
"886",189.910004,190.490005,186.839996,188.240005,1429900,186.47258
"887",188.570007,191.149994,185.820007,186.460007,1791800,184.70929
"888",186.029999,189.850006,185.539993,189.729996,1999400,187.948563
"889",190.389999,190.899994,188.119995,189.429993,1597300,187.651382
"890",189.360001,191.380005,187.309998,188.919998,1471500,187.146164
"891",190.160004,190.330002,188.059998,188.479996,2204200,186.710312
"892",189.619995,193.089996,189.100006,192.770004,1410300,190.960037
"893",192.539993,193.5,190.110001,191.860001,1542100,190.058578
"894",191.809998,195.440002,190.759995,195.149994,1714700,193.317673
"895",195.5,195.820007,191.270004,191.649994,1589400,189.85054
"896",190.830002,192.940002,190.509995,191.699997,1107900,189.90007
"897",191.789993,192.289993,189.529999,189.949997,1475500,188.166504
"898",190.130005,191.830002,189.270004,190.029999,1281800,188.245743
"899",190.949997,192.429993,190.600006,191.380005,1065700,189.583084
"900",191.050003,192.080002,190.089996,191.320007,1054100,189.523651
"901",191.380005,191.75,187.759995,190.399994,1334000,188.612274
"902",190.699997,193.279999,190.699997,192.889999,1418400,191.078903
"903",192.089996,195.600006,191.570007,195.429993,1764200,193.595047
"904",196.139999,197.350006,194.070007,195.279999,2008100,193.446442
"905",194.240005,194.779999,190.270004,192.550003,1800700,190.742096
"906",193.190002,195.580002,192.759995,195.289993,1489200,193.45636
"907",195.300003,195.309998,192.190002,193.289993,2610100,191.475128
"908",192.880005,192.970001,190.789993,191.089996,1164100,189.295792
"909",193,197.380005,191.589996,196.830002,1763200,194.981934
"910",197.240005,197.919998,195.270004,196.080002,1379800,194.238953
"911",196.410004,198.910004,196.130005,198.550003,1400900,196.68576
"912",199.289993,202.279999,198.309998,200.729996,1906300,198.845276
"913",200.949997,200.949997,196.169998,197.979996,2003700,196.121109
"914",199.610001,201.399994,198.139999,200.130005,1559600,198.250931
"915",199.419998,200,197.470001,197.800003,1658300,195.942795
"916",198.5,200.339996,197.720001,198.929993,1787100,197.06218
"917",201,201.179993,198.009995,198.320007,2686800,196.457916
"918",199.130005,199.570007,197.509995,198.660004,1552600,196.794739
"919",198.740005,204.660004,198.559998,204.089996,2407500,202.173721
"920",206,206.979996,199.550003,201.339996,3846300,199.449554
"921",202.25,202.960007,198.559998,200.389999,2231900,198.508499
"922",200.929993,203.490005,199.850006,201.880005,2112900,199.984482
"923",201.600006,203.080002,199.789993,199.899994,1747200,198.023056
"924",200,204.990005,197.759995,204.100006,2416500,202.183655
"925",203.389999,203.690002,196.039993,196.800003,2163400,194.952194
"926",196.970001,198.169998,191.470001,195.720001,1777100,193.882339
"927",194.130005,195.710007,190.759995,192.399994,2235700,190.593491
"928",193.350006,198.910004,193.199997,197.449997,1714700,195.596069
"929",197.449997,200.350006,196.729996,197.119995,1829500,195.269165
"930",197.979996,200.940002,197.910004,200.5,1676900,198.617462
"931",201.130005,203.75,200.809998,202.110001,1977400,200.212326
"932",202.570007,203.929993,201.789993,202.869995,1526200,200.965195
"933",203.899994,204.880005,202.399994,202.75,1855800,200.846329
"934",200.619995,204.130005,200.5,203.5,1934500,201.589294
"935",204.320007,208.990005,203.740005,208.100006,3920100,206.146088
"936",206.919998,207.360001,202.309998,202.940002,2316400,201.034546
"937",202.309998,208.960007,202.309998,208.339996,1857400,206.38382
"938",208.440002,209.860001,203.830002,204.220001,1893000,202.302536
"939",204.220001,206.289993,202.580002,205.020004,1407600,203.095001
"940",205.110001,209.339996,204.350006,208.389999,1160300,206.433365
"941",208.720001,210.889999,206.190002,209.800003,1528100,207.830124
"942",209.5,211.979996,209.25,209.639999,1289400,207.671646
"943",210.330002,211.639999,208.350006,209.619995,1707600,207.651794
"944",211.259995,213.919998,210.970001,211.520004,1829200,209.533981
"945",209.789993,212.679993,209.559998,211.520004,1302600,209.533981
"946",212,213.580002,210.820007,213.190002,1315800,211.548355
"947",214.5,216.479996,211.570007,212.289993,1670200,210.655273
"948",213.869995,215.729996,213.600006,214.529999,1572900,212.878036
"949",216.660004,219.399994,215.899994,218.880005,1412200,217.19455
"950",219.850006,222.779999,219.720001,220.979996,1301300,219.278351
"951",222.119995,222.509995,220,220.559998,1505600,218.861588
"952",220.699997,223.940002,220.699997,223,1122500,221.282806
"953",222.699997,222.779999,219.75,220.100006,1178600,218.405136
"954",219.940002,223.649994,219.139999,222.869995,1498000,221.153809
"955",224.029999,224.820007,221.710007,221.710007,1604000,220.002747
"956",222.429993,224.070007,217.380005,218.070007,1558700,216.390778
"957",218.070007,220.259995,217.410004,217.779999,1056100,216.102997
"958",217.830002,221.720001,217.830002,219.860001,1758400,218.166977
"959",218.880005,219.479996,213.800003,214.320007,1345300,212.669647
"960",214.070007,215.830002,212.710007,215.440002,1333700,213.781021
"961",214.020004,214.830002,209.639999,212.039993,1194300,210.407196
"962",212.5,214.720001,211.699997,213.710007,1073600,212.064331
"963",212.179993,215.330002,210.039993,211.020004,1568500,209.39505
"964",210.809998,212.800003,209.619995,210.729996,1251000,209.107285
"965",210,211.240005,206.139999,208.710007,1830000,207.102859
"966",209.75,212.110001,207.089996,209.520004,1550100,207.906601
"967",211.300003,216.910004,211.160004,214.100006,1452500,212.45134
"968",216.770004,219.479996,214.660004,216.229996,1646200,214.564911
"969",219,220.600006,216.070007,218.009995,1406700,216.331223
"970",218.330002,222.070007,216.619995,221.399994,926200,219.695129
"971",224.869995,225.25,210.240005,210.490005,2640600,208.869141
"972",210.979996,213.990005,208.25,210.559998,1878900,208.938599
"973",211.5,216.570007,211.5,213.570007,1507600,211.92543
"974",214,214.020004,209.720001,212.779999,1442100,211.141495
"975",213.850006,215.220001,211.679993,213.899994,1231800,212.252853
"976",214.300003,215.5,212.5,213.089996,1768900,211.449097
"977",212,212.419998,208.419998,208.75,2241700,207.142548
"978",208.929993,211.570007,206.300003,208.570007,1843000,206.963913
"979",209.009995,211.889999,207.5,211.210007,1837900,209.583603
"980",211.009995,213.289993,210.070007,210.229996,1433900,208.611115
"981",211.360001,212.729996,210.270004,211.039993,1455700,209.414886
"982",212.009995,214.440002,211.710007,212.979996,1723200,211.339951
"983",213.75,217.490005,213.039993,217,1363400,215.328995
"984",216.929993,218.259995,216.330002,218.009995,723000,216.331223
"985",218.509995,218.940002,214.320007,218.580002,2911400,216.896835
"986",218.889999,221.669998,218.080002,219.839996,2027700,218.147125
"987",219.089996,219.479996,216.550003,217.539993,1756600,215.864822
"988",213.479996,216,211.5,214.490005,3042300,212.838333
"989",214.199997,215.869995,212.190002,213.429993,1867200,211.786484
"990",214.009995,217.210007,211.929993,213.360001,1962100,211.717026
"991",212.149994,212.850006,210.190002,211.369995,1691500,209.742355
"992",211.5,212.210007,206.110001,208.979996,2347400,207.370758
"993",208.440002,208.929993,205.259995,205.869995,2264100,204.284714
"994",206.149994,207.820007,205.690002,206.610001,1745500,205.019012
"995",206.800003,207.699997,205.619995,205.899994,1858500,204.314468
"996",206.600006,208.970001,205.880005,207.779999,2246700,206.180023
"997",207.949997,212.25,207.759995,211.020004,1710400,209.39505
"998",212.009995,213.369995,211.470001,212.550003,1670000,210.913284
"999",212.869995,213.259995,209.960007,210.479996,4192600,208.859192
"1000",209,212.199997,206.820007,210.960007,1996800,209.33551
"1001",212.039993,213.5,210.830002,213.070007,1703500,211.429276
"1002",211.860001,213.339996,211.020004,211.169998,1691200,209.5439
"1003",211.350006,212.350006,210.639999,211.279999,535700,209.653046
"1004",213.139999,213.160004,209.610001,210.389999,1269800,208.769897
"1005",210.759995,211.839996,210.089996,211.339996,1129800,209.712585
"1006",211.279999,212.070007,209.899994,209.929993,1057400,208.313446
"1007",209.869995,210.619995,208.149994,210.300003,1396200,208.680603
