"","CVS.Open","CVS.High","CVS.Low","CVS.Close","CVS.Volume","CVS.Adjusted"
"1",79.580002,80.449997,78.970001,80.349998,5922800,69.596474
"2",80.339996,80.419998,79.440002,79.75,7101800,69.076767
"3",79.849998,81.519997,78.800003,81.419998,8805400,70.523277
"4",81.410004,82.459999,80.940002,82.199997,7087100,71.198875
"5",82.199997,82.379997,81.160004,81.699997,6847600,70.765785
"6",81.720001,82.889999,81.510002,82.669998,7053300,71.60598
"7",82.220001,83.110001,81.730003,82.769997,6404200,71.692596
"8",82.919998,83.209999,82.379997,82.599998,5774300,71.545349
"9",82.699997,82.910004,81.75,81.980003,4809200,71.008324
"10",81.959999,83.980003,81.910004,83.919998,7292700,72.688705
"11",84.489998,84.720001,83.199997,83.540001,5263100,72.359535
"12",83.169998,83.860001,82.32,83.199997,5220700,72.065063
"13",83.290001,83.43,81.309998,81.559998,8004100,71.071648
"14",81.5,81.93,81.019997,81.25,6305900,70.801521
"15",81.349998,82.150002,81.120003,81.779999,4743700,71.263359
"16",81.919998,82.199997,79.419998,79.489998,10652200,69.267838
"17",79.080002,80.419998,78.440002,79.330002,7627500,69.128418
"18",79.830002,79.889999,77.029999,77.75,10924400,67.751602
"19",77.459999,79.019997,77.32,78.68,7488500,68.562012
"20",78.550003,79.300003,78.510002,78.809998,6435200,68.675293
"21",78.650002,79.099998,77.690002,77.970001,6463100,67.943306
"22",76.349998,76.349998,74.050003,74.800003,18840200,65.180954
"23",75.339996,76.419998,75.279999,75.459999,11937000,65.756088
"24",75.599998,76.82,75.529999,76.07,9559500,66.287643
"25",76.120003,76.730003,75.5,76.360001,5739900,66.540344
"26",76.209999,77.150002,76.129997,77.029999,6788500,67.124191
"27",77.029999,77.800003,75.209999,77.309998,13944000,67.368202
"28",77.440002,79.120003,76.949997,78.529999,9367000,68.43132
"29",78.980003,79.230003,78.349998,78.699997,5645800,68.579445
"30",78.760002,78.949997,78.059998,78.669998,5507600,68.553284
"31",78.879997,79.519997,78.830002,79.410004,5626300,69.198151
"32",79.5,80.199997,79.260002,79.449997,4957500,69.232994
