"","CTAS.Open","CTAS.High","CTAS.Low","CTAS.Close","CTAS.Volume","CTAS.Adjusted"
"1",116.370003,117.059998,115.910004,116.32,858700,110.49807
"2",116.239998,117.709999,116.089996,117.309998,623400,111.438515
"3",116.889999,117.709999,116.029999,116.279999,598700,110.46006
"4",116.510002,116.959999,115.779999,116.699997,429700,110.859032
"5",116.470001,116.470001,115.040001,115.480003,524700,109.700119
"6",115.220001,115.419998,114.739998,114.779999,894900,109.035133
"7",114.800003,115.559998,114.650002,115.32,465800,109.548103
"8",115.089996,115.239998,113.209999,114.400002,586000,108.674179
"9",114.279999,114.879997,113.790001,114.559998,448800,108.826164
"10",113.809998,114.269997,113.309998,113.669998,305100,107.980705
"11",113.980003,114.129997,113.230003,113.970001,424700,108.265686
"12",113.959999,114.279999,113.230003,113.739998,382400,108.047203
"13",114.260002,114.379997,113.309998,113.879997,371900,108.180176
"14",113.769997,114.059998,112.959999,113.839996,267100,108.142189
"15",113.75,115.559998,113.75,115.510002,609200,109.7286
"16",115.75,116.989998,115.389999,116.75,783900,110.906548
"17",116.879997,117.949997,116.650002,117.389999,435500,111.514511
"18",117.330002,117.599998,116.739998,117.290001,478200,111.419518
"19",117.120003,117.120003,115.300003,116.199997,388200,110.384079
"20",116.139999,116.529999,115.160004,116.110001,647300,110.298584
"21",115.800003,117.32,114.529999,114.849998,774600,109.101646
"22",114.489998,115.470001,114.25,115.220001,590900,109.45311
"23",115.68,116.68,114.330002,116.110001,384600,110.298584
"24",115.769997,115.849998,114.709999,114.959999,490600,109.206131
"25",115.32,115.339996,114.370003,114.790001,562800,109.04464
"26",114.529999,114.940002,113.790001,114.349998,427200,108.626663
"27",114.550003,115.480003,114.400002,115.360001,474100,109.586113
"28",115.489998,117,115.169998,116.720001,722900,110.878044
"29",117.239998,117.650002,116.629997,116.989998,448000,111.134537
"30",116.559998,117.019997,116.099998,117.019997,362300,111.163033
"31",116.739998,118.599998,116.470001,118.410004,507700,112.483467
"32",118.43,119.510002,118.040001,119.510002,464100,113.528397
"33",118.970001,119.379997,118.089996,118.610001,1435500,112.673454
"34",118.660004,119.209999,118.029999,118.440002,451400,112.511955
"35",118.120003,118.839996,117.639999,118.800003,491600,112.853935
"36",119.019997,119.019997,117.589996,118.43,395200,112.502457
"37",118.07,119.07,117.260002,119.07,394600,113.110428
"38",118.889999,119.25,118.550003,119.110001,248900,113.148422
"39",118.989998,118.989998,117.849998,118.010002,413000,112.103485
"40",118.690002,119.989998,118.519997,119.629997,585100,113.642387
"41",119.300003,119.309998,118.330002,118.540001,418200,112.606956
"42",118.650002,118.839996,117.870003,118.410004,422000,112.483467
"43",118.07,118.709999,117.449997,118.610001,287000,112.673454
"44",118.209999,118.989998,117.790001,118.269997,417500,112.350471
"45",118.120003,118.760002,117.970001,118.360001,326100,112.435974
"46",118.589996,118.760002,117.209999,117.870003,332900,111.97049
"47",118.639999,119.269997,118.25,119.029999,449600,113.072426
"48",118.879997,119.379997,118.769997,119.129997,336700,113.167419
"49",118.989998,119.279999,117.849998,118.449997,323400,112.521454
"50",118.849998,119.57,118.459999,119.459999,415400,113.480904
"51",119.660004,120,118.93,119.239998,301100,113.271919
"52",122.309998,125.93,120.830002,124.870003,2220900,118.62014
"53",124.809998,125.440002,123.699997,124.309998,1030500,118.088165
"54",125.010002,125.690002,123.620003,123.779999,998200,117.584686
"55",124.089996,125.199997,123.709999,124.370003,853500,118.145164
"56",124.330002,128.850006,122.739998,125.949997,1414400,119.64608
"57",126.410004,126.419998,124.839996,125.129997,709500,118.867111
"58",124.919998,125.760002,123.449997,125.120003,612100,118.85762
"59",124.93,126.449997,124.199997,126.199997,502400,119.88356
"60",125.599998,126.57,125.599998,126.440002,687100,120.111557
"61",126.190002,127.449997,126.18,126.980003,451800,120.624542
"62",126.879997,127.07,126.25,126.540001,642800,120.206543
