"","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume","ETN.Adjusted"
"1",67.589996,68.580002,67.220001,68.529999,2231600,60.448975
"2",68.599998,68.82,67.849998,68.169998,1635000,60.131428
"3",68.059998,68.449997,66.599998,67.349998,2393900,59.408115
"4",67.610001,68.459999,67.5,68.010002,2590000,59.990292
"5",68.480003,68.510002,66.860001,66.879997,2704400,58.993546
"6",67.209999,67.540001,66.769997,67.209999,2214500,59.284634
"7",66.949997,68.489998,66.769997,68.459999,2126400,60.38723
"8",68.389999,68.400002,67.150002,68.199997,1357100,60.157879
"9",68.360001,68.940002,68.349998,68.660004,1264700,60.563633
"10",68.339996,68.360001,67.279999,67.559998,1697700,59.593357
"11",67.690002,68,67.400002,67.800003,1651300,59.805065
"12",68.129997,68.489998,67.279999,67.730003,1431100,59.743309
"13",68.019997,68.5,67.57,67.93,1559900,59.919731
"14",67.919998,68.160004,66.980003,67.739998,1195900,59.752121
"15",68.050003,69.32,67.75,69.169998,2044400,61.013504
"16",69.639999,71.279999,69.639999,71.18,3278100,62.786495
"17",70.82,71.68,70.330002,71.309998,2249900,62.901161
"18",71.129997,71.389999,70.809998,70.949997,1899800,62.583591
"19",71.019997,71.019997,69.68,70.410004,2034900,62.107273
"20",70.089996,70.910004,69.470001,70.779999,3016700,62.433659
"21",70.970001,71.709999,70.279999,71.309998,3919500,62.901161
"22",70.690002,72,69.410004,70.019997,4690700,61.763279
"23",70.330002,70.730003,69.610001,70.220001,2946200,61.939701
"24",70.110001,70.309998,69.459999,69.980003,2548200,61.727997
"25",70.330002,71.099998,70.129997,70.239998,2221400,61.957329
"26",70.019997,70.239998,69.449997,69.970001,2304700,61.71917
"27",69.970001,71.269997,69.970001,70.790001,2204400,62.442482
"28",71.029999,71.169998,70.800003,71,1946100,62.627712
"29",71.309998,72.260002,71.309998,72.199997,2537100,63.686207
"30",72,72.190002,71.580002,72.010002,2083900,63.518623
"31",72.059998,72.279999,71.68,72.099998,1971800,63.598
"32",72.040001,72.239998,71.239998,71.779999,2081000,63.315742
"33",71.540001,71.629997,70.889999,71.629997,2356700,63.183422
"34",71.639999,72.150002,71.580002,71.889999,1903500,63.412762
"35",71.68,72.739998,71.519997,72.5,2315200,63.950829
"36",72.82,72.919998,71.75,72.120003,2237900,63.615654
"37",71.540001,72.389999,71.129997,72.389999,2528800,63.853802
"38",72.209999,72.699997,72.120003,72.349998,2287700,63.818508
"39",72.349998,72.589996,71.709999,71.980003,2504200,63.492149
"40",72.809998,73.860001,72.809998,73.239998,2653600,64.603584
"41",72.669998,72.739998,71.779999,72.110001,2236600,64.132217
"42",72.230003,72.440002,71.400002,71.93,2024900,63.972126
"43",71.220001,72.120003,71.080002,71.839996,2711700,63.892094
"44",71.639999,72,71.440002,71.540001,1391900,63.625271
"45",71.599998,72.339996,71.519997,71.830002,2008700,63.883179
"46",71.720001,72.120003,71.230003,71.599998,2473200,63.678631
"47",72.040001,72.589996,72,72.489998,2131100,64.470161
"48",72.669998,72.980003,72.360001,72.75,1832600,64.701385
"49",72.199997,72.330002,71.480003,71.82,1394800,63.874298
"50",72.120003,74.080002,72.019997,73.959999,2435600,65.777542
"51",73.739998,74.349998,73.089996,73.349998,2412600,65.235023
"52",73.669998,73.839996,72.910004,73.25,3245300,65.146072
"53",73.269997,73.760002,72.870003,73.370003,1560500,65.252808
"54",73.580002,74.019997,71.849998,71.989998,2315300,64.02549
"55",71.959999,72.82,71.779999,72.540001,1989900,64.514641
"56",72.550003,73.239998,72.25,72.779999,1653900,64.728081
"57",72.809998,73.419998,72.559998,72.839996,2612400,64.781441
"58",72.550003,72.970001,71.459999,72.68,2225400,64.639145
"59",72.360001,73.790001,72.080002,73.290001,1700200,65.181664
"60",73.529999,74.410004,73.209999,73.940002,2492300,65.75975
"61",73.779999,74.529999,73.540001,74.199997,2111100,65.990974
"62",73.800003,74.629997,73.669998,74.150002,2011500,65.946503
"63",74.32,74.790001,73.419998,74.160004,2813200,65.955429
"64",74.309998,75.080002,73.949997,74.879997,2783400,66.595749
"65",75.269997,76.360001,74.339996,74.650002,2770700,66.391212
"66",74.839996,75.25,74.5,74.730003,1592500,66.462357
"67",74.519997,74.93,74.199997,74.57,1790900,66.320053
"68",74.790001,76.389999,74.620003,75.599998,2959700,67.236099
"69",75.309998,75.410004,74.589996,75.389999,2105200,67.049332
"70",75.580002,76,73.959999,74.239998,3322200,66.026566
"71",74.089996,74.339996,73.510002,73.510002,1405800,65.377327
"72",73.860001,74.300003,73.459999,74.279999,1372100,66.062141
"73",73.82,74.660004,73.82,74.470001,1744000,66.231117
"74",74.879997,75.18,73.519997,73.629997,2223900,65.484047
"75",74.029999,74.610001,73.760002,74.029999,3645000,65.839806
"76",74.230003,74.449997,73.629997,73.849998,2637100,65.679695
"77",75.029999,75.639999,74.68,75.480003,2875200,67.129395
"78",76.07,76.93,75.839996,76.519997,3044700,68.054306
"79",76.68,77.389999,76.589996,76.720001,2014500,68.232185
"80",76.699997,77.110001,76.260002,76.489998,2073400,68.027626
"81",76.459999,76.610001,75.470001,75.639999,2351100,67.271675
"82",75.900002,76.489998,75.160004,76.129997,4044200,67.707451
"83",77.739998,79.309998,76.370003,77.110001,4359600,68.579041
"84",76.389999,76.449997,75.779999,76.330002,2748300,68.417694
"85",76.540001,76.599998,75.620003,75.839996,2513900,67.978493
"86",76.110001,76.889999,75.900002,76.860001,2160100,68.892761
"87",76.800003,77.050003,76.43,76.779999,1686800,68.821068
"88",76.669998,77,76.5,76.760002,1386700,68.803131
"89",76.730003,77.25,76.57,77.089996,1327300,69.098907
"90",76.790001,77.169998,76.279999,77.029999,1828700,69.045135
"91",76.540001,77.110001,76.440002,76.68,1825700,68.731407
"92",77.129997,77.239998,76.720001,76.970001,1840800,68.991356
"93",77.370003,77.370003,76.510002,77.239998,1478100,69.233383
"94",77.239998,77.239998,76.110001,76.18,2787200,68.283257
"95",76.360001,76.400002,75.110001,76.07,2940000,68.184631
"96",76.440002,78.190002,76.43,78.010002,3142600,69.923546
"97",78.110001,78.449997,77.440002,77.699997,2589300,69.645691
"98",77.849998,77.93,77.330002,77.650002,2296200,69.600868
"99",77.629997,78,77.209999,77.57,1282900,69.529175
"100",77.919998,78.269997,77,77.309998,1753200,69.296104
"101",77.279999,77.720001,77.099998,77.559998,1063000,69.520195
"102",77.470001,77.809998,77.120003,77.720001,1023400,69.663612
"103",77.309998,78.400002,76.730003,77.379997,1659000,69.358849
"104",77.900002,78.57,77.260002,78.080002,1800100,69.986305
"105",78.199997,78.610001,77.690002,77.879997,1868900,69.807022
"106",77.870003,77.919998,76.760002,76.769997,2583200,68.812073
"107",76.440002,76.730003,76.080002,76.330002,1924300,68.417694
"108",76.5,76.5,74.260002,74.949997,3520700,67.18074
"109",74.949997,75.610001,74.599998,75.470001,3669900,67.646835
"110",75.709999,75.949997,75.279999,75.739998,2882000,67.888847
"111",75.739998,76.209999,75.459999,75.769997,1706500,67.915749
"112",75.940002,76.300003,75.519997,76.110001,1397500,68.220497
"113",76.279999,76.32,74.839996,75.339996,2320000,67.530327
"114",74.459999,76.529999,74.43,76.139999,1946000,68.247391
"115",76.360001,77.050003,76.220001,76.800003,2623800,68.838989
"116",77.279999,78.419998,77.239998,78.07,2505800,69.977333
"117",77.669998,77.849998,77,77.059998,1796700,69.072037
"118",77.239998,77.379997,75.760002,75.919998,1702900,68.050209
"119",75.989998,76.419998,75.709999,75.769997,1946600,67.915749
"120",75.839996,76.93,75.660004,76.879997,2995800,68.910683
"121",77.139999,77.610001,76.300003,76.769997,1415600,68.812073
"122",76.690002,76.940002,76.150002,76.43,1642000,68.507339
"123",77,77.639999,76.779999,77.440002,1608600,69.412643
"124",77.589996,78,76,76.629997,1751300,68.686592
"125",76.900002,78.32,76.860001,77.830002,1843600,69.762207
"126",78.370003,78.769997,77.709999,78.349998,1386800,70.22831
"127",78.330002,78.860001,78,78.629997,1892700,70.479286
"128",78.32,78.980003,78.260002,78.550003,1923400,70.40757
"129",78.550003,79.900002,78.349998,79.360001,1934300,71.133606
"130",79.279999,80.830002,79.279999,80.400002,2238500,72.065804
"131",80.300003,80.5,79.470001,80.449997,2314200,72.110626
"132",80.790001,81.629997,80.480003,80.510002,1843400,72.164398
"133",80.410004,80.690002,79.940002,80.32,1857200,71.994102
"134",80.519997,80.849998,80.379997,80.610001,1683300,72.254028
"135",80.480003,80.529999,80.059998,80.209999,1807900,71.895493
"136",80.169998,80.230003,79.629997,80.230003,1583500,71.913429
"137",80.440002,80.599998,79.779999,80.379997,1758300,72.047874
"138",80.32,80.339996,79.529999,79.559998,1530100,71.312881
"139",79.190002,79.410004,78.360001,78.970001,2436400,70.784042
"140",79,79.110001,78.480003,78.650002,1786900,70.497208
"141",79.5,79.589996,78.739998,79.330002,2311800,71.10672
"142",79.349998,79.349998,78.510002,79,1821900,70.810936
"143",79.110001,79.18,77.949997,78.489998,2638700,70.353798
"144",78.449997,78.589996,77.620003,78.43,1734900,70.300003
"145",78.43,79.080002,77.849998,78.25,3669200,70.138687
"146",75.489998,75.489998,72.160004,74.260002,10716900,66.562263
"147",73.400002,74.440002,73.110001,74.099998,5824300,66.959862
"148",73.900002,73.980003,72.970001,73.610001,4533300,66.517113
"149",73.68,74.57,73.610001,74.529999,2778300,67.348434
"150",73.760002,74.440002,73.68,73.989998,3197300,66.860466
"151",73.709999,74.300003,72.919998,72.989998,4769700,65.956825
"152",72.769997,73.370003,72.660004,73.139999,3167300,66.092392
"153",72.889999,72.970001,71.610001,71.650002,2704400,64.745941
"154",71.739998,71.93,71.379997,71.480003,1294700,64.592339
"155",72.190002,72.580002,71.82,72.480003,2032900,65.495972
"156",72.440002,72.889999,72.120003,72.309998,1973900,65.342354
"157",72.529999,72.940002,72.440002,72.669998,2103300,65.667664
"158",71.519997,72.68,71.470001,71.720001,4160600,64.809204
"159",71.620003,71.970001,71.199997,71.199997,2261100,64.33931
"160",71.129997,71.389999,70.690002,71.139999,2134100,64.285103
"161",71.309998,72.110001,71.199997,71.900002,2317400,64.971863
"162",71.43,71.75,71.120003,71.209999,1182800,64.348351
"163",71.370003,71.370003,70.529999,70.639999,2530300,63.833275
"164",71.040001,71.169998,70.580002,70.699997,1734700,63.887497
"165",70.980003,71.139999,70.25,70.440002,1319900,63.652546
"166",70.160004,70.699997,69.82,70.519997,2684800,63.724838
"167",70.5,71.160004,70.489998,71.050003,2561600,64.203766
"168",71.449997,71.879997,71.190002,71.760002,2252900,64.845367
"169",72.040001,72.150002,71.580002,71.629997,1707300,64.727875
"170",71.610001,71.93,70.730003,71.099998,2033900,64.248947
"171",71.57,71.620003,71.120003,71.330002,1700400,64.456787
"172",71.480003,71.519997,70.629997,71.32,1439300,64.447739
"173",71.199997,72.419998,71.089996,72.139999,1775600,65.188736
"174",72.690002,73.379997,72.480003,73.349998,2186500,66.282135
"175",73.5,74.650002,73.459999,74.599998,2482900,67.411705
"176",74.540001,74.949997,74.199997,74.93,2137300,67.709892
"177",74.760002,75.720001,74.389999,75.620003,2481100,68.333412
"178",75.589996,76.980003,75.220001,76.910004,4901300,69.499123
"179",77,78.040001,76.529999,77.900002,2832500,70.393723
"180",77.739998,77.870003,76.959999,77.029999,3215300,69.607544
"181",77.220001,78.209999,77.120003,77.769997,2482000,70.276245
"182",77.699997,78.25,77.660004,78.059998,1784000,70.538292
"183",77.989998,78.510002,77.690002,78.099998,1624900,70.57444
"184",78.139999,78.230003,76.889999,77.550003,2669600,70.077431
"185",77.599998,77.650002,77.019997,77.110001,1855700,69.67984
"186",77.440002,77.610001,76.809998,77.120003,2015300,69.688889
"187",76.839996,76.970001,75.43,76.089996,3048100,68.758118
"188",75.949997,76.940002,75.720001,76.790001,2236300,69.390663
"189",76.949997,77.580002,76.389999,77.540001,1755400,70.068405
"190",77.68,77.760002,77.25,77.449997,2017700,69.987083
"191",77.349998,78.190002,77.010002,78.059998,2209400,70.538292
"192",77.959999,78.25,77.589996,77.800003,2032900,70.303352
"193",77.629997,78.220001,77.43,77.75,2281200,70.258171
"194",77.760002,78.120003,77.309998,77.68,1368700,70.194916
"195",77.959999,78.129997,77.400002,77.980003,1612800,70.466019
"196",77.949997,78.669998,77.730003,78.529999,2390600,70.963013
"197",78.559998,79.160004,78.309998,78.720001,2504000,71.134712
"198",79.120003,79.190002,78.470001,78.529999,1942800,70.963013
"199",78.82,79.309998,78.519997,79.230003,1400500,71.595566
"200",77.830002,78.43,76.599998,78.07,3535700,70.54734
