"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted"
"1",55.91,55.950001,55.040001,55.349998,7809300,50.247017
"2",55.560001,56.200001,55.380001,55.990002,7796300,50.828018
"3",56.080002,56.529999,55.810001,56.459999,7602300,51.254692
"4",56.630001,57.27,56.080002,57.130001,8587800,51.862911
"5",57.259998,58.34,57.25,58.200001,12640500,52.834278
"6",58.220001,58.259998,57.830002,57.880001,6671800,52.543781
"7",57.799999,58.119999,57.59,58.099998,6028000,52.743484
"8",58,58.130001,57.639999,58.029999,4733000,52.679943
"9",58.029999,58.099998,57.650002,57.849998,4745600,52.516541
"10",57.619999,58.25,57.41,58,5734700,52.65271
"11",58.32,58.580002,58.029999,58.450001,7375700,53.061222
"12",58.310001,58.450001,57.720001,57.889999,7850500,52.552849
"13",58.139999,58.200001,57.41,57.66,7651600,52.344051
"14",57.419998,57.900002,57.150002,57.759998,6814400,52.434837
"15",57.93,58.5,57.759998,58.439999,10704100,53.052143
"16",58.669998,58.93,58.450001,58.700001,7117600,53.288174
"17",58.700001,59,58.259998,58.459999,12382400,53.070301
"18",55.75,56.59,55.650002,56.119999,28884900,50.946033
"19",56,56.240002,55.580002,55.900002,13322000,50.746319
"20",55.799999,55.869999,54.880001,55.220001,14308000,50.129013
"21",55.490002,55.5,53.810001,53.900002,18796900,48.930702
"22",54.040001,54.389999,53.849998,53.869999,15289700,48.903469
"23",54.209999,55.099998,54.009998,55.060001,14161700,49.983765
"24",55.009998,55.75,54.900002,55.73,13029800,50.591991
"25",55.790001,55.84,55.18,55.240002,9910500,50.373142
"26",55.189999,55.5,55.099998,55.220001,11681900,50.354893
"27",55.23,56.119999,55.209999,55.810001,11106800,50.892918
"28",55.73,56.400002,55.560001,56.220001,11179000,51.266796
"29",56.5,56.66,56.029999,56.110001,8027900,51.166481
"30",56.02,56.610001,56.02,56.580002,8865900,51.595078
"31",56.560001,56.880001,56.310001,56.860001,6967200,51.850414
"32",56.959999,56.990002,56.529999,56.73,8524500,51.731861
"33",56.799999,57.57,56.709999,57.349998,11008400,52.297234
"34",57.41,57.810001,57.400002,57.540001,8289200,52.470493
"35",57.52,57.849998,57.349998,57.57,7876600,52.497849
"36",57.599998,57.790001,57.389999,57.639999,7178600,52.561684
"37",57.610001,57.709999,57.150002,57.48,7806200,52.415783
"38",57.240002,57.299999,56.66,56.779999,7702400,51.777447
"39",56.709999,57.060001,56.549999,56.869999,8750700,51.859528
"40",57.27,57.400002,56.939999,57.139999,7198000,52.105736
"41",57.07,57.189999,56.849998,57.119999,6595400,52.087498
"42",56.700001,57.259998,56.700001,57.099998,7735900,52.069263
"43",56.779999,56.810001,56.330002,56.68,9160000,51.686272
"44",56.580002,56.75,56.02,56.200001,10890300,51.248558
"45",56.150002,56.349998,55.540001,55.740002,13061600,50.829079
"46",55.75,55.799999,54.810001,55.189999,17844200,50.327538
"47",55.389999,55.400002,54.419998,54.529999,13886400,49.725689
"48",54.57,54.880001,54.400002,54.630001,9090200,49.816879
"49",54.619999,54.740002,54.189999,54.27,7892900,49.48859
"50",54.389999,54.650002,54.09,54.540001,8712000,49.73481
"51",54.849998,54.990002,54.66,54.799999,8074300,49.971893
"52",55.040001,56.130001,54.950001,55.779999,15822100,50.865562
"53",55.869999,56.049999,55.509998,55.810001,7948400,50.892918
"54",56.049999,56.450001,55.490002,55.540001,8030600,50.646717
"55",55.68,56.040001,55.509998,55.889999,8452100,50.96587
"56",56.150002,56.43,55.779999,55.849998,7357200,50.929382
"57",56.110001,57.380001,55.900002,56.810001,15763000,51.804813
"58",56.66,57.450001,56.459999,57.23,8861800,52.187809
"59",57.099998,57.52,57.029999,57.349998,8331600,52.297234
"60",57.169998,57.849998,57.130001,57.540001,7001600,52.470493
"61",57.450001,58.299999,57.419998,58.16,8677900,53.03587
"62",58.110001,58.66,58.060001,58.389999,9156700,53.245605
"63",58.279999,58.470001,57.889999,58.439999,8989000,53.29121
"64",58.369999,58.41,58.009998,58.32,6474800,53.181774
"65",57.959999,59.27,57.810001,58.220001,13656200,53.090584
"66",58.130001,58.360001,57.73,57.919998,9112500,52.817005
"67",57.799999,58.25,57.549999,58.02,6773800,52.908207
"68",58,58.209999,57.73,57.950001,5266300,52.844379
"69",57.740002,58.16,57.380001,57.880001,5855100,52.780544
"70",57.880001,57.900002,57.48,57.580002,5450300,52.506969
"71",57.610001,57.790001,57.450001,57.509998,4871700,52.443134
"72",57.68,58.25,57.68,58.080002,5626000,52.962921
"73",57.59,58.48,57.59,58.349998,5449300,53.209126
"74",58.599998,59.490002,58.5,59.040001,12000600,53.838341
"75",59.709999,60.34,59.560001,60.080002,12445900,54.786709
"76",60.200001,60.689999,60.150002,60.610001,8800000,55.270023
"77",61,61.380001,60.889999,61.110001,10721300,55.725971
"78",60.650002,61.209999,59.919998,60.959999,11031500,55.58918
"79",61.23,61.75,60.98,61.560001,8525400,56.136318
"80",61.630001,61.939999,61.189999,61.299999,15285300,55.899227
"81",59.41,60.18,58.990002,60.060001,25046100,54.768478
"82",60,60.599998,59.759998,60.18,10910300,54.877895
"83",60.150002,60.52,60.040001,60.5,9152100,55.169693
"84",60.52,60.669998,60.259998,60.59,7706400,55.251774
"85",60.650002,60.849998,60.389999,60.830002,6874300,55.470634
"86",60.950001,60.990002,60.580002,60.950001,6443300,55.580063
"87",61.07,61.07,60.700001,60.939999,5588400,55.570946
"88",60.580002,61.080002,60.57,60.98,5806600,55.836483
"89",60.880001,60.98,60.209999,60.66,7198400,55.543465
"90",60.450001,60.509998,60.029999,60.27,5516900,55.186375
"91",60.279999,60.34,59.830002,59.93,5647500,54.875042
"92",60.419998,60.490002,60.130001,60.450001,5904100,55.351189
"93",60.68,60.700001,59.880001,59.98,6303500,54.920837
"94",59.970001,60.32,59.549999,59.73,7581200,54.691921
"95",59.73,59.939999,58.869999,59.82,8602400,54.774326
"96",59.939999,61.919998,59.939999,61.360001,12531000,56.184429
"97",61.029999,61.720001,61.029999,61.23,6391600,56.065399
"98",61.400002,61.5,60.860001,61.150002,5622500,55.992146
"99",61.400002,62,60.939999,61.889999,7249300,56.669727
"100",62.009998,63.110001,61.900002,62.900002,8931800,57.594528
"101",63.009998,63.419998,62.970001,63.299999,6098000,57.960793
"102",63.07,63.41,63.009998,63.259998,7094600,57.924168
"103",63.27,63.610001,63.080002,63.610001,7314600,58.244644
"104",63.509998,63.82,63.349998,63.75,6058300,58.372845
"105",63.880001,64.68,63.700001,64.57,7840400,59.123676
"106",64.849998,64.870003,64.18,64.269997,6808900,58.84898
"107",64.220001,64.349998,64.050003,64.160004,5448400,58.748264
"108",64.129997,64.300003,63.34,63.5,8365000,58.143929
"109",63.439999,63.580002,62.02,62.240002,11289300,56.990204
"110",62.369999,62.48,61.869999,62.189999,11240500,56.944427
"111",61.799999,61.990002,60.630001,61.290001,11071600,56.120335
"112",61.119999,61.259998,60.59,60.919998,9384900,55.78154
"113",60.669998,60.82,59.860001,60.27,9703300,55.186375
"114",59.919998,60.279999,59.509998,60.09,7516000,55.021557
"115",59.889999,60.16,59.470001,60.139999,11522400,55.067329
"116",60.349998,61,60.110001,60.900002,6778000,55.763229
"117",60.98,61,59.700001,59.860001,6985700,54.810959
"118",60,60.310001,59.709999,59.959999,6027600,54.902527
"119",60.09,60.099998,59.400002,59.509998,5602000,54.490475
"120",59.759998,60.169998,59.580002,59.810001,6469500,54.765163
