"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"1",104.410004,105.940002,104.110001,105.389999,4711300,102.414627
"2",105.339996,106.75,104.860001,106.389999,3299000,103.386383
"3",107.050003,108.150002,106.459999,106.989998,3262200,104.184898
"4",107.32,108.110001,106.870003,107.760002,3044600,104.9347
"5",107.760002,108.150002,107.309998,107.550003,2500700,104.73024
"6",107.550003,108.57,106.919998,107.32,3162200,104.506256
"7",107.040001,107.849998,106.830002,107.809998,2499000,104.983398
"8",107.669998,108.860001,107.309998,108.709999,3288500,105.859795
"9",108.629997,109.400002,108.529999,108.699997,4661900,105.85006
"10",108.230003,108.860001,107.610001,108.400002,2898200,105.55793
"11",108.709999,109.220001,107.910004,108.660004,2652300,105.811111
"12",108.839996,109.370003,108.330002,108.529999,1885300,105.684525
"13",109.239998,110,108.910004,109.959999,4173300,107.077026
"14",109.660004,109.980003,109.129997,109.629997,3678200,106.755692
"15",109.809998,110.129997,109.18,109.919998,2899600,107.038063
"16",110.660004,111.07,109.400002,110.190002,3848300,107.301018
"17",109.970001,110.32,109,109.379997,2568700,106.512238
"18",109.57,109.839996,108.919998,109.839996,2591600,106.960175
"19",109.370003,109.559998,108.099998,109.300003,4304400,106.434326
"20",105.970001,107.099998,105.5,106.330002,6470200,103.542206
"21",106.629997,106.75,104.010002,105,6149100,102.24707
"22",104.919998,105.489998,104.610001,105.139999,4112000,102.3834
"23",106.309998,107.540001,105.599998,106.580002,7132600,103.785637
"24",106.580002,106.620003,105.690002,106.589996,3445100,103.795372
"25",107,107.150002,106.040001,106.599998,3204800,103.805115
"26",106.550003,106.900002,105.800003,106.720001,2993600,103.921974
"27",106.720001,107.540001,106.5,107.300003,2679200,104.486778
"28",107.550003,107.639999,107.199997,107.269997,2078400,104.457573
"29",107.699997,108.330002,107.540001,108.279999,2337100,105.441063
"30",108.010002,109.209999,107.760002,108.879997,2336800,106.025352
"31",109,110.059998,108.769997,109.660004,2920000,106.784912
"32",109.75,110.199997,108.889999,109.300003,2146400,106.434326
